municipality,lau_name,Comment
Kaarma rural municipality,Saaremaa vald,
Kihelkonna rural municipality,Saaremaa vald,
Kärla rural municipality,Saaremaa vald,
Laimjala rural municipality,Saaremaa vald,
Leisi rural municipality,Saaremaa vald,
Lümanda rural municipality,Saaremaa vald,
Muhu rural municipality,Muhu vald,
Mustjala rural municipality,Saaremaa vald,
Orissaare rural municipality,Saaremaa vald,
Pihtla rural municipality,Saaremaa vald,
Pöide rural municipality,Saaremaa vald,
Ruhnu rural municipality,Ruhnu vald,
Salme rural municipality,Saaremaa vald,
Torgu rural municipality,Saaremaa vald,
Valjala rural municipality,Saaremaa vald,
Elva city,Elva vald,
Kallaste city,Peipsiääre vald,
Tartu city,Tartu Linn,
Alatskivi rural municipality,Peipsiääre vald,
Haaslava rural municipality,Kastre vald,
Kambja rural municipality,Kambja vald,
Konguta rural municipality,Elva vald,
Laeva rural municipality,Tartu vald,
Luunja rural municipality,Luunja vald,
Meeksi rural municipality,Räpina vald,
Mäksa rural municipality,Kastre vald,
Nõo rural municipality,Nõo vald,
Peipsiääre rural municipality,Peipsiääre vald,
Piirissaare rural municipality,Tartu vald,
Puhja rural municipality,Elva vald,
Rannu rural municipality,Elva vald,
Rõngu rural municipality,Elva vald,
Tartu rural municipality,Tartu vald,
Tähtvere rural municipality,Tartu Linn,
Vara rural municipality,Peipsiääre vald,
Võnnu rural municipality,Kastre vald,
Ülenurme rural municipality,Kambja vald,
Tõrva city,Tõrva vald,
Valga city,Valga vald,
Helme rural municipality,Tõrva vald,
Hummuli rural municipality,Tõrva vald,
Karula rural municipality,Valga vald,
Otepää rural municipality,Otepää vald,
Palupera rural municipality,Elva vald,
Puka rural municipality,Elva vald,
Põdrala rural municipality,Tõrva vald,
Sangaste rural municipality,Otepää vald,
Taheva rural municipality,Valga vald,
Tõlliste rural municipality,Valga vald,
Õru rural municipality,Valga vald,
Mõisaküla city,Mulgi vald,
Suure-Jaani city*,Põhja-Sakala vald,
Viljandi city,Viljandi linn,
Võhma city,Põhja-Sakala vald,
Abja rural municipality,Mulgi vald,
Halliste rural municipality,Mulgi vald,
Karksi rural municipality,Mulgi vald,
Kolga-Jaani rural municipality,Viljandi vald,
Kõo rural municipality,Põhja-Sakala vald,
Kõpu rural municipality,Põhja-Sakala vald,
Olustvere rural municipality*,Põhja-Sakala vald,
Paistu rural municipality,Viljandi vald,
Pärsti rural municipality,Viljandi vald,
Saarepeedi rural municipality,Viljandi vald,
Suure-Jaani rural municipality*,Põhja-Sakala vald,
Tarvastu rural municipality,Viljandi vald,
Vastemõisa rural municipality*,Põhja-Sakala vald,
Viiratsi rural municipality,Viljandi vald,
Võru city,Võru linn,
Antsla rural municipality,Antsla vald,
Haanja rural municipality,Rõuge vald,
Lasva rural municipality,Võru vald,
Meremäe rural municipality,Setomaa vald,
Misso rural municipality,Rõuge vald,small part also in Setomaa vald
Mõniste rural municipality,Rõuge vald,
Rõuge rural municipality,Rõuge vald,
Sõmerpalu rural municipality,Võru vald,
Urvaste rural municipality,Antsla vald,
Varstu rural municipality,Rõuge vald,
Vastseliina rural municipality,Võru vald,
Võru rural municipality,Võru vald,
