"Residential and non-residential floor space within localities, by region by region, type of property, observations and every fifth year",,,,,,,,,,,
,,,,,,,,,,,
region,type of property,Residential floor space in 1000 sq.m 2000,Residential floor space in 1000 sq.m 2005,Residential floor space in 1000 sq.m 2010,Residential floor space in 1000 sq.m 2015,Residential floor space in 1000 sq.m 2020,Non-residential floor space in 1000 sq.m 2000,Non-residential floor space in 1000 sq.m 2005,Non-residential floor space in 1000 sq.m 2010,Non-residential floor space in 1000 sq.m 2015,Non-residential floor space in 1000 sq.m 2020
0181 Södertälje,total,2708,2822,2946,3101,3329,1817,1989,2111,2098,2226
0182 Nacka,one- or two dwelling buildings,1696,1840,1979,2199,2366,..,..,..,..,..
0182 Nacka,multi-dwelling and commercial buildings,1357,1456,1635,1758,2034,701,787,839,906,981
0182 Nacka,industrial buildings,..,..,..,..,..,304,333,337,313,313
0182 Nacka,total,3052,3295,3614,3957,4399,1005,1120,1176,1220,1294
0183 Sundbyberg,one- or two dwelling buildings,110,111,161,190,214,..,..,..,..,..
0183 Sundbyberg,multi-dwelling and commercial buildings,1134,1150,1222,1405,1605,651,673,733,811,809
0183 Sundbyberg,industrial buildings,..,..,..,..,..,79,121,45,44,50
0183 Sundbyberg,total,1245,1261,1383,1595,1820,729,793,778,855,859
0184 Solna,one- or two dwelling buildings,88,80,86,115,146,..,..,..,..,..
0184 Solna,multi-dwelling and commercial buildings,2057,2229,2417,2676,2833,1648,1917,1994,2410,2681
0184 Solna,industrial buildings,..,..,..,1,18,367,325,305,274,183
0184 Solna,total,2145,2308,2503,2792,2998,2015,2242,2299,2683,2864
0186 Lidingö,one- or two dwelling buildings,996,1046,1086,1125,1173,..,..,..,..,..
0186 Lidingö,multi-dwelling and commercial buildings,806,865,899,940,1003,232,234,245,248,288
0186 Lidingö,industrial buildings,..,..,..,..,9,131,147,131,120,129
0186 Lidingö,total,1802,1911,1985,2065,2186,364,381,376,368,417
0187 Vaxholm,one- or two dwelling buildings,224,245,296,417,433,..,..,..,..,..
0187 Vaxholm,multi-dwelling and commercial buildings,115,124,123,136,172,32,28,25,26,32
0187 Vaxholm,industrial buildings,..,..,..,..,2,8,9,9,20,30
0187 Vaxholm,total,340,369,419,553,606,40,37,35,46,63
0188 Norrtälje,one- or two dwelling buildings,694,696,730,1119,1363,..,..,..,..,..
0188 Norrtälje,multi-dwelling and commercial buildings,618,646,685,742,825,233,247,268,288,337
0188 Norrtälje,industrial buildings,..,..,..,..,..,387,407,430,456,465
0188 Norrtälje,total,1312,1342,1414,1861,2188,619,654,697,744,802
0191 Sigtuna,one- or two dwelling buildings,482,537,572,638,695,..,..,..,..,..
0191 Sigtuna,multi-dwelling and commercial buildings,675,709,754,812,886,200,178,209,167,208
0191 Sigtuna,industrial buildings,..,..,..,1,1,233,187,387,351,488
0191 Sigtuna,total,1157,1246,1327,1451,1582,432,365,596,519,696
0192 Nynäshamn,one- or two dwelling buildings,386,409,458,519,538,..,..,..,..,..
0192 Nynäshamn,multi-dwelling and commercial buildings,388,393,414,446,465,96,140,187,189,164
0192 Nynäshamn,industrial buildings,..,..,..,..,..,117,124,82,83,84
0192 Nynäshamn,total,775,802,872,964,1003,213,264,269,272,248
0305 Håbo,one- or two dwelling buildings,523,583,606,646,712,..,..,..,..,..
0305 Håbo,multi-dwelling and commercial buildings,118,129,145,154,178,58,68,67,73,83
0305 Håbo,industrial buildings,..,..,..,..,..,115,127,148,160,179
0305 Håbo,total,641,712,751,799,890,173,195,215,234,262
0319 Älvkarleby,one- or two dwelling buildings,285,293,298,307,314,..,..,..,..,..
0319 Älvkarleby,multi-dwelling and commercial buildings,90,88,88,85,89,38,44,43,37,41
0319 Älvkarleby,industrial buildings,..,..,..,..,..,178,181,179,187,196
0319 Älvkarleby,total,374,382,386,392,403,216,225,223,224,237
0330 Knivsta,one- or two dwelling buildings,..,260,306,353,389,..,..,..,..,..
0330 Knivsta,multi-dwelling and commercial buildings,..,94,103,133,181,..,19,35,43,47
0330 Knivsta,industrial buildings,..,..,..,..,..,..,15,12,18,18
0330 Knivsta,total,..,354,409,486,570,..,34,47,61,65
0331 Heby,one- or two dwelling buildings,..,..,292,293,311,..,..,..,..,..
0331 Heby,multi-dwelling and commercial buildings,..,..,98,91,96,..,..,58,37,37
0331 Heby,industrial buildings,..,..,..,..,..,..,..,111,128,175
0331 Heby,total,..,..,390,384,406,..,..,169,165,212
0360 Tierp,one- or two dwelling buildings,380,384,392,391,409,..,..,..,..,..
0360 Tierp,multi-dwelling and commercial buildings,207,217,218,227,233,72,83,88,98,96
0360 Tierp,industrial buildings,..,..,..,..,..,281,288,291,246,265
0360 Tierp,total,587,601,609,618,642,354,370,379,344,361
0380 Uppsala,one- or two dwelling buildings,2064,2188,2326,2579,2801,..,..,..,..,..
0380 Uppsala,multi-dwelling and commercial buildings,3909,4159,4383,4696,5321,1202,1383,1541,1774,1980
0380 Uppsala,industrial buildings,..,..,..,..,3,1071,1106,1090,1101,1106
0380 Uppsala,total,5973,6348,6709,7276,8125,2273,2489,2631,2875,3086
0381 Enköping,one- or two dwelling buildings,519,552,594,629,732,..,..,..,..,..
0381 Enköping,multi-dwelling and commercial buildings,513,497,571,595,661,196,227,229,253,258
0381 Enköping,industrial buildings,..,..,..,..,..,313,319,278,270,328
0381 Enköping,total,1032,1049,1165,1224,1393,509,547,507,523,586
0382 Östhammar,one- or two dwelling buildings,445,458,482,507,534,..,..,..,..,..
0382 Östhammar,multi-dwelling and commercial buildings,222,226,227,224,218,74,86,91,87,90
0382 Östhammar,industrial buildings,..,..,..,..,1,188,205,245,255,268
0382 Östhammar,total,666,684,710,731,752,262,292,336,342,358
0428 Vingåker,one- or two dwelling buildings,186,188,189,216,221,..,..,..,..,..
0428 Vingåker,multi-dwelling and commercial buildings,107,94,89,92,96,36,36,46,47,49
0428 Vingåker,industrial buildings,..,..,..,..,..,91,103,100,107,106
0428 Vingåker,total,292,282,278,308,317,127,139,147,154,155
0461 Gnesta,one- or two dwelling buildings,175,185,196,209,221,..,..,..,..,..
0461 Gnesta,multi-dwelling and commercial buildings,97,104,110,118,133,31,33,38,40,41
0461 Gnesta,industrial buildings,..,..,..,..,..,50,51,52,56,57
0461 Gnesta,total,272,288,306,327,353,81,84,90,96,98
0480 Nyköping,one- or two dwelling buildings,783,812,871,943,996,..,..,..,..,..
0480 Nyköping,multi-dwelling and commercial buildings,921,932,970,1018,1084,381,413,455,479,496
0480 Nyköping,industrial buildings,..,..,..,..,..,496,514,456,528,560
0480 Nyköping,total,1704,1745,1841,1961,2081,876,927,911,1007,1056
0481 Oxelösund,one- or two dwelling buildings,275,280,283,301,308,..,..,..,..,..
0481 Oxelösund,multi-dwelling and commercial buildings,211,213,221,226,230,71,68,72,79,83
0481 Oxelösund,industrial buildings,..,..,..,..,..,294,305,362,335,336
0481 Oxelösund,total,486,492,504,527,538,366,374,433,415,419
0482 Flen,one- or two dwelling buildings,349,357,330,370,374,..,..,..,..,..
0482 Flen,multi-dwelling and commercial buildings,243,232,225,227,230,96,105,86,128,134
0482 Flen,industrial buildings,..,..,..,..,..,217,213,180,157,143
0482 Flen,total,592,588,555,597,605,314,318,266,285,277
0483 Katrineholm,one- or two dwelling buildings,571,590,606,610,640,..,..,..,..,..
0483 Katrineholm,multi-dwelling and commercial buildings,553,554,559,565,597,218,214,237,247,258
0483 Katrineholm,industrial buildings,..,..,..,..,..,347,367,403,408,420
0483 Katrineholm,total,1124,1144,1165,1175,1237,565,582,640,655,678
0484 Eskilstuna,one- or two dwelling buildings,1390,1497,1578,1724,1834,..,..,..,..,..
0484 Eskilstuna,multi-dwelling and commercial buildings,1959,1975,1996,2065,2149,643,758,734,765,819
0484 Eskilstuna,industrial buildings,..,..,..,..,..,1112,1104,1198,997,999
0484 Eskilstuna,total,3349,3472,3574,3788,3982,1755,1862,1932,1762,1817
0486 Strängnäs,one- or two dwelling buildings,521,552,611,733,797,..,..,..,..,..
0486 Strängnäs,multi-dwelling and commercial buildings,455,479,495,510,576,152,170,199,216,241
0486 Strängnäs,industrial buildings,..,..,..,..,..,263,250,320,383,355
0486 Strängnäs,total,976,1031,1106,1243,1373,415,420,519,599,596
0488 Trosa,one- or two dwelling buildings,271,306,330,380,471,..,..,..,..,..
0488 Trosa,multi-dwelling and commercial buildings,91,96,111,120,166,36,38,37,44,48
0488 Trosa,industrial buildings,..,..,..,..,..,99,100,112,109,115
0488 Trosa,total,362,403,441,499,636,135,138,149,153,163
0509 Ödeshög,one- or two dwelling buildings,108,110,110,112,113,..,..,..,..,..
0509 Ödeshög,multi-dwelling and commercial buildings,36,42,41,40,41,24,26,22,28,24
0509 Ödeshög,industrial buildings,..,..,..,..,..,54,52,58,63,70
0509 Ödeshög,total,144,151,151,151,153,78,78,79,91,94
0512 Ydre,one- or two dwelling buildings,72,73,73,74,75,..,..,..,..,..
0512 Ydre,multi-dwelling and commercial buildings,13,12,12,11,12,8,9,8,10,11
0512 Ydre,industrial buildings,..,..,..,..,..,44,44,49,49,53
0512 Ydre,total,85,85,85,85,86,52,53,57,60,63
0513 Kinda,one- or two dwelling buildings,216,219,226,234,247,..,..,..,..,..
0513 Kinda,multi-dwelling and commercial buildings,84,81,81,81,81,36,39,41,46,49
0513 Kinda,industrial buildings,..,..,..,..,..,127,136,142,119,191
0513 Kinda,total,300,300,307,315,329,162,174,183,165,240
0560 Boxholm,one- or two dwelling buildings,111,112,113,116,117,..,..,..,..,..
0560 Boxholm,multi-dwelling and commercial buildings,111,61,59,56,57,19,21,22,24,22
0560 Boxholm,industrial buildings,..,..,..,..,..,135,135,143,126,108
0560 Boxholm,total,221,173,172,172,174,154,156,165,151,130
0561 Åtvidaberg,one- or two dwelling buildings,294,301,309,317,325,..,..,..,..,..
0561 Åtvidaberg,multi-dwelling and commercial buildings,139,127,126,127,131,58,59,51,57,60
0561 Åtvidaberg,industrial buildings,..,..,..,..,..,112,115,116,108,111
0561 Åtvidaberg,total,434,428,434,443,455,170,174,167,165,171
0562 Finspång,one- or two dwelling buildings,449,455,465,477,486,..,..,..,..,..
