"region","type of property","variable","value","year"
"2506 Arjeplog","total","residential","105",2000
"2510 Jokkmokk","one- or two dwelling buildings","residential","140",2000
"2510 Jokkmokk","multi-dwelling and commercial buildings","residential","52",2000
"2510 Jokkmokk","industrial buildings","residential",NA,2000
"2510 Jokkmokk","total","residential","191",2000
"2513 Överkalix","one- or two dwelling buildings","residential","72",2000
"2513 Överkalix","multi-dwelling and commercial buildings","residential","33",2000
"2513 Överkalix","industrial buildings","residential",NA,2000
"2513 Överkalix","total","residential","105",2000
"2514 Kalix","one- or two dwelling buildings","residential","491",2000
"2514 Kalix","multi-dwelling and commercial buildings","residential","180",2000
"2514 Kalix","industrial buildings","residential",NA,2000
"2514 Kalix","total","residential","671",2000
"2518 Övertorneå","one- or two dwelling buildings","residential","106",2000
"2518 Övertorneå","multi-dwelling and commercial buildings","residential","42",2000
"2518 Övertorneå","industrial buildings","residential",NA,2000
"2518 Övertorneå","total","residential","147",2000
"2521 Pajala","one- or two dwelling buildings","residential","123",2000
"2521 Pajala","multi-dwelling and commercial buildings","residential","43",2000
"2521 Pajala","industrial buildings","residential",NA,2000
"2521 Pajala","total","residential","167",2000
"2523 Gällivare","one- or two dwelling buildings","residential","435",2000
"2523 Gällivare","multi-dwelling and commercial buildings","residential","307",2000
"2523 Gällivare","industrial buildings","residential",NA,2000
"2523 Gällivare","total","residential","742",2000
"2560 Älvsbyn","one- or two dwelling buildings","residential","211",2000
"2560 Älvsbyn","multi-dwelling and commercial buildings","residential","85",2000
"2560 Älvsbyn","industrial buildings","residential",NA,2000
"2560 Älvsbyn","total","residential","295",2000
"2580 Luleå","one- or two dwelling buildings","residential","1311",2000
"2580 Luleå","multi-dwelling and commercial buildings","residential","1427",2000
"2580 Luleå","industrial buildings","residential",NA,2000
"2580 Luleå","total","residential","2738",2000
"2581 Piteå","one- or two dwelling buildings","residential","1025",2000
"2581 Piteå","multi-dwelling and commercial buildings","residential","469",2000
"2581 Piteå","industrial buildings","residential",NA,2000
"2581 Piteå","total","residential","1493",2000
"2582 Boden","one- or two dwelling buildings","residential","642",2000
"2582 Boden","multi-dwelling and commercial buildings","residential","489",2000
"2582 Boden","industrial buildings","residential",NA,2000
"2582 Boden","total","residential","1131",2000
"2583 Haparanda","one- or two dwelling buildings","residential","202",2000
"2583 Haparanda","multi-dwelling and commercial buildings","residential","143",2000
"2583 Haparanda","industrial buildings","residential",NA,2000
"2583 Haparanda","total","residential","344",2000
"2584 Kiruna","one- or two dwelling buildings","residential","513",2000
"2584 Kiruna","multi-dwelling and commercial buildings","residential","460",2000
"2584 Kiruna","industrial buildings","residential",NA,2000
"2584 Kiruna","total","residential","973",2000
"0114 Upplands Väsby","one- or two dwelling buildings","residential","684",2005
"0114 Upplands Väsby","multi-dwelling and commercial buildings","residential","775",2005
"0114 Upplands Väsby","industrial buildings","residential",NA,2005
"0114 Upplands Väsby","total","residential","1459",2005
"0115 Vallentuna","one- or two dwelling buildings","residential","626",2005
"0115 Vallentuna","multi-dwelling and commercial buildings","residential","265",2005
"0115 Vallentuna","industrial buildings","residential",NA,2005
"0115 Vallentuna","total","residential","891",2005
"0117 Österåker","one- or two dwelling buildings","residential","1169",2005
"0117 Österåker","multi-dwelling and commercial buildings","residential","274",2005
"0117 Österåker","industrial buildings","residential",NA,2005
"0117 Österåker","total","residential","1443",2005
"0120 Värmdö","one- or two dwelling buildings","residential","831",2005
"0120 Värmdö","multi-dwelling and commercial buildings","residential","266",2005
"0120 Värmdö","industrial buildings","residential",NA,2005
"0120 Värmdö","total","residential","1096",2005
"0123 Järfälla","one- or two dwelling buildings","residential","1308",2005
"0123 Järfälla","multi-dwelling and commercial buildings","residential","1234",2005
"0123 Järfälla","industrial buildings","residential",NA,2005
"0123 Järfälla","total","residential","2542",2005
"0125 Ekerö","one- or two dwelling buildings","residential","628",2005
"0125 Ekerö","multi-dwelling and commercial buildings","residential","100",2005
"0125 Ekerö","industrial buildings","residential",NA,2005
"0125 Ekerö","total","residential","728",2005
"0126 Huddinge","one- or two dwelling buildings","residential","2035",2005
"0126 Huddinge","multi-dwelling and commercial buildings","residential","1407",2005
"0126 Huddinge","industrial buildings","residential",NA,2005
"0126 Huddinge","total","residential","3442",2005
"0127 Botkyrka","one- or two dwelling buildings","residential","1310",2005
"0127 Botkyrka","multi-dwelling and commercial buildings","residential","1461",2005
"0127 Botkyrka","industrial buildings","residential",NA,2005
"0127 Botkyrka","total","residential","2771",2005
"0128 Salem","one- or two dwelling buildings","residential","426",2005
"0128 Salem","multi-dwelling and commercial buildings","residential","185",2005
"0128 Salem","industrial buildings","residential",NA,2005
"0128 Salem","total","residential","611",2005
"0136 Haninge","one- or two dwelling buildings","residential","1365",2005
"0136 Haninge","multi-dwelling and commercial buildings","residential","1322",2005
"0136 Haninge","industrial buildings","residential",NA,2005
"0136 Haninge","total","residential","2687",2005
"0138 Tyresö","one- or two dwelling buildings","residential","1054",2005
"0138 Tyresö","multi-dwelling and commercial buildings","residential","621",2005
"0138 Tyresö","industrial buildings","residential",NA,2005
"0138 Tyresö","total","residential","1675",2005
"0139 Upplands-Bro","one- or two dwelling buildings","residential","414",2005
"0139 Upplands-Bro","multi-dwelling and commercial buildings","residential","351",2005
"0139 Upplands-Bro","industrial buildings","residential",NA,2005
"0139 Upplands-Bro","total","residential","765",2005
"0140 Nykvarn","one- or two dwelling buildings","residential","202",2005
"0140 Nykvarn","multi-dwelling and commercial buildings","residential","51",2005
"0140 Nykvarn","industrial buildings","residential",NA,2005
"0140 Nykvarn","total","residential","253",2005
"0160 Täby","one- or two dwelling buildings","residential","1835",2005
"0160 Täby","multi-dwelling and commercial buildings","residential","875",2005
"0160 Täby","industrial buildings","residential",NA,2005
"0160 Täby","total","residential","2710",2005
"0162 Danderyd","one- or two dwelling buildings","residential","1122",2005
"0162 Danderyd","multi-dwelling and commercial buildings","residential","391",2005
"0162 Danderyd","industrial buildings","residential",NA,2005
"0162 Danderyd","total","residential","1513",2005
"0163 Sollentuna","one- or two dwelling buildings","residential","1566",2005
"0163 Sollentuna","multi-dwelling and commercial buildings","residential","904",2005
"0163 Sollentuna","industrial buildings","residential",NA,2005
"0163 Sollentuna","total","residential","2469",2005
"0180 Stockholm","one- or two dwelling buildings","residential","5229",2005
"0180 Stockholm","multi-dwelling and commercial buildings","residential","24217",2005
"0180 Stockholm","industrial buildings","residential",NA,2005
"0180 Stockholm","total","residential","29446",2005
"0181 Södertälje","one- or two dwelling buildings","residential","1071",2005
"0181 Södertälje","multi-dwelling and commercial buildings","residential","1751",2005
"0181 Södertälje","industrial buildings","residential",NA,2005
"0181 Södertälje","total","residential","2822",2005
"0182 Nacka","one- or two dwelling buildings","residential","1840",2005
"0182 Nacka","multi-dwelling and commercial buildings","residential","1456",2005
"0182 Nacka","industrial buildings","residential",NA,2005
"0182 Nacka","total","residential","3295",2005
"0183 Sundbyberg","one- or two dwelling buildings","residential","111",2005
"0183 Sundbyberg","multi-dwelling and commercial buildings","residential","1150",2005
"0183 Sundbyberg","industrial buildings","residential",NA,2005
"0183 Sundbyberg","total","residential","1261",2005
"0184 Solna","one- or two dwelling buildings","residential","80",2005
"0184 Solna","multi-dwelling and commercial buildings","residential","2229",2005
"0184 Solna","industrial buildings","residential",NA,2005
"0184 Solna","total","residential","2308",2005
"0186 Lidingö","one- or two dwelling buildings","residential","1046",2005
"0186 Lidingö","multi-dwelling and commercial buildings","residential","865",2005
"0186 Lidingö","industrial buildings","residential",NA,2005
"0186 Lidingö","total","residential","1911",2005
"0187 Vaxholm","one- or two dwelling buildings","residential","245",2005
"0187 Vaxholm","multi-dwelling and commercial buildings","residential","124",2005
"0187 Vaxholm","industrial buildings","residential",NA,2005
"0187 Vaxholm","total","residential","369",2005
"0188 Norrtälje","one- or two dwelling buildings","residential","696",2005
"0188 Norrtälje","multi-dwelling and commercial buildings","residential","646",2005
"0188 Norrtälje","industrial buildings","residential",NA,2005
"0188 Norrtälje","total","residential","1342",2005
"0191 Sigtuna","one- or two dwelling buildings","residential","537",2005
"0191 Sigtuna","multi-dwelling and commercial buildings","residential","709",2005
"0191 Sigtuna","industrial buildings","residential",NA,2005
"0191 Sigtuna","total","residential","1246",2005
"0192 Nynäshamn","one- or two dwelling buildings","residential","409",2005
"0192 Nynäshamn","multi-dwelling and commercial buildings","residential","393",2005
"0192 Nynäshamn","industrial buildings","residential",NA,2005
"0192 Nynäshamn","total","residential","802",2005
"0305 Håbo","one- or two dwelling buildings","residential","583",2005
"0305 Håbo","multi-dwelling and commercial buildings","residential","129",2005
"0305 Håbo","industrial buildings","residential",NA,2005
"0305 Håbo","total","residential","712",2005
"0319 Älvkarleby","one- or two dwelling buildings","residential","293",2005
"0319 Älvkarleby","multi-dwelling and commercial buildings","residential","88",2005
"0319 Älvkarleby","industrial buildings","residential",NA,2005
"0319 Älvkarleby","total","residential","382",2005
"0330 Knivsta","one- or two dwelling buildings","residential","260",2005
"0330 Knivsta","multi-dwelling and commercial buildings","residential","94",2005
"0330 Knivsta","industrial buildings","residential",NA,2005
"0330 Knivsta","total","residential","354",2005
"0331 Heby","one- or two dwelling buildings","residential",NA,2005
"0331 Heby","multi-dwelling and commercial buildings","residential",NA,2005
"0331 Heby","industrial buildings","residential",NA,2005
"0331 Heby","total","residential",NA,2005
"0360 Tierp","one- or two dwelling buildings","residential","384",2005
"0360 Tierp","multi-dwelling and commercial buildings","residential","217",2005
"0360 Tierp","industrial buildings","residential",NA,2005
"0360 Tierp","total","residential","601",2005
"0380 Uppsala","one- or two dwelling buildings","residential","2188",2005
"0380 Uppsala","multi-dwelling and commercial buildings","residential","4159",2005
"0380 Uppsala","industrial buildings","residential",NA,2005
"0380 Uppsala","total","residential","6348",2005
"0381 Enköping","one- or two dwelling buildings","residential","552",2005
"0381 Enköping","multi-dwelling and commercial buildings","residential","497",2005
"0381 Enköping","industrial buildings","residential",NA,2005
"0381 Enköping","total","residential","1049",2005
"0382 Östhammar","one- or two dwelling buildings","residential","458",2005
"0382 Östhammar","multi-dwelling and commercial buildings","residential","226",2005
"0382 Östhammar","industrial buildings","residential",NA,2005
"0382 Östhammar","total","residential","684",2005
"0428 Vingåker","one- or two dwelling buildings","residential","188",2005
"0428 Vingåker","multi-dwelling and commercial buildings","residential","94",2005
"0428 Vingåker","industrial buildings","residential",NA,2005
"0428 Vingåker","total","residential","282",2005
"0461 Gnesta","one- or two dwelling buildings","residential","185",2005
"0461 Gnesta","multi-dwelling and commercial buildings","residential","104",2005
"0461 Gnesta","industrial buildings","residential",NA,2005
"0461 Gnesta","total","residential","288",2005
"0480 Nyköping","one- or two dwelling buildings","residential","812",2005
"0480 Nyköping","multi-dwelling and commercial buildings","residential","932",2005
"0480 Nyköping","industrial buildings","residential",NA,2005
"0480 Nyköping","total","residential","1745",2005
"0481 Oxelösund","one- or two dwelling buildings","residential","280",2005
"0481 Oxelösund","multi-dwelling and commercial buildings","residential","213",2005
"0481 Oxelösund","industrial buildings","residential",NA,2005
"0481 Oxelösund","total","residential","492",2005
"0482 Flen","one- or two dwelling buildings","residential","357",2005
"0482 Flen","multi-dwelling and commercial buildings","residential","232",2005
"0482 Flen","industrial buildings","residential",NA,2005
"0482 Flen","total","residential","588",2005
"0483 Katrineholm","one- or two dwelling buildings","residential","590",2005
"0483 Katrineholm","multi-dwelling and commercial buildings","residential","554",2005
"0483 Katrineholm","industrial buildings","residential",NA,2005
"0483 Katrineholm","total","residential","1144",2005
"0484 Eskilstuna","one- or two dwelling buildings","residential","1497",2005
"0484 Eskilstuna","multi-dwelling and commercial buildings","residential","1975",2005
"0484 Eskilstuna","industrial buildings","residential",NA,2005
"0484 Eskilstuna","total","residential","3472",2005
"0486 Strängnäs","one- or two dwelling buildings","residential","552",2005
"0486 Strängnäs","multi-dwelling and commercial buildings","residential","479",2005
"0486 Strängnäs","industrial buildings","residential",NA,2005
"0486 Strängnäs","total","residential","1031",2005
"0488 Trosa","one- or two dwelling buildings","residential","306",2005
"0488 Trosa","multi-dwelling and commercial buildings","residential","96",2005
"0488 Trosa","industrial buildings","residential",NA,2005
"0488 Trosa","total","residential","403",2005
"0509 Ödeshög","one- or two dwelling buildings","residential","110",2005
"0509 Ödeshög","multi-dwelling and commercial buildings","residential","42",2005
"0509 Ödeshög","industrial buildings","residential",NA,2005
"0509 Ödeshög","total","residential","151",2005
"0512 Ydre","one- or two dwelling buildings","residential","73",2005
"0512 Ydre","multi-dwelling and commercial buildings","residential","12",2005
"0512 Ydre","industrial buildings","residential",NA,2005
"0512 Ydre","total","residential","85",2005
"0513 Kinda","one- or two dwelling buildings","residential","219",2005
"0513 Kinda","multi-dwelling and commercial buildings","residential","81",2005
"0513 Kinda","industrial buildings","residential",NA,2005
"0513 Kinda","total","residential","300",2005
"0560 Boxholm","one- or two dwelling buildings","residential","112",2005
"0560 Boxholm","multi-dwelling and commercial buildings","residential","61",2005
"0560 Boxholm","industrial buildings","residential",NA,2005
"0560 Boxholm","total","residential","173",2005
"0561 Åtvidaberg","one- or two dwelling buildings","residential","301",2005
"0561 Åtvidaberg","multi-dwelling and commercial buildings","residential","127",2005
"0561 Åtvidaberg","industrial buildings","residential",NA,2005
"0561 Åtvidaberg","total","residential","428",2005
"0562 Finspång","one- or two dwelling buildings","residential","455",2005
"0562 Finspång","multi-dwelling and commercial buildings","residential","332",2005
"0562 Finspång","industrial buildings","residential",NA,2005
"0562 Finspång","total","residential","788",2005
"0563 Valdemarsvik","one- or two dwelling buildings","residential","151",2005
"0563 Valdemarsvik","multi-dwelling and commercial buildings","residential","94",2005
"0563 Valdemarsvik","industrial buildings","residential",NA,2005
"0563 Valdemarsvik","total","residential","245",2005
"0580 Linköping","one- or two dwelling buildings","residential","2160",2005
"0580 Linköping","multi-dwelling and commercial buildings","residential","3098",2005
"0580 Linköping","industrial buildings","residential",NA,2005
"0580 Linköping","total","residential","5258",2005
"0581 Norrköping","one- or two dwelling buildings","residential","2015",2005
"0581 Norrköping","multi-dwelling and commercial buildings","residential","2734",2005
"0581 Norrköping","industrial buildings","residential",NA,2005
"0581 Norrköping","total","residential","4749",2005
"0582 Söderköping","one- or two dwelling buildings","residential","223",2005
"0582 Söderköping","multi-dwelling and commercial buildings","residential","151",2005
"0582 Söderköping","industrial buildings","residential",NA,2005
"0582 Söderköping","total","residential","374",2005
"0583 Motala","one- or two dwelling buildings","residential","889",2005
"0583 Motala","multi-dwelling and commercial buildings","residential","660",2005
"0583 Motala","industrial buildings","residential",NA,2005
"0583 Motala","total","residential","1549",2005
"0584 Vadstena","one- or two dwelling buildings","residential","156",2005
"0584 Vadstena","multi-dwelling and commercial buildings","residential","127",2005
"0584 Vadstena","industrial buildings","residential",NA,2005
"0584 Vadstena","total","residential","283",2005
"0586 Mjölby","one- or two dwelling buildings","residential","524",2005
"0586 Mjölby","multi-dwelling and commercial buildings","residential","409",2005
"0586 Mjölby","industrial buildings","residential",NA,2005
"0586 Mjölby","total","residential","933",2005
"0604 Aneby","one- or two dwelling buildings","residential","148",2005
"0604 Aneby","multi-dwelling and commercial buildings","residential","53",2005
"0604 Aneby","industrial buildings","residential",NA,2005
"0604 Aneby","total","residential","201",2005
"0617 Gnosjö","one- or two dwelling buildings","residential","255",2005
"0617 Gnosjö","multi-dwelling and commercial buildings","residential","81",2005
"0617 Gnosjö","industrial buildings","residential",NA,2005
"0617 Gnosjö","total","residential","336",2005
"0642 Mullsjö","one- or two dwelling buildings","residential","233",2005
"0642 Mullsjö","multi-dwelling and commercial buildings","residential","57",2005
"0642 Mullsjö","industrial buildings","residential",NA,2005
"0642 Mullsjö","total","residential","290",2005
"0643 Habo","one- or two dwelling buildings","residential","237",2005
"0643 Habo","multi-dwelling and commercial buildings","residential","62",2005
"0643 Habo","industrial buildings","residential",NA,2005
"0643 Habo","total","residential","298",2005
"0662 Gislaved","one- or two dwelling buildings","residential","767",2005
"0662 Gislaved","multi-dwelling and commercial buildings","residential","291",2005
"0662 Gislaved","industrial buildings","residential",NA,2005
"0662 Gislaved","total","residential","1058",2005
"0665 Vaggeryd","one- or two dwelling buildings","residential","321",2005
"0665 Vaggeryd","multi-dwelling and commercial buildings","residential","111",2005
"0665 Vaggeryd","industrial buildings","residential",NA,2005
"0665 Vaggeryd","total","residential","431",2005
"0680 Jönköping","one- or two dwelling buildings","residential","2479",2005
"0680 Jönköping","multi-dwelling and commercial buildings","residential","2287",2005
"0680 Jönköping","industrial buildings","residential",NA,2005
"0680 Jönköping","total","residential","4766",2005
"0682 Nässjö","one- or two dwelling buildings","residential","711",2005
"0682 Nässjö","multi-dwelling and commercial buildings","residential","417",2005
"0682 Nässjö","industrial buildings","residential",NA,2005
"0682 Nässjö","total","residential","1128",2005
"0683 Värnamo","one- or two dwelling buildings","residential","716",2005
"0683 Värnamo","multi-dwelling and commercial buildings","residential","415",2005
"0683 Värnamo","industrial buildings","residential",NA,2005
"0683 Värnamo","total","residential","1131",2005
"0684 Sävsjö","one- or two dwelling buildings","residential","287",2005
"0684 Sävsjö","multi-dwelling and commercial buildings","residential","112",2005
"0684 Sävsjö","industrial buildings","residential",NA,2005
"0684 Sävsjö","total","residential","399",2005
"0685 Vetlanda","one- or two dwelling buildings","residential","670",2005
"0685 Vetlanda","multi-dwelling and commercial buildings","residential","295",2005
"0685 Vetlanda","industrial buildings","residential",NA,2005
"0685 Vetlanda","total","residential","965",2005
"0686 Eksjö","one- or two dwelling buildings","residential","415",2005
"0686 Eksjö","multi-dwelling and commercial buildings","residential","242",2005
"0686 Eksjö","industrial buildings","residential",NA,2005
"0686 Eksjö","total","residential","657",2005
"0687 Tranås","one- or two dwelling buildings","residential","371",2005
"0687 Tranås","multi-dwelling and commercial buildings","residential","340",2005
"0687 Tranås","industrial buildings","residential",NA,2005
"0687 Tranås","total","residential","711",2005
"0760 Uppvidinge","one- or two dwelling buildings","residential","278",2005
"0760 Uppvidinge","multi-dwelling and commercial buildings","residential","75",2005
"0760 Uppvidinge","industrial buildings","residential",NA,2005
"0760 Uppvidinge","total","residential","353",2005
"0761 Lessebo","one- or two dwelling buildings","residential","296",2005
"0761 Lessebo","multi-dwelling and commercial buildings","residential","70",2005
"0761 Lessebo","industrial buildings","residential",NA,2005
"0761 Lessebo","total","residential","366",2005
"0763 Tingsryd","one- or two dwelling buildings","residential","320",2005
"0763 Tingsryd","multi-dwelling and commercial buildings","residential","103",2005
"0763 Tingsryd","industrial buildings","residential",NA,2005
"0763 Tingsryd","total","residential","423",2005
"0764 Alvesta","one- or two dwelling buildings","residential","450",2005
"0764 Alvesta","multi-dwelling and commercial buildings","residential","154",2005
"0764 Alvesta","industrial buildings","residential",NA,2005
"0764 Alvesta","total","residential","604",2005
"0765 Älmhult","one- or two dwelling buildings","residential","360",2005
"0765 Älmhult","multi-dwelling and commercial buildings","residential","143",2005
"0765 Älmhult","industrial buildings","residential",NA,2005
"0765 Älmhult","total","residential","503",2005
"0767 Markaryd","one- or two dwelling buildings","residential","286",2005
"0767 Markaryd","multi-dwelling and commercial buildings","residential","101",2005
"0767 Markaryd","industrial buildings","residential",NA,2005
"0767 Markaryd","total","residential","387",2005
"0780 Växjö","one- or two dwelling buildings","residential","1680",2005
"0780 Växjö","multi-dwelling and commercial buildings","residential","1347",2005
"0780 Växjö","industrial buildings","residential",NA,2005
"0780 Växjö","total","residential","3027",2005
"0781 Ljungby","one- or two dwelling buildings","residential","585",2005
"0781 Ljungby","multi-dwelling and commercial buildings","residential","301",2005
"0781 Ljungby","industrial buildings","residential",NA,2005
"0781 Ljungby","total","residential","887",2005
"0821 Högsby","one- or two dwelling buildings","residential","192",2005
"0821 Högsby","multi-dwelling and commercial buildings","residential","33",2005
"0821 Högsby","industrial buildings","residential",NA,2005
"0821 Högsby","total","residential","225",2005
"0834 Torsås","one- or two dwelling buildings","residential","165",2005
"0834 Torsås","multi-dwelling and commercial buildings","residential","38",2005
"0834 Torsås","industrial buildings","residential",NA,2005
"0834 Torsås","total","residential","202",2005
"0840 Mörbylånga","one- or two dwelling buildings","residential","399",2005
"0840 Mörbylånga","multi-dwelling and commercial buildings","residential","58",2005
"0840 Mörbylånga","industrial buildings","residential",NA,2005
"0840 Mörbylånga","total","residential","457",2005
"0860 Hultsfred","one- or two dwelling buildings","residential","472",2005
"0860 Hultsfred","multi-dwelling and commercial buildings","residential","158",2005
"0860 Hultsfred","industrial buildings","residential",NA,2005
"0860 Hultsfred","total","residential","630",2005
"0861 Mönsterås","one- or two dwelling buildings","residential","346",2005
"0861 Mönsterås","multi-dwelling and commercial buildings","residential","110",2005
"0861 Mönsterås","industrial buildings","residential",NA,2005
"0861 Mönsterås","total","residential","455",2005
"0862 Emmaboda","one- or two dwelling buildings","residential","284",2005
"0862 Emmaboda","multi-dwelling and commercial buildings","residential","90",2005
"0862 Emmaboda","industrial buildings","residential",NA,2005
"0862 Emmaboda","total","residential","374",2005
"0880 Kalmar","one- or two dwelling buildings","residential","1224",2005
"0880 Kalmar","multi-dwelling and commercial buildings","residential","1135",2005
"0880 Kalmar","industrial buildings","residential",NA,2005
"0880 Kalmar","total","residential","2359",2005
"0881 Nybro","one- or two dwelling buildings","residential","491",2005
"0881 Nybro","multi-dwelling and commercial buildings","residential","257",2005
"0881 Nybro","industrial buildings","residential",NA,2005
"0881 Nybro","total","residential","747",2005
"0882 Oskarshamn","one- or two dwelling buildings","residential","620",2005
"0882 Oskarshamn","multi-dwelling and commercial buildings","residential","407",2005
"0882 Oskarshamn","industrial buildings","residential",NA,2005
"0882 Oskarshamn","total","residential","1026",2005
"0883 Västervik","one- or two dwelling buildings","residential","780",2005
"0883 Västervik","multi-dwelling and commercial buildings","residential","584",2005
"0883 Västervik","industrial buildings","residential",NA,2005
"0883 Västervik","total","residential","1364",2005
"0884 Vimmerby","one- or two dwelling buildings","residential","356",2005
"0884 Vimmerby","multi-dwelling and commercial buildings","residential","167",2005
"0884 Vimmerby","industrial buildings","residential",NA,2005
"0884 Vimmerby","total","residential","523",2005
"0885 Borgholm","one- or two dwelling buildings","residential","195",2005
"0885 Borgholm","multi-dwelling and commercial buildings","residential","80",2005
"0885 Borgholm","industrial buildings","residential",NA,2005
"0885 Borgholm","total","residential","276",2005
"0980 Gotland","one- or two dwelling buildings","residential","876",2005
"0980 Gotland","multi-dwelling and commercial buildings","residential","584",2005
"0980 Gotland","industrial buildings","residential",NA,2005
"0980 Gotland","total","residential","1460",2005
"1060 Olofström","one- or two dwelling buildings","residential","339",2005
"1060 Olofström","multi-dwelling and commercial buildings","residential","154",2005
"1060 Olofström","industrial buildings","residential",NA,2005
"1060 Olofström","total","residential","493",2005
"1080 Karlskrona","one- or two dwelling buildings","residential","1266",2005
"1080 Karlskrona","multi-dwelling and commercial buildings","residential","957",2005
"1080 Karlskrona","industrial buildings","residential",NA,2005
"1080 Karlskrona","total","residential","2223",2005
"1081 Ronneby","one- or two dwelling buildings","residential","678",2005
"1081 Ronneby","multi-dwelling and commercial buildings","residential","320",2005
"1081 Ronneby","industrial buildings","residential",NA,2005
"1081 Ronneby","total","residential","998",2005
"1082 Karlshamn","one- or two dwelling buildings","residential","768",2005
"1082 Karlshamn","multi-dwelling and commercial buildings","residential","440",2005
"1082 Karlshamn","industrial buildings","residential",NA,2005
"1082 Karlshamn","total","residential","1208",2005
"1083 Sölvesborg","one- or two dwelling buildings","residential","482",2005
"1083 Sölvesborg","multi-dwelling and commercial buildings","residential","145",2005
"1083 Sölvesborg","industrial buildings","residential",NA,2005
"1083 Sölvesborg","total","residential","627",2005
"1214 Svalöv","one- or two dwelling buildings","residential","317",2005
"1214 Svalöv","multi-dwelling and commercial buildings","residential","77",2005
"1214 Svalöv","industrial buildings","residential",NA,2005
"1214 Svalöv","total","residential","394",2005
"1230 Staffanstorp","one- or two dwelling buildings","residential","652",2005
"1230 Staffanstorp","multi-dwelling and commercial buildings","residential","177",2005
"1230 Staffanstorp","industrial buildings","residential",NA,2005
"1230 Staffanstorp","total","residential","829",2005
"1231 Burlöv","one- or two dwelling buildings","residential","374",2005
"1231 Burlöv","multi-dwelling and commercial buildings","residential","261",2005
"1231 Burlöv","industrial buildings","residential",NA,2005
"1231 Burlöv","total","residential","635",2005
"1233 Vellinge","one- or two dwelling buildings","residential","1510",2005
"1233 Vellinge","multi-dwelling and commercial buildings","residential","167",2005
"1233 Vellinge","industrial buildings","residential",NA,2005
"1233 Vellinge","total","residential","1677",2005
"1256 Östra Göinge","one- or two dwelling buildings","residential","413",2005
"1256 Östra Göinge","multi-dwelling and commercial buildings","residential","123",2005
"1256 Östra Göinge","industrial buildings","residential",NA,2005
"1256 Östra Göinge","total","residential","536",2005
"1257 Örkelljunga","one- or two dwelling buildings","residential","240",2005
"1257 Örkelljunga","multi-dwelling and commercial buildings","residential","84",2005
"1257 Örkelljunga","industrial buildings","residential",NA,2005
"1257 Örkelljunga","total","residential","324",2005
"1260 Bjuv","one- or two dwelling buildings","residential","470",2005
"1260 Bjuv","multi-dwelling and commercial buildings","residential","113",2005
"1260 Bjuv","industrial buildings","residential",NA,2005
"1260 Bjuv","total","residential","583",2005
"1261 Kävlinge","one- or two dwelling buildings","residential","906",2005
"1261 Kävlinge","multi-dwelling and commercial buildings","residential","198",2005
"1261 Kävlinge","industrial buildings","residential",NA,2005
"1261 Kävlinge","total","residential","1104",2005
"1262 Lomma","one- or two dwelling buildings","residential","713",2005
"1262 Lomma","multi-dwelling and commercial buildings","residential","145",2005
"1262 Lomma","industrial buildings","residential",NA,2005
"1262 Lomma","total","residential","858",2005
"1263 Svedala","one- or two dwelling buildings","residential","548",2005
"1263 Svedala","multi-dwelling and commercial buildings","residential","131",2005
"1263 Svedala","industrial buildings","residential",NA,2005
"1263 Svedala","total","residential","679",2005
"1264 Skurup","one- or two dwelling buildings","residential","411",2005
"1264 Skurup","multi-dwelling and commercial buildings","residential","81",2005
"1264 Skurup","industrial buildings","residential",NA,2005
"1264 Skurup","total","residential","491",2005
"1265 Sjöbo","one- or two dwelling buildings","residential","451",2005
"1265 Sjöbo","multi-dwelling and commercial buildings","residential","84",2005
"1265 Sjöbo","industrial buildings","residential",NA,2005
"1265 Sjöbo","total","residential","536",2005
"1266 Hörby","one- or two dwelling buildings","residential","274",2005
"1266 Hörby","multi-dwelling and commercial buildings","residential","103",2005
"1266 Hörby","industrial buildings","residential",NA,2005
"1266 Hörby","total","residential","377",2005
"1267 Höör","one- or two dwelling buildings","residential","417",2005
"1267 Höör","multi-dwelling and commercial buildings","residential","92",2005
"1267 Höör","industrial buildings","residential",NA,2005
"1267 Höör","total","residential","508",2005
"1270 Tomelilla","one- or two dwelling buildings","residential","305",2005
"1270 Tomelilla","multi-dwelling and commercial buildings","residential","108",2005
"1270 Tomelilla","industrial buildings","residential",NA,2005
"1270 Tomelilla","total","residential","413",2005
"1272 Bromölla","one- or two dwelling buildings","residential","372",2005
"1272 Bromölla","multi-dwelling and commercial buildings","residential","96",2005
"1272 Bromölla","industrial buildings","residential",NA,2005
"1272 Bromölla","total","residential","468",2005
"1273 Osby","one- or two dwelling buildings","residential","358",2005
"1273 Osby","multi-dwelling and commercial buildings","residential","116",2005
"1273 Osby","industrial buildings","residential",NA,2005
"1273 Osby","total","residential","475",2005
"1275 Perstorp","one- or two dwelling buildings","residential","154",2005
"1275 Perstorp","multi-dwelling and commercial buildings","residential","103",2005
"1275 Perstorp","industrial buildings","residential",NA,2005
"1275 Perstorp","total","residential","257",2005
"1276 Klippan","one- or two dwelling buildings","residential","395",2005
"1276 Klippan","multi-dwelling and commercial buildings","residential","186",2005
"1276 Klippan","industrial buildings","residential",NA,2005
"1276 Klippan","total","residential","581",2005
"1277 Åstorp","one- or two dwelling buildings","residential","425",2005
"1277 Åstorp","multi-dwelling and commercial buildings","residential","139",2005
