"region","type of property","variable","value","year"
"0330 Knivsta","multi-dwelling and commercial buildings","residential",NA,2000
"0330 Knivsta","industrial buildings","residential",NA,2000
"0330 Knivsta","total","residential",NA,2000
"0331 Heby","one- or two dwelling buildings","residential",NA,2000
"0331 Heby","multi-dwelling and commercial buildings","residential",NA,2000
"0331 Heby","industrial buildings","residential",NA,2000
"0331 Heby","total","residential",NA,2000
"0360 Tierp","one- or two dwelling buildings","residential","380",2000
"0360 Tierp","multi-dwelling and commercial buildings","residential","207",2000
"0360 Tierp","industrial buildings","residential",NA,2000
"0360 Tierp","total","residential","587",2000
"0380 Uppsala","one- or two dwelling buildings","residential","2064",2000
"0380 Uppsala","multi-dwelling and commercial buildings","residential","3909",2000
"0380 Uppsala","industrial buildings","residential",NA,2000
"0380 Uppsala","total","residential","5973",2000
"0381 Enköping","one- or two dwelling buildings","residential","519",2000
"0381 Enköping","multi-dwelling and commercial buildings","residential","513",2000
"0381 Enköping","industrial buildings","residential",NA,2000
"0381 Enköping","total","residential","1032",2000
"0382 Östhammar","one- or two dwelling buildings","residential","445",2000
"0382 Östhammar","multi-dwelling and commercial buildings","residential","222",2000
"0382 Östhammar","industrial buildings","residential",NA,2000
"0382 Östhammar","total","residential","666",2000
"0428 Vingåker","one- or two dwelling buildings","residential","186",2000
"0428 Vingåker","multi-dwelling and commercial buildings","residential","107",2000
"0428 Vingåker","industrial buildings","residential",NA,2000
"0428 Vingåker","total","residential","292",2000
"0461 Gnesta","one- or two dwelling buildings","residential","175",2000
"0461 Gnesta","multi-dwelling and commercial buildings","residential","97",2000
"0461 Gnesta","industrial buildings","residential",NA,2000
"0461 Gnesta","total","residential","272",2000
"0480 Nyköping","one- or two dwelling buildings","residential","783",2000
"0480 Nyköping","multi-dwelling and commercial buildings","residential","921",2000
"0480 Nyköping","industrial buildings","residential",NA,2000
"0480 Nyköping","total","residential","1704",2000
"0481 Oxelösund","one- or two dwelling buildings","residential","275",2000
"0481 Oxelösund","multi-dwelling and commercial buildings","residential","211",2000
"0481 Oxelösund","industrial buildings","residential",NA,2000
"0481 Oxelösund","total","residential","486",2000
"0482 Flen","one- or two dwelling buildings","residential","349",2000
"0482 Flen","multi-dwelling and commercial buildings","residential","243",2000
"0482 Flen","industrial buildings","residential",NA,2000
"0482 Flen","total","residential","592",2000
"0483 Katrineholm","one- or two dwelling buildings","residential","571",2000
"0483 Katrineholm","multi-dwelling and commercial buildings","residential","553",2000
"0483 Katrineholm","industrial buildings","residential",NA,2000
"0483 Katrineholm","total","residential","1124",2000
"0484 Eskilstuna","one- or two dwelling buildings","residential","1390",2000
"0484 Eskilstuna","multi-dwelling and commercial buildings","residential","1959",2000
"0484 Eskilstuna","industrial buildings","residential",NA,2000
"0484 Eskilstuna","total","residential","3349",2000
"0486 Strängnäs","one- or two dwelling buildings","residential","521",2000
"0486 Strängnäs","multi-dwelling and commercial buildings","residential","455",2000
"0486 Strängnäs","industrial buildings","residential",NA,2000
"0486 Strängnäs","total","residential","976",2000
