"nuts","year","type","nuts2021","nuts2016","variable","value"
191,2009,"house","EE009","EE006","price_m2",975.90887597177
191,2010,"house","EE009","EE006","price_m2",802.24823537854
191,2011,"house","EE009","EE006","price_m2",689.31554885779
191,2012,"house","EE009","EE006","price_m2",712.754408324361
191,2013,"house","EE009","EE006","price_m2",776.678570505918
191,2014,"house","EE009","EE006","price_m2",753.239711039347
191,2015,"house","EE009","EE006","price_m2",738.324073196983
191,2016,"house","EE009","EE006","price_m2",787.332597536177
191,2017,"house","EE009","EE006","price_m2",876.826424590357
191,2018,"house","EE009","EE006","price_m2",873.630216481279
191,2019,"house","EE009","EE006","price_m2",1142.11169764382
191,2020,"house","EE009","EE006","price_m2",878.957229996409
191,2021,"house","EE009","EE006","price_m2",923.704143523499
191,2022,"house","EE009","EE006","price_m2",923.704143523499
191,2023,"house","EE009","EE006","price_m2",1351.99603013993
191,2024,"house","EE009","EE006","price_m2",1623.67371941155
191,2025,"house","EE009","EE006","price_m2",1629.00073292668
198,2007,"house","EE001","EE001","price_m2",1254.86370105345
198,2008,"house","EE001","EE001","price_m2",1015.0377985641
198,2009,"house","EE001","EE001","price_m2",777.745268284136
198,2010,"house","EE001","EE001","price_m2",701.744102002299
198,2011,"house","EE001","EE001","price_m2",718.633250064929
198,2012,"house","EE001","EE001","price_m2",716.944335258666
198,2013,"house","EE001","EE001","price_m2",754.100460996454
198,2014,"house","EE001","EE001","price_m2",820.812595843844
198,2015,"house","EE001","EE001","price_m2",874.857869644262
198,2016,"house","EE001","EE001","price_m2",955.925780344888
198,2017,"house","EE001","EE001","price_m2",1006.59322453278
198,2018,"house","EE001","EE001","price_m2",1047.97163728622
198,2019,"house","EE001","EE001","price_m2",1024.32682999854
198,2020,"house","EE001","EE001","price_m2",1222.77431973445
198,2021,"house","EE001","EE001","price_m2",1454.15564819249
198,2022,"house","EE001","EE001","price_m2",1828.25027777976
198,2023,"house","EE001","EE001","price_m2",1948.16322902443
198,2024,"house","EE001","EE001","price_m2",1965.05237708706
198,2025,"house","EE001","EE001","price_m2",1949.00768642756
205,2007,"house","EE004","EE004","price_m2",1192.18002495276
205,2008,"house","EE004","EE004","price_m2",1193.20865310199
205,2009,"house","EE004","EE004","price_m2",1193.20865310199
205,2010,"house","EE004","EE004","price_m2",656.264759206092
205,2011,"house","EE004","EE004","price_m2",841.417826066745
205,2012,"house","EE004","EE004","price_m2",566.774110223443
205,2013,"house","EE004","EE004","price_m2",391.907324855049
205,2014,"house","EE004","EE004","price_m2",545.1729190897
205,2015,"house","EE004","EE004","price_m2",647.00710586306
205,2016,"house","EE004","EE004","price_m2",645.978477713834
205,2017,"house","EE004","EE004","price_m2",817.759378634551
205,2018,"house","EE004","EE004","price_m2",929.879846900168
205,2019,"house","EE004","EE004","price_m2",684.03771923519
205,2020,"house","EE004","EE004","price_m2",768.38522747171
205,2021,"house","EE004","EE004","price_m2",936.051615795524
205,2022,"house","EE004","EE004","price_m2",936.051615795524
205,2023,"house","EE004","EE004","price_m2",1382.47623255954
205,2024,"house","EE004","EE004","price_m2",1835.07261821892
205,2025,"house","EE004","EE004","price_m2",1982.16644355821
214,2007,"house","EE004","EE004","price_m2",1215.02371362338
214,2008,"house","EE004","EE004","price_m2",973.03149066006
214,2009,"house","EE004","EE004","price_m2",775.59013719626
214,2010,"house","EE004","EE004","price_m2",700.663674856151
214,2011,"house","EE004","EE004","price_m2",661.175404163391
214,2012,"house","EE004","EE004","price_m2",665.225483208803
214,2013,"house","EE004","EE004","price_m2",547.773190891876
214,2014,"house","EE004","EE004","price_m2",532.585394471583
