"year","NUTS 3 CODE 2021","vald_clean","vald","type","LAU CODE","NUTS 3 CODE 2016","number","median_price_final","average_price_final"
2003,"EE009","jarva vald","Järva vald","house",255,"EE006",18,39.9,56.4
2003,"EE009","kadrina vald","Kadrina vald","house",272,"EE006",6,67.59,111.41
2003,"EE009","kehtna vald","Kehtna vald","house",293,"EE006",10,104.4,132.86
2003,"EE009","kohila vald","Kohila vald","house",317,"EE006",7,304.1,275.11
2003,"EE009","marjamaa vald","Märjamaa vald","house",503,"EE006",10,69.73,66.65
2003,"EE009","paide linn","Paide linn","house",567,"EE006",12,158.88,135.61
2003,"EE009","rakvere linn","Rakvere linn","house",663,"EE006",25,219.13,261.75
2003,"EE009","rakvere vald","Rakvere vald","house",661,"EE006",5,76.8,97.1
2003,"EE009","rapla vald","Rapla vald","house",668,"EE006",11,240.6,276.24
2003,"EE009","tapa vald","Tapa vald","house",792,"EE006",20,110.24,124.64
2003,"EE009","turi vald","Türi vald","house",834,"EE006",22,120.3,117.31
2003,"EE009","vaikemaarja vald","Väike-Maarja vald","house",928,"EE006",5,58,56.53
2003,"EE009","vinni vald","Vinni vald","house",901,"EE006",11,32.33,55.06
2003,"EE009","virunigula vald","Viru-Nigula vald","house",903,"EE006",7,38.39,104.78
2003,"EE00A","alutaguse vald","Alutaguse vald","house",130,"EE007",8,60.24,58.16
2003,"EE00A","johvi vald","Jõhvi vald","house",251,"EE007",28,122.38,149.54
2003,"EE00A","kohtlajarve linn","Kohtla-Järve linn","house",321,"EE007",11,31.64,81.03
2003,"EE00A","luganuse vald","Lüganuse vald","house",442,"EE007",9,54.3,45.86
2003,"EE00A","narva linn","Narva linn","house",511,"EE007",9,204.23,191.99
2003,"EE00A","narvajoesuu linn","Narva-Jõesuu linn","house",514,"EE007",7,75.37,162.24
2003,"EE00A","sillamae linn","Sillamäe linn","house",735,"EE007",1,75.37,110.477142857143
2003,"EE00A","toila vald","Toila vald","house",803,"EE007",15,78.9733333333333,84.52
2004,"EE001","anija vald","Anija vald","house",141,"EE001",24,357.38,432.4
2004,"EE001","harku vald","Harku vald","house",198,"EE001",23,452.52,568.46
2004,"EE001","joelahtme vald","Jõelähtme vald","house",245,"EE001",17,563.5,763.57
2004,"EE001","keila linn","Keila linn","house",296,"EE001",15,430.07,405.07
2004,"EE001","kiili vald","Kiili vald","house",304,"EE001",8,429.26,452.96
2004,"EE001","kose vald","Kose vald","house",338,"EE001",13,235.72,287.77
2004,"EE001","kuusalu vald","Kuusalu vald","house",353,"EE001",17,313.24,399
2004,"EE001","laaneharju vald","Lääne-Harju vald","house",431,"EE001",22,274.55,364.98
2004,"EE001","loksa linn","Loksa linn","house",424,"EE001",3,310.786441365783,353.159217712459
2004,"EE001","maardu linn","Maardu linn","house",446,"EE001",19,657.81,550.32
2004,"EE001","raasiku vald","Raasiku vald","house",651,"EE001",17,395.79,395.98
2004,"EE001","rae vald","Rae vald","house",653,"EE001",24,408.41,468.03
2004,"EE001","saku vald","Saku vald","house",718,"EE001",14,296.72,368.48
2004,"EE001","saue vald","Saue vald","house",726,"EE001",65,424,494.41
2004,"EE001","tallinn","Tallinn","house",784,"EE001",336,720.61,858.27
2004,"EE001","viimsi vald","Viimsi vald","house",890,"EE001",75,627.77,643.21
2004,"EE004","haademeeste vald","Häädemeeste vald","house",214,"EE004",16,164.4,289.67
2004,"EE004","haapsalu linn","Haapsalu linn","house",184,"EE004",26,379.82,361.44
2004,"EE004","hiiumaa vald","Hiiumaa vald","house",205,"EE004",29,187.35,235.6
2004,"EE004","kihnu vald","Kihnu vald","house",303,"EE004",NA,187.35,270.854545454545
2004,"EE004","laanenigula vald","Lääne-Nigula vald","house",441,"EE004",9,63.15,83.61
2004,"EE004","laaneranna vald","Lääneranna vald","house",430,"EE004",9,50.13,108.03
2004,"EE004","muhu vald","Muhu vald","house",478,"EE004",6,353.35,532.36
2004,"EE004","parnu linn","Pärnu linn","house",624,"EE004",107,418.64,478.4
2004,"EE004","pohjaparnumaa vald","Põhja-Pärnumaa vald","house",638,"EE004",18,151.14,138.07
2004,"EE004","ruhnu vald","Ruhnu vald","house",689,"EE004",NA,187.35,270.854545454545
2004,"EE004","saarde vald","Saarde vald","house",712,"EE004",24,120.57,127.31
2004,"EE004","saaremaa vald","Saaremaa vald","house",714,"EE004",82,220.76,293.41
2004,"EE004","tori vald","Tori vald","house",809,"EE004",28,325.27,331.5
2004,"EE004","vormsi vald","Vormsi vald","house",907,"EE004",1,242.763837248569,329.994872480571
2004,"EE008","antsla vald","Antsla vald","house",142,"EE008",5,109,135.34
2004,"EE008","elva vald","Elva vald","house",171,"EE008",42,186.95,207.47
2004,"EE008","jogeva vald","Jõgeva vald","house",247,"EE008",34,82.83,105.05
2004,"EE008","kambja vald","Kambja vald","house",283,"EE008",21,256.05,390.09
2004,"EE008","kanepi vald","Kanepi vald","house",284,"EE008",11,118.14,141.13
2004,"EE008","kastre vald","Kastre vald","house",291,"EE008",4,239.05,260.655
2004,"EE008","luunja vald","Luunja vald","house",432,"EE008",5,200.56,245.33
2004,"EE008","mulgi vald","Mulgi vald","house",480,"EE008",20,58.79,74.55
2004,"EE008","mustvee vald","Mustvee vald","house",486,"EE008",22,91.06,121.71
2004,"EE008","noo vald","Nõo vald","house",528,"EE008",13,206.51,248.63
2004,"EE008","otepaa vald","Otepää vald","house",557,"EE008",NA,139.640287244401,193.122647815343
2004,"EE008","peipsiaare vald","Peipsiääre vald","house",586,"EE008",18,84.19,140.39
2004,"EE008","pohjasakala vald","Põhja-Sakala vald","house",615,"EE008",20,67.94,86.26
2004,"EE008","poltsamaa vald","Põltsamaa vald","house",618,"EE008",21,69.12,78.56
2004,"EE008","polva vald","Põlva vald","house",622,"EE008",22,81.19,121.46
2004,"EE008","rapina vald","Räpina vald","house",708,"EE008",14,73.19,99.89
2004,"EE008","rouge vald","Rõuge vald","house",698,"EE008",11,104.99,125.96
2004,"EE008","setomaa vald","Setomaa vald","house",732,"EE008",10,36.76,46.06
2004,"EE008","tartu linn","Tartu linn","house",793,"EE008",145,382.67,420.63
2004,"EE008","tartu vald","Tartu vald","house",796,"EE008",12,192.47,229.52
2004,"EE008","torva vald","Tõrva vald","house",824,"EE008",NA,153.095260467381,147.790177618509
2004,"EE008","valga vald","Valga vald","house",855,"EE008",NA,96.1669474196689,141.274186607088
2004,"EE008","viljandi linn","Viljandi linn","house",897,"EE008",61,252.89,314.7
2004,"EE008","viljandi vald","Viljandi vald","house",899,"EE008",32,62.81,104.61
2004,"EE008","voru linn","Võru linn","house",919,"EE008",31,204.28,221.34
2004,"EE008","voru vald","Võru vald","house",917,"EE008",15,71.49,118.35
2004,"EE009","haljala vald","Haljala vald","house",191,"EE006",22,268.5,305.56
2004,"EE009","jarva vald","Järva vald","house",255,"EE006",18,52.33,78.11
2004,"EE009","kadrina vald","Kadrina vald","house",272,"EE006",12,189.18,178.58
2004,"EE009","kehtna vald","Kehtna vald","house",293,"EE006",15,134.55,168.83
2004,"EE009","kohila vald","Kohila vald","house",317,"EE006",26,227.79,349.67
2004,"EE009","marjamaa vald","Märjamaa vald","house",503,"EE006",31,132.71,175.44
2004,"EE009","paide linn","Paide linn","house",567,"EE006",30,174.36,226.54
2004,"EE009","rakvere linn","Rakvere linn","house",663,"EE006",42,280.49,284.94
