"source_file","year","price_m2","advertisments_sum","actives_sum","parish","type","typev2"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2014,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2015,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2016,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2017,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2018,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2019,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2020,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2021,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2022,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2023,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2024,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Haljala vald VS Haljala vald.pdf",2025,NA,0,0,"Haljala vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2005,NA,0,0,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2006,NA,0,0,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2007,9,22,3,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2008,7,60,49,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2009,5,85,72,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2010,4,18,15,"Harku vald","house","rent"
