nuts,type,value,indicator,year
BG423,house,851,nbscrapes,2019
BG411,house,3143,nbscrapes,2019
BG411,flat,10983,nbscrapes,2019
BG415,house,296,nbscrapes,2019
BG413,house,436,nbscrapes,2019
BG414,house,985,nbscrapes,2019
CY000,flat,2541,nbscrapes,2019
CY000,house,3702,nbscrapes,2019
CZ010,flat,1915,nbscrapes,2019
CZ010,house,340,nbscrapes,2019
CZ020,flat,891,nbscrapes,2019
CZ020,house,2302,nbscrapes,2019
CZ031,flat,413,nbscrapes,2019
CZ031,house,958,nbscrapes,2019
CZ032,flat,477,nbscrapes,2019
CZ032,house,846,nbscrapes,2019
CZ041,flat,883,nbscrapes,2019
CZ041,house,555,nbscrapes,2019
CZ042,flat,1000,nbscrapes,2019
CZ042,house,1045,nbscrapes,2019
CZ051,flat,316,nbscrapes,2019
CZ051,house,564,nbscrapes,2019
CZ052,flat,340,nbscrapes,2019
CZ052,house,653,nbscrapes,2019
CZ053,flat,296,nbscrapes,2019
CZ053,house,564,nbscrapes,2019
CZ063,flat,199,nbscrapes,2019
CZ063,house,536,nbscrapes,2019
CZ064,flat,776,nbscrapes,2019
CZ064,house,1122,nbscrapes,2019
CZ071,flat,442,nbscrapes,2019
CZ071,house,691,nbscrapes,2019
CZ072,flat,248,nbscrapes,2019
CZ072,house,542,nbscrapes,2019
CZ080,flat,1121,nbscrapes,2019
CZ080,house,1077,nbscrapes,2019
DE265,house,146,nbscrapes,2019
DE80J,house,369,nbscrapes,2019
DE914,house,310,nbscrapes,2019
DE94C,flat,62,nbscrapes,2019
DEG0D,house,50,nbscrapes,2019
DEA46,house,379,nbscrapes,2019
DEB35,flat,155,nbscrapes,2019
DEG0H,house,33,nbscrapes,2019
DE721,flat,73,nbscrapes,2019
DE129,flat,210,nbscrapes,2019
DE300,house,789,nbscrapes,2019
DEE0D,house,111,nbscrapes,2019
DEB32,flat,49,nbscrapes,2019
DE251,flat,32,nbscrapes,2019
DE112,flat,342,nbscrapes,2019
DE229,flat,52,nbscrapes,2019
DE300,flat,3986,nbscrapes,2019
DE126,flat,316,nbscrapes,2019
DEA33,flat,148,nbscrapes,2019
DE80L,flat,250,nbscrapes,2019
DE212,flat,1725,nbscrapes,2019
DE222,flat,71,nbscrapes,2019
DE24D,flat,29,nbscrapes,2019
DE211,flat,235,nbscrapes,2019
DE21D,flat,74,nbscrapes,2019
DE232,flat,165,nbscrapes,2019
DED2C,house,348,nbscrapes,2019
DE13A,flat,227,nbscrapes,2019
DE80O,house,357,nbscrapes,2019
DE122,flat,152,nbscrapes,2019
DE241,flat,40,nbscrapes,2019
DED21,flat,614,nbscrapes,2019
DEA2D,flat,307,nbscrapes,2019
DE711,flat,51,nbscrapes,2019
DE80K,flat,105,nbscrapes,2019
DE242,flat,73,nbscrapes,2019
DEA27,flat,284,nbscrapes,2019
DE114,flat,194,nbscrapes,2019
DE221,flat,107,nbscrapes,2019
DED2E,flat,155,nbscrapes,2019
DEA16,flat,128,nbscrapes,2019
DE219,flat,73,nbscrapes,2019
DE134,flat,331,nbscrapes,2019
DED42,house,313,nbscrapes,2019
DE408,flat,35,nbscrapes,2019
DED43,flat,131,nbscrapes,2019
DEB18,flat,42,nbscrapes,2019
DE916,flat,142,nbscrapes,2019
DED52,flat,190,nbscrapes,2019
DE131,flat,251,nbscrapes,2019
DE271,flat,308,nbscrapes,2019
DE21K,flat,188,nbscrapes,2019
DE125,flat,92,nbscrapes,2019
DEB21,flat,50,nbscrapes,2019
DEA22,flat,268,nbscrapes,2019
DEB23,flat,12,nbscrapes,2019
DE141,flat,206,nbscrapes,2019
DE113,flat,348,nbscrapes,2019
DE261,flat,73,nbscrapes,2019
DE71C,flat,210,nbscrapes,2019
DE118,flat,227,nbscrapes,2019
DE944,flat,62,nbscrapes,2019
DEF0F,flat,74,nbscrapes,2019
DEA41,flat,201,nbscrapes,2019
DE133,flat,113,nbscrapes,2019
DEF08,flat,173,nbscrapes,2019
DE722,flat,55,nbscrapes,2019
DE80N,house,340,nbscrapes,2019
DE21E,flat,63,nbscrapes,2019
DEA2A,house,503,nbscrapes,2019
DE234,flat,19,nbscrapes,2019
DE224,flat,102,nbscrapes,2019
DE94A,flat,50,nbscrapes,2019
DEA11,flat,495,nbscrapes,2019
DE40C,house,89,nbscrapes,2019
DEA52,flat,314,nbscrapes,2019
DE244,flat,42,nbscrapes,2019
DEF07,flat,184,nbscrapes,2019
DE116,flat,363,nbscrapes,2019
DEB31,flat,50,nbscrapes,2019
DEG0P,flat,10,nbscrapes,2019
DEA13,flat,369,nbscrapes,2019
DEC01,flat,161,nbscrapes,2019
DEA1A,flat,422,nbscrapes,2019
DEG01,house,40,nbscrapes,2019
DE246,flat,40,nbscrapes,2019
DEA53,flat,93,nbscrapes,2019
DE94G,flat,28,nbscrapes,2019
DED51,flat,1128,nbscrapes,2019
DE932,flat,91,nbscrapes,2019
DE111,flat,471,nbscrapes,2019
DED41,flat,468,nbscrapes,2019
DE143,flat,77,nbscrapes,2019
DE215,flat,103,nbscrapes,2019
DEF0A,house,196,nbscrapes,2019
DEA23,flat,686,nbscrapes,2019
DE80K,house,328,nbscrapes,2019
DEG0I,house,60,nbscrapes,2019
DEC05,flat,59,nbscrapes,2019
DE11D,flat,181,nbscrapes,2019
DE253,flat,230,nbscrapes,2019
DEA51,flat,117,nbscrapes,2019
DEB34,flat,124,nbscrapes,2019
DE276,flat,211,nbscrapes,2019
DE235,flat,61,nbscrapes,2019
DE263,flat,99,nbscrapes,2019
DE254,flat,660,nbscrapes,2019
DE929,flat,689,nbscrapes,2019
DE40G,flat,24,nbscrapes,2019
DE501,flat,264,nbscrapes,2019
DE21C,flat,182,nbscrapes,2019
DE136,flat,213,nbscrapes,2019
DEA1C,flat,379,nbscrapes,2019
DEA1F,flat,219,nbscrapes,2019
DE80L,house,358,nbscrapes,2019
DE712,flat,415,nbscrapes,2019
DE115,flat,562,nbscrapes,2019
DE947,flat,104,nbscrapes,2019
DEA29,flat,89,nbscrapes,2019
DEG0L,flat,28,nbscrapes,2019
DEG0L,house,98,nbscrapes,2019
DEG09,flat,27,nbscrapes,2019
DE149,flat,96,nbscrapes,2019
DED2F,house,282,nbscrapes,2019
DE80M,house,250,nbscrapes,2019
DEA14,flat,212,nbscrapes,2019
DE405,house,200,nbscrapes,2019
DEB39,flat,74,nbscrapes,2019
DEB33,flat,26,nbscrapes,2019
DED21,house,117,nbscrapes,2019
DED43,house,297,nbscrapes,2019
DE502,flat,71,nbscrapes,2019
DE713,flat,93,nbscrapes,2019
DE943,flat,79,nbscrapes,2019
DED45,flat,216,nbscrapes,2019
DE717,flat,72,nbscrapes,2019
DE935,flat,47,nbscrapes,2019
DE148,flat,196,nbscrapes,2019
DE40A,house,272,nbscrapes,2019
DE252,flat,165,nbscrapes,2019
DE142,flat,126,nbscrapes,2019
DE123,flat,255,nbscrapes,2019
DEG0I,flat,16,nbscrapes,2019
DEE02,flat,86,nbscrapes,2019
DE23A,flat,21,nbscrapes,2019
DEE09,flat,76,nbscrapes,2019
DE238,flat,70,nbscrapes,2019
DE228,flat,210,nbscrapes,2019
DEE0B,flat,60,nbscrapes,2019
DE937,flat,14,nbscrapes,2019
DE718,flat,144,nbscrapes,2019
DEA15,flat,211,nbscrapes,2019
DEB3B,flat,56,nbscrapes,2019
DE719,house,573,nbscrapes,2019
DE402,house,38,nbscrapes,2019
DEA26,flat,92,nbscrapes,2019
DE259,flat,164,nbscrapes,2019
DE94G,house,174,nbscrapes,2019
DE235,house,149,nbscrapes,2019
DEA1D,flat,266,nbscrapes,2019
DE91C,flat,80,nbscrapes,2019
DE932,house,369,nbscrapes,2019
DE27A,flat,77,nbscrapes,2019
DE237,house,108,nbscrapes,2019
