nuts,type,value,indicator,year
DE934,flat,8,nbscrapes,2019
DEG0N,house,14,nbscrapes,2019
DE122,house,83,nbscrapes,2019
DE71E,house,499,nbscrapes,2019
DE737,house,209,nbscrapes,2019
DE276,house,645,nbscrapes,2019
DEE0D,flat,11,nbscrapes,2019
DE734,flat,35,nbscrapes,2019
DE939,house,313,nbscrapes,2019
DE113,house,245,nbscrapes,2019
DE127,house,238,nbscrapes,2019
DEG0A,flat,9,nbscrapes,2019
DE27D,house,91,nbscrapes,2019
DEB1D,house,160,nbscrapes,2019
DEC06,house,181,nbscrapes,2019
DEA44,flat,31,nbscrapes,2019
DEF0C,house,408,nbscrapes,2019
DED2D,house,326,nbscrapes,2019
DE938,house,163,nbscrapes,2019
DE25B,flat,41,nbscrapes,2019
DEB24,house,168,nbscrapes,2019
DEB1D,flat,12,nbscrapes,2019
DE21B,house,72,nbscrapes,2019
DED51,house,148,nbscrapes,2019
DE267,flat,24,nbscrapes,2019
DE215,house,49,nbscrapes,2019
DE732,house,151,nbscrapes,2019
DEA37,house,369,nbscrapes,2019
DEA58,house,506,nbscrapes,2019
DE91C,house,387,nbscrapes,2019
DEB25,house,382,nbscrapes,2019
DE254,house,189,nbscrapes,2019
DE714,house,133,nbscrapes,2019
DE148,house,165,nbscrapes,2019
DEB1A,house,221,nbscrapes,2019
DE407,house,84,nbscrapes,2019
DE941,flat,27,nbscrapes,2019
DE733,house,216,nbscrapes,2019
DEA59,flat,37,nbscrapes,2019
DE94H,house,188,nbscrapes,2019
DEA16,house,94,nbscrapes,2019
DE94A,house,203,nbscrapes,2019
DE21A,flat,40,nbscrapes,2019
DEB12,flat,34,nbscrapes,2019
DE243,flat,42,nbscrapes,2019
DE21L,flat,58,nbscrapes,2019
DE403,flat,36,nbscrapes,2019
DE735,flat,21,nbscrapes,2019
DEB1B,flat,48,nbscrapes,2019
DE948,flat,11,nbscrapes,2019
DE264,house,224,nbscrapes,2019
DE949,flat,27,nbscrapes,2019
DEA57,house,294,nbscrapes,2019
DEB11,house,49,nbscrapes,2019
DE94D,flat,17,nbscrapes,2019
DEA2B,house,305,nbscrapes,2019
DE734,house,374,nbscrapes,2019
DEB3F,house,366,nbscrapes,2019
DEA5C,house,322,nbscrapes,2019
DE238,house,111,nbscrapes,2019
DE12B,house,200,nbscrapes,2019
DEA52,house,218,nbscrapes,2019
DE936,flat,23,nbscrapes,2019
DE949,house,519,nbscrapes,2019
DE94B,flat,10,nbscrapes,2019
DE712,house,202,nbscrapes,2019
DE277,house,66,nbscrapes,2019
DEA36,house,405,nbscrapes,2019
DE71B,house,180,nbscrapes,2019
DE229,house,68,nbscrapes,2019
DE219,house,132,nbscrapes,2019
DE942,flat,30,nbscrapes,2019
DE11D,house,207,nbscrapes,2019
DEE0B,house,205,nbscrapes,2019
DE934,house,143,nbscrapes,2019
DEB34,house,133,nbscrapes,2019
DEB3C,house,264,nbscrapes,2019
DE942,house,111,nbscrapes,2019
DEA34,house,359,nbscrapes,2019
DEB15,flat,21,nbscrapes,2019
DE93A,house,150,nbscrapes,2019
DEA47,house,198,nbscrapes,2019
DE224,house,154,nbscrapes,2019
DE23A,house,69,nbscrapes,2019
DEG0E,flat,13,nbscrapes,2019
DE401,flat,7,nbscrapes,2019
DEG06,flat,5,nbscrapes,2019
DEF01,house,72,nbscrapes,2019
DE135,house,218,nbscrapes,2019
DE272,house,14,nbscrapes,2019
DEB3A,house,96,nbscrapes,2019
DEE08,house,190,nbscrapes,2019
DEA27,house,375,nbscrapes,2019
DEA12,house,247,nbscrapes,2019
DEA1B,house,545,nbscrapes,2019
DE937,house,236,nbscrapes,2019
DEG03,house,11,nbscrapes,2019
DE27A,house,48,nbscrapes,2019
DE723,house,403,nbscrapes,2019
DE116,house,271,nbscrapes,2019
DEG04,flat,14,nbscrapes,2019
DEF02,house,109,nbscrapes,2019
DEG0A,house,55,nbscrapes,2019
DEA2D,house,498,nbscrapes,2019
DEB3A,flat,21,nbscrapes,2019
DEF0D,house,376,nbscrapes,2019
DE94F,house,60,nbscrapes,2019
DE600,house,553,nbscrapes,2019
DE925,house,339,nbscrapes,2019
DE408,house,225,nbscrapes,2019
DE71D,house,215,nbscrapes,2019
DEB17,house,293,nbscrapes,2019
DEB21,house,95,nbscrapes,2019
DE736,house,273,nbscrapes,2019
DE928,house,259,nbscrapes,2019
DEG0M,house,80,nbscrapes,2019
DEA14,house,194,nbscrapes,2019
DEC01,house,357,nbscrapes,2019
DE926,house,154,nbscrapes,2019
DE239,house,170,nbscrapes,2019
DE271,house,95,nbscrapes,2019
DE25B,house,104,nbscrapes,2019
DE253,house,48,nbscrapes,2019
DE227,house,101,nbscrapes,2019
DE266,flat,14,nbscrapes,2019
DEA1D,house,350,nbscrapes,2019
DEA1C,house,365,nbscrapes,2019
DE407,flat,2,nbscrapes,2019
DEA51,house,117,nbscrapes,2019
DEF09,house,431,nbscrapes,2019
DE142,house,105,nbscrapes,2019
DEA56,house,261,nbscrapes,2019
DEF0E,house,254,nbscrapes,2019
DE149,house,185,nbscrapes,2019
DE242,house,29,nbscrapes,2019
DE91B,house,150,nbscrapes,2019
DE22A,house,112,nbscrapes,2019
DEF04,house,70,nbscrapes,2019
DEA38,house,190,nbscrapes,2019
DEA13,house,202,nbscrapes,2019
DEC03,house,271,nbscrapes,2019
DEB3G,house,266,nbscrapes,2019
DE248,house,121,nbscrapes,2019
DEE0C,house,214,nbscrapes,2019
DEA54,house,74,nbscrapes,2019
DE916,house,282,nbscrapes,2019
DE143,house,206,nbscrapes,2019
DE131,house,56,nbscrapes,2019
DE13A,house,258,nbscrapes,2019
DE11A,house,175,nbscrapes,2019
DE222,house,41,nbscrapes,2019
DEA15,house,229,nbscrapes,2019
DE404,house,67,nbscrapes,2019
DE927,flat,7,nbscrapes,2019
DE918,house,214,nbscrapes,2019
DE132,house,238,nbscrapes,2019
DE912,house,108,nbscrapes,2019
DEA11,house,201,nbscrapes,2019
DE259,house,233,nbscrapes,2019
DE21E,house,83,nbscrapes,2019
DE212,house,285,nbscrapes,2019
DEA17,house,74,nbscrapes,2019
DE11B,house,154,nbscrapes,2019
DE731,house,130,nbscrapes,2019
DEA43,house,303,nbscrapes,2019
DEA22,house,169,nbscrapes,2019
DE123,house,356,nbscrapes,2019
DE211,house,104,nbscrapes,2019
DE716,house,252,nbscrapes,2019
DEG07,flat,3,nbscrapes,2019
DEA29,house,446,nbscrapes,2019
DEA5A,house,327,nbscrapes,2019
DE71C,house,281,nbscrapes,2019
DE244,house,50,nbscrapes,2019
DE22B,house,80,nbscrapes,2019
DEE01,house,49,nbscrapes,2019
DE11C,house,109,nbscrapes,2019
DE93B,house,160,nbscrapes,2019
DEF0F,house,300,nbscrapes,2019
DE26B,house,93,nbscrapes,2019
DE269,house,172,nbscrapes,2019
DEG0F,house,54,nbscrapes,2019
DEE02,house,53,nbscrapes,2019
DE126,house,83,nbscrapes,2019
DE27B,house,94,nbscrapes,2019
DE232,house,51,nbscrapes,2019
DE119,house,109,nbscrapes,2019
DEA32,house,103,nbscrapes,2019
DE112,house,199,nbscrapes,2019
DE26A,house,96,nbscrapes,2019
DE138,house,184,nbscrapes,2019
DE236,house,142,nbscrapes,2019
DEB25,flat,28,nbscrapes,2019
DE226,house,71,nbscrapes,2019
DE21D,house,46,nbscrapes,2019
DE71A,house,190,nbscrapes,2019
DE234,house,89,nbscrapes,2019
DE243,house,35,nbscrapes,2019
DE221,house,60,nbscrapes,2019
DE251,house,26,nbscrapes,2019
DE133,house,81,nbscrapes,2019
DE941,house,86,nbscrapes,2019
DEA19,house,138,nbscrapes,2019
DEC05,house,173,nbscrapes,2019
DE911,house,96,nbscrapes,2019
DE223,house,35,nbscrapes,2019
DE136,house,213,nbscrapes,2019
DE267,house,75,nbscrapes,2019
DE214,house,105,nbscrapes,2019
DEA1A,house,238,nbscrapes,2019
DE91A,house,150,nbscrapes,2019
DEB38,house,25,nbscrapes,2019
DEB35,house,82,nbscrapes,2019
DE258,house,85,nbscrapes,2019
DEA41,house,167,nbscrapes,2019
DEG05,house,18,nbscrapes,2019
DEB1C,flat,5,nbscrapes,2019
DE218,house,88,nbscrapes,2019
DE22C,house,126,nbscrapes,2019
DEA18,house,119,nbscrapes,2019
DE945,house,72,nbscrapes,2019
DE217,house,62,nbscrapes,2019
DE21K,house,136,nbscrapes,2019
DEG09,house,51,nbscrapes,2019
DE279,house,92,nbscrapes,2019
DEB39,house,87,nbscrapes,2019
DE24A,house,95,nbscrapes,2019
DE502,house,77,nbscrapes,2019
DE21F,house,71,nbscrapes,2019
DE717,house,202,nbscrapes,2019
DEA53,house,94,nbscrapes,2019
DE804,house,25,nbscrapes,2019
DE24B,house,97,nbscrapes,2019
DEB3E,house,127,nbscrapes,2019
DE943,house,147,nbscrapes,2019
DE137,house,107,nbscrapes,2019
DE233,house,24,nbscrapes,2019
DE913,house,80,nbscrapes,2019
DE21G,house,93,nbscrapes,2019
DE944,house,63,nbscrapes,2019
DE21M,house,139,nbscrapes,2019
DE139,house,203,nbscrapes,2019
DEA24,house,84,nbscrapes,2019
DE25C,house,94,nbscrapes,2019
DE252,house,48,nbscrapes,2019
DE713,house,44,nbscrapes,2019
DE257,house,176,nbscrapes,2019
DE129,house,76,nbscrapes,2019
DE274,house,22,nbscrapes,2019
DEG06,house,26,nbscrapes,2019
DEA33,house,112,nbscrapes,2019
DE125,house,56,nbscrapes,2019
DE245,house,89,nbscrapes,2019
DE121,house,82,nbscrapes,2019
DE124,house,186,nbscrapes,2019
DE25A,house,90,nbscrapes,2019
DEB32,house,102,nbscrapes,2019
DE94D,house,173,nbscrapes,2019
DE21C,house,119,nbscrapes,2019
DE146,house,175,nbscrapes,2019
DE216,house,68,nbscrapes,2019
DE21J,house,98,nbscrapes,2019
DEB36,house,64,nbscrapes,2019
DE262,house,15,nbscrapes,2019
DE21H,house,216,nbscrapes,2019
DE241,house,25,nbscrapes,2019
DE117,house,44,nbscrapes,2019
DEA31,house,53,nbscrapes,2019
DE263,house,52,nbscrapes,2019
DE144,house,25,nbscrapes,2019
DE27E,house,102,nbscrapes,2019
DEA55,house,36,nbscrapes,2019
DE147,house,128,nbscrapes,2019
DE21A,house,55,nbscrapes,2019
DE231,house,15,nbscrapes,2019
DE21N,house,63,nbscrapes,2019
DE268,house,80,nbscrapes,2019
DE255,house,50,nbscrapes,2019
DE213,house,10,nbscrapes,2019
DEB31,house,21,nbscrapes,2019
DE273,house,21,nbscrapes,2019
DEG02,house,34,nbscrapes,2019
DE711,house,34,nbscrapes,2019
DK011,flat,2323,nbscrapes,2019
DK011,house,663,nbscrapes,2019
DK012,house,1551,nbscrapes,2019
DK012,flat,937,nbscrapes,2019
DK021,flat,263,nbscrapes,2019
DK021,house,1424,nbscrapes,2019
DK013,house,3174,nbscrapes,2019
DK013,flat,487,nbscrapes,2019
DK014,house,355,nbscrapes,2019
DK014,flat,18,nbscrapes,2019
DK022,house,6485,nbscrapes,2019
DK022,flat,340,nbscrapes,2019
DK031,flat,289,nbscrapes,2019
DK031,house,4430,nbscrapes,2019
DK032,house,6477,nbscrapes,2019
DK032,flat,650,nbscrapes,2019
DK041,house,4788,nbscrapes,2019
DK041,flat,241,nbscrapes,2019
DK042,house,6460,nbscrapes,2019
DK042,flat,1235,nbscrapes,2019
DK050,flat,827,nbscrapes,2019
DK050,house,7985,nbscrapes,2019
EE001,flat,3419,nbscrapes,2019
EE008,flat,2146,nbscrapes,2019
EE007,house,7,nbscrapes,2019
EE007,flat,74,nbscrapes,2019
EE004,flat,779,nbscrapes,2019
EE004,house,9,nbscrapes,2019
EE006,flat,187,nbscrapes,2019
EE006,house,2,nbscrapes,2019
EL302,flat,1821,nbscrapes,2019
EL302,house,571,nbscrapes,2019
EL411,flat,133,nbscrapes,2019
EL411,house,291,nbscrapes,2019
EL306,flat,280,nbscrapes,2019
EL306,house,297,nbscrapes,2019
EL412,flat,56,nbscrapes,2019
EL412,house,131,nbscrapes,2019
EL413,house,189,nbscrapes,2019
EL413,flat,140,nbscrapes,2019
EL421,flat,192,nbscrapes,2019
EL431,flat,617,nbscrapes,2019
EL431,house,546,nbscrapes,2019
EL432,house,399,nbscrapes,2019
EL432,flat,169,nbscrapes,2019
EL422,flat,1367,nbscrapes,2019
EL422,house,2648,nbscrapes,2019
EL433,house,420,nbscrapes,2019
EL433,flat,176,nbscrapes,2019
EL307,house,1507,nbscrapes,2019
EL307,flat,3805,nbscrapes,2019
EL512,flat,256,nbscrapes,2019
EL434,flat,659,nbscrapes,2019
EL512,house,181,nbscrapes,2019
EL434,house,1064,nbscrapes,2019
EL511,flat,578,nbscrapes,2019
EL511,house,343,nbscrapes,2019
EL421,house,158,nbscrapes,2019
EL303,flat,23152,nbscrapes,2019
EL303,house,1878,nbscrapes,2019
EL301,flat,10980,nbscrapes,2019
EL514,house,81,nbscrapes,2019
EL514,flat,41,nbscrapes,2019
EL513,house,137,nbscrapes,2019
EL513,flat,172,nbscrapes,2019
EL304,flat,15189,nbscrapes,2019
EL305,flat,9558,nbscrapes,2019
EL305,house,7521,nbscrapes,2019
EL515,house,1254,nbscrapes,2019
EL515,flat,1717,nbscrapes,2019
EL301,house,3104,nbscrapes,2019
EL304,house,1670,nbscrapes,2019
EL521,flat,179,nbscrapes,2019
EL521,house,131,nbscrapes,2019
EL523,flat,64,nbscrapes,2019
EL523,house,84,nbscrapes,2019
EL524,flat,103,nbscrapes,2019
EL524,house,92,nbscrapes,2019
EL525,house,405,nbscrapes,2019
EL525,flat,459,nbscrapes,2019
EL526,flat,309,nbscrapes,2019
EL526,house,305,nbscrapes,2019
EL522,flat,18287,nbscrapes,2019
EL522,house,3353,nbscrapes,2019
EL527,house,2701,nbscrapes,2019
EL527,flat,4187,nbscrapes,2019
EL531,flat,115,nbscrapes,2019
EL531,house,101,nbscrapes,2019
EL532,flat,22,nbscrapes,2019
EL532,house,23,nbscrapes,2019
EL533,house,16,nbscrapes,2019
EL533,flat,8,nbscrapes,2019
EL541,house,87,nbscrapes,2019
EL541,flat,89,nbscrapes,2019
EL542,house,65,nbscrapes,2019
EL542,flat,65,nbscrapes,2019
EL543,flat,489,nbscrapes,2019
EL543,house,173,nbscrapes,2019
EL611,flat,102,nbscrapes,2019
EL611,house,106,nbscrapes,2019
EL612,flat,255,nbscrapes,2019
EL612,house,147,nbscrapes,2019
EL613,flat,1065,nbscrapes,2019
EL613,house,1163,nbscrapes,2019
EL621,flat,164,nbscrapes,2019
EL621,house,521,nbscrapes,2019
EL622,flat,874,nbscrapes,2019
EL622,house,1208,nbscrapes,2019
EL623,house,185,nbscrapes,2019
EL631,flat,247,nbscrapes,2019
EL624,flat,95,nbscrapes,2019
EL624,house,167,nbscrapes,2019
EL631,house,202,nbscrapes,2019
EL623,flat,57,nbscrapes,2019
EL632,house,1205,nbscrapes,2019
EL632,flat,3348,nbscrapes,2019
EL633,flat,101,nbscrapes,2019
EL633,house,166,nbscrapes,2019
EL641,flat,120,nbscrapes,2019
EL641,house,236,nbscrapes,2019
EL642,house,934,nbscrapes,2019
EL642,flat,526,nbscrapes,2019
EL643,house,15,nbscrapes,2019
EL643,flat,6,nbscrapes,2019
EL644,flat,594,nbscrapes,2019
EL644,house,385,nbscrapes,2019
EL645,flat,62,nbscrapes,2019
EL645,house,120,nbscrapes,2019
EL651,house,1633,nbscrapes,2019
EL651,flat,1646,nbscrapes,2019
EL653,house,1099,nbscrapes,2019
EL652,house,1025,nbscrapes,2019
EL652,flat,1077,nbscrapes,2019
EL653,flat,533,nbscrapes,2019
FI195,flat,1075,nbscrapes,2019
FI195,house,208,nbscrapes,2019
FI1B1,flat,9872,nbscrapes,2019
FI1B1,house,1331,nbscrapes,2019
FI1D9,flat,2225,nbscrapes,2019
FI1C3,house,360,nbscrapes,2019
FI1C3,flat,1349,nbscrapes,2019
FI1D9,house,495,nbscrapes,2019
FI197,flat,3530,nbscrapes,2019
FI197,house,520,nbscrapes,2019
FI194,flat,1131,nbscrapes,2019
FI194,house,243,nbscrapes,2019
FI193,flat,1974,nbscrapes,2019
FI193,house,371,nbscrapes,2019
FI1D2,flat,2066,nbscrapes,2019
FI1D7,flat,728,nbscrapes,2019
FI1D7,house,147,nbscrapes,2019
FI1C5,house,276,nbscrapes,2019
FI1C5,flat,823,nbscrapes,2019
FI1D3,house,290,nbscrapes,2019
FI1D3,flat,1016,nbscrapes,2019
FI1C1,house,598,nbscrapes,2019
FI1C1,flat,2050,nbscrapes,2019
FI1D2,house,382,nbscrapes,2019
FI1C2,flat,1538,nbscrapes,2019
FI1C2,house,324,nbscrapes,2019
FI196,flat,1644,nbscrapes,2019
FI196,house,532,nbscrapes,2019
FI1C4,flat,878,nbscrapes,2019
FI1C4,house,318,nbscrapes,2019
FI1D8,house,50,nbscrapes,2019
FI1D8,flat,223,nbscrapes,2019
FI1D1,flat,931,nbscrapes,2019
FI1D1,house,239,nbscrapes,2019
FI1D5,flat,468,nbscrapes,2019
FI1D5,house,127,nbscrapes,2019
FRJ11,flat,1402,nbscrapes,2019
FRJ11,house,4248,nbscrapes,2019
FRF22,house,1609,nbscrapes,2019
FRF22,flat,471,nbscrapes,2019
FRJ22,flat,347,nbscrapes,2019
FRJ22,house,2000,nbscrapes,2019
FRL04,house,4943,nbscrapes,2019
FRL04,flat,6212,nbscrapes,2019
FRD11,flat,2496,nbscrapes,2019
FRD11,house,5049,nbscrapes,2019
FRK12,flat,174,nbscrapes,2019
FRK12,house,561,nbscrapes,2019
FRI31,house,3720,nbscrapes,2019
FRI31,flat,234,nbscrapes,2019
FRI32,flat,1994,nbscrapes,2019
FRI32,house,8173,nbscrapes,2019
FRC11,flat,935,nbscrapes,2019
FRC11,house,2529,nbscrapes,2019
FRI21,house,2721,nbscrapes,2019
FRI21,flat,580,nbscrapes,2019
FRH01,flat,1178,nbscrapes,2019
FRH01,house,6019,nbscrapes,2019
FRI22,house,933,nbscrapes,2019
FRI22,flat,48,nbscrapes,2019
FRI11,house,7322,nbscrapes,2019
FRI11,flat,551,nbscrapes,2019
FRC21,flat,1621,nbscrapes,2019
FRC21,house,1816,nbscrapes,2019
FRK23,house,3972,nbscrapes,2019
FRK23,flat,1782,nbscrapes,2019
FRD21,flat,949,nbscrapes,2019
FRD21,house,7652,nbscrapes,2019
FRB02,flat,1127,nbscrapes,2019
FRB02,house,5016,nbscrapes,2019
FRJ12,flat,2472,nbscrapes,2019
FRJ12,house,7400,nbscrapes,2019
FRJ23,flat,4788,nbscrapes,2019
FRJ23,house,7168,nbscrapes,2019
FRJ24,flat,250,nbscrapes,2019
FRJ24,house,2698,nbscrapes,2019
FRI12,flat,3359,nbscrapes,2019
FRI12,house,9931,nbscrapes,2019
FRJ13,flat,6920,nbscrapes,2019
FRJ13,house,9902,nbscrapes,2019
FRH03,house,6784,nbscrapes,2019
FRH03,flat,2648,nbscrapes,2019
FRB03,house,2494,nbscrapes,2019
FRB03,flat,190,nbscrapes,2019
FRB04,house,4730,nbscrapes,2019
FRB04,flat,1693,nbscrapes,2019
FRK24,flat,4624,nbscrapes,2019
FRK24,house,4690,nbscrapes,2019
FRI13,house,3446,nbscrapes,2019
FRI13,flat,1061,nbscrapes,2019
FRB05,flat,516,nbscrapes,2019
FRB05,house,3239,nbscrapes,2019
FRK25,flat,2895,nbscrapes,2019
FRK25,house,3901,nbscrapes,2019
FRK13,flat,255,nbscrapes,2019
FRK13,house,1453,nbscrapes,2019
FRG01,flat,3194,nbscrapes,2019
FRG01,house,6895,nbscrapes,2019
FRB06,house,5497,nbscrapes,2019
FRB06,flat,1619,nbscrapes,2019
FRJ25,flat,172,nbscrapes,2019
FRJ25,house,2355,nbscrapes,2019
FRI14,flat,498,nbscrapes,2019
FRI14,house,4888,nbscrapes,2019
FRJ14,house,354,nbscrapes,2019
FRJ14,flat,19,nbscrapes,2019
FRD12,house,4203,nbscrapes,2019
FRD12,flat,576,nbscrapes,2019
FRF23,flat,895,nbscrapes,2019
FRF23,house,2652,nbscrapes,2019
FRF24,house,1187,nbscrapes,2019
FRF24,flat,146,nbscrapes,2019
FRG03,house,2950,nbscrapes,2019
FRG03,flat,201,nbscrapes,2019
FRF31,flat,1721,nbscrapes,2019
FRF31,house,2859,nbscrapes,2019
FRF32,flat,126,nbscrapes,2019
FRF32,house,1112,nbscrapes,2019
FRF33,flat,2054,nbscrapes,2019
FRF33,house,2612,nbscrapes,2019
FRH04,flat,1944,nbscrapes,2019
FRH04,house,6843,nbscrapes,2019
FRE22,house,6580,nbscrapes,2019
FRE22,flat,1851,nbscrapes,2019
FRD13,flat,308,nbscrapes,2019
FRD13,house,3350,nbscrapes,2019
FRE12,house,10631,nbscrapes,2019
FRE12,flat,2257,nbscrapes,2019
FRK14,flat,1101,nbscrapes,2019
FRK14,house,2404,nbscrapes,2019
FRI15,flat,2511,nbscrapes,2019
FRI15,house,3337,nbscrapes,2019
FRJ26,house,1780,nbscrapes,2019
FRJ26,flat,1248,nbscrapes,2019
FRJ15,flat,3484,nbscrapes,2019
FRJ15,house,5543,nbscrapes,2019
FRF11,flat,2434,nbscrapes,2019
FRF11,house,2155,nbscrapes,2019
FRF12,flat,2302,nbscrapes,2019
FRF12,house,2537,nbscrapes,2019
FRK26,flat,4589,nbscrapes,2019
FRK26,house,3138,nbscrapes,2019
FRC13,house,5004,nbscrapes,2019
FRC13,flat,1280,nbscrapes,2019
FRC23,flat,231,nbscrapes,2019
FRC23,house,1584,nbscrapes,2019
FRG04,flat,1068,nbscrapes,2019
FRG04,house,5726,nbscrapes,2019
FRK27,flat,2445,nbscrapes,2019
FRK27,house,1701,nbscrapes,2019
FRK28,flat,5371,nbscrapes,2019
FRK28,house,3566,nbscrapes,2019
FRD22,flat,3525,nbscrapes,2019
FRD22,house,7330,nbscrapes,2019
FR102,flat,3736,nbscrapes,2019
FR102,house,7356,nbscrapes,2019
FR103,flat,3105,nbscrapes,2019
FR103,house,4824,nbscrapes,2019
FRJ27,flat,464,nbscrapes,2019
FRJ27,house,3138,nbscrapes,2019
FRJ28,house,2082,nbscrapes,2019
FRJ28,flat,457,nbscrapes,2019
FRL05,flat,8670,nbscrapes,2019
FRL05,house,9416,nbscrapes,2019
FRL06,flat,1786,nbscrapes,2019
FRL06,house,4663,nbscrapes,2019
FRG05,house,7690,nbscrapes,2019
FRG05,flat,1495,nbscrapes,2019
FRI34,house,4364,nbscrapes,2019
FRI34,flat,655,nbscrapes,2019
FRI23,flat,727,nbscrapes,2019
FRI23,house,2741,nbscrapes,2019
FRF34,flat,842,nbscrapes,2019
FRF34,house,2203,nbscrapes,2019
FRC24,flat,672,nbscrapes,2019
FRC24,house,517,nbscrapes,2019
FR104,flat,4112,nbscrapes,2019
FR104,house,4515,nbscrapes,2019
FR105,flat,2580,nbscrapes,2019
FR105,house,450,nbscrapes,2019
FR106,flat,3055,nbscrapes,2019
FR106,house,1813,nbscrapes,2019
FR101,house,64,nbscrapes,2019
FR101,flat,1506,nbscrapes,2019
FR107,flat,2698,nbscrapes,2019
FR107,house,1380,nbscrapes,2019
FRB01,flat,481,nbscrapes,2019
FRB01,house,2562,nbscrapes,2019
FRC12,flat,224,nbscrapes,2019
FRC12,house,1849,nbscrapes,2019
FRM01,house,477,nbscrapes,2019
FRM01,flat,293,nbscrapes,2019
FRM02,flat,549,nbscrapes,2019
FRM02,house,455,nbscrapes,2019
FRC22,house,1397,nbscrapes,2019
FRH02,flat,1735,nbscrapes,2019
FRH02,house,7350,nbscrapes,2019
FRC22,flat,485,nbscrapes,2019
FRG02,flat,1365,nbscrapes,2019
FRG02,house,6398,nbscrapes,2019
FRE11,flat,4812,nbscrapes,2019
FRE11,house,13618,nbscrapes,2019
FRI33,flat,299,nbscrapes,2019
FRI33,house,3698,nbscrapes,2019
FRE23,flat,529,nbscrapes,2019
FRE23,house,3458,nbscrapes,2019
FRC14,flat,497,nbscrapes,2019
FRC14,house,4368,nbscrapes,2019
FR108,flat,3772,nbscrapes,2019
FR108,house,3945,nbscrapes,2019
HR033,house,1431,nbscrapes,2019
HR031,house,2326,nbscrapes,2019
HR042,house,866,nbscrapes,2019
HR034,house,796,nbscrapes,2019
HR035,house,1594,nbscrapes,2019
HR04C,house,114,nbscrapes,2019
HR037,house,268,nbscrapes,2019
HR048,house,79,nbscrapes,2019
HR036,house,2155,nbscrapes,2019
HR044,house,386,nbscrapes,2019
HR032,house,319,nbscrapes,2019
HR045,house,115,nbscrapes,2019
HR04B,house,311,nbscrapes,2019
HR043,house,198,nbscrapes,2019
HR04E,house,288,nbscrapes,2019
HR046,house,91,nbscrapes,2019
HR04A,house,98,nbscrapes,2019
HR047,house,597,nbscrapes,2019
HR041,house,61,nbscrapes,2019
HR049,house,109,nbscrapes,2019
HR04D,house,379,nbscrapes,2019
HR035,flat,1201,nbscrapes,2019
HR033,flat,215,nbscrapes,2019
HR036,flat,536,nbscrapes,2019
HR04C,flat,55,nbscrapes,2019
HR04E,flat,101,nbscrapes,2019
HR04D,flat,77,nbscrapes,2019
HR042,flat,114,nbscrapes,2019
HR031,flat,1653,nbscrapes,2019
HR04B,flat,129,nbscrapes,2019
HR037,flat,60,nbscrapes,2019
HR032,flat,88,nbscrapes,2019
HR047,flat,75,nbscrapes,2019
HR044,flat,98,nbscrapes,2019
HR034,flat,256,nbscrapes,2019
HR043,flat,19,nbscrapes,2019
HR048,flat,12,nbscrapes,2019
HR04A,flat,29,nbscrapes,2019
HR049,flat,9,nbscrapes,2019
HR046,flat,15,nbscrapes,2019
HR045,flat,10,nbscrapes,2019
HU232,"",3508,nbscrapes,2019
HU233,"",1706,nbscrapes,2019
HU221,"",4261,nbscrapes,2019
HU222,"",2415,nbscrapes,2019
HU223,"",3073,nbscrapes,2019
HU211,"",2330,nbscrapes,2019
HU212,"",2540,nbscrapes,2019
HU213,"",2779,nbscrapes,2019
HU101,"",13665,nbscrapes,2019
HU331,"",6498,nbscrapes,2019
HU332,"",2431,nbscrapes,2019
HU333,"",2795,nbscrapes,2019
HU321,"",7901,nbscrapes,2019
HU322,"",2009,nbscrapes,2019
HU323,"",6488,nbscrapes,2019
HU311,"",4543,nbscrapes,2019
HU312,"",3074,nbscrapes,2019
HU313,"",949,nbscrapes,2019
HU231,"",7262,nbscrapes,2019
HU102,"",6936,nbscrapes,2019
IE061,"",2019,nbscrapes,2019
IE052,"",427,nbscrapes,2019
IE042,"",378,nbscrapes,2019
IE062,"",765,nbscrapes,2019
IE063,"",162,nbscrapes,2019
IE041,"",352,nbscrapes,2019
IE051,"",361,nbscrapes,2019
IE053,"",533,nbscrapes,2019
LT002,flat,1504,nbscrapes,2019
LT001,flat,210,nbscrapes,2019
LT00A,flat,2976,nbscrapes,2019
LT003,flat,2002,nbscrapes,2019
LT006,flat,492,nbscrapes,2019
LT005,flat,303,nbscrapes,2019
LT009,flat,87,nbscrapes,2019
LT003,house,1454,nbscrapes,2019
LT00A,house,2680,nbscrapes,2019
LT002,house,1707,nbscrapes,2019
LT006,house,748,nbscrapes,2019
LT009,house,432,nbscrapes,2019
LT005,house,464,nbscrapes,2019
LT001,house,315,nbscrapes,2019
LT007,flat,46,nbscrapes,2019
LT008,flat,115,nbscrapes,2019
LT004,flat,97,nbscrapes,2019
LT008,house,203,nbscrapes,2019
LT004,house,224,nbscrapes,2019
LT007,house,98,nbscrapes,2019
LV003,house,303,nbscrapes,2019
LV003,flat,378,nbscrapes,2019
LV005,flat,317,nbscrapes,2019
LV005,house,222,nbscrapes,2019
LV006,flat,2395,nbscrapes,2019
LV006,house,316,nbscrapes,2019
LV007,flat,707,nbscrapes,2019
LV007,house,951,nbscrapes,2019
LV008,flat,159,nbscrapes,2019
LV008,house,137,nbscrapes,2019
LV009,flat,302,nbscrapes,2019
