"year","laucode","type.of.building","nuts3","value","avg_floor_m2"
1990,"1904","house","SE125",341,113
1990,"1907","house","SE125",582,117.4
1990,"191","house","SE110",1801,125
1990,"192","house","SE110",1419,111.1
1990,"1960","house","SE125",697,117
1990,"1961","house","SE125",860,116.8
1990,"1962","house","SE125",393,118.1
1990,"1980","house","SE125",1294,126
1990,"1981","house","SE125",685,118
1990,"1982","house","SE125",437,117.1
1990,"1983","house","SE125",656,120.7
1990,"1984","house","SE125",689,116.8
1990,"2021","house","SE312",291,111.3
1990,"2023","house","SE312",667,109
1990,"2026","house","SE312",436,112.2
1990,"2029","house","SE312",880,111.4
1990,"2031","house","SE312",651,112.4
1990,"2034","house","SE312",534,109.8
1990,"2039","house","SE312",526,104.6
1990,"2061","house","SE312",515,111.2
1990,"2062","house","SE312",673,109.2
1990,"2080","house","SE312",862,120.2
1990,"2081","house","SE312",768,116.5
1990,"2082","house","SE312",530,116.4
1990,"2083","house","SE312",449,115.3
1990,"2084","house","SE312",547,116.2
1990,"2085","house","SE312",539,112.5
1990,"2101","house","SE313",362,109.5
1990,"2104","house","SE313",410,109.9
1990,"2121","house","SE313",325,119.1
1990,"2132","house","SE313",291,117.2
1990,"2161","house","SE313",532,114.4
1990,"2180","house","SE313",1055,112
1990,"2181","house","SE313",623,114.2
1990,"2182","house","SE313",487,113.5
1990,"2183","house","SE313",441,114.4
1990,"2184","house","SE313",626,116.2
1990,"2260","house","SE321",239,115.4
1990,"2262","house","SE321",553,114.4
1990,"2280","house","SE321",468,121.4
1990,"2281","house","SE321",747,119.4
1990,"2282","house","SE321",264,114.7
1990,"2283","house","SE321",297,114.3
1990,"2284","house","SE321",484,121.4
1990,"2303","house","SE322",201,110.7
1990,"2305","house","SE322",277,117.5
1990,"2309","house","SE322",696,114.9
1990,"2313","house","SE322",267,108
1990,"2321","house","SE322",836,111.2
1990,"2326","house","SE322",344,108.5
1990,"2361","house","SE322",545,103.5
1990,"2380","house","SE322",1002,118.1
1990,"2401","house","SE331",391,122.6
1990,"2403","house","SE331",334,117.9
1990,"2404","house","SE331",327,120.7
1990,"2409","house","SE331",490,120.4
1990,"2417","house","SE331",228,117.7
1990,"2418","house","SE331",351,106.8
1990,"2421","house","SE331",299,104.5
1990,"2422","house","SE331",199,102.3
1990,"2425","house","SE331",221,107
1990,"2460","house","SE331",570,123.5
1990,"2462","house","SE331",241,103.3
1990,"2463","house","SE331",174,115.7
1990,"2480","house","SE331",1159,125.6
1990,"2481","house","SE331",395,116.6
1990,"2482","house","SE331",509,119.2
1990,"2505","house","SE332",291,111.9
1990,"2506","house","SE332",280,103.2
1990,"2510","house","SE332",380,98.8
1990,"2513","house","SE332",217,111.8
1990,"2514","house","SE332",354,112.7
1990,"2518","house","SE332",305,113
1990,"2521","house","SE332",266,106.4
1990,"2523","house","SE332",459,111.8
1990,"2560","house","SE332",363,111.4
1990,"2580","house","SE332",1001,118.3
1990,"2581","house","SE332",617,116.6
1990,"2582","house","SE332",483,115.6
1990,"2583","house","SE332",542,112.6
1990,"2584","house","SE332",509,113.2
1990,"305","house","SE121",1296,122.3
1990,"319","house","SE121",619,109.2
1990,"330","house","SE121",1504,128.1
1990,"331","house","SE121",558,113.1
1990,"360","house","SE121",597,115
1990,"380","house","SE121",1484,125.1
1990,"381","house","SE121",1123,120.3
1990,"382","house","SE121",905,116.7
1990,"428","house","SE122",521,115.5
1990,"461","house","SE122",1239,113.7
1990,"480","house","SE122",1095,117.2
1990,"481","house","SE122",953,115.6
1990,"482","house","SE122",734,117.8
1990,"483","house","SE122",772,120
1990,"484","house","SE122",1065,118
1990,"486","house","SE122",1259,120.2
1990,"488","house","SE122",1409,116.1
1990,"509","house","SE123",363,121
1990,"512","house","SE123",498,119.8
1990,"513","house","SE123",693,123
1990,"560","house","SE123",494,115.3
1990,"561","house","SE123",652,123.4
1990,"562","house","SE123",557,118.3
1990,"563","house","SE123",559,117.3
1990,"580","house","SE123",1331,125.7
1990,"581","house","SE123",1071,118
1990,"582","house","SE123",909,118
1990,"583","house","SE123",760,115.2
1990,"584","house","SE123",816,123.6
1990,"586","house","SE123",765,123
1990,"604","house","SE211",462,126
1990,"617","house","SE211",573,126.1
1990,"642","house","SE211",531,118.6
1990,"643","house","SE211",842,122.3
1990,"662","house","SE211",637,120.4
1990,"665","house","SE211",586,127.6
1990,"680","house","SE211",1043,129.3
1990,"682","house","SE211",495,123.6
1990,"683","house","SE211",839,126.1
1990,"684","house","SE211",356,126.8
1990,"685","house","SE211",481,127.7
1990,"686","house","SE211",528,126.6
1990,"687","house","SE211",669,127.7
1990,"760","house","SE212",359,121.4
1990,"761","house","SE212",386,121.9
1990,"763","house","SE212",411,123.7
1990,"764","house","SE212",562,126.7
1990,"765","house","SE212",721,121.4
1990,"767","house","SE212",499,120.5
1990,"780","house","SE212",885,129.9
1990,"781","house","SE212",723,124.2
1990,"821","house","SE213",344,113.7
1990,"834","house","SE213",362,117.7
1990,"840","house","SE213",855,117.8
1990,"860","house","SE213",285,117.2
1990,"861","house","SE213",560,113.5
1990,"862","house","SE213",346,125.1
1990,"880","house","SE213",1117,120.5
1990,"881","house","SE213",512,121.9
1990,"882","house","SE213",669,121.9
1990,"883","house","SE213",630,115.8
1990,"884","house","SE213",564,121.5
1990,"885","house","SE213",708,109.4
1990,"980","house","SE214",1198,110.1
1991,"1060","house","SE221",518,114.7
1991,"1080","house","SE221",939,119.8
1991,"1081","house","SE221",705,116.2
1991,"1082","house","SE221",769,117.8
1991,"1083","house","SE221",723,116.6
1991,"114","house","SE110",1671,124
1991,"115","house","SE110",1642,121.8
1991,"117","house","SE110",1684,121.1
1991,"120","house","SE110",2175,106.1
1991,"1214","house","SE224",697,119.4
1991,"123","house","SE110",1817,123.3
1991,"1230","house","SE224",1441,131
1991,"1231","house","SE224",1282,128.9
1991,"1233","house","SE224",1781,140.3
1991,"125","house","SE110",2018,119.6
1991,"1256","house","SE224",377,121.7
1991,"1257","house","SE224",571,116.5
1991,"126","house","SE110",1826,120.9
1991,"1260","house","SE224",657,116.7
1991,"1261","house","SE224",1367,127.5
1991,"1262","house","SE224",1713,134.8
1991,"1263","house","SE224",1318,125.6
1991,"1264","house","SE224",1033,119.5
1991,"1265","house","SE224",667,113.2
1991,"1266","house","SE224",676,116.8
1991,"1267","house","SE224",679,119.9
1991,"127","house","SE110",1497,123.2
1991,"1270","house","SE224",678,116.5
1991,"1272","house","SE224",623,112.9
1991,"1273","house","SE224",398,122
1991,"1275","house","SE224",546,118.1
1991,"1276","house","SE224",589,118.9
1991,"1277","house","SE224",746,120.6
1991,"1278","house","SE224",1272,123.2
1991,"128","house","SE110",1750,128
1991,"1280","house","SE224",1872,126.7
1991,"1281","house","SE224",1618,125.9
1991,"1282","house","SE224",1270,121.7
1991,"1283","house","SE224",1471,125.7
1991,"1284","house","SE224",1367,126.1
1991,"1285","house","SE224",979,121.2
1991,"1286","house","SE224",1183,124.9
1991,"1287","house","SE224",1123,125.2
1991,"1290","house","SE224",804,120.8
1991,"1291","house","SE224",1026,117.5
1991,"1292","house","SE224",1100,125.6
1991,"1293","house","SE224",570,121.4
1991,"1315","house","SE231",404,115.7
1991,"136","house","SE110",1706,114.6
1991,"138","house","SE110",1986,119.5
1991,"1380","house","SE231",1160,126
1991,"1381","house","SE231",788,117.9
1991,"1382","house","SE231",828,122.7
1991,"1383","house","SE231",1161,123.3
1991,"1384","house","SE231",1684,127.8
1991,"139","house","SE110",1585,120.6
1991,"140","house","SE110",1551,118.8
1991,"1401","house","SE232",1604,117.1
1991,"1402","house","SE232",1688,127.1
1991,"1407","house","SE232",1844,122.8
1991,"1415","house","SE232",1408,116.4
1991,"1419","house","SE232",1314,109.3
1991,"1421","house","SE232",1059,108.4
1991,"1427","house","SE232",1373,108
1991,"1430","house","SE232",599,107.9
1991,"1435","house","SE232",1103,108.1
1991,"1438","house","SE232",582,111.1
1991,"1439","house","SE232",438,107.6
1991,"1440","house","SE232",1216,116.4
1991,"1441","house","SE232",1417,119.5
1991,"1442","house","SE232",845,117.1
1991,"1443","house","SE232",1141,121
1991,"1444","house","SE232",453,120.2
1991,"1445","house","SE232",504,115.3
1991,"1446","house","SE232",447,117.6
1991,"1447","house","SE232",315,111.8
1991,"1452","house","SE232",378,118
1991,"1460","house","SE232",419,111.8
1991,"1461","house","SE232",506,112.3
1991,"1462","house","SE232",695,109.3
1991,"1463","house","SE232",732,114.5
1991,"1465","house","SE232",528,115.3
1991,"1466","house","SE232",489,117.4
1991,"1470","house","SE232",363,121.1
1991,"1471","house","SE232",490,119.6
1991,"1472","house","SE232",520,120.1
1991,"1473","house","SE232",362,117.3
1991,"1480","house","SE232",1917,126
1991,"1481","house","SE232",1779,119.1
1991,"1482","house","SE232",1597,114.4
1991,"1484","house","SE232",1030,112.9
1991,"1485","house","SE232",1000,116.7
1991,"1486","house","SE232",1256,110.5
1991,"1487","house","SE232",717,118.5
1991,"1488","house","SE232",959,122.7
1991,"1489","house","SE232",1185,119.3
1991,"1490","house","SE232",939,121.7
1991,"1491","house","SE232",563,122.2
1991,"1492","house","SE232",518,119.7
1991,"1493","house","SE232",672,119
1991,"1494","house","SE232",895,124
1991,"1495","house","SE232",654,123.1
1991,"1496","house","SE232",795,124.1
1991,"1497","house","SE232",577,123.3
1991,"1498","house","SE232",429,118.8
1991,"1499","house","SE232",510,124.1
1991,"160","house","SE110",2063,137.7
1991,"162","house","SE110",2292,155
1991,"163","house","SE110",2196,129.7
1991,"1715","house","SE311",671,119.2
1991,"1730","house","SE311",453,111
1991,"1737","house","SE311",438,110.6
1991,"1760","house","SE311",376,111.6
1991,"1761","house","SE311",1181,124.2
1991,"1762","house","SE311",260,113.4
1991,"1763","house","SE311",485,119.3
1991,"1764","house","SE311",519,115.2
1991,"1765","house","SE311",676,111
1991,"1766","house","SE311",552,115.3
1991,"1780","house","SE311",1012,125.4
1991,"1781","house","SE311",591,117.9
1991,"1782","house","SE311",317,112.3
1991,"1783","house","SE311",367,111.7
1991,"1784","house","SE311",583,115.5
1991,"1785","house","SE311",608,120.7
1991,"180","house","SE110",2318,119
1991,"181","house","SE110",1585,116.4
1991,"1814","house","SE124",708,116.2
1991,"182","house","SE110",2287,131.4
1991,"183","house","SE110",2324,132.9
1991,"184","house","SE110",2367,141.4
1991,"186","house","SE110",2450,147.5
1991,"1860","house","SE124",383,113.9
1991,"1861","house","SE124",534,117.1
1991,"1862","house","SE124",427,111.7
1991,"1863","house","SE124",279,108.6
1991,"1864","house","SE124",313,109.9
1991,"187","house","SE110",2367,126.7
1991,"188","house","SE110",1254,107.9
1991,"1880","house","SE124",1171,121
1991,"1881","house","SE124",867,118.1
1991,"1882","house","SE124",516,115.7
1991,"1883","house","SE124",593,117.1
1991,"1884","house","SE124",577,116.5
1991,"1885","house","SE124",471,117.9
1991,"1904","house","SE125",346,113
1991,"1907","house","SE125",589,117.4
1991,"191","house","SE110",1811,125
1991,"192","house","SE110",1427,111.1
1991,"1960","house","SE125",706,117
1991,"1961","house","SE125",871,116.8
1991,"1962","house","SE125",398,118.1
1991,"1980","house","SE125",1311,126
1991,"1981","house","SE125",694,118
1991,"1982","house","SE125",442,117.1
1991,"1983","house","SE125",665,120.7
1991,"1984","house","SE125",698,116.8
1991,"2021","house","SE312",295,111.3
1991,"2023","house","SE312",679,109
1991,"2026","house","SE312",444,112.2
1991,"2029","house","SE312",895,111.4
1991,"2031","house","SE312",662,112.4
1991,"2034","house","SE312",543,109.8
1991,"2039","house","SE312",535,104.6
1991,"2061","house","SE312",523,111.2
1991,"2062","house","SE312",684,109.2
1991,"2080","house","SE312",877,120.2
1991,"2081","house","SE312",781,116.5
1991,"2082","house","SE312",539,116.4
1991,"2083","house","SE312",457,115.3
1991,"2084","house","SE312",556,116.2
1991,"2085","house","SE312",548,112.5
1991,"2101","house","SE313",369,109.5
1991,"2104","house","SE313",418,109.9
1991,"2121","house","SE313",331,119.1
1991,"2132","house","SE313",297,117.2
1991,"2161","house","SE313",542,114.4
1991,"2180","house","SE313",1075,112
1991,"2181","house","SE313",635,114.2
1991,"2182","house","SE313",497,113.5
1991,"2183","house","SE313",450,114.4
1991,"2184","house","SE313",638,116.2
1991,"2260","house","SE321",243,115.4
1991,"2262","house","SE321",563,114.4
1991,"2280","house","SE321",477,121.4
1991,"2281","house","SE321",760,119.4
1991,"2282","house","SE321",268,114.7
1991,"2283","house","SE321",303,114.3
1991,"2284","house","SE321",493,121.4
1991,"2303","house","SE322",205,110.7
1991,"2305","house","SE322",283,117.5
1991,"2309","house","SE322",710,114.9
1991,"2313","house","SE322",273,108
1991,"2321","house","SE322",852,111.2
1991,"2326","house","SE322",351,108.5
1991,"2361","house","SE322",556,103.5
1991,"2380","house","SE322",1022,118.1
1991,"2401","house","SE331",399,122.6
1991,"2403","house","SE331",341,117.9
1991,"2404","house","SE331",333,120.7
1991,"2409","house","SE331",500,120.4
1991,"2417","house","SE331",233,117.7
1991,"2418","house","SE331",359,106.8
1991,"2421","house","SE331",305,104.5
1991,"2422","house","SE331",203,102.3
1991,"2425","house","SE331",225,107
1991,"2460","house","SE331",581,123.5
1991,"2462","house","SE331",246,103.3
1991,"2463","house","SE331",177,115.7
1991,"2480","house","SE331",1183,125.6
1991,"2481","house","SE331",403,116.6
1991,"2482","house","SE331",519,119.2
1991,"2505","house","SE332",295,111.9
1991,"2506","house","SE332",284,103.2
1991,"2510","house","SE332",386,98.8
1991,"2513","house","SE332",221,111.8
1991,"2514","house","SE332",360,112.7
1991,"2518","house","SE332",309,113
1991,"2521","house","SE332",270,106.4
1991,"2523","house","SE332",466,111.8
