"nuts","year","value","level","indicator","type.of.building"
"182","2010",1506,"laucode","bldn_sec","all"
"182","2011",1444,"laucode","bldn_sec","all"
"182","2012",1394,"laucode","bldn_sec","all"
"182","2013",1361,"laucode","bldn_sec","all"
"182","2014",1341,"laucode","bldn_sec","all"
"182","2015",1309,"laucode","bldn_sec","all"
"182","2016",1237,"laucode","bldn_sec","all"
"182","2017",1250,"laucode","bldn_sec","all"
"182","2018",1236,"laucode","bldn_sec","all"
"182","2019",1238,"laucode","bldn_sec","all"
"182","2020",1194,"laucode","bldn_sec","all"
"182","2021",1157,"laucode","bldn_sec","all"
"182","2022",1159,"laucode","bldn_sec","all"
"182","2023",1154,"laucode","bldn_sec","all"
"182","2024",1134,"laucode","bldn_sec","all"
"183","1998",27,"laucode","bldn_sec","all"
"183","1999",30,"laucode","bldn_sec","all"
"183","2000",30,"laucode","bldn_sec","all"
"183","2001",21,"laucode","bldn_sec","all"
"183","2002",20,"laucode","bldn_sec","all"
"183","2003",20,"laucode","bldn_sec","all"
"183","2004",16,"laucode","bldn_sec","all"
"183","2005",15,"laucode","bldn_sec","all"
"183","2006",12,"laucode","bldn_sec","all"
"183","2007",14,"laucode","bldn_sec","all"
"183","2008",29,"laucode","bldn_sec","all"
"183","2009",71,"laucode","bldn_sec","all"
"183","2010",30,"laucode","bldn_sec","all"
"183","2011",41,"laucode","bldn_sec","all"
"183","2012",38,"laucode","bldn_sec","all"
"183","2013",36,"laucode","bldn_sec","all"
"183","2014",35,"laucode","bldn_sec","all"
"183","2015",22,"laucode","bldn_sec","all"
"183","2016",23,"laucode","bldn_sec","all"
"183","2017",17,"laucode","bldn_sec","all"
"183","2018",22,"laucode","bldn_sec","all"
"183","2019",20,"laucode","bldn_sec","all"
"183","2020",24,"laucode","bldn_sec","all"
"183","2021",26,"laucode","bldn_sec","all"
"183","2022",18,"laucode","bldn_sec","all"
"183","2023",31,"laucode","bldn_sec","all"
"183","2024",53,"laucode","bldn_sec","all"
"184","1998",20,"laucode","bldn_sec","all"
"184","1999",18,"laucode","bldn_sec","all"
"184","2000",20,"laucode","bldn_sec","all"
"184","2001",14,"laucode","bldn_sec","all"
"184","2002",18,"laucode","bldn_sec","all"
"184","2003",16,"laucode","bldn_sec","all"
"184","2004",17,"laucode","bldn_sec","all"
"184","2005",20,"laucode","bldn_sec","all"
"184","2006",14,"laucode","bldn_sec","all"
"184","2007",19,"laucode","bldn_sec","all"
"184","2008",14,"laucode","bldn_sec","all"
"184","2009",12,"laucode","bldn_sec","all"
"184","2010",16,"laucode","bldn_sec","all"
"184","2011",16,"laucode","bldn_sec","all"
"184","2012",12,"laucode","bldn_sec","all"
"184","2013",14,"laucode","bldn_sec","all"
"184","2014",46,"laucode","bldn_sec","all"
"184","2015",44,"laucode","bldn_sec","all"
"184","2016",46,"laucode","bldn_sec","all"
"184","2017",50,"laucode","bldn_sec","all"
"184","2018",52,"laucode","bldn_sec","all"
"184","2019",47,"laucode","bldn_sec","all"
"184","2020",53,"laucode","bldn_sec","all"
"184","2021",248,"laucode","bldn_sec","all"
"184","2022",260,"laucode","bldn_sec","all"
"184","2023",250,"laucode","bldn_sec","all"
"184","2024",242,"laucode","bldn_sec","all"
"186","1998",329,"laucode","bldn_sec","all"
"186","1999",283,"laucode","bldn_sec","all"
"186","2000",292,"laucode","bldn_sec","all"
"186","2001",269,"laucode","bldn_sec","all"
"186","2002",248,"laucode","bldn_sec","all"
"186","2003",299,"laucode","bldn_sec","all"
"186","2004",307,"laucode","bldn_sec","all"
"186","2005",301,"laucode","bldn_sec","all"
"186","2006",294,"laucode","bldn_sec","all"
"186","2007",263,"laucode","bldn_sec","all"
"186","2008",262,"laucode","bldn_sec","all"
"186","2009",276,"laucode","bldn_sec","all"
"186","2010",271,"laucode","bldn_sec","all"
"186","2011",446,"laucode","bldn_sec","all"
"186","2012",467,"laucode","bldn_sec","all"
"186","2013",452,"laucode","bldn_sec","all"
"186","2014",445,"laucode","bldn_sec","all"
"186","2015",437,"laucode","bldn_sec","all"
"186","2016",412,"laucode","bldn_sec","all"
"186","2017",403,"laucode","bldn_sec","all"
"186","2018",423,"laucode","bldn_sec","all"
"186","2019",422,"laucode","bldn_sec","all"
"186","2020",401,"laucode","bldn_sec","all"
"186","2021",394,"laucode","bldn_sec","all"
"186","2022",415,"laucode","bldn_sec","all"
"186","2023",406,"laucode","bldn_sec","all"
"186","2024",423,"laucode","bldn_sec","all"
"187","1998",2068,"laucode","bldn_sec","all"
"187","1999",2042,"laucode","bldn_sec","all"
"187","2000",2040,"laucode","bldn_sec","all"
"187","2001",2020,"laucode","bldn_sec","all"
"187","2002",1988,"laucode","bldn_sec","all"
"187","2003",1978,"laucode","bldn_sec","all"
"187","2004",1945,"laucode","bldn_sec","all"
"187","2005",1940,"laucode","bldn_sec","all"
"187","2006",1960,"laucode","bldn_sec","all"
"187","2007",1938,"laucode","bldn_sec","all"
"187","2008",1917,"laucode","bldn_sec","all"
"187","2009",1909,"laucode","bldn_sec","all"
"187","2010",1883,"laucode","bldn_sec","all"
"187","2011",1709,"laucode","bldn_sec","all"
"187","2012",1701,"laucode","bldn_sec","all"
"187","2013",1726,"laucode","bldn_sec","all"
"187","2014",1723,"laucode","bldn_sec","all"
"187","2015",1738,"laucode","bldn_sec","all"
"187","2016",1728,"laucode","bldn_sec","all"
"187","2017",1732,"laucode","bldn_sec","all"
"187","2018",1746,"laucode","bldn_sec","all"
"187","2019",1746,"laucode","bldn_sec","all"
"187","2020",1751,"laucode","bldn_sec","all"
"187","2021",1746,"laucode","bldn_sec","all"
"187","2022",1759,"laucode","bldn_sec","all"
"187","2023",1775,"laucode","bldn_sec","all"
"187","2024",1792,"laucode","bldn_sec","all"
"188","1998",24503,"laucode","bldn_sec","all"
"188","1999",24409,"laucode","bldn_sec","all"
"188","2000",24343,"laucode","bldn_sec","all"
"188","2001",24224,"laucode","bldn_sec","all"
"188","2002",24060,"laucode","bldn_sec","all"
"188","2003",24622,"laucode","bldn_sec","all"
"188","2004",24565,"laucode","bldn_sec","all"
"188","2005",24622,"laucode","bldn_sec","all"
"188","2006",24887,"laucode","bldn_sec","all"
"188","2007",25012,"laucode","bldn_sec","all"
"188","2008",25104,"laucode","bldn_sec","all"
"188","2009",25358,"laucode","bldn_sec","all"
"188","2010",25382,"laucode","bldn_sec","all"
"188","2011",25396,"laucode","bldn_sec","all"
"188","2012",25572,"laucode","bldn_sec","all"
"188","2013",25521,"laucode","bldn_sec","all"
"188","2014",25529,"laucode","bldn_sec","all"
"188","2015",25805,"laucode","bldn_sec","all"
"188","2016",25776,"laucode","bldn_sec","all"
"188","2017",25868,"laucode","bldn_sec","all"
"188","2018",26256,"laucode","bldn_sec","all"
"188","2019",26318,"laucode","bldn_sec","all"
"188","2020",26334,"laucode","bldn_sec","all"
"188","2021",26538,"laucode","bldn_sec","all"
"188","2022",26516,"laucode","bldn_sec","all"
"188","2023",26648,"laucode","bldn_sec","all"
"188","2024",27224,"laucode","bldn_sec","all"
"191","1998",656,"laucode","bldn_sec","all"
"191","1999",652,"laucode","bldn_sec","all"
"191","2000",692,"laucode","bldn_sec","all"
"191","2001",656,"laucode","bldn_sec","all"
"191","2002",665,"laucode","bldn_sec","all"
"191","2003",726,"laucode","bldn_sec","all"
"191","2004",671,"laucode","bldn_sec","all"
"191","2005",690,"laucode","bldn_sec","all"
"191","2006",737,"laucode","bldn_sec","all"
"191","2007",670,"laucode","bldn_sec","all"
"191","2008",647,"laucode","bldn_sec","all"
"191","2009",624,"laucode","bldn_sec","all"
"191","2010",597,"laucode","bldn_sec","all"
"191","2011",514,"laucode","bldn_sec","all"
"191","2012",478,"laucode","bldn_sec","all"
"191","2013",462,"laucode","bldn_sec","all"
"191","2014",454,"laucode","bldn_sec","all"
"191","2015",439,"laucode","bldn_sec","all"
"191","2016",433,"laucode","bldn_sec","all"
"191","2017",460,"laucode","bldn_sec","all"
"191","2018",439,"laucode","bldn_sec","all"
"191","2019",431,"laucode","bldn_sec","all"
"191","2020",427,"laucode","bldn_sec","all"
"191","2021",436,"laucode","bldn_sec","all"
"191","2022",441,"laucode","bldn_sec","all"
"191","2023",436,"laucode","bldn_sec","all"
"191","2024",448,"laucode","bldn_sec","all"
"192","1998",3074,"laucode","bldn_sec","all"
"192","1999",3094,"laucode","bldn_sec","all"
"192","2000",3054,"laucode","bldn_sec","all"
"192","2001",3018,"laucode","bldn_sec","all"
"192","2002",2965,"laucode","bldn_sec","all"
"192","2003",3029,"laucode","bldn_sec","all"
"192","2004",3022,"laucode","bldn_sec","all"
"192","2005",3035,"laucode","bldn_sec","all"
"192","2006",3036,"laucode","bldn_sec","all"
"192","2007",2988,"laucode","bldn_sec","all"
"192","2008",2971,"laucode","bldn_sec","all"
"192","2009",3021,"laucode","bldn_sec","all"
"192","2010",3026,"laucode","bldn_sec","all"
"192","2011",3005,"laucode","bldn_sec","all"
"192","2012",3021,"laucode","bldn_sec","all"
"192","2013",3022,"laucode","bldn_sec","all"
"192","2014",3015,"laucode","bldn_sec","all"
"192","2015",3047,"laucode","bldn_sec","all"
"192","2016",3038,"laucode","bldn_sec","all"
"192","2017",3019,"laucode","bldn_sec","all"
"192","2018",3083,"laucode","bldn_sec","all"
"192","2019",3074,"laucode","bldn_sec","all"
"192","2020",3062,"laucode","bldn_sec","all"
"192","2021",3049,"laucode","bldn_sec","all"
"192","2022",3034,"laucode","bldn_sec","all"
"192","2023",3059,"laucode","bldn_sec","all"
"192","2024",3093,"laucode","bldn_sec","all"
"305","1998",1414,"laucode","bldn_sec","all"
"643","1998",1414,"laucode","bldn_sec","all"
"305","1999",1374,"laucode","bldn_sec","all"
"643","1999",1374,"laucode","bldn_sec","all"
"305","2000",1355,"laucode","bldn_sec","all"
"643","2000",1355,"laucode","bldn_sec","all"
"305","2001",1288,"laucode","bldn_sec","all"
"643","2001",1288,"laucode","bldn_sec","all"
"305","2002",1272,"laucode","bldn_sec","all"
"643","2002",1272,"laucode","bldn_sec","all"
"305","2003",1285,"laucode","bldn_sec","all"
"643","2003",1285,"laucode","bldn_sec","all"
"305","2004",1274,"laucode","bldn_sec","all"
"643","2004",1274,"laucode","bldn_sec","all"
"305","2005",1292,"laucode","bldn_sec","all"
"643","2005",1292,"laucode","bldn_sec","all"
"305","2006",1237,"laucode","bldn_sec","all"
"643","2006",1237,"laucode","bldn_sec","all"
"305","2007",1202,"laucode","bldn_sec","all"
"643","2007",1202,"laucode","bldn_sec","all"
"305","2008",1168,"laucode","bldn_sec","all"
"643","2008",1168,"laucode","bldn_sec","all"
"305","2009",1135,"laucode","bldn_sec","all"
"643","2009",1135,"laucode","bldn_sec","all"
"305","2010",1135,"laucode","bldn_sec","all"
"643","2010",1135,"laucode","bldn_sec","all"
"305","2011",1117,"laucode","bldn_sec","all"
"643","2011",1117,"laucode","bldn_sec","all"
"305","2012",1136,"laucode","bldn_sec","all"
"643","2012",1136,"laucode","bldn_sec","all"
"305","2013",1093,"laucode","bldn_sec","all"
"643","2013",1093,"laucode","bldn_sec","all"
"305","2014",1074,"laucode","bldn_sec","all"
"643","2014",1074,"laucode","bldn_sec","all"
"305","2015",1078,"laucode","bldn_sec","all"
"643","2015",1078,"laucode","bldn_sec","all"
"305","2016",1061,"laucode","bldn_sec","all"
"643","2016",1061,"laucode","bldn_sec","all"
"305","2017",1030,"laucode","bldn_sec","all"
"643","2017",1030,"laucode","bldn_sec","all"
"305","2018",1021,"laucode","bldn_sec","all"
"643","2018",1021,"laucode","bldn_sec","all"
"305","2019",1010,"laucode","bldn_sec","all"
"643","2019",1010,"laucode","bldn_sec","all"
"305","2020",984,"laucode","bldn_sec","all"
"643","2020",984,"laucode","bldn_sec","all"
"305","2021",958,"laucode","bldn_sec","all"
"643","2021",958,"laucode","bldn_sec","all"
"305","2022",966,"laucode","bldn_sec","all"
"643","2022",966,"laucode","bldn_sec","all"
"305","2023",952,"laucode","bldn_sec","all"
"643","2023",952,"laucode","bldn_sec","all"
"305","2024",951,"laucode","bldn_sec","all"
"643","2024",951,"laucode","bldn_sec","all"
"319","1998",581,"laucode","bldn_sec","all"
"319","1999",570,"laucode","bldn_sec","all"
"319","2000",575,"laucode","bldn_sec","all"
"319","2001",512,"laucode","bldn_sec","all"
"319","2002",500,"laucode","bldn_sec","all"
"319","2003",562,"laucode","bldn_sec","all"
"319","2004",542,"laucode","bldn_sec","all"
"319","2005",565,"laucode","bldn_sec","all"
"319","2006",583,"laucode","bldn_sec","all"
"319","2007",572,"laucode","bldn_sec","all"
"319","2008",610,"laucode","bldn_sec","all"
"319","2009",611,"laucode","bldn_sec","all"
"319","2010",611,"laucode","bldn_sec","all"
"319","2011",618,"laucode","bldn_sec","all"
"319","2012",646,"laucode","bldn_sec","all"
"319","2013",636,"laucode","bldn_sec","all"
"319","2014",636,"laucode","bldn_sec","all"
"319","2015",605,"laucode","bldn_sec","all"
"319","2016",603,"laucode","bldn_sec","all"
"319","2017",597,"laucode","bldn_sec","all"
"319","2018",663,"laucode","bldn_sec","all"
"319","2019",680,"laucode","bldn_sec","all"
"319","2020",675,"laucode","bldn_sec","all"
"319","2021",682,"laucode","bldn_sec","all"
"319","2022",679,"laucode","bldn_sec","all"
"319","2023",696,"laucode","bldn_sec","all"
"319","2024",690,"laucode","bldn_sec","all"
"330","1998",0,"laucode","bldn_sec","all"
"330","1999",0,"laucode","bldn_sec","all"
"330","2000",0,"laucode","bldn_sec","all"
"330","2001",0,"laucode","bldn_sec","all"
"330","2002",0,"laucode","bldn_sec","all"
"330","2003",1184,"laucode","bldn_sec","all"
"330","2004",634,"laucode","bldn_sec","all"
"330","2005",636,"laucode","bldn_sec","all"
"330","2006",610,"laucode","bldn_sec","all"
"330","2007",626,"laucode","bldn_sec","all"
"330","2008",600,"laucode","bldn_sec","all"
"330","2009",690,"laucode","bldn_sec","all"
"330","2010",540,"laucode","bldn_sec","all"
"330","2011",518,"laucode","bldn_sec","all"
"330","2012",506,"laucode","bldn_sec","all"
"330","2013",480,"laucode","bldn_sec","all"
"330","2014",471,"laucode","bldn_sec","all"
"330","2015",482,"laucode","bldn_sec","all"
"330","2016",462,"laucode","bldn_sec","all"
"330","2017",451,"laucode","bldn_sec","all"
"330","2018",455,"laucode","bldn_sec","all"
"330","2019",440,"laucode","bldn_sec","all"
"330","2020",437,"laucode","bldn_sec","all"
"330","2021",432,"laucode","bldn_sec","all"
"330","2022",429,"laucode","bldn_sec","all"
"330","2023",438,"laucode","bldn_sec","all"
"330","2024",429,"laucode","bldn_sec","all"
"331","1998",1733,"laucode","bldn_sec","all"
"331","1999",1712,"laucode","bldn_sec","all"
"331","2000",1730,"laucode","bldn_sec","all"
"331","2001",1727,"laucode","bldn_sec","all"
"331","2002",1708,"laucode","bldn_sec","all"
"331","2003",1722,"laucode","bldn_sec","all"
"331","2004",1722,"laucode","bldn_sec","all"
"331","2005",1748,"laucode","bldn_sec","all"
"331","2006",1757,"laucode","bldn_sec","all"
"331","2007",1731,"laucode","bldn_sec","all"
"331","2008",1727,"laucode","bldn_sec","all"
"331","2009",1705,"laucode","bldn_sec","all"
"331","2010",1719,"laucode","bldn_sec","all"
"331","2011",1720,"laucode","bldn_sec","all"
"331","2012",1717,"laucode","bldn_sec","all"
"331","2013",1715,"laucode","bldn_sec","all"
"331","2014",1683,"laucode","bldn_sec","all"
"331","2015",1691,"laucode","bldn_sec","all"
"331","2016",1700,"laucode","bldn_sec","all"
"331","2017",1701,"laucode","bldn_sec","all"
"331","2018",1704,"laucode","bldn_sec","all"
"331","2019",1700,"laucode","bldn_sec","all"
"331","2020",1686,"laucode","bldn_sec","all"
"331","2021",1675,"laucode","bldn_sec","all"
"331","2022",1667,"laucode","bldn_sec","all"
