"laucode","year","value","type.of.building"
"484",2008,1650,"all"
"484",2009,1716,"all"
"484",2010,1791,"all"
"484",2011,1836,"all"
"484",2012,1874,"all"
"484",2013,1956,"all"
"484",2014,2073,"all"
"484",2015,2214,"all"
"484",2016,2373,"all"
"484",2017,2519,"all"
"484",2018,2596,"all"
"484",2019,2591,"all"
"484",2020,2656,"all"
"484",2021,2823,"all"
"484",2022,2886,"all"
"484",2023,2670,"all"
"484",2024,2679,"all"
"486",1990,958,"all"
"486",1991,977,"all"
"486",1992,961,"all"
"486",1993,928,"all"
"486",1994,930,"all"
"486",1995,926,"all"
"486",1996,930,"all"
"486",1997,938,"all"
"486",1998,952,"all"
"486",1999,962,"all"
"486",2000,986,"all"
"486",2001,1001,"all"
"486",2002,1023,"all"
"486",2003,1056,"all"
"486",2004,1079,"all"
"486",2005,1143,"all"
"486",2006,1212,"all"
"486",2007,1276,"all"
"486",2008,1325,"all"
"486",2009,1372,"all"
"486",2010,1426,"all"
"486",2011,1457,"all"
"486",2012,1480,"all"
"486",2013,1540,"all"
"486",2014,1598,"all"
"486",2015,1693,"all"
"486",2016,1811,"all"
"486",2017,1916,"all"
"486",2018,1963,"all"
"486",2019,1936,"all"
"486",2020,2012,"all"
"486",2021,2165,"all"
"486",2022,2246,"all"
"486",2023,2168,"all"
"486",2024,2198,"all"
"488",1990,1398,"all"
"488",1991,1425,"all"
"488",1992,1401,"all"
"488",1993,1354,"all"
"488",1994,1357,"all"
"488",1995,1351,"all"
"488",1996,1357,"all"
"488",1997,1368,"all"
"488",1998,1389,"all"
"488",1999,1404,"all"
"488",2000,1440,"all"
"488",2001,1460,"all"
"488",2002,1492,"all"
"488",2003,1540,"all"
"488",2004,1573,"all"
"488",2005,1683,"all"
"488",2006,1798,"all"
"488",2007,1908,"all"
"488",2008,1994,"all"
"488",2009,2077,"all"
"488",2010,2171,"all"
"488",2011,2231,"all"
"488",2012,2280,"all"
"488",2013,2382,"all"
"488",2014,2547,"all"
"488",2015,2687,"all"
"488",2016,2855,"all"
"488",2017,3008,"all"
"488",2018,3065,"all"
"488",2019,2936,"all"
"488",2020,3086,"all"
"488",2021,3352,"all"
"488",2022,3506,"all"
"488",2023,3465,"all"
"488",2024,3372,"all"
"509",1990,621,"all"
"509",1991,627,"all"
"509",1992,622,"all"
"509",1993,612,"all"
"509",1994,614,"all"
"509",1995,614,"all"
"509",1996,615,"all"
"509",1997,621,"all"
"509",1998,631,"all"
"509",1999,639,"all"
"509",2000,651,"all"
"509",2001,662,"all"
"509",2002,677,"all"
"509",2003,689,"all"
"509",2004,709,"all"
"509",2005,771,"all"
"509",2006,831,"all"
"509",2007,892,"all"
"509",2008,937,"all"
"509",2009,993,"all"
"509",2010,1046,"all"
"509",2011,1086,"all"
"509",2012,1123,"all"
"509",2013,1174,"all"
"509",2014,1268,"all"
"509",2015,1352,"all"
"509",2016,1429,"all"
"509",2017,1527,"all"
"509",2018,1580,"all"
"509",2019,1590,"all"
"509",2020,1645,"all"
"509",2021,1773,"all"
"509",2022,1805,"all"
"509",2023,1800,"all"
"509",2024,1754,"all"
"512",1990,498,"all"
"512",1991,504,"all"
"512",1992,499,"all"
"512",1993,491,"all"
"512",1994,493,"all"
"512",1995,493,"all"
"512",1996,494,"all"
"512",1997,498,"all"
"512",1998,507,"all"
"512",1999,514,"all"
"512",2000,523,"all"
"512",2001,532,"all"
"512",2002,544,"all"
"512",2003,553,"all"
"512",2004,570,"all"
"512",2005,604,"all"
"512",2006,636,"all"
"512",2007,670,"all"
"512",2008,691,"all"
"512",2009,720,"all"
"512",2010,747,"all"
"512",2011,763,"all"
"512",2012,778,"all"
"512",2013,804,"all"
"512",2014,798,"all"
"512",2015,870,"all"
"512",2016,933,"all"
"512",2017,1013,"all"
"512",2018,1065,"all"
"512",2019,1126,"all"
"512",2020,1155,"all"
"512",2021,1235,"all"
"512",2022,1248,"all"
"512",2023,1212,"all"
"512",2024,1531,"all"
"513",1990,693,"all"
"513",1991,701,"all"
"513",1992,694,"all"
"513",1993,683,"all"
"513",1994,686,"all"
"513",1995,686,"all"
"513",1996,687,"all"
"513",1997,693,"all"
"513",1998,705,"all"
"513",1999,715,"all"
"513",2000,727,"all"
"513",2001,740,"all"
"513",2002,756,"all"
"513",2003,770,"all"
"513",2004,793,"all"
"513",2005,849,"all"
"513",2006,902,"all"
"513",2007,958,"all"
"513",2008,995,"all"
"513",2009,1044,"all"
"513",2010,1091,"all"
"513",2011,1121,"all"
"513",2012,1150,"all"
"513",2013,1195,"all"
"513",2014,1229,"all"
"513",2015,1295,"all"
"513",2016,1352,"all"
"513",2017,1425,"all"
"513",2018,1465,"all"
"513",2019,1409,"all"
"513",2020,1455,"all"
"513",2021,1566,"all"
"513",2022,1588,"all"
"513",2023,1568,"all"
"513",2024,1812,"all"
"560",1990,469,"all"
"560",1991,475,"all"
"560",1992,470,"all"
"560",1993,462,"all"
"560",1994,464,"all"
"560",1995,464,"all"
"560",1996,465,"all"
"560",1997,469,"all"
"560",1998,478,"all"
"560",1999,484,"all"
"560",2000,493,"all"
"560",2001,500,"all"
"560",2002,512,"all"
"560",2003,521,"all"
"560",2004,538,"all"
"560",2005,584,"all"
"560",2006,630,"all"
"560",2007,676,"all"
"560",2008,710,"all"
"560",2009,753,"all"
"560",2010,794,"all"
"560",2011,823,"all"
"560",2012,853,"all"
"560",2013,892,"all"
"560",2014,964,"all"
"560",2015,1049,"all"
"560",2016,1126,"all"
"560",2017,1217,"all"
"560",2018,1279,"all"
"560",2019,1337,"all"
"560",2020,1368,"all"
"560",2021,1463,"all"
"560",2022,1472,"all"
"560",2023,1420,"all"
"560",2024,1522,"all"
"561",1990,712,"all"
"561",1991,720,"all"
"561",1992,714,"all"
"561",1993,703,"all"
"561",1994,705,"all"
"561",1995,705,"all"
"561",1996,706,"all"
"561",1997,712,"all"
"561",1998,724,"all"
"561",1999,734,"all"
"561",2000,747,"all"
"561",2001,760,"all"
"561",2002,777,"all"
"561",2003,791,"all"
"561",2004,815,"all"
"561",2005,868,"all"
"561",2006,918,"all"
"561",2007,970,"all"
"561",2008,1004,"all"
"561",2009,1049,"all"
"561",2010,1093,"all"
"561",2011,1119,"all"
"561",2012,1144,"all"
"561",2013,1186,"all"
"561",2014,1198,"all"
"561",2015,1288,"all"
"561",2016,1366,"all"
"561",2017,1464,"all"
"561",2018,1525,"all"
"561",2019,1550,"all"
"561",2020,1582,"all"
"561",2021,1685,"all"
"561",2022,1695,"all"
"561",2023,1622,"all"
"561",2024,1710,"all"
"562",1990,439,"all"
"562",1991,444,"all"
"562",1992,440,"all"
"562",1993,433,"all"
"562",1994,435,"all"
"562",1995,435,"all"
"562",1996,436,"all"
"562",1997,439,"all"
"562",1998,447,"all"
"562",1999,453,"all"
"562",2000,461,"all"
"562",2001,469,"all"
"562",2002,479,"all"
"562",2003,488,"all"
"562",2004,503,"all"
"562",2005,537,"all"
"562",2006,570,"all"
"562",2007,604,"all"
"562",2008,626,"all"
"562",2009,656,"all"
"562",2010,685,"all"
"562",2011,703,"all"
"562",2012,720,"all"
"562",2013,748,"all"
"562",2014,765,"all"
"562",2015,841,"all"
"562",2016,909,"all"
"562",2017,991,"all"
"562",2018,1048,"all"
"562",2019,1123,"all"
"562",2020,1150,"all"
"562",2021,1229,"all"
"562",2022,1236,"all"
"562",2023,1189,"all"
"562",2024,1158,"all"
"563",1990,559,"all"
"563",1991,566,"all"
"563",1992,561,"all"
"563",1993,552,"all"
"563",1994,554,"all"
"563",1995,554,"all"
"563",1996,555,"all"
"563",1997,559,"all"
"563",1998,569,"all"
"563",1999,577,"all"
"563",2000,587,"all"
"563",2001,597,"all"
"563",2002,611,"all"
"563",2003,622,"all"
"563",2004,640,"all"
"563",2005,685,"all"
"563",2006,729,"all"
"563",2007,774,"all"
"563",2008,804,"all"
"563",2009,843,"all"
"563",2010,881,"all"
"563",2011,906,"all"
"563",2012,930,"all"
"563",2013,965,"all"
"563",2014,994,"all"
"563",2015,1035,"all"
"563",2016,1068,"all"
"563",2017,1118,"all"
"563",2018,1133,"all"
"563",2019,1053,"all"
"563",2020,1089,"all"
"563",2021,1177,"all"
"563",2022,1197,"all"
"563",2023,1198,"all"
"563",2024,1338,"all"
"580",1990,1771,"all"
"580",1991,1792,"all"
"580",1992,1773,"all"
"580",1993,1745,"all"
"580",1994,1752,"all"
"580",1995,1752,"all"
"580",1996,1756,"all"
"580",1997,1771,"all"
"580",1998,1801,"all"
"580",1999,1826,"all"
"580",2000,1858,"all"
"580",2001,1890,"all"
"580",2002,1932,"all"
"580",2003,1967,"all"
"580",2004,2027,"all"
"580",2005,2178,"all"
"580",2006,2324,"all"
"580",2007,2476,"all"
"580",2008,2581,"all"
"580",2009,2714,"all"
"580",2010,2843,"all"
"580",2011,2931,"all"
"580",2012,3014,"all"
"580",2013,3137,"all"
"580",2014,3296,"all"
"580",2015,3501,"all"
"580",2016,3673,"all"
"580",2017,3887,"all"
"580",2018,4001,"all"
"580",2019,3910,"all"
"580",2020,3983,"all"
"580",2021,4232,"all"
"580",2022,4237,"all"
"580",2023,4027,"all"
"580",2024,4121,"all"
"581",1990,1031,"all"
"581",1991,1043,"all"
"581",1992,1034,"all"
"581",1993,1017,"all"
"581",1994,1021,"all"
"581",1995,1021,"all"
"581",1996,1023,"all"
"581",1997,1031,"all"
"581",1998,1050,"all"
"581",1999,1065,"all"
"581",2000,1083,"all"
"581",2001,1101,"all"
"581",2002,1125,"all"
"581",2003,1146,"all"
"581",2004,1181,"all"
"581",2005,1281,"all"
"581",2006,1379,"all"
"581",2007,1480,"all"
"581",2008,1554,"all"
"581",2009,1644,"all"
"581",2010,1733,"all"
"581",2011,1796,"all"
"581",2012,1857,"all"
"581",2013,1941,"all"
"581",2014,2089,"all"
"581",2015,2228,"all"
"581",2016,2352,"all"
"581",2017,2505,"all"
"581",2018,2596,"all"
"581",2019,2594,"all"
"581",2020,2639,"all"
"581",2021,2796,"all"
"581",2022,2794,"all"
"581",2023,2638,"all"
"581",2024,2644,"all"
"582",1990,888,"all"
"582",1991,899,"all"
"582",1992,890,"all"
"582",1993,877,"all"
"582",1994,879,"all"
"582",1995,879,"all"
"582",1996,881,"all"
"582",1997,888,"all"
"582",1998,905,"all"
"582",1999,917,"all"
"582",2000,933,"all"
"582",2001,949,"all"
"582",2002,970,"all"
"582",2003,988,"all"
"582",2004,1017,"all"
"582",2005,1103,"all"
"582",2006,1186,"all"
"582",2007,1271,"all"
"582",2008,1334,"all"
"582",2009,1410,"all"
"582",2010,1485,"all"
"582",2011,1538,"all"
"582",2012,1590,"all"
"582",2013,1661,"all"
"582",2014,1785,"all"
"582",2015,1900,"all"
"582",2016,2011,"all"
"582",2017,2142,"all"
"582",2018,2221,"all"
"582",2019,2211,"all"
"582",2020,2240,"all"
"582",2021,2376,"all"
"582",2022,2374,"all"
"582",2023,2235,"all"
"582",2024,2194,"all"
"583",1990,717,"all"
"583",1991,725,"all"
"583",1992,718,"all"
"583",1993,707,"all"
"583",1994,709,"all"
"583",1995,709,"all"
"583",1996,711,"all"
"583",1997,717,"all"
"583",1998,729,"all"
"583",1999,740,"all"
"583",2000,752,"all"
"583",2001,765,"all"
"583",2002,782,"all"
"583",2003,796,"all"
"583",2004,821,"all"
"583",2005,878,"all"
"583",2006,935,"all"
"583",2007,992,"all"
"583",2008,1031,"all"
"583",2009,1082,"all"
"583",2010,1131,"all"
"583",2011,1163,"all"
"583",2012,1193,"all"
"583",2013,1240,"all"
"583",2014,1276,"all"
"583",2015,1387,"all"
"583",2016,1482,"all"
"583",2017,1598,"all"
"583",2018,1674,"all"
"583",2019,1746,"all"
"583",2020,1769,"all"
"583",2021,1869,"all"
"583",2022,1861,"all"
"583",2023,1736,"all"
"583",2024,1796,"all"
"584",1990,884,"all"
"584",1991,895,"all"
"584",1992,886,"all"
"584",1993,872,"all"
"584",1994,876,"all"
"584",1995,876,"all"
"584",1996,878,"all"
"584",1997,884,"all"
"584",1998,901,"all"
"584",1999,912,"all"
"584",2000,929,"all"
"584",2001,944,"all"
"584",2002,966,"all"
"584",2003,983,"all"
"584",2004,1012,"all"
"584",2005,1083,"all"
"584",2006,1152,"all"
"584",2007,1222,"all"
"584",2008,1269,"all"
"584",2009,1331,"all"
"584",2010,1390,"all"
"584",2011,1429,"all"
"584",2012,1466,"all"
"584",2013,1523,"all"
"584",2014,1566,"all"
"584",2015,1682,"all"
"584",2016,1787,"all"
"584",2017,1928,"all"
"584",2018,2011,"all"
"584",2019,2046,"all"
"584",2020,2134,"all"
"584",2021,2311,"all"
"584",2022,2364,"all"
"584",2023,2392,"all"
"584",2024,2471,"all"
"586",1990,745,"all"
"586",1991,753,"all"
"586",1992,746,"all"
"586",1993,734,"all"
"586",1994,737,"all"
"586",1995,737,"all"
"586",1996,739,"all"
"586",1997,745,"all"
"586",1998,757,"all"
"586",1999,768,"all"
"586",2000,782,"all"
"586",2001,794,"all"
"586",2002,813,"all"
"586",2003,827,"all"
"586",2004,853,"all"
"586",2005,916,"all"
"586",2006,978,"all"
"586",2007,1041,"all"
"586",2008,1086,"all"
"586",2009,1142,"all"
"586",2010,1197,"all"
"586",2011,1234,"all"
"586",2012,1269,"all"
"586",2013,1322,"all"
"586",2014,1379,"all"
"586",2015,1476,"all"
"586",2016,1566,"all"
"586",2017,1668,"all"
"586",2018,1732,"all"
"586",2019,1744,"all"
"586",2020,1789,"all"
"586",2021,1910,"all"
"586",2022,1926,"all"
"586",2023,1871,"all"
"586",2024,1936,"all"
"604",1990,403,"all"
"604",1991,409,"all"
"604",1992,404,"all"
"604",1993,399,"all"
"604",1994,402,"all"
"604",1995,403,"all"
"604",1996,404,"all"
"604",1997,409,"all"
"604",1998,415,"all"
"604",1999,421,"all"
"604",2000,427,"all"
"604",2001,435,"all"
"604",2002,443,"all"
"604",2003,451,"all"
"604",2004,460,"all"
"604",2005,487,"all"
"604",2006,515,"all"
"604",2007,543,"all"
"604",2008,567,"all"
"604",2009,588,"all"
"604",2010,614,"all"
"604",2011,628,"all"
"604",2012,641,"all"
"604",2013,664,"all"
"604",2014,668,"all"
"604",2015,743,"all"
"604",2016,815,"all"
"604",2017,896,"all"
"604",2018,960,"all"
"604",2019,1042,"all"
"604",2020,1088,"all"
"604",2021,1151,"all"
"604",2022,1194,"all"
"604",2023,1152,"all"
"604",2024,1189,"all"
"617",1990,573,"all"
"617",1991,581,"all"
"617",1992,574,"all"
"617",1993,567,"all"
"617",1994,572,"all"
"617",1995,573,"all"
"617",1996,574,"all"
"617",1997,581,"all"
"617",1998,590,"all"
"617",1999,598,"all"
"617",2000,607,"all"
"617",2001,619,"all"
"617",2002,629,"all"
"617",2003,640,"all"
"617",2004,654,"all"
"617",2005,683,"all"
"617",2006,714,"all"
"617",2007,746,"all"
"617",2008,770,"all"
"617",2009,792,"all"
"617",2010,821,"all"
"617",2011,832,"all"
"617",2012,840,"all"
"617",2013,864,"all"
"617",2014,823,"all"
"617",2015,865,"all"
"617",2016,909,"all"
"617",2017,963,"all"
"617",2018,992,"all"
"617",2019,949,"all"
"617",2020,999,"all"
"617",2021,1068,"all"
"617",2022,1118,"all"
"617",2023,1106,"all"
"617",2024,1031,"all"
"642",1990,582,"all"
"642",1991,589,"all"
"642",1992,583,"all"
"642",1993,576,"all"
"642",1994,580,"all"
"642",1995,582,"all"
"642",1996,583,"all"
"642",1997,589,"all"
"642",1998,599,"all"
"642",1999,607,"all"
"642",2000,617,"all"
"642",2001,629,"all"
"642",2002,639,"all"
"642",2003,651,"all"
"642",2004,665,"all"
"642",2005,711,"all"
"642",2006,759,"all"
"642",2007,808,"all"
"642",2008,850,"all"
"642",2009,888,"all"
"642",2010,935,"all"
"642",2011,963,"all"
"642",2012,988,"all"
"642",2013,1029,"all"
"642",2014,1077,"all"
"642",2015,1172,"all"
"642",2016,1266,"all"
"642",2017,1380,"all"
"642",2018,1465,"all"
"642",2019,1532,"all"
"642",2020,1572,"all"
"642",2021,1647,"all"
"642",2022,1681,"all"
"642",2023,1551,"all"
"642",2024,1698,"all"
"643",1990,800,"all"
"643",1991,812,"all"
"643",1992,801,"all"
"643",1993,792,"all"
"643",1994,798,"all"
"643",1995,800,"all"
"643",1996,801,"all"
"643",1997,812,"all"
"643",1998,824,"all"
"643",1999,835,"all"
"643",2000,848,"all"
"643",2001,864,"all"
"643",2002,878,"all"
"643",2003,894,"all"
"643",2004,913,"all"
"643",2005,998,"all"
"643",2006,1084,"all"
"643",2007,1172,"all"
"643",2008,1250,"all"
"643",2009,1324,"all"
"643",2010,1407,"all"
"643",2011,1465,"all"
"643",2012,1520,"all"
"643",2013,1598,"all"
"643",2014,1764,"all"
"643",2015,1859,"all"
"643",2016,1953,"all"
"643",2017,2075,"all"
"643",2018,2148,"all"
"643",2019,2061,"all"
"643",2020,2141,"all"
"643",2021,2265,"all"
"643",2022,2342,"all"
"643",2023,2237,"all"
"643",2024,2272,"all"
"662",1990,604,"all"
"662",1991,612,"all"
"662",1992,605,"all"
"662",1993,598,"all"
"662",1994,603,"all"
"662",1995,604,"all"
"662",1996,605,"all"
"662",1997,612,"all"
"662",1998,623,"all"
"662",1999,631,"all"
"662",2000,641,"all"
"662",2001,653,"all"
"662",2002,663,"all"
"662",2003,676,"all"
"662",2004,690,"all"
"662",2005,717,"all"
"662",2006,748,"all"
"662",2007,777,"all"
"662",2008,800,"all"
"662",2009,820,"all"
"662",2010,847,"all"
"662",2011,856,"all"
"662",2012,861,"all"
"662",2013,884,"all"
"662",2014,820,"all"
"662",2015,862,"all"
"662",2016,905,"all"
"662",2017,961,"all"
"662",2018,992,"all"
"662",2019,946,"all"
"662",2020,974,"all"
"662",2021,1021,"all"
"662",2022,1047,"all"
"662",2023,978,"all"
"662",2024,982,"all"
"665",1990,575,"all"
"665",1991,583,"all"
"665",1992,576,"all"
"665",1993,569,"all"
"665",1994,573,"all"
"665",1995,575,"all"
"665",1996,576,"all"
"665",1997,583,"all"
"665",1998,592,"all"
"665",1999,600,"all"
"665",2000,610,"all"
"665",2001,621,"all"
"665",2002,631,"all"
"665",2003,643,"all"
"665",2004,657,"all"
"665",2005,703,"all"
"665",2006,752,"all"
"665",2007,801,"all"
"665",2008,843,"all"
"665",2009,883,"all"
"665",2010,930,"all"
"665",2011,957,"all"
"665",2012,984,"all"
"665",2013,1026,"all"
"665",2014,1078,"all"
"665",2015,1153,"all"
"665",2016,1226,"all"
"665",2017,1317,"all"
"665",2018,1377,"all"
"665",2019,1381,"all"
"665",2020,1428,"all"
"665",2021,1506,"all"
"665",2022,1551,"all"
"665",2023,1474,"all"
"665",2024,1536,"all"
"680",1990,1131,"all"
"680",1991,1147,"all"
"680",1992,1134,"all"
"680",1993,1120,"all"
"680",1994,1129,"all"
"680",1995,1131,"all"
"680",1996,1134,"all"
"680",1997,1147,"all"
"680",1998,1166,"all"
"680",1999,1181,"all"
"680",2000,1200,"all"
"680",2001,1222,"all"
"680",2002,1243,"all"
"680",2003,1266,"all"
"680",2004,1293,"all"
"680",2005,1389,"all"
"680",2006,1490,"all"
"680",2007,1591,"all"
"680",2008,1679,"all"
"680",2009,1761,"all"
"680",2010,1858,"all"
"680",2011,1917,"all"
"680",2012,1974,"all"
"680",2013,2061,"all"
"680",2014,2181,"all"
"680",2015,2315,"all"
"680",2016,2449,"all"
"680",2017,2616,"all"
"680",2018,2716,"all"
"680",2019,2661,"all"
"680",2020,2748,"all"
"680",2021,2894,"all"
"680",2022,2985,"all"
"680",2023,2807,"all"
"680",2024,2807,"all"
"682",1990,457,"all"
"682",1991,464,"all"
"682",1992,458,"all"
"682",1993,453,"all"
"682",1994,456,"all"
"682",1995,457,"all"
"682",1996,458,"all"
"682",1997,464,"all"
"682",1998,471,"all"
"682",1999,477,"all"
"682",2000,484,"all"
"682",2001,493,"all"
"682",2002,502,"all"
"682",2003,511,"all"
"682",2004,522,"all"
"682",2005,555,"all"
"682",2006,589,"all"
"682",2007,624,"all"
"682",2008,654,"all"
"682",2009,681,"all"
"682",2010,714,"all"
"682",2011,732,"all"
"682",2012,748,"all"
"682",2013,778,"all"
"682",2014,796,"all"
"682",2015,866,"all"
"682",2016,937,"all"
"682",2017,1020,"all"
"682",2018,1079,"all"
"682",2019,1126,"all"
"682",2020,1162,"all"
"682",2021,1221,"all"
"682",2022,1255,"all"
"682",2023,1181,"all"
"682",2024,1209,"all"
"683",1990,889,"all"
"683",1991,901,"all"
"683",1992,890,"all"
"683",1993,879,"all"
"683",1994,887,"all"
"683",1995,889,"all"
"683",1996,890,"all"
"683",1997,901,"all"
"683",1998,915,"all"
"683",1999,927,"all"
"683",2000,942,"all"
"683",2001,960,"all"
"683",2002,976,"all"
"683",2003,994,"all"
"683",2004,1015,"all"
"683",2005,1071,"all"
"683",2006,1132,"all"
"683",2007,1192,"all"
"683",2008,1242,"all"
"683",2009,1288,"all"
"683",2010,1344,"all"
"683",2011,1373,"all"
"683",2012,1397,"all"
"683",2013,1447,"all"
"683",2014,1446,"all"
"683",2015,1533,"all"
"683",2016,1622,"all"
"683",2017,1730,"all"
"683",2018,1798,"all"
"683",2019,1763,"all"
"683",2020,1853,"all"
"683",2021,1977,"all"
"683",2022,2059,"all"
"683",2023,2026,"all"
"683",2024,2055,"all"
"684",1990,339,"all"
"684",1991,344,"all"
"684",1992,340,"all"
"684",1993,337,"all"
"684",1994,338,"all"
"684",1995,339,"all"
"684",1996,340,"all"
"684",1997,344,"all"
"684",1998,350,"all"
"684",1999,355,"all"
"684",2000,360,"all"
"684",2001,367,"all"
"684",2002,373,"all"
"684",2003,379,"all"
"684",2004,388,"all"
"684",2005,417,"all"
"684",2006,447,"all"
"684",2007,478,"all"
"684",2008,504,"all"
"684",2009,529,"all"
"684",2010,558,"all"
"684",2011,576,"all"
"684",2012,593,"all"
"684",2013,620,"all"
"684",2014,658,"all"
"684",2015,706,"all"
"684",2016,759,"all"
"684",2017,819,"all"
"684",2018,856,"all"
"684",2019,864,"all"
"684",2020,892,"all"
"684",2021,939,"all"
"684",2022,964,"all"
"684",2023,909,"all"
"684",2024,964,"all"
"685",1990,542,"all"
"685",1991,550,"all"
"685",1992,543,"all"
"685",1993,537,"all"
"685",1994,541,"all"
"685",1995,542,"all"
"685",1996,543,"all"
"685",1997,550,"all"
"685",1998,559,"all"
"685",1999,566,"all"
"685",2000,575,"all"
"685",2001,586,"all"
"685",2002,595,"all"
"685",2003,606,"all"
"685",2004,620,"all"
"685",2005,662,"all"
"685",2006,705,"all"
"685",2007,749,"all"
"685",2008,786,"all"
"685",2009,822,"all"
"685",2010,864,"all"
"685",2011,887,"all"
"685",2012,910,"all"
"685",2013,947,"all"
"685",2014,981,"all"
"685",2015,1034,"all"
"685",2016,1088,"all"
"685",2017,1156,"all"
"685",2018,1193,"all"
"685",2019,1142,"all"
"685",2020,1192,"all"
"685",2021,1265,"all"
"685",2022,1310,"all"
"685",2023,1266,"all"
"685",2024,1325,"all"
"686",1990,621,"all"
"686",1991,629,"all"
"686",1992,622,"all"
"686",1993,615,"all"
"686",1994,619,"all"
"686",1995,621,"all"
"686",1996,622,"all"
"686",1997,629,"all"
"686",1998,639,"all"
"686",1999,648,"all"
"686",2000,658,"all"
"686",2001,670,"all"
"686",2002,682,"all"
"686",2003,693,"all"
"686",2004,709,"all"
"686",2005,752,"all"
"686",2006,799,"all"
"686",2007,845,"all"
"686",2008,884,"all"
"686",2009,920,"all"
"686",2010,964,"all"
"686",2011,987,"all"
"686",2012,1008,"all"
"686",2013,1047,"all"
"686",2014,1066,"all"
"686",2015,1126,"all"
"686",2016,1186,"all"
"686",2017,1262,"all"
"686",2018,1306,"all"
"686",2019,1259,"all"
"686",2020,1327,"all"
"686",2021,1420,"all"
"686",2022,1480,"all"
"686",2023,1462,"all"
"686",2024,1572,"all"
"687",1990,639,"all"
"687",1991,647,"all"
"687",1992,640,"all"
"687",1993,632,"all"
"687",1994,638,"all"
"687",1995,639,"all"
"687",1996,640,"all"
"687",1997,647,"all"
"687",1998,658,"all"
"687",1999,666,"all"
"687",2000,677,"all"
"687",2001,690,"all"
"687",2002,702,"all"
"687",2003,714,"all"
"687",2004,730,"all"
"687",2005,776,"all"
"687",2006,825,"all"
"687",2007,875,"all"
"687",2008,916,"all"
"687",2009,955,"all"
"687",2010,1001,"all"
"687",2011,1027,"all"
"687",2012,1050,"all"
"687",2013,1092,"all"
"687",2014,1124,"all"
"687",2015,1204,"all"
"687",2016,1286,"all"
"687",2017,1385,"all"
"687",2018,1451,"all"
"687",2019,1465,"all"
"687",2020,1509,"all"
"687",2021,1588,"all"
"687",2022,1630,"all"
"687",2023,1521,"all"
"687",2024,1599,"all"
"760",1990,359,"all"
"760",1991,366,"all"
"760",1992,364,"all"
"760",1993,358,"all"
"760",1994,364,"all"
"760",1995,365,"all"
"760",1996,366,"all"
"760",1997,369,"all"
"760",1998,374,"all"
"760",1999,378,"all"
"760",2000,382,"all"
"760",2001,387,"all"
"760",2002,392,"all"
"760",2003,400,"all"
"760",2004,410,"all"
"760",2005,436,"all"
"760",2006,461,"all"
"760",2007,488,"all"
"760",2008,506,"all"
"760",2009,525,"all"
"760",2010,543,"all"
"760",2011,554,"all"
"760",2012,565,"all"
"760",2013,583,"all"
"760",2014,583,"all"
"760",2015,607,"all"
"760",2016,635,"all"
"760",2017,662,"all"
"760",2018,677,"all"
"760",2019,643,"all"
"760",2020,681,"all"
"760",2021,739,"all"
"760",2022,777,"all"
"760",2023,803,"all"
"760",2024,822,"all"
"761",1990,386,"all"
"761",1991,392,"all"
"761",1992,390,"all"
"761",1993,384,"all"
"761",1994,391,"all"
"761",1995,392,"all"
"761",1996,392,"all"
"761",1997,396,"all"
"761",1998,402,"all"
"761",1999,406,"all"
"761",2000,410,"all"
"761",2001,416,"all"
"761",2002,420,"all"
"761",2003,429,"all"
"761",2004,440,"all"
"761",2005,469,"all"
"761",2006,498,"all"
"761",2007,529,"all"
"761",2008,550,"all"
"761",2009,572,"all"
"761",2010,593,"all"
"761",2011,607,"all"
"761",2012,620,"all"
"761",2013,641,"all"
"761",2014,651,"all"
"761",2015,685,"all"
"761",2016,722,"all"
"761",2017,759,"all"
"761",2018,783,"all"
"761",2019,766,"all"
"761",2020,810,"all"
"761",2021,879,"all"
"761",2022,920,"all"
"761",2023,945,"all"
"761",2024,913,"all"
"763",1990,415,"all"
"763",1991,422,"all"
"763",1992,420,"all"
"763",1993,413,"all"
"763",1994,421,"all"
"763",1995,422,"all"
"763",1996,422,"all"
"763",1997,426,"all"
"763",1998,432,"all"
"763",1999,436,"all"
"763",2000,441,"all"
"763",2001,447,"all"
"763",2002,452,"all"
"763",2003,461,"all"
"763",2004,474,"all"
"763",2005,494,"all"
"763",2006,516,"all"
"763",2007,537,"all"
"763",2008,549,"all"
"763",2009,563,"all"
"763",2010,575,"all"
"763",2011,579,"all"
"763",2012,583,"all"
"763",2013,595,"all"
"763",2014,551,"all"
"763",2015,583,"all"
"763",2016,621,"all"
"763",2017,658,"all"
"763",2018,682,"all"
"763",2019,680,"all"
"763",2020,710,"all"
"763",2021,763,"all"
"763",2022,792,"all"
"763",2023,790,"all"
"763",2024,810,"all"
"764",1990,512,"all"
"764",1991,521,"all"
"764",1992,518,"all"
"764",1993,509,"all"
"764",1994,519,"all"
"764",1995,520,"all"
"764",1996,521,"all"
"764",1997,525,"all"
"764",1998,533,"all"
"764",1999,538,"all"
"764",2000,545,"all"
"764",2001,552,"all"
"764",2002,558,"all"
"764",2003,569,"all"
"764",2004,585,"all"
"764",2005,626,"all"
"764",2006,669,"all"
"764",2007,713,"all"
"764",2008,743,"all"
"764",2009,777,"all"
"764",2010,808,"all"
"764",2011,831,"all"
"764",2012,852,"all"
"764",2013,883,"all"
