"year","level","nuts","type.of.building","value","measure"
2016,"laucode","1460","flat",3472,"price_m2"
2017,"laucode","1460","flat",3600,"price_m2"
2018,"laucode","1460","flat",3615,"price_m2"
2019,"laucode","1460","flat",3315,"price_m2"
2020,"laucode","1460","flat",3482,"price_m2"
2021,"laucode","1460","flat",3752,"price_m2"
2022,"laucode","1460","flat",3919,"price_m2"
2023,"laucode","1460","flat",3961,"price_m2"
2024,"laucode","1460","flat",3743,"price_m2"
2013,"laucode","1460","house",695,"price_m2"
2014,"laucode","1460","house",693,"price_m2"
2015,"laucode","1460","house",715,"price_m2"
2016,"laucode","1460","house",731,"price_m2"
2017,"laucode","1460","house",758,"price_m2"
2018,"laucode","1460","house",761,"price_m2"
2019,"laucode","1460","house",698,"price_m2"
2020,"laucode","1460","house",733,"price_m2"
2021,"laucode","1460","house",790,"price_m2"
2022,"laucode","1460","house",825,"price_m2"
2023,"laucode","1460","house",834,"price_m2"
2024,"laucode","1460","house",788,"price_m2"
2013,"laucode","1461","all",822,"price_m2"
2014,"laucode","1461","all",822,"price_m2"
2015,"laucode","1461","all",867,"price_m2"
2016,"laucode","1461","all",907,"price_m2"
2017,"laucode","1461","all",956,"price_m2"
2018,"laucode","1461","all",979,"price_m2"
2019,"laucode","1461","all",959,"price_m2"
2020,"laucode","1461","all",993,"price_m2"
2021,"laucode","1461","all",1051,"price_m2"
2022,"laucode","1461","all",1080,"price_m2"
2023,"laucode","1461","all",1034,"price_m2"
2024,"laucode","1461","all",1187,"price_m2"
2013,"laucode","1461","flat",758,"price_m2"
2014,"laucode","1461","flat",758,"price_m2"
2015,"laucode","1461","flat",799,"price_m2"
2016,"laucode","1461","flat",836,"price_m2"
2017,"laucode","1461","flat",881,"price_m2"
2018,"laucode","1461","flat",902,"price_m2"
2019,"laucode","1461","flat",883,"price_m2"
2020,"laucode","1461","flat",915,"price_m2"
2021,"laucode","1461","flat",969,"price_m2"
2022,"laucode","1461","flat",995,"price_m2"
2023,"laucode","1461","flat",952,"price_m2"
2024,"laucode","1461","flat",1093,"price_m2"
2013,"laucode","1461","house",844,"price_m2"
2014,"laucode","1461","house",844,"price_m2"
2015,"laucode","1461","house",890,"price_m2"
2016,"laucode","1461","house",931,"price_m2"
2017,"laucode","1461","house",981,"price_m2"
2018,"laucode","1461","house",1005,"price_m2"
2019,"laucode","1461","house",984,"price_m2"
2020,"laucode","1461","house",1019,"price_m2"
2021,"laucode","1461","house",1079,"price_m2"
2022,"laucode","1461","house",1108,"price_m2"
2023,"laucode","1461","house",1061,"price_m2"
2024,"laucode","1461","house",1218,"price_m2"
2013,"laucode","1462","all",1200,"price_m2"
2014,"laucode","1462","all",1262,"price_m2"
2015,"laucode","1462","all",1367,"price_m2"
2016,"laucode","1462","all",1464,"price_m2"
2017,"laucode","1462","all",1579,"price_m2"
2018,"laucode","1462","all",1648,"price_m2"
2019,"laucode","1462","all",1746,"price_m2"
2020,"laucode","1462","all",1777,"price_m2"
2021,"laucode","1462","all",1854,"price_m2"
2022,"laucode","1462","all",1879,"price_m2"
2023,"laucode","1462","all",1745,"price_m2"
2024,"laucode","1462","all",1774,"price_m2"
2013,"laucode","1462","flat",1015,"price_m2"
2014,"laucode","1462","flat",1068,"price_m2"
2015,"laucode","1462","flat",1157,"price_m2"
2016,"laucode","1462","flat",1239,"price_m2"
2017,"laucode","1462","flat",1336,"price_m2"
2018,"laucode","1462","flat",1395,"price_m2"
2019,"laucode","1462","flat",1478,"price_m2"
2020,"laucode","1462","flat",1504,"price_m2"
2021,"laucode","1462","flat",1569,"price_m2"
2022,"laucode","1462","flat",1590,"price_m2"
2023,"laucode","1462","flat",1477,"price_m2"
2024,"laucode","1462","flat",1501,"price_m2"
2013,"laucode","1462","house",1255,"price_m2"
2014,"laucode","1462","house",1320,"price_m2"
2015,"laucode","1462","house",1430,"price_m2"
2016,"laucode","1462","house",1532,"price_m2"
2017,"laucode","1462","house",1652,"price_m2"
2018,"laucode","1462","house",1724,"price_m2"
2019,"laucode","1462","house",1827,"price_m2"
2020,"laucode","1462","house",1859,"price_m2"
2021,"laucode","1462","house",1939,"price_m2"
2022,"laucode","1462","house",1966,"price_m2"
2023,"laucode","1462","house",1826,"price_m2"
2024,"laucode","1462","house",1856,"price_m2"
2013,"laucode","1463","all",1199,"price_m2"
2014,"laucode","1463","all",1190,"price_m2"
2015,"laucode","1463","all",1297,"price_m2"
2016,"laucode","1463","all",1395,"price_m2"
2017,"laucode","1463","all",1509,"price_m2"
2018,"laucode","1463","all",1581,"price_m2"
2019,"laucode","1463","all",1691,"price_m2"
2020,"laucode","1463","all",1731,"price_m2"
2021,"laucode","1463","all",1820,"price_m2"
2022,"laucode","1463","all",1859,"price_m2"
2023,"laucode","1463","all",1766,"price_m2"
2024,"laucode","1463","all",1751,"price_m2"
2013,"laucode","1463","flat",1113,"price_m2"
2014,"laucode","1463","flat",1105,"price_m2"
2015,"laucode","1463","flat",1205,"price_m2"
2016,"laucode","1463","flat",1296,"price_m2"
2017,"laucode","1463","flat",1402,"price_m2"
2018,"laucode","1463","flat",1469,"price_m2"
2019,"laucode","1463","flat",1571,"price_m2"
2020,"laucode","1463","flat",1608,"price_m2"
2021,"laucode","1463","flat",1691,"price_m2"
2022,"laucode","1463","flat",1727,"price_m2"
2023,"laucode","1463","flat",1640,"price_m2"
2024,"laucode","1463","flat",1626,"price_m2"
2013,"laucode","1463","house",1209,"price_m2"
2014,"laucode","1463","house",1200,"price_m2"
2015,"laucode","1463","house",1308,"price_m2"
2016,"laucode","1463","house",1407,"price_m2"
2017,"laucode","1463","house",1522,"price_m2"
2018,"laucode","1463","house",1595,"price_m2"
2019,"laucode","1463","house",1706,"price_m2"
2020,"laucode","1463","house",1746,"price_m2"
2021,"laucode","1463","house",1836,"price_m2"
2022,"laucode","1463","house",1875,"price_m2"
2023,"laucode","1463","house",1781,"price_m2"
2024,"laucode","1463","house",1766,"price_m2"
2013,"laucode","1465","all",936,"price_m2"
2014,"laucode","1465","all",967,"price_m2"
2015,"laucode","1465","all",1030,"price_m2"
2016,"laucode","1465","all",1083,"price_m2"
2017,"laucode","1465","all",1153,"price_m2"
2018,"laucode","1465","all",1191,"price_m2"
2019,"laucode","1465","all",1201,"price_m2"
2020,"laucode","1465","all",1242,"price_m2"
2021,"laucode","1465","all",1314,"price_m2"
2022,"laucode","1465","all",1358,"price_m2"
2023,"laucode","1465","all",1316,"price_m2"
2024,"laucode","1465","all",1361,"price_m2"
2013,"laucode","1465","flat",3387,"price_m2"
2014,"laucode","1465","flat",3499,"price_m2"
2015,"laucode","1465","flat",3727,"price_m2"
2016,"laucode","1465","flat",3918,"price_m2"
2017,"laucode","1465","flat",4172,"price_m2"
2018,"laucode","1465","flat",4309,"price_m2"
2019,"laucode","1465","flat",4345,"price_m2"
2020,"laucode","1465","flat",4494,"price_m2"
2021,"laucode","1465","flat",4754,"price_m2"
2022,"laucode","1465","flat",4913,"price_m2"
2023,"laucode","1465","flat",4761,"price_m2"
2024,"laucode","1465","flat",4924,"price_m2"
2013,"laucode","1465","house",936,"price_m2"
2014,"laucode","1465","house",967,"price_m2"
2015,"laucode","1465","house",1030,"price_m2"
2016,"laucode","1465","house",1083,"price_m2"
2017,"laucode","1465","house",1153,"price_m2"
2018,"laucode","1465","house",1191,"price_m2"
2019,"laucode","1465","house",1201,"price_m2"
2020,"laucode","1465","house",1242,"price_m2"
2021,"laucode","1465","house",1314,"price_m2"
2022,"laucode","1465","house",1358,"price_m2"
2023,"laucode","1465","house",1316,"price_m2"
2024,"laucode","1465","house",1361,"price_m2"
2013,"laucode","1466","all",899,"price_m2"
2014,"laucode","1466","all",946,"price_m2"
2015,"laucode","1466","all",1005,"price_m2"
2016,"laucode","1466","all",1053,"price_m2"
2017,"laucode","1466","all",1116,"price_m2"
2018,"laucode","1466","all",1148,"price_m2"
2019,"laucode","1466","all",1148,"price_m2"
2020,"laucode","1466","all",1170,"price_m2"
2021,"laucode","1466","all",1224,"price_m2"
2022,"laucode","1466","all",1246,"price_m2"
2023,"laucode","1466","all",1161,"price_m2"
2024,"laucode","1466","all",1435,"price_m2"
2013,"laucode","1466","flat",2087,"price_m2"
2014,"laucode","1466","flat",2196,"price_m2"
2015,"laucode","1466","flat",2333,"price_m2"
2016,"laucode","1466","flat",2444,"price_m2"
2017,"laucode","1466","flat",2590,"price_m2"
2018,"laucode","1466","flat",2665,"price_m2"
2019,"laucode","1466","flat",2665,"price_m2"
2020,"laucode","1466","flat",2716,"price_m2"
2021,"laucode","1466","flat",2841,"price_m2"
2022,"laucode","1466","flat",2892,"price_m2"
2023,"laucode","1466","flat",2695,"price_m2"
2024,"laucode","1466","flat",3331,"price_m2"
2013,"laucode","1466","house",899,"price_m2"
2014,"laucode","1466","house",946,"price_m2"
2015,"laucode","1466","house",1005,"price_m2"
2016,"laucode","1466","house",1053,"price_m2"
2017,"laucode","1466","house",1116,"price_m2"
2018,"laucode","1466","house",1148,"price_m2"
2019,"laucode","1466","house",1148,"price_m2"
2020,"laucode","1466","house",1170,"price_m2"
2021,"laucode","1466","house",1224,"price_m2"
2022,"laucode","1466","house",1246,"price_m2"
2023,"laucode","1466","house",1161,"price_m2"
2024,"laucode","1466","house",1435,"price_m2"
2013,"laucode","1470","all",590,"price_m2"
2014,"laucode","1470","all",591,"price_m2"
2015,"laucode","1470","all",643,"price_m2"
2016,"laucode","1470","all",690,"price_m2"
2017,"laucode","1470","all",746,"price_m2"
2018,"laucode","1470","all",782,"price_m2"
2019,"laucode","1470","all",835,"price_m2"
2020,"laucode","1470","all",863,"price_m2"
2021,"laucode","1470","all",916,"price_m2"
2022,"laucode","1470","all",944,"price_m2"
2023,"laucode","1470","all",919,"price_m2"
2024,"laucode","1470","all",914,"price_m2"
2013,"laucode","1470","flat",267,"price_m2"
2014,"laucode","1470","flat",267,"price_m2"
2015,"laucode","1470","flat",291,"price_m2"
2016,"laucode","1470","flat",312,"price_m2"
2017,"laucode","1470","flat",337,"price_m2"
2018,"laucode","1470","flat",354,"price_m2"
2019,"laucode","1470","flat",378,"price_m2"
2020,"laucode","1470","flat",390,"price_m2"
2021,"laucode","1470","flat",414,"price_m2"
2022,"laucode","1470","flat",427,"price_m2"
2023,"laucode","1470","flat",415,"price_m2"
2024,"laucode","1470","flat",413,"price_m2"
2013,"laucode","1470","house",610,"price_m2"
2014,"laucode","1470","house",611,"price_m2"
2015,"laucode","1470","house",665,"price_m2"
2016,"laucode","1470","house",714,"price_m2"
2017,"laucode","1470","house",772,"price_m2"
2018,"laucode","1470","house",809,"price_m2"
2019,"laucode","1470","house",864,"price_m2"
2020,"laucode","1470","house",893,"price_m2"
2021,"laucode","1470","house",947,"price_m2"
2022,"laucode","1470","house",976,"price_m2"
2023,"laucode","1470","house",950,"price_m2"
2024,"laucode","1470","house",945,"price_m2"
2013,"laucode","1471","all",780,"price_m2"
2014,"laucode","1471","all",805,"price_m2"
2015,"laucode","1471","all",845,"price_m2"
2016,"laucode","1471","all",878,"price_m2"
2017,"laucode","1471","all",924,"price_m2"
2018,"laucode","1471","all",942,"price_m2"
2019,"laucode","1471","all",914,"price_m2"
2020,"laucode","1471","all",946,"price_m2"
2021,"laucode","1471","all",1004,"price_m2"
2022,"laucode","1471","all",1034,"price_m2"
2023,"laucode","1471","all",1003,"price_m2"
2024,"laucode","1471","all",1075,"price_m2"
2013,"laucode","1471","flat",280,"price_m2"
2014,"laucode","1471","flat",289,"price_m2"
2015,"laucode","1471","flat",303,"price_m2"
2016,"laucode","1471","flat",315,"price_m2"
2017,"laucode","1471","flat",332,"price_m2"
2018,"laucode","1471","flat",338,"price_m2"
2019,"laucode","1471","flat",328,"price_m2"
2020,"laucode","1471","flat",339,"price_m2"
2021,"laucode","1471","flat",360,"price_m2"
2022,"laucode","1471","flat",371,"price_m2"
2023,"laucode","1471","flat",360,"price_m2"
2024,"laucode","1471","flat",386,"price_m2"
2013,"laucode","1471","house",871,"price_m2"
2014,"laucode","1471","house",899,"price_m2"
2015,"laucode","1471","house",943,"price_m2"
2016,"laucode","1471","house",980,"price_m2"
2017,"laucode","1471","house",1032,"price_m2"
2018,"laucode","1471","house",1052,"price_m2"
2019,"laucode","1471","house",1021,"price_m2"
2020,"laucode","1471","house",1056,"price_m2"
2021,"laucode","1471","house",1121,"price_m2"
2022,"laucode","1471","house",1154,"price_m2"
2023,"laucode","1471","house",1120,"price_m2"
2024,"laucode","1471","house",1200,"price_m2"
2013,"laucode","1472","all",682,"price_m2"
2014,"laucode","1472","all",676,"price_m2"
2015,"laucode","1472","all",726,"price_m2"
2016,"laucode","1472","all",770,"price_m2"
2017,"laucode","1472","all",825,"price_m2"
2018,"laucode","1472","all",858,"price_m2"
2019,"laucode","1472","all",885,"price_m2"
2020,"laucode","1472","all",915,"price_m2"
2021,"laucode","1472","all",970,"price_m2"
2022,"laucode","1472","all",1001,"price_m2"
2023,"laucode","1472","all",969,"price_m2"
2024,"laucode","1472","all",1098,"price_m2"
2013,"laucode","1472","flat",349,"price_m2"
2014,"laucode","1472","flat",346,"price_m2"
2015,"laucode","1472","flat",372,"price_m2"
2016,"laucode","1472","flat",394,"price_m2"
2017,"laucode","1472","flat",422,"price_m2"
2018,"laucode","1472","flat",439,"price_m2"
2019,"laucode","1472","flat",453,"price_m2"
2020,"laucode","1472","flat",468,"price_m2"
2021,"laucode","1472","flat",496,"price_m2"
2022,"laucode","1472","flat",512,"price_m2"
2023,"laucode","1472","flat",496,"price_m2"
2024,"laucode","1472","flat",562,"price_m2"
2013,"laucode","1472","house",861,"price_m2"
2014,"laucode","1472","house",854,"price_m2"
2015,"laucode","1472","house",917,"price_m2"
2016,"laucode","1472","house",972,"price_m2"
2017,"laucode","1472","house",1042,"price_m2"
2018,"laucode","1472","house",1083,"price_m2"
2019,"laucode","1472","house",1118,"price_m2"
2020,"laucode","1472","house",1155,"price_m2"
2021,"laucode","1472","house",1225,"price_m2"
2022,"laucode","1472","house",1264,"price_m2"
2023,"laucode","1472","house",1224,"price_m2"
2024,"laucode","1472","house",1387,"price_m2"
2013,"laucode","1473","all",549,"price_m2"
2014,"laucode","1473","all",552,"price_m2"
2015,"laucode","1473","all",591,"price_m2"
2016,"laucode","1473","all",625,"price_m2"
2017,"laucode","1473","all",667,"price_m2"
2018,"laucode","1473","all",688,"price_m2"
2019,"laucode","1473","all",703,"price_m2"
2020,"laucode","1473","all",734,"price_m2"
2021,"laucode","1473","all",787,"price_m2"
2022,"laucode","1473","all",819,"price_m2"
2023,"laucode","1473","all",818,"price_m2"
2024,"laucode","1473","all",886,"price_m2"
2013,"laucode","1473","flat",338,"price_m2"
2014,"laucode","1473","flat",339,"price_m2"
2015,"laucode","1473","flat",363,"price_m2"
2016,"laucode","1473","flat",384,"price_m2"
2017,"laucode","1473","flat",410,"price_m2"
2018,"laucode","1473","flat",423,"price_m2"
2019,"laucode","1473","flat",432,"price_m2"
2020,"laucode","1473","flat",451,"price_m2"
2021,"laucode","1473","flat",484,"price_m2"
2022,"laucode","1473","flat",504,"price_m2"
2023,"laucode","1473","flat",503,"price_m2"
2024,"laucode","1473","flat",545,"price_m2"
2013,"laucode","1473","house",615,"price_m2"
2014,"laucode","1473","house",618,"price_m2"
2015,"laucode","1473","house",662,"price_m2"
2016,"laucode","1473","house",700,"price_m2"
2017,"laucode","1473","house",747,"price_m2"
2018,"laucode","1473","house",771,"price_m2"
2019,"laucode","1473","house",787,"price_m2"
2020,"laucode","1473","house",822,"price_m2"
2021,"laucode","1473","house",882,"price_m2"
2022,"laucode","1473","house",918,"price_m2"
2023,"laucode","1473","house",916,"price_m2"
2024,"laucode","1473","house",993,"price_m2"
2013,"laucode","1480","all",4047,"price_m2"
2014,"laucode","1480","all",4273,"price_m2"
2015,"laucode","1480","all",4539,"price_m2"
2016,"laucode","1480","all",4769,"price_m2"
2017,"laucode","1480","all",5011,"price_m2"
2018,"laucode","1480","all",5148,"price_m2"
2019,"laucode","1480","all",5164,"price_m2"
2020,"laucode","1480","all",5259,"price_m2"
2021,"laucode","1480","all",5505,"price_m2"
2022,"laucode","1480","all",5577,"price_m2"
2023,"laucode","1480","all",5206,"price_m2"
2024,"laucode","1480","all",5276,"price_m2"
2013,"laucode","1480","flat",4127,"price_m2"
2014,"laucode","1480","flat",4358,"price_m2"
2015,"laucode","1480","flat",4629,"price_m2"
2016,"laucode","1480","flat",4864,"price_m2"
2017,"laucode","1480","flat",5110,"price_m2"
2018,"laucode","1480","flat",5250,"price_m2"
2019,"laucode","1480","flat",5266,"price_m2"
2020,"laucode","1480","flat",5363,"price_m2"
2021,"laucode","1480","flat",5614,"price_m2"
2022,"laucode","1480","flat",5688,"price_m2"
2023,"laucode","1480","flat",5309,"price_m2"
2024,"laucode","1480","flat",5380,"price_m2"
2013,"laucode","1480","house",3547,"price_m2"
2014,"laucode","1480","house",3745,"price_m2"
2015,"laucode","1480","house",3978,"price_m2"
2016,"laucode","1480","house",4180,"price_m2"
2017,"laucode","1480","house",4392,"price_m2"
2018,"laucode","1480","house",4512,"price_m2"
2019,"laucode","1480","house",4526,"price_m2"
2020,"laucode","1480","house",4609,"price_m2"
2021,"laucode","1480","house",4825,"price_m2"
2022,"laucode","1480","house",4888,"price_m2"
2023,"laucode","1480","house",4563,"price_m2"
2024,"laucode","1480","house",4624,"price_m2"
2013,"laucode","1481","all",3338,"price_m2"
2014,"laucode","1481","all",3484,"price_m2"
2015,"laucode","1481","all",3693,"price_m2"
2016,"laucode","1481","all",3868,"price_m2"
2017,"laucode","1481","all",4098,"price_m2"
2018,"laucode","1481","all",4207,"price_m2"
2019,"laucode","1481","all",4210,"price_m2"
2020,"laucode","1481","all",4299,"price_m2"
2021,"laucode","1481","all",4511,"price_m2"
2022,"laucode","1481","all",4593,"price_m2"
2023,"laucode","1481","all",4317,"price_m2"
2024,"laucode","1481","all",4461,"price_m2"
2013,"laucode","1481","flat",3409,"price_m2"
2014,"laucode","1481","flat",3558,"price_m2"
2015,"laucode","1481","flat",3772,"price_m2"
2016,"laucode","1481","flat",3951,"price_m2"
2017,"laucode","1481","flat",4185,"price_m2"
2018,"laucode","1481","flat",4297,"price_m2"
2019,"laucode","1481","flat",4300,"price_m2"
2020,"laucode","1481","flat",4390,"price_m2"
2021,"laucode","1481","flat",4607,"price_m2"
2022,"laucode","1481","flat",4691,"price_m2"
2023,"laucode","1481","flat",4410,"price_m2"
2024,"laucode","1481","flat",4556,"price_m2"
2013,"laucode","1481","house",3224,"price_m2"
2014,"laucode","1481","house",3365,"price_m2"
2015,"laucode","1481","house",3567,"price_m2"
2016,"laucode","1481","house",3736,"price_m2"
2017,"laucode","1481","house",3958,"price_m2"
2018,"laucode","1481","house",4064,"price_m2"
2019,"laucode","1481","house",4066,"price_m2"
2020,"laucode","1481","house",4152,"price_m2"
2021,"laucode","1481","house",4357,"price_m2"
2022,"laucode","1481","house",4436,"price_m2"
2023,"laucode","1481","house",4170,"price_m2"
2024,"laucode","1481","house",4309,"price_m2"
2013,"laucode","1482","all",2935,"price_m2"
2014,"laucode","1482","all",3058,"price_m2"
2015,"laucode","1482","all",3229,"price_m2"
2016,"laucode","1482","all",3384,"price_m2"
2017,"laucode","1482","all",3566,"price_m2"
2018,"laucode","1482","all",3652,"price_m2"
2019,"laucode","1482","all",3629,"price_m2"
2020,"laucode","1482","all",3702,"price_m2"
2021,"laucode","1482","all",3883,"price_m2"
2022,"laucode","1482","all",3957,"price_m2"
2023,"laucode","1482","all",3709,"price_m2"
2024,"laucode","1482","all",3798,"price_m2"
2013,"laucode","1482","flat",2994,"price_m2"
2014,"laucode","1482","flat",3120,"price_m2"
2015,"laucode","1482","flat",3294,"price_m2"
2016,"laucode","1482","flat",3453,"price_m2"
2017,"laucode","1482","flat",3639,"price_m2"
2018,"laucode","1482","flat",3726,"price_m2"
2019,"laucode","1482","flat",3703,"price_m2"
2020,"laucode","1482","flat",3777,"price_m2"
2021,"laucode","1482","flat",3962,"price_m2"
2022,"laucode","1482","flat",4037,"price_m2"
2023,"laucode","1482","flat",3784,"price_m2"
2024,"laucode","1482","flat",3876,"price_m2"
2013,"laucode","1482","house",2885,"price_m2"
2014,"laucode","1482","house",3006,"price_m2"
2015,"laucode","1482","house",3174,"price_m2"
2016,"laucode","1482","house",3327,"price_m2"
2017,"laucode","1482","house",3506,"price_m2"
2018,"laucode","1482","house",3590,"price_m2"
2019,"laucode","1482","house",3568,"price_m2"
2020,"laucode","1482","house",3639,"price_m2"
2021,"laucode","1482","house",3817,"price_m2"
2022,"laucode","1482","house",3890,"price_m2"
2023,"laucode","1482","house",3646,"price_m2"
2024,"laucode","1482","house",3734,"price_m2"
2013,"laucode","1484","all",2085,"price_m2"
2014,"laucode","1484","all",2182,"price_m2"
2015,"laucode","1484","all",2270,"price_m2"
2016,"laucode","1484","all",2330,"price_m2"
2017,"laucode","1484","all",2424,"price_m2"
2018,"laucode","1484","all",2448,"price_m2"
2019,"laucode","1484","all",2289,"price_m2"
2020,"laucode","1484","all",2383,"price_m2"
2021,"laucode","1484","all",2538,"price_m2"
2022,"laucode","1484","all",2637,"price_m2"
2023,"laucode","1484","all",2612,"price_m2"
2024,"laucode","1484","all",2984,"price_m2"
2013,"laucode","1484","flat",2114,"price_m2"
2014,"laucode","1484","flat",2213,"price_m2"
2015,"laucode","1484","flat",2303,"price_m2"
2016,"laucode","1484","flat",2363,"price_m2"
2017,"laucode","1484","flat",2459,"price_m2"
2018,"laucode","1484","flat",2483,"price_m2"
2019,"laucode","1484","flat",2322,"price_m2"
2020,"laucode","1484","flat",2417,"price_m2"
2021,"laucode","1484","flat",2574,"price_m2"
2022,"laucode","1484","flat",2675,"price_m2"
2023,"laucode","1484","flat",2649,"price_m2"
2024,"laucode","1484","flat",3027,"price_m2"
2013,"laucode","1484","house",1886,"price_m2"
2014,"laucode","1484","house",1974,"price_m2"
2015,"laucode","1484","house",2054,"price_m2"
2016,"laucode","1484","house",2108,"price_m2"
2017,"laucode","1484","house",2193,"price_m2"
2018,"laucode","1484","house",2215,"price_m2"
2019,"laucode","1484","house",2071,"price_m2"
2020,"laucode","1484","house",2156,"price_m2"
2021,"laucode","1484","house",2296,"price_m2"
2022,"laucode","1484","house",2386,"price_m2"
2023,"laucode","1484","house",2363,"price_m2"
2024,"laucode","1484","house",2700,"price_m2"
2013,"laucode","1485","all",1752,"price_m2"
2014,"laucode","1485","all",1855,"price_m2"
2015,"laucode","1485","all",1946,"price_m2"
2016,"laucode","1485","all",2021,"price_m2"
2017,"laucode","1485","all",2122,"price_m2"
2018,"laucode","1485","all",2161,"price_m2"
2019,"laucode","1485","all",2088,"price_m2"
2020,"laucode","1485","all",2146,"price_m2"
2021,"laucode","1485","all",2267,"price_m2"
2022,"laucode","1485","all",2325,"price_m2"
2023,"laucode","1485","all",2221,"price_m2"
2024,"laucode","1485","all",2360,"price_m2"
2013,"laucode","1485","flat",1689,"price_m2"
2014,"laucode","1485","flat",1788,"price_m2"
2015,"laucode","1485","flat",1876,"price_m2"
2016,"laucode","1485","flat",1948,"price_m2"
2017,"laucode","1485","flat",2046,"price_m2"
2018,"laucode","1485","flat",2083,"price_m2"
2019,"laucode","1485","flat",2013,"price_m2"
2020,"laucode","1485","flat",2068,"price_m2"
2021,"laucode","1485","flat",2186,"price_m2"
2022,"laucode","1485","flat",2241,"price_m2"
2023,"laucode","1485","flat",2141,"price_m2"
2024,"laucode","1485","flat",2275,"price_m2"
2013,"laucode","1485","house",1858,"price_m2"
2014,"laucode","1485","house",1967,"price_m2"
2015,"laucode","1485","house",2063,"price_m2"
2016,"laucode","1485","house",2143,"price_m2"
2017,"laucode","1485","house",2250,"price_m2"
2018,"laucode","1485","house",2291,"price_m2"
2019,"laucode","1485","house",2214,"price_m2"
2020,"laucode","1485","house",2275,"price_m2"
2021,"laucode","1485","house",2404,"price_m2"
2022,"laucode","1485","house",2465,"price_m2"
2023,"laucode","1485","house",2355,"price_m2"
2024,"laucode","1485","house",2502,"price_m2"
2013,"laucode","1486","all",2449,"price_m2"
2014,"laucode","1486","all",2657,"price_m2"
2015,"laucode","1486","all",2733,"price_m2"
2016,"laucode","1486","all",2814,"price_m2"
2017,"laucode","1486","all",2888,"price_m2"
2018,"laucode","1486","all",2888,"price_m2"
2019,"laucode","1486","all",2596,"price_m2"
2020,"laucode","1486","all",2621,"price_m2"
2021,"laucode","1486","all",2711,"price_m2"
2022,"laucode","1486","all",2733,"price_m2"
2023,"laucode","1486","all",2483,"price_m2"
2024,"laucode","1486","all",2539,"price_m2"
2013,"laucode","1486","flat",2424,"price_m2"
2014,"laucode","1486","flat",2631,"price_m2"
2015,"laucode","1486","flat",2706,"price_m2"
2016,"laucode","1486","flat",2786,"price_m2"
2017,"laucode","1486","flat",2859,"price_m2"
2018,"laucode","1486","flat",2859,"price_m2"
2019,"laucode","1486","flat",2570,"price_m2"
2020,"laucode","1486","flat",2595,"price_m2"
2021,"laucode","1486","flat",2684,"price_m2"
2022,"laucode","1486","flat",2706,"price_m2"
2023,"laucode","1486","flat",2459,"price_m2"
2024,"laucode","1486","flat",2514,"price_m2"
2013,"laucode","1486","house",2474,"price_m2"
2014,"laucode","1486","house",2685,"price_m2"
2015,"laucode","1486","house",2761,"price_m2"
2016,"laucode","1486","house",2843,"price_m2"
2017,"laucode","1486","house",2918,"price_m2"
2018,"laucode","1486","house",2918,"price_m2"
2019,"laucode","1486","house",2623,"price_m2"
2020,"laucode","1486","house",2648,"price_m2"
2021,"laucode","1486","house",2739,"price_m2"
2022,"laucode","1486","house",2761,"price_m2"
2023,"laucode","1486","house",2509,"price_m2"
2024,"laucode","1486","house",2565,"price_m2"
2013,"laucode","1487","all",1261,"price_m2"
2014,"laucode","1487","all",1290,"price_m2"
2015,"laucode","1487","all",1390,"price_m2"
2016,"laucode","1487","all",1477,"price_m2"
2017,"laucode","1487","all",1587,"price_m2"
2018,"laucode","1487","all",1653,"price_m2"
2019,"laucode","1487","all",1720,"price_m2"
2020,"laucode","1487","all",1751,"price_m2"
2021,"laucode","1487","all",1824,"price_m2"
2022,"laucode","1487","all",1852,"price_m2"
2023,"laucode","1487","all",1707,"price_m2"
2024,"laucode","1487","all",1816,"price_m2"
2013,"laucode","1487","flat",1267,"price_m2"
2014,"laucode","1487","flat",1297,"price_m2"
2015,"laucode","1487","flat",1397,"price_m2"
2016,"laucode","1487","flat",1484,"price_m2"
2017,"laucode","1487","flat",1595,"price_m2"
2018,"laucode","1487","flat",1662,"price_m2"
2019,"laucode","1487","flat",1729,"price_m2"
2020,"laucode","1487","flat",1760,"price_m2"
2021,"laucode","1487","flat",1833,"price_m2"
2022,"laucode","1487","flat",1862,"price_m2"
2023,"laucode","1487","flat",1716,"price_m2"
2024,"laucode","1487","flat",1825,"price_m2"
2013,"laucode","1487","house",1249,"price_m2"
2014,"laucode","1487","house",1278,"price_m2"
2015,"laucode","1487","house",1377,"price_m2"
2016,"laucode","1487","house",1463,"price_m2"
2017,"laucode","1487","house",1572,"price_m2"
2018,"laucode","1487","house",1638,"price_m2"
2019,"laucode","1487","house",1704,"price_m2"
2020,"laucode","1487","house",1735,"price_m2"
2021,"laucode","1487","house",1807,"price_m2"
2022,"laucode","1487","house",1835,"price_m2"
2023,"laucode","1487","house",1691,"price_m2"
2024,"laucode","1487","house",1799,"price_m2"
2013,"laucode","1488","all",1796,"price_m2"
2014,"laucode","1488","all",1866,"price_m2"
2015,"laucode","1488","all",1994,"price_m2"
2016,"laucode","1488","all",2117,"price_m2"
2017,"laucode","1488","all",2265,"price_m2"
2018,"laucode","1488","all",2349,"price_m2"
2019,"laucode","1488","all",2421,"price_m2"
2020,"laucode","1488","all",2440,"price_m2"
2021,"laucode","1488","all",2532,"price_m2"
