"year","type","nuts","value","level","measure"
2017,"all","0128",4683,"laucode","price"
2017,"flat","0128",7105,"laucode","price"
2017,"house","0128",3358,"laucode","price"
2018,"all","0128",4444,"laucode","price"
2018,"flat","0128",6742,"laucode","price"
2018,"house","0128",3186,"laucode","price"
2019,"all","0128",4411,"laucode","price"
2019,"flat","0128",6691,"laucode","price"
2019,"house","0128",3138,"laucode","price"
2020,"all","0128",4773,"laucode","price"
2020,"flat","0128",7271,"laucode","price"
2020,"house","0128",3364,"laucode","price"
2021,"all","0128",5708,"laucode","price"
2021,"flat","0128",8613,"laucode","price"
2021,"house","0128",3984,"laucode","price"
2022,"all","0128",5943,"laucode","price"
2022,"flat","0128",9091,"laucode","price"
2022,"house","0128",4148,"laucode","price"
2023,"all","0128",5335,"laucode","price"
2023,"flat","0128",8197,"laucode","price"
2023,"house","0128",3688,"laucode","price"
2024,"all","0128",5319,"laucode","price"
2024,"flat","0128",8172,"laucode","price"
2024,"house","0128",3677,"laucode","price"
2013,"all","0136",2961,"laucode","price"
2013,"flat","0136",3699,"laucode","price"
2013,"house","0136",2321,"laucode","price"
2014,"all","0136",3298,"laucode","price"
2014,"flat","0136",4119,"laucode","price"
2014,"house","0136",2585,"laucode","price"
2015,"all","0136",3754,"laucode","price"
2015,"flat","0136",4690,"laucode","price"
2015,"house","0136",2943,"laucode","price"
2016,"all","0136",4086,"laucode","price"
2016,"flat","0136",5176,"laucode","price"
2016,"house","0136",3203,"laucode","price"
2017,"all","0136",4323,"laucode","price"
2017,"flat","0136",5476,"laucode","price"
2017,"house","0136",3389,"laucode","price"
2018,"all","0136",4148,"laucode","price"
2018,"flat","0136",5196,"laucode","price"
2018,"house","0136",3215,"laucode","price"
2019,"all","0136",4117,"laucode","price"
2019,"flat","0136",5231,"laucode","price"
2019,"house","0136",3191,"laucode","price"
2020,"all","0136",4464,"laucode","price"
2020,"flat","0136",5689,"laucode","price"
2020,"house","0136",3421,"laucode","price"
2021,"all","0136",5288,"laucode","price"
2021,"flat","0136",6739,"laucode","price"
2021,"house","0136",4052,"laucode","price"
2022,"all","0136",5568,"laucode","price"
2022,"flat","0136",7119,"laucode","price"
2022,"house","0136",4219,"laucode","price"
2023,"all","0136",5008,"laucode","price"
2023,"flat","0136",6424,"laucode","price"
2023,"house","0136",3719,"laucode","price"
2024,"all","0136",5052,"laucode","price"
2024,"flat","0136",6502,"laucode","price"
2024,"house","0136",3708,"laucode","price"
2013,"all","0138",3418,"laucode","price"
2013,"flat","0138",4341,"laucode","price"
2013,"house","0138",2882,"laucode","price"
2014,"all","0138",3806,"laucode","price"
2014,"flat","0138",4834,"laucode","price"
2014,"house","0138",3210,"laucode","price"
2015,"all","0138",4378,"laucode","price"
2015,"flat","0138",5504,"laucode","price"
2015,"house","0138",3623,"laucode","price"
2016,"all","0138",4764,"laucode","price"
2016,"flat","0138",6070,"laucode","price"
2016,"house","0138",3944,"laucode","price"
2017,"all","0138",5094,"laucode","price"
2017,"flat","0138",6509,"laucode","price"
2017,"house","0138",4173,"laucode","price"
2018,"all","0138",4833,"laucode","price"
2018,"flat","0138",6176,"laucode","price"
2018,"house","0138",3959,"laucode","price"
2019,"all","0138",4847,"laucode","price"
2019,"flat","0138",6214,"laucode","price"
