nuts,year,type.of.building,value,level
SE321,2014,other,73.9638179398961,nuts3
SE322,2014,all,92.4616189193589,nuts3
SE322,2014,flat,65.950754302966,nuts3
SE322,2014,house,112.94360192301,nuts3
SE322,2014,other,67.6607383265062,nuts3
SE331,2014,all,94.5413392533547,nuts3
SE331,2014,flat,67.3179644789706,nuts3
SE331,2014,house,120.031094344711,nuts3
SE331,2014,other,70.9938571099587,nuts3
SE332,2014,all,91.4800158851551,nuts3
SE332,2014,flat,65.2643798975361,nuts3
SE332,2014,house,114.200814472131,nuts3
SE332,2014,other,71.0424174196988,nuts3
SE121,2014,all,94.0008344560018,nuts3
SE121,2014,flat,68.8947183990593,nuts3
SE121,2014,house,121.450217322641,nuts3
SE121,2014,other,77.6426646030011,nuts3
SE122,2014,all,91.1645926259142,nuts3
SE122,2014,flat,68.0892169829031,nuts3
SE122,2014,house,117.802321179437,nuts3
SE122,2014,other,76.0184507318314,nuts3
SE123,2014,all,91.8818776027572,nuts3
SE123,2014,flat,68.5965172300002,nuts3
SE123,2014,house,120.562078179386,nuts3
SE123,2014,other,73.6178886045693,nuts3
SE211,2014,all,100.656132485079,nuts3
SE211,2014,flat,68.2496394167674,nuts3
SE211,2014,house,126.103706299765,nuts3
SE211,2014,other,75.2660699734617,nuts3
SE212,2014,all,103.301788349398,nuts3
SE212,2014,flat,68.111220448255,nuts3
SE212,2014,house,125.69419497905,nuts3
SE212,2014,other,76.370919295658,nuts3
SE213,2014,all,97.6299646331918,nuts3
SE213,2014,flat,66.60573268087,nuts3
SE213,2014,house,118.421575323703,nuts3
SE213,2014,other,77.1389099787672,nuts3
SE214,2014,all,94.6,nuts3
SE214,2014,flat,66.7,nuts3
SE214,2014,house,110,nuts3
SE214,2014,other,82.4,nuts3
SE221,2015,all,95.4262944732885,nuts3
SE221,2015,flat,64.9031488596022,nuts3
SE221,2015,house,117.541038720039,nuts3
SE221,2015,other,75.3625854449669,nuts3
SE110,2015,all,84.9129495550572,nuts3
SE110,2015,flat,68.0052061791676,nuts3
SE110,2015,house,123.387097227707,nuts3
SE110,2015,other,69.4533391381732,nuts3
SE224,2015,all,96.334642260086,nuts3
SE224,2015,flat,69.2233019409224,nuts3
SE224,2015,house,124.025974568998,nuts3
SE224,2015,other,80.1948193746552,nuts3
SE231,2015,all,103.77108384474,nuts3
SE231,2015,flat,69.1953540160091,nuts3
SE231,2015,house,124.284464016306,nuts3
SE231,2015,other,74.9264286914867,nuts3
SE232,2015,all,91.7675640043723,nuts3
SE232,2015,flat,66.4446259612505,nuts3
SE232,2015,house,119.598841131784,nuts3
SE232,2015,other,72.3170486903992,nuts3
SE311,2015,all,94.4718840124249,nuts3
SE311,2015,flat,65.2524918310958,nuts3
SE311,2015,house,118.020039596433,nuts3
SE311,2015,other,72.3124911706393,nuts3
SE124,2015,all,91.9625267655229,nuts3
SE124,2015,flat,67.3056172934115,nuts3
SE124,2015,house,117.694512813438,nuts3
SE124,2015,other,71.4591148955495,nuts3
SE125,2015,all,91.381746013047,nuts3
SE125,2015,flat,67.9035201972837,nuts3
SE125,2015,house,121.54682238737,nuts3
SE125,2015,other,81.72360562109,nuts3
