"year","LAU_CODE","type.of.building","avg_floor_m2"
2013,"114","house",766922
2014,"114","house",770362
2015,"114","house",785387
2016,"114","house",793986
2017,"114","house",813812
2018,"114","house",832200
2019,"114","house",840836
2020,"114","house",846010
2013,"114","flat",794650
2014,"114","flat",800750
2015,"114","flat",827506
2016,"114","flat",842166
2017,"114","flat",850810
2018,"114","flat",866156
2019,"114","flat",889720
2020,"114","flat",904262
2013,"114","other",12302
2014,"114","other",11899
2015,"114","other",6358
2016,"114","other",3896
2017,"114","other",3836
2018,"114","other",3836
2019,"114","other",3836
2020,"114","other",4046
2013,"115","house",976214
2014,"115","house",988842
2015,"115","house",1003926
2016,"115","house",1020114
2017,"115","house",1036492
2018,"115","house",1047450
2019,"115","house",1056940
2020,"115","house",1062402
2013,"115","flat",276975
2014,"115","flat",278358
2015,"115","flat",279813
2016,"115","flat",284369
2017,"115","flat",284648
2018,"115","flat",292732
2019,"115","flat",300197
2020,"115","flat",303502
2013,"115","other",5860
2014,"115","other",4839
2015,"115","other",3828
2016,"115","other",3703
2017,"115","other",3703
2018,"115","other",3768
2019,"115","other",3768
2020,"115","other",3768
2013,"117","house",1418166
2014,"117","house",1434230
2015,"117","house",1447428
2016,"117","house",1472922
2017,"117","house",1491802
2018,"117","house",1510360
2019,"117","house",1543246
2020,"117","house",1565396
2013,"117","flat",291078
2014,"117","flat",298435
2015,"117","flat",318804
2016,"117","flat",324546
2017,"117","flat",335412
2018,"117","flat",338214
2019,"117","flat",349598
2020,"117","flat",366068
2013,"117","other",17596
2014,"117","other",18205
2015,"117","other",18215
2016,"117","other",18170
2017,"117","other",18260
2018,"117","other",18260
2019,"117","other",18260
2020,"117","other",22568
2013,"120","house",1193976
2014,"120","house",1201460
2015,"120","house",1203492
2016,"120","house",1209397
2017,"120","house",1244519
2018,"120","house",1268128
2019,"120","house",1270134
2020,"120","house",1299196
2013,"120","flat",293436
2014,"120","flat",305702
2015,"120","flat",320815
2016,"120","flat",333530
2017,"120","flat",371598
2018,"120","flat",399611
2019,"120","flat",408163
2020,"120","flat",409086
2013,"120","other",12800
2014,"120","other",12800
2015,"120","other",12795
2016,"120","other",12920
2017,"120","other",12905
2018,"120","other",14268
2019,"120","other",14408
2020,"120","other",14218
2013,"123","house",1381574
2014,"123","house",1384634
2015,"123","house",1385858
2016,"123","house",1386103
2017,"123","house",1382946
2018,"123","house",1385276
2019,"123","house",1384435
2020,"123","house",1384716
2013,"123","flat",1255458
2014,"123","flat",1285842
2015,"123","flat",1350538
2016,"123","flat",1392348
2017,"123","flat",1437549
2018,"123","flat",1461060
2019,"123","flat",1516388
2020,"123","flat",1555050
2013,"123","other",12956
2014,"123","other",13811
2015,"123","other",13650
2016,"123","other",13731
2017,"123","other",13489
2018,"123","other",14305
2019,"123","other",14305
2020,"123","other",14305
2013,"125","house",950344
2014,"125","house",957756
2015,"125","house",965950
2016,"125","house",968462
2017,"125","house",981946
2018,"125","house",998182
2019,"125","house",998316
2020,"125","house",1001266
2013,"125","flat",88152
2014,"125","flat",88152
2015,"125","flat",87855
2016,"125","flat",95090
2017,"125","flat",95933
2018,"125","flat",99098
2019,"125","flat",99098
2020,"125","flat",99098
2013,"125","other",5767
2014,"125","other",5767
2015,"125","other",6189
2016,"125","other",6350
2017,"125","other",6350
2018,"125","other",6324
2019,"125","other",6324
2020,"125","other",6324
2013,"126","house",2200788
2014,"126","house",2222798
2015,"126","house",2244394
2016,"126","house",2268420
2017,"126","house",2298483
2018,"126","house",2313692
2019,"126","house",2328518
2020,"126","house",2345517
2013,"126","flat",1420684
2014,"126","flat",1434066
2015,"126","flat",1457592
2016,"126","flat",1486408
2017,"126","flat",1511127
2018,"126","flat",1537896
2019,"126","flat",1554424
2020,"126","flat",1570462
2013,"126","other",14024
2014,"126","other",13872
2015,"126","other",13888
2016,"126","other",13697
2017,"126","other",13834
2018,"126","other",14031
2019,"126","other",13960
2020,"126","other",14080
2013,"127","house",1448523
2014,"127","house",1452268
2015,"127","house",1469246
2016,"127","house",1470834
2017,"127","house",1476867
2018,"127","house",1482132
2019,"127","house",1485952
2020,"127","house",1497310
2013,"127","flat",1453420
2014,"127","flat",1475708
2015,"127","flat",1486020
2016,"127","flat",1498734
2017,"127","flat",1513959
2018,"127","flat",1537332
2019,"127","flat",1551752
2020,"127","flat",1562432
2013,"127","other",12661
2014,"127","other",12908
2015,"127","other",10142
2016,"127","other",12792
2017,"127","other",12802
2018,"127","other",12792
2019,"127","other",16980
2020,"127","other",17675
2013,"128","house",457567
2014,"128","house",459534
2015,"128","house",462008
2016,"128","house",464170
2017,"128","house",466858
2018,"128","house",467990
2019,"128","house",470996
2020,"128","house",473466
2013,"128","flat",188424
2014,"128","flat",188500
2015,"128","flat",188500
2016,"128","flat",183382
2017,"128","flat",183484
2018,"128","flat",188342
2019,"128","flat",188508
2020,"128","flat",194926
2013,"128","other",271
2014,"128","other",608
2015,"128","other",572
2016,"128","other",6550
2017,"128","other",6682
2018,"128","other",6682
2019,"128","other",6757
2020,"128","other",6757
2013,"136","house",1600336
2014,"136","house",1620522
2015,"136","house",1645004
2016,"136","house",1666726
2017,"136","house",1681694
2018,"136","house",1696494
2019,"136","house",1709747
2020,"136","house",1728412
2013,"136","flat",1311823
2014,"136","flat",1315574
2015,"136","flat",1337470
2016,"136","flat",1354538
2017,"136","flat",1382374
2018,"136","flat",1415271
2019,"136","flat",1451142
2020,"136","flat",1483961
2013,"136","other",11038
2014,"136","other",11188
2015,"136","other",11472
2016,"136","other",11472
2017,"136","other",11487
2018,"136","other",11447
2019,"136","other",11622
2020,"136","other",11622
2013,"138","house",1070877
2014,"138","house",1078916
2015,"138","house",1087682
2016,"138","house",1092026
2017,"138","house",1099212
2018,"138","house",1105394
2019,"138","house",1108470
2020,"138","house",1110980
2013,"138","flat",647536
2014,"138","flat",664748
2015,"138","flat",684430
2016,"138","flat",698820
2017,"138","flat",714312
2018,"138","flat",728086
2019,"138","flat",748124
2020,"138","flat",748190
2013,"138","other",9840
2014,"138","other",9920
2015,"138","other",10130
2016,"138","other",10296
2017,"138","other",10296
2018,"138","other",10326
2019,"138","other",10326
2020,"138","other",10326
2013,"139","house",546746
2014,"139","house",547268
2015,"139","house",549420
2016,"139","house",575917
2017,"139","house",577258
2018,"139","house",579433
2019,"139","house",579144
2020,"139","house",580594
2013,"139","flat",399788
2014,"139","flat",404555
2015,"139","flat",404386
2016,"139","flat",414533
2017,"139","flat",432824
2018,"139","flat",447497
2019,"139","flat",464826
2020,"139","flat",499974
2013,"139","other",1618
2014,"139","other",1618
2015,"139","other",1618
2016,"139","other",1478
2017,"139","other",1809
2018,"139","other",2839
2019,"139","other",2839
2020,"139","other",2839
2013,"140","house",318202
2014,"140","house",318711
2015,"140","house",329127
2016,"140","house",330812
2017,"140","house",336340
2018,"140","house",338068
2019,"140","house",342218
2020,"140","house",345456
2013,"140","flat",57782
2014,"140","flat",60812
2015,"140","flat",70440
2016,"140","flat",70880
2017,"140","flat",72518
2018,"140","flat",77468
2019,"140","flat",77468
2020,"140","flat",78415
2013,"140","other",4248
2014,"140","other",4248
2015,"140","other",5140
2016,"140","other",4304
2017,"140","other",4304
2018,"140","other",4132
2019,"140","other",4132
2020,"140","other",4132
2013,"160","house",1902021
2014,"160","house",1905216
2015,"160","house",1910893
2016,"160","house",1909338
2017,"160","house",1907527
2018,"160","house",1913060
2019,"160","house",1912458
2020,"160","house",1988746
2013,"160","flat",943190
2014,"160","flat",968932
2015,"160","flat",989169
2016,"160","flat",1037136
2017,"160","flat",1051661
2018,"160","flat",1078444
2019,"160","flat",1096468
2020,"160","flat",1147850
2013,"160","other",2957
2014,"160","other",2358
2015,"160","other",2106
2016,"160","other",1744
2017,"160","other",1609
2018,"160","other",1609
2019,"160","other",1649
2020,"160","other",1414
2013,"162","house",1059238
2014,"162","house",1056802
2015,"162","house",1058422
2016,"162","house",1059186
2017,"162","house",1056750
2018,"162","house",1059722
2019,"162","house",1057296
2020,"162","house",1056099
2013,"162","flat",385485
2014,"162","flat",387248
2015,"162","flat",390854
2016,"162","flat",394898
2017,"162","flat",398526
2018,"162","flat",412278
2019,"162","flat",413596
2020,"162","flat",419484
2013,"162","other",16885
2014,"162","other",17407
2015,"162","other",17226
2016,"162","other",17226
2017,"162","other",17282
2018,"162","other",2190
2019,"162","other",2075
2020,"162","other",2075
2013,"163","house",1652082
2014,"163","house",1662184
2015,"163","house",1667708
2016,"163","house",1669344
2017,"163","house",1670920
2018,"163","house",1685397
2019,"163","house",1691486
2020,"163","house",1716241
2013,"163","flat",1002076
2014,"163","flat",1023500
2015,"163","flat",1059244
2016,"163","flat",1060175
2017,"163","flat",1083880
2018,"163","flat",1094166
2019,"163","flat",1098666
2020,"163","flat",1112890
2013,"163","other",35026
2014,"163","other",35221
2015,"163","other",35221
2016,"163","other",35221
2017,"163","other",35221
2018,"163","other",35740
2019,"163","other",35740
2020,"163","other",36168
2013,"180","house",5261222
2014,"180","house",5271158
2015,"180","house",5290048
2016,"180","house",5300642
2017,"180","house",5327296
2018,"180","house",5348396
2019,"180","house",5349558
2020,"180","house",5358580
2013,"180","flat",25206932
2014,"180","flat",25442764
2015,"180","flat",25806722
2016,"180","flat",26279128
2017,"180","flat",26544412
2018,"180","flat",26898414
2019,"180","flat",27242462
2020,"180","flat",27395882
2013,"180","other",643671
2014,"180","other",663120
2015,"180","other",685424
2016,"180","other",725424
2017,"180","other",743704
2018,"180","other",769616
2019,"180","other",812731
2020,"180","other",815978
2013,"181","house",1422946
2014,"181","house",1424608
2015,"181","house",1450912
2016,"181","house",1455988
2017,"181","house",1473464
2018,"181","house",1478167
2019,"181","house",1483182
2020,"181","house",1487189
2013,"181","flat",1758570
2014,"181","flat",1772918
2015,"181","flat",1780910
2016,"181","flat",1785595
2017,"181","flat",1800346
2018,"181","flat",1825011
2019,"181","flat",1841978
2020,"181","flat",1865072
2013,"181","other",48374
2014,"181","other",48919
2015,"181","other",48987
2016,"181","other",48572
2017,"181","other",53123
2018,"181","other",55880
2019,"181","other",56446
2020,"181","other",54904
2013,"182","house",1976494
2014,"182","house",1985436
2015,"182","house",2014628
2016,"182","house",2026518
2017,"182","house",2040389
2018,"182","house",2055734
2019,"182","house",2069504
2020,"182","house",2083430
2013,"182","flat",1643128
2014,"182","flat",1671396
2015,"182","flat",1697852
2016,"182","flat",1733692
2017,"182","flat",1784314
2018,"182","flat",1821763
2019,"182","flat",1888758
2020,"182","flat",1933310
2013,"182","other",23817
2014,"182","other",23988
2015,"182","other",23660
2016,"182","other",24074
2017,"182","other",37490
2018,"182","other",37450
2019,"182","other",31448
2020,"182","other",31448
2013,"183","house",146218
2014,"183","house",146840
2015,"183","house",147056
2016,"183","house",147729
2017,"183","house",148122
2018,"183","house",148578
2019,"183","house",148064
2020,"183","house",147678
2013,"183","flat",1239922
2014,"183","flat",1292394
2015,"183","flat",1350406
2016,"183","flat",1390350
2017,"183","flat",1423378
2018,"183","flat",1467770
2019,"183","flat",1508048
2020,"183","flat",1523430
2013,"183","other",38878
2014,"183","other",39862
2015,"183","other",44432
2016,"183","other",48940
2017,"183","other",48940
2018,"183","other",50467
2019,"183","other",57762
2020,"183","other",59228
2013,"184","house",71680
2014,"184","house",72212
2015,"184","house",71555
2016,"184","house",71308
2017,"184","house",70794
2018,"184","house",71295
2019,"184","house",71766
2020,"184","house",72708
2013,"184","flat",2429801
2014,"184","flat",2495228
2015,"184","flat",2533914
2016,"184","flat",2583595
2017,"184","flat",2577655
2018,"184","flat",2609798
2019,"184","flat",2640344
2020,"184","flat",2686742
2013,"184","other",47512
2014,"184","other",33758
2015,"184","other",40993
2016,"184","other",41190
2017,"184","other",41115
2018,"184","other",48096
2019,"184","other",39428
2020,"184","other",33051
2013,"186","house",1038846
2014,"186","house",1038542
2015,"186","house",1043226
2016,"186","house",1044705
2017,"186","house",1046780
2018,"186","house",1049460
2019,"186","house",1055700
2020,"186","house",1058336
2013,"186","flat",875186
2014,"186","flat",882428
2015,"186","flat",924782
2016,"186","flat",937189
2017,"186","flat",946594
2018,"186","flat",955627
2019,"186","flat",962539
2020,"186","flat",977934
2013,"186","other",17018
2014,"186","other",17200
2015,"186","other",16900
2016,"186","other",16900
2017,"186","other",16730
2018,"186","other",16745
2019,"186","other",18363
2020,"186","other",18398
2013,"187","house",331196
2014,"187","house",331676
2015,"187","house",336004
2016,"187","house",335932
2017,"187","house",343044
2018,"187","house",342069
2019,"187","house",343104
2020,"187","house",344019
2013,"187","flat",121218
2014,"187","flat",122800
2015,"187","flat",129149
2016,"187","flat",132061
2017,"187","flat",133844
2018,"187","flat",151494
2019,"187","flat",151706
2020,"187","flat",152476
2013,"187","other",4676
2014,"187","other",6966
2015,"187","other",7112
2016,"187","other",7338
2017,"187","other",7338
2018,"187","other",7494
2019,"187","other",7494
2020,"187","other",7272
2013,"188","house",1678507
2014,"188","house",1691497
2015,"188","house",1721637
2016,"188","house",1755093
2017,"188","house",1809615
2018,"188","house",1849638
2019,"188","house",1862816
2020,"188","house",1897346
2013,"188","flat",664325
2014,"188","flat",691650
2015,"188","flat",703727
2016,"188","flat",726526
2017,"188","flat",752193
2018,"188","flat",762010
2019,"188","flat",776890
2020,"188","flat",787152
2013,"188","other",19774
2014,"188","other",19515
2015,"188","other",19636
2016,"188","other",20344
2017,"188","other",22004
2018,"188","other",22645
2019,"188","other",23404
2020,"188","other",22359
2013,"191","house",779046
2014,"191","house",784943
2015,"191","house",794724
2016,"191","house",794730
2017,"191","house",807894
2018,"191","house",813210
2019,"191","house",815879
2020,"191","house",825706
2013,"191","flat",763547
2014,"191","flat",773737
2015,"191","flat",779440
2016,"191","flat",793260
2017,"191","flat",807538
2018,"191","flat",811259
2019,"191","flat",824668
2020,"191","flat",831590
2013,"191","other",31742
2014,"191","other",31329
2015,"191","other",31420
2016,"191","other",32661
2017,"191","other",33848
2018,"191","other",31526
2019,"191","other",31762
2020,"191","other",31838
2013,"192","house",645030
2014,"192","house",644714
2015,"192","house",647914
2016,"192","house",651966
2017,"192","house",655467
2018,"192","house",664312
2019,"192","house",666356
2020,"192","house",671621
2013,"192","flat",425236
2014,"192","flat",431722
2015,"192","flat",434266
2016,"192","flat",439012
2017,"192","flat",440202
2018,"192","flat",442702
2019,"192","flat",448724
2020,"192","flat",449077
2013,"192","other",6967
2014,"192","other",7374
2015,"192","other",7374
2016,"192","other",8801
2017,"192","other",8736
2018,"192","other",8736
2019,"192","other",11846
2020,"192","other",13548
2013,"305","house",1103197
2013,"643","house",1103197
2014,"305","house",1111092
2014,"643","house",1111092
2015,"305","house",1128808
2015,"643","house",1128808
2016,"305","house",1143184
2016,"643","house",1143184
2017,"305","house",1162899
2017,"643","house",1162899
2018,"305","house",1174477
2018,"643","house",1174477
2019,"305","house",1180390
2019,"643","house",1180390
2020,"305","house",1191213
2020,"643","house",1191213
2013,"305","flat",197987
2013,"643","flat",197987
2014,"305","flat",201814
2014,"643","flat",201814
2015,"305","flat",201814
2015,"643","flat",201814
2016,"305","flat",207592
2016,"643","flat",207592
2017,"305","flat",209017
2017,"643","flat",209017
2018,"305","flat",215030
2018,"643","flat",215030
2019,"305","flat",229139
2019,"643","flat",229139
2020,"305","flat",231836
2020,"643","flat",231836
2013,"305","other",7894
2013,"643","other",7894
2014,"305","other",8040
2014,"643","other",8040
2015,"305","other",8090
2015,"643","other",8090
2016,"305","other",7970
2016,"643","other",7970
2017,"305","other",7772
2017,"643","other",7772
2018,"305","other",7656
2018,"643","other",7656
2019,"305","other",7938
2019,"643","other",7938
2020,"305","other",7938
2020,"643","other",7938
2013,"319","house",322771
2014,"319","house",321957
2015,"319","house",323910
2016,"319","house",324709
2017,"319","house",326104
2018,"319","house",325620
2019,"319","house",326683
2020,"319","house",326593
2013,"319","flat",74722
2014,"319","flat",74722
2015,"319","flat",74722
2016,"319","flat",75039
2017,"319","flat",75039
2018,"319","flat",75528
2019,"319","flat",75845
2020,"319","flat",78420
2013,"319","other",1350
2014,"319","other",1350
2015,"319","other",1668
2016,"319","other",1456
2017,"319","other",1456
2018,"319","other",1456
2019,"319","other",1456
2020,"319","other",1456
2013,"330","house",538745
2014,"330","house",545606
2015,"330","house",556786
2016,"330","house",563448
2017,"330","house",582937
2018,"330","house",586870
2019,"330","house",587170
2020,"330","house",591772
2013,"330","flat",106276
2014,"330","flat",123961
2015,"330","flat",124710
2016,"330","flat",127302
2017,"330","flat",129949
2018,"330","flat",142786
2019,"330","flat",145574
2020,"330","flat",157912
2013,"330","other",2190
2014,"330","other",2341
2015,"330","other",1702
2016,"330","other",1702
2017,"330","other",1748
2018,"330","other",1748
2019,"330","other",1748
2020,"330","other",1692
2013,"331","house",523428
2014,"331","house",523558
2015,"331","house",526036
2016,"331","house",524803
2017,"331","house",529286
2018,"331","house",531874
2019,"331","house",536098
2020,"331","house",541004
2013,"331","flat",80035
2014,"331","flat",80035
2015,"331","flat",82084
2016,"331","flat",84232
2017,"331","flat",84036
2018,"331","flat",85934
2019,"331","flat",87955
2020,"331","flat",88399
2013,"331","other",6196
2014,"331","other",6196
2015,"331","other",5713
2016,"331","other",5954
2017,"331","other",5990
2018,"331","other",6045
2019,"331","other",6392
2020,"331","other",6488
2013,"360","house",708676
2014,"360","house",709953
2015,"360","house",711234
2016,"360","house",709572
2017,"360","house",712552
2018,"360","house",715654
2019,"360","house",716886
2020,"360","house",717332
2013,"360","flat",207086
2014,"360","flat",207644
2015,"360","flat",210558
2016,"360","flat",211456
2017,"360","flat",218626
2018,"360","flat",219993
2019,"360","flat",219832
2020,"360","flat",225410
2013,"360","other",10802
2014,"360","other",14285
2015,"360","other",14702
2016,"360","other",15004
2017,"360","other",15461
2018,"360","other",15346
2019,"360","other",15326
2020,"360","other",15326
2013,"380","house",3425484
2014,"380","house",3457568
2015,"380","house",3524022
2016,"380","house",3565541
2017,"380","house",3567744
2018,"380","house",3568479
2019,"380","house",3573042
2020,"380","house",3580896
2013,"380","flat",3984557
2014,"380","flat",4046872
2015,"380","flat",4160504
2016,"380","flat",4268418
2017,"380","flat",4386077
2018,"380","flat",4561909
2019,"380","flat",4677560
2020,"380","flat",4720086
2013,"380","other",123062
2014,"380","other",118844
2015,"380","other",121350
2016,"380","other",123949
2017,"380","other",124488
2018,"380","other",128350
2019,"380","other",122146
2020,"380","other",126422
2013,"381","house",1173880
2014,"381","house",1179624
2015,"381","house",1190128
2016,"381","house",1191867
2017,"381","house",1203202
2018,"381","house",1223020
2019,"381","house",1244998
2020,"381","house",1265400
2013,"381","flat",505204
2014,"381","flat",505758
2015,"381","flat",518590
2016,"381","flat",529856
2017,"381","flat",532780
2018,"381","flat",550998
2019,"381","flat",568319
2020,"381","flat",585522
2013,"381","other",36622
2014,"381","other",36724
2015,"381","other",36072
2016,"381","other",35898
2017,"381","other",35832
2018,"381","other",35604
2019,"381","other",35881
2020,"381","other",35881
2013,"382","house",790266
2014,"382","house",790790
2015,"382","house",794460
2016,"382","house",795680
2017,"382","house",796042
2018,"382","house",799377
2019,"382","house",800956
2020,"382","house",802764
2013,"382","flat",202728
2014,"382","flat",204693
2015,"382","flat",208067
2016,"382","flat",207932
2017,"382","flat",211614
2018,"382","flat",214078
2019,"382","flat",215786
2020,"382","flat",216574
2013,"382","other",10204
2014,"382","other",10250
2015,"382","other",10906
2016,"382","other",11062
2017,"382","other",11204
2018,"382","other",11380
2019,"382","other",11380
2020,"382","other",11552
2013,"428","house",318074
2014,"428","house",321016
2015,"428","house",321719
2016,"428","house",321980
2017,"428","house",321793
2018,"428","house",321260
2019,"428","house",321213
2020,"428","house",321956
2013,"428","flat",82948
2014,"428","flat",82948
2015,"428","flat",85740
2016,"428","flat",88363
2017,"428","flat",89546
2018,"428","flat",89810
2019,"428","flat",89895
2020,"428","flat",88922
2013,"428","other",9078
2014,"428","other",9048
2015,"428","other",7210
2016,"428","other",7276
2017,"428","other",7422
2018,"428","other",8254
2019,"428","other",8516
2020,"428","other",7915
2013,"461","house",343812
2014,"461","house",343416
2015,"461","house",346478
2016,"461","house",347191
2017,"461","house",348770
2018,"461","house",350769
2019,"461","house",351272
2020,"461","house",350554
2013,"461","flat",95807
2014,"461","flat",97908
2015,"461","flat",101926
2016,"461","flat",102132
2017,"461","flat",102356
2018,"461","flat",109816
2019,"461","flat",113698
2020,"461","flat",115906
2013,"461","other",6424
2014,"461","other",6480
2015,"461","other",6676
2016,"461","other",6676
2017,"461","other",6676
2018,"461","other",6676
2019,"461","other",6886
2020,"461","other",7117
2013,"480","house",1283878
2014,"480","house",1283986
2015,"480","house",1282115
2016,"480","house",1284058
2017,"480","house",1285606
2018,"480","house",1290175
2019,"480","house",1290098
2020,"480","house",1300239
2013,"480","flat",939369
2014,"480","flat",949210
2015,"480","flat",958687
2016,"480","flat",964642
2017,"480","flat",968028
2018,"480","flat",978278
2019,"480","flat",1007791
2020,"480","flat",1026968
2013,"480","other",49936
2014,"480","other",49806
2015,"480","other",53296
2016,"480","other",48439
2017,"480","other",49066
2018,"480","other",52450
2019,"480","other",52394
2020,"480","other",54040
2013,"481","house",291142
2014,"481","house",290304
2015,"481","house",290793
2016,"481","house",290074
2017,"481","house",291957
2018,"481","house",291887
2019,"481","house",291428
2020,"481","house",290780
2013,"481","flat",211893
2014,"481","flat",211893
2015,"481","flat",211803
2016,"481","flat",211803
2017,"481","flat",211788
2018,"481","flat",214081
2019,"481","flat",214076
2020,"481","flat",216507
2013,"481","other",3829
2014,"481","other",3894
2015,"481","other",4226
2016,"481","other",4226
2017,"481","other",4226
2018,"481","other",3942
2019,"481","other",3942
2020,"481","other",3942
2013,"482","house",522014
2014,"482","house",522616
2015,"482","house",523625
2016,"482","house",521579
2017,"482","house",520867
2018,"482","house",521436
2019,"482","house",515661
2020,"482","house",517163
2013,"482","flat",216984
2014,"482","flat",217072
2015,"482","flat",217273
2016,"482","flat",218306
2017,"482","flat",219057
2018,"482","flat",219572
2019,"482","flat",221653
2020,"482","flat",222792
2013,"482","other",13284
2014,"482","other",13284
2015,"482","other",13808
2016,"482","other",13808
2017,"482","other",14125
2018,"482","other",14408
2019,"482","other",14408
2020,"482","other",14408
2013,"483","house",855552
2014,"483","house",853747
2015,"483","house",854323
2016,"483","house",852934
2017,"483","house",853767
2018,"483","house",853352
2019,"483","house",854336
2020,"483","house",856650
2013,"483","flat",534421
2014,"483","flat",536976
2015,"483","flat",539786
2016,"483","flat",541096
2017,"483","flat",549044
2018,"483","flat",563348
2019,"483","flat",567684
2020,"483","flat",573612
2013,"483","other",22056
2014,"483","other",22181
2015,"483","other",24422
2016,"483","other",24866
2017,"483","other",24951
2018,"483","other",24816
2019,"483","other",24966
2020,"483","other",25958
2013,"484","house",2051676
2014,"484","house",2054268
2015,"484","house",2057130
2016,"484","house",2054001
2017,"484","house",2060526
2018,"484","house",2060552
2019,"484","house",2064694
2020,"484","house",2068632
2013,"484","flat",1922800
2014,"484","flat",1940392
2015,"484","flat",1958923
2016,"484","flat",1975553
2017,"484","flat",2001876
2018,"484","flat",2012664
2019,"484","flat",2023772
2020,"484","flat",2052574
2013,"484","other",59169
2014,"484","other",59206
2015,"484","other",61414
2016,"484","other",63840
2017,"484","other",59326
2018,"484","other",63180
2019,"484","other",63206
2020,"484","other",63494
2013,"486","house",941620
2014,"486","house",948430
2015,"486","house",958598
2016,"486","house",959862
2017,"486","house",984106
2018,"486","house",1001968
2019,"486","house",1013051
2020,"486","house",1020678
2013,"486","flat",472391
2014,"486","flat",475057
2015,"486","flat",474146
2016,"486","flat",479086
2017,"486","flat",483620
2018,"486","flat",497875
2019,"486","flat",500944
2020,"486","flat",517529
2013,"486","other",22120
2014,"486","other",22120
2015,"486","other",22120
2016,"486","other",22680
2017,"486","other",22886
2018,"486","other",26412
2019,"486","other",28808
2020,"486","other",26502
2013,"488","house",388600
2014,"488","house",388614
2015,"488","house",389352
2016,"488","house",393700
2017,"488","house",394241
2018,"488","house",395044
2019,"488","house",394696
2020,"488","house",394998
2013,"488","flat",102273
2014,"488","flat",104210
2015,"488","flat",107448
2016,"488","flat",111444
2017,"488","flat",108746
2018,"488","flat",123728
2019,"488","flat",134648
2020,"488","flat",139121
2013,"488","other",4460
2014,"488","other",2754
2015,"488","other",2850
2016,"488","other",2850
2017,"488","other",2850
2018,"488","other",2850
2019,"488","other",2598
2020,"488","other",2815
2013,"509","house",220368
2014,"509","house",220369
2015,"509","house",220702
2016,"509","house",221626
2017,"509","house",220758
2018,"509","house",220300
2019,"509","house",220508
2020,"509","house",221284
2013,"509","flat",32542
2014,"509","flat",32542
2015,"509","flat",32628
2016,"509","flat",32644
2017,"509","flat",32644
2018,"509","flat",32644
2019,"509","flat",33006
2020,"509","flat",33006
2013,"509","other",4102
2014,"509","other",4102
2015,"509","other",4258
2016,"509","other",4258
2017,"509","other",4258
2018,"509","other",4258
2019,"509","other",4222
2020,"509","other",4621
2013,"512","house",179666
2014,"512","house",180983
2015,"512","house",178748
2016,"512","house",178910
2017,"512","house",179570
2018,"512","house",180327
2019,"512","house",181024
2020,"512","house",181732
2013,"512","flat",11032
2014,"512","flat",11032
2015,"512","flat",9972
2016,"512","flat",9972
2017,"512","flat",9972
2018,"512","flat",10159
2019,"512","flat",10159
2020,"512","flat",10159
2013,"512","other",2920
2014,"512","other",3040
2015,"512","other",3040
2016,"512","other",3106
2017,"512","other",3106
2018,"512","other",3106
2019,"512","other",3106
2020,"512","other",3594
2013,"513","house",393396
2014,"513","house",393650
2015,"513","house",394808
2016,"513","house",396356
2017,"513","house",396614
2018,"513","house",398640
2019,"513","house",401032
2020,"513","house",407238
2013,"513","flat",76938
2014,"513","flat",73573
2015,"513","flat",73770
2016,"513","flat",73875
2017,"513","flat",74222
2018,"513","flat",75536
2019,"513","flat",75410
2020,"513","flat",76064
2013,"513","other",7058
2014,"513","other",6877
2015,"513","other",6772
2016,"513","other",6952
2017,"513","other",7048
2018,"513","other",7094
2019,"513","other",6952
2020,"513","other",6952
2013,"560","house",191987
2014,"560","house",193072
2015,"560","house",193912
2016,"560","house",194044
2017,"560","house",194492
2018,"560","house",195692
2019,"560","house",195668
2020,"560","house",198520
2013,"560","flat",53314
2014,"560","flat",52474
2015,"560","flat",53024
2016,"560","flat",53159
2017,"560","flat",54076
2018,"560","flat",54614
2019,"560","flat",54904
2020,"560","flat",54904
2013,"560","other",4524
2014,"560","other",4524
2015,"560","other",4524
2016,"560","other",4398
2017,"560","other",4404
2018,"560","other",4650
2019,"560","other",4494
2020,"560","other",4494
2013,"561","house",428432
2014,"561","house",429323
2015,"561","house",432115
2016,"561","house",431626
2017,"561","house",435127
2018,"561","house",434478
2019,"561","house",435262
2020,"561","house",436811
2013,"561","flat",115249
2014,"561","flat",116358
2015,"561","flat",117354
2016,"561","flat",117617
2017,"561","flat",117652
2018,"561","flat",117859
2019,"561","flat",118690
2020,"561","flat",119137
2013,"561","other",6634
2014,"561","other",5968
2015,"561","other",6671
2016,"561","other",6671
2017,"561","other",6782
2018,"561","other",7842
2019,"561","other",7878
2020,"561","other",7878
2013,"562","house",655867
2014,"562","house",656851
2015,"562","house",660618
2016,"562","house",660996
2017,"562","house",663717
2018,"562","house",667686
2019,"562","house",671610
2020,"562","house",671206
2013,"562","flat",310264
2014,"562","flat",310053
2015,"562","flat",309210
2016,"562","flat",309110
2017,"562","flat",312030
2018,"562","flat",312244
2019,"562","flat",315062
2020,"562","flat",316662
2013,"562","other",13303
2014,"562","other",13695
2015,"562","other",13570
2016,"562","other",13550
2017,"562","other",13068
2018,"562","other",13592
2019,"562","other",13757
2020,"562","other",13999
2013,"563","house",302992
2014,"563","house",304423
2015,"563","house",306169
2016,"563","house",306209
2017,"563","house",305531
2018,"563","house",307148
2019,"563","house",306204
2020,"563","house",306563
