"nuts","year","value","level","type.of.building","indicator"
"SE110","2013",955999,"nuts3","all","dwelling"
"SE110","2014",966339,"nuts3","all","dwelling"
"SE110","2015",981078,"nuts3","all","dwelling"
"SE110","2016",1002174,"nuts3","all","dwelling"
"SE110","2017",1016051,"nuts3","all","dwelling"
"SE110","2018",1031759,"nuts3","all","dwelling"
"SE110","2019",1046789,"nuts3","all","dwelling"
"SE110","2020",1059926,"nuts3","all","dwelling"
"SE121","2013",151343,"nuts3","all","dwelling"
"SE211","2013",160353,"nuts3","all","dwelling"
"SE121","2014",152950,"nuts3","all","dwelling"
"SE211","2014",161502,"nuts3","all","dwelling"
"SE121","2015",155750,"nuts3","all","dwelling"
"SE211","2015",162782,"nuts3","all","dwelling"
"SE121","2016",159370,"nuts3","all","dwelling"
"SE211","2016",165325,"nuts3","all","dwelling"
"SE121","2017",162535,"nuts3","all","dwelling"
"SE211","2017",167493,"nuts3","all","dwelling"
"SE121","2018",166740,"nuts3","all","dwelling"
"SE211","2018",168894,"nuts3","all","dwelling"
"SE121","2019",169855,"nuts3","all","dwelling"
"SE211","2019",170867,"nuts3","all","dwelling"
"SE121","2020",171847,"nuts3","all","dwelling"
"SE211","2020",172581,"nuts3","all","dwelling"
"SE122","2013",129224,"nuts3","all","dwelling"
"SE122","2014",129820,"nuts3","all","dwelling"
"SE122","2015",130706,"nuts3","all","dwelling"
"SE122","2016",132631,"nuts3","all","dwelling"
"SE122","2017",133697,"nuts3","all","dwelling"
"SE122","2018",135425,"nuts3","all","dwelling"
"SE122","2019",136692,"nuts3","all","dwelling"
"SE122","2020",138331,"nuts3","all","dwelling"
"SE123","2013",202806,"nuts3","all","dwelling"
"SE123","2014",204514,"nuts3","all","dwelling"
"SE123","2015",206876,"nuts3","all","dwelling"
"SE123","2016",209378,"nuts3","all","dwelling"
"SE123","2017",212552,"nuts3","all","dwelling"
"SE123","2018",215426,"nuts3","all","dwelling"
"SE123","2019",217686,"nuts3","all","dwelling"
"SE123","2020",219986,"nuts3","all","dwelling"
"SE212","2013",83555,"nuts3","all","dwelling"
"SE212","2014",84408,"nuts3","all","dwelling"
"SE212","2015",85134,"nuts3","all","dwelling"
"SE212","2016",86310,"nuts3","all","dwelling"
"SE212","2017",87315,"nuts3","all","dwelling"
"SE212","2018",88792,"nuts3","all","dwelling"
"SE212","2019",90057,"nuts3","all","dwelling"
"SE212","2020",91272,"nuts3","all","dwelling"
"SE213","2013",113274,"nuts3","all","dwelling"
"SE213","2014",113829,"nuts3","all","dwelling"
"SE213","2015",114660,"nuts3","all","dwelling"
"SE213","2016",116024,"nuts3","all","dwelling"
"SE213","2017",116830,"nuts3","all","dwelling"
"SE213","2018",118159,"nuts3","all","dwelling"
"SE213","2019",118708,"nuts3","all","dwelling"
"SE213","2020",120147,"nuts3","all","dwelling"
"SE214","2013",26143,"nuts3","all","dwelling"
"SE214","2014",26524,"nuts3","all","dwelling"
"SE214","2015",26605,"nuts3","all","dwelling"
"SE214","2016",27065,"nuts3","all","dwelling"
"SE214","2017",27317,"nuts3","all","dwelling"
"SE214","2018",27642,"nuts3","all","dwelling"
"SE214","2019",27720,"nuts3","all","dwelling"
"SE214","2020",28202,"nuts3","all","dwelling"
"SE221","2013",72803,"nuts3","all","dwelling"
"SE221","2014",73085,"nuts3","all","dwelling"
"SE221","2015",73425,"nuts3","all","dwelling"
"SE221","2016",74480,"nuts3","all","dwelling"
"SE221","2017",74992,"nuts3","all","dwelling"
"SE221","2018",75484,"nuts3","all","dwelling"
"SE221","2019",75679,"nuts3","all","dwelling"
"SE221","2020",76346,"nuts3","all","dwelling"
"SE224","2013",572970,"nuts3","all","dwelling"
"SE224","2014",576799,"nuts3","all","dwelling"
"SE224","2015",582271,"nuts3","all","dwelling"
"SE224","2016",590807,"nuts3","all","dwelling"
"SE224","2017",599214,"nuts3","all","dwelling"
"SE224","2018",607263,"nuts3","all","dwelling"
"SE224","2019",614126,"nuts3","all","dwelling"
"SE224","2020",623033,"nuts3","all","dwelling"
"SE231","2013",133005,"nuts3","all","dwelling"
"SE231","2014",134296,"nuts3","all","dwelling"
"SE231","2015",135717,"nuts3","all","dwelling"
"SE231","2016",138549,"nuts3","all","dwelling"
"SE231","2017",141146,"nuts3","all","dwelling"
"SE231","2018",143095,"nuts3","all","dwelling"
"SE231","2019",145040,"nuts3","all","dwelling"
"SE231","2020",147344,"nuts3","all","dwelling"
"SE232","2013",736337,"nuts3","all","dwelling"
"SE232","2014",741214,"nuts3","all","dwelling"
"SE232","2015",748274,"nuts3","all","dwelling"
"SE232","2016",757643,"nuts3","all","dwelling"
"SE232","2017",766205,"nuts3","all","dwelling"
"SE232","2018",774724,"nuts3","all","dwelling"
"SE232","2019",781693,"nuts3","all","dwelling"
"SE232","2020",790214,"nuts3","all","dwelling"
"SE311","2013",134638,"nuts3","all","dwelling"
"SE311","2014",134935,"nuts3","all","dwelling"
"SE311","2015",135676,"nuts3","all","dwelling"
"SE311","2016",136853,"nuts3","all","dwelling"
"SE311","2017",137521,"nuts3","all","dwelling"
"SE311","2018",139304,"nuts3","all","dwelling"
"SE311","2019",139887,"nuts3","all","dwelling"
"SE311","2020",141043,"nuts3","all","dwelling"
"SE124","2013",134501,"nuts3","all","dwelling"
"SE124","2014",134979,"nuts3","all","dwelling"
"SE124","2015",136212,"nuts3","all","dwelling"
"SE124","2016",138211,"nuts3","all","dwelling"
"SE124","2017",140117,"nuts3","all","dwelling"
"SE124","2018",142376,"nuts3","all","dwelling"
"SE124","2019",143068,"nuts3","all","dwelling"
"SE124","2020",144348,"nuts3","all","dwelling"
"SE125","2013",121920,"nuts3","all","dwelling"
"SE125","2014",122457,"nuts3","all","dwelling"
"SE125","2015",123485,"nuts3","all","dwelling"
"SE125","2016",125477,"nuts3","all","dwelling"
"SE125","2017",126547,"nuts3","all","dwelling"
"SE125","2018",128262,"nuts3","all","dwelling"
"SE125","2019",129397,"nuts3","all","dwelling"
"SE125","2020",130541,"nuts3","all","dwelling"
"SE312","2013",135081,"nuts3","all","dwelling"
"SE312","2014",135343,"nuts3","all","dwelling"
"SE312","2015",135876,"nuts3","all","dwelling"
"SE312","2016",137493,"nuts3","all","dwelling"
"SE312","2017",138213,"nuts3","all","dwelling"
"SE312","2018",139206,"nuts3","all","dwelling"
"SE312","2019",139810,"nuts3","all","dwelling"
"SE312","2020",141593,"nuts3","all","dwelling"
"SE313","2013",136440,"nuts3","all","dwelling"
"SE313","2014",136791,"nuts3","all","dwelling"
"SE313","2015",136961,"nuts3","all","dwelling"
"SE313","2016",137764,"nuts3","all","dwelling"
"SE313","2017",138842,"nuts3","all","dwelling"
"SE313","2018",139783,"nuts3","all","dwelling"
"SE313","2019",140489,"nuts3","all","dwelling"
"SE313","2020",141263,"nuts3","all","dwelling"
"SE321","2013",117447,"nuts3","all","dwelling"
"SE321","2014",117686,"nuts3","all","dwelling"
"SE321","2015",117572,"nuts3","all","dwelling"
"SE321","2016",119324,"nuts3","all","dwelling"
"SE321","2017",120034,"nuts3","all","dwelling"
"SE321","2018",120559,"nuts3","all","dwelling"
"SE321","2019",120951,"nuts3","all","dwelling"
"SE321","2020",121468,"nuts3","all","dwelling"
"SE322","2013",64177,"nuts3","all","dwelling"
"SE322","2014",64365,"nuts3","all","dwelling"
"SE322","2015",64515,"nuts3","all","dwelling"
"SE322","2016",65906,"nuts3","all","dwelling"
"SE322","2017",66755,"nuts3","all","dwelling"
"SE322","2018",67498,"nuts3","all","dwelling"
"SE322","2019",68102,"nuts3","all","dwelling"
"SE322","2020",68929,"nuts3","all","dwelling"
"SE331","2013",121057,"nuts3","all","dwelling"
"SE331","2014",121575,"nuts3","all","dwelling"
"SE331","2015",122794,"nuts3","all","dwelling"
"SE331","2016",125508,"nuts3","all","dwelling"
"SE331","2017",127596,"nuts3","all","dwelling"
"SE331","2018",128645,"nuts3","all","dwelling"
"SE331","2019",129335,"nuts3","all","dwelling"
"SE331","2020",129602,"nuts3","all","dwelling"
"SE332","2013",120295,"nuts3","all","dwelling"
"SE332","2014",121053,"nuts3","all","dwelling"
"SE332","2015",121458,"nuts3","all","dwelling"
"SE332","2016",123037,"nuts3","all","dwelling"
"SE332","2017",123811,"nuts3","all","dwelling"
"SE332","2018",124956,"nuts3","all","dwelling"
"SE332","2019",125214,"nuts3","all","dwelling"
"SE332","2020",126281,"nuts3","all","dwelling"
"SE110","2021",1073053,"nuts3","all","dwelling"
"SE110","2022",1086807,"nuts3","all","dwelling"
"SE110","2023",1101187,"nuts3","all","dwelling"
"SE110","2024",1117254,"nuts3","all","dwelling"
"SE121","2021",176027,"nuts3","all","dwelling"
"SE211","2021",174212,"nuts3","all","dwelling"
"SE121","2022",179557,"nuts3","all","dwelling"
"SE211","2022",175981,"nuts3","all","dwelling"
"SE121","2023",182007,"nuts3","all","dwelling"
"SE211","2023",177014,"nuts3","all","dwelling"
"SE121","2024",184786,"nuts3","all","dwelling"
"SE211","2024",178060,"nuts3","all","dwelling"
"SE122","2021",140166,"nuts3","all","dwelling"
"SE122","2022",142545,"nuts3","all","dwelling"
"SE122","2023",144434,"nuts3","all","dwelling"
"SE122","2024",145823,"nuts3","all","dwelling"
"SE123","2021",222726,"nuts3","all","dwelling"
"SE123","2022",224768,"nuts3","all","dwelling"
"SE123","2023",226435,"nuts3","all","dwelling"
"SE123","2024",228391,"nuts3","all","dwelling"
"SE212","2021",92264,"nuts3","all","dwelling"
"SE212","2022",93327,"nuts3","all","dwelling"
"SE212","2023",94887,"nuts3","all","dwelling"
"SE212","2024",95174,"nuts3","all","dwelling"
"SE213","2021",120858,"nuts3","all","dwelling"
"SE213","2022",121961,"nuts3","all","dwelling"
"SE213","2023",122375,"nuts3","all","dwelling"
"SE213","2024",122865,"nuts3","all","dwelling"
"SE214","2021",28456,"nuts3","all","dwelling"
"SE214","2022",28798,"nuts3","all","dwelling"
"SE214","2023",28981,"nuts3","all","dwelling"
"SE214","2024",29106,"nuts3","all","dwelling"
"SE221","2021",76926,"nuts3","all","dwelling"
"SE221","2022",77341,"nuts3","all","dwelling"
"SE221","2023",77572,"nuts3","all","dwelling"
"SE221","2024",77734,"nuts3","all","dwelling"
"SE224","2021",631044,"nuts3","all","dwelling"
"SE224","2022",639445,"nuts3","all","dwelling"
"SE224","2023",647205,"nuts3","all","dwelling"
"SE224","2024",652013,"nuts3","all","dwelling"
"SE231","2021",149633,"nuts3","all","dwelling"
"SE231","2022",151525,"nuts3","all","dwelling"
"SE231","2023",153009,"nuts3","all","dwelling"
"SE231","2024",153753,"nuts3","all","dwelling"
"SE232","2021",799812,"nuts3","all","dwelling"
"SE232","2022",810241,"nuts3","all","dwelling"
"SE232","2023",818023,"nuts3","all","dwelling"
"SE232","2024",824360,"nuts3","all","dwelling"
"SE311","2021",141744,"nuts3","all","dwelling"
"SE311","2022",142785,"nuts3","all","dwelling"
"SE311","2023",143950,"nuts3","all","dwelling"
"SE311","2024",144842,"nuts3","all","dwelling"
"SE124","2021",145977,"nuts3","all","dwelling"
"SE124","2022",147748,"nuts3","all","dwelling"
"SE124","2023",149755,"nuts3","all","dwelling"
"SE124","2024",150909,"nuts3","all","dwelling"
"SE125","2021",131523,"nuts3","all","dwelling"
"SE125","2022",133759,"nuts3","all","dwelling"
"SE125","2023",135037,"nuts3","all","dwelling"
"SE125","2024",135732,"nuts3","all","dwelling"
"SE312","2021",142228,"nuts3","all","dwelling"
"SE312","2022",143068,"nuts3","all","dwelling"
"SE312","2023",143397,"nuts3","all","dwelling"
"SE312","2024",144340,"nuts3","all","dwelling"
"SE313","2021",142218,"nuts3","all","dwelling"
"SE313","2022",143355,"nuts3","all","dwelling"
"SE313","2023",143934,"nuts3","all","dwelling"
"SE313","2024",144094,"nuts3","all","dwelling"
"SE321","2021",121938,"nuts3","all","dwelling"
"SE321","2022",122103,"nuts3","all","dwelling"
"SE321","2023",122582,"nuts3","all","dwelling"
"SE321","2024",122967,"nuts3","all","dwelling"
"SE322","2021",69411,"nuts3","all","dwelling"
"SE322","2022",70354,"nuts3","all","dwelling"
"SE322","2023",70616,"nuts3","all","dwelling"
"SE322","2024",71063,"nuts3","all","dwelling"
"SE331","2021",130291,"nuts3","all","dwelling"
"SE331","2022",131867,"nuts3","all","dwelling"
"SE331","2023",133225,"nuts3","all","dwelling"
"SE331","2024",135150,"nuts3","all","dwelling"
"SE332","2021",126550,"nuts3","all","dwelling"
"SE332","2022",126911,"nuts3","all","dwelling"
"SE332","2023",127248,"nuts3","all","dwelling"
"SE332","2024",127883,"nuts3","all","dwelling"
"SE11","2013",955999,"nuts2","all","dwelling"
"SE11","2014",966339,"nuts2","all","dwelling"
"SE11","2015",981078,"nuts2","all","dwelling"
"SE11","2016",1002174,"nuts2","all","dwelling"
"SE11","2017",1016051,"nuts2","all","dwelling"
"SE11","2018",1031759,"nuts2","all","dwelling"
"SE11","2019",1046789,"nuts2","all","dwelling"
"SE11","2020",1059926,"nuts2","all","dwelling"
"SE12","2013",739794,"nuts2","all","dwelling"
"SE21","2013",383325,"nuts2","all","dwelling"
"SE12","2014",744720,"nuts2","all","dwelling"
"SE21","2014",386263,"nuts2","all","dwelling"
"SE12","2015",753029,"nuts2","all","dwelling"
"SE21","2015",389181,"nuts2","all","dwelling"
"SE12","2016",765067,"nuts2","all","dwelling"
"SE21","2016",394724,"nuts2","all","dwelling"
"SE12","2017",775448,"nuts2","all","dwelling"
"SE21","2017",398955,"nuts2","all","dwelling"
"SE12","2018",788229,"nuts2","all","dwelling"
"SE21","2018",403487,"nuts2","all","dwelling"
"SE12","2019",796698,"nuts2","all","dwelling"
"SE21","2019",407352,"nuts2","all","dwelling"
"SE12","2020",805053,"nuts2","all","dwelling"
"SE21","2020",412202,"nuts2","all","dwelling"
"SE22","2013",645773,"nuts2","all","dwelling"
"SE22","2014",649884,"nuts2","all","dwelling"
"SE22","2015",655696,"nuts2","all","dwelling"
"SE22","2016",665287,"nuts2","all","dwelling"
"SE22","2017",674206,"nuts2","all","dwelling"
"SE22","2018",682747,"nuts2","all","dwelling"
"SE22","2019",689805,"nuts2","all","dwelling"
"SE22","2020",699379,"nuts2","all","dwelling"
"SE23","2013",869342,"nuts2","all","dwelling"
"SE23","2014",875510,"nuts2","all","dwelling"
"SE23","2015",883991,"nuts2","all","dwelling"
"SE23","2016",896192,"nuts2","all","dwelling"
"SE23","2017",907351,"nuts2","all","dwelling"
"SE23","2018",917819,"nuts2","all","dwelling"
"SE23","2019",926733,"nuts2","all","dwelling"
"SE23","2020",937558,"nuts2","all","dwelling"
"SE31","2013",406159,"nuts2","all","dwelling"
"SE31","2014",407069,"nuts2","all","dwelling"
"SE31","2015",408513,"nuts2","all","dwelling"
"SE31","2016",412110,"nuts2","all","dwelling"
"SE31","2017",414576,"nuts2","all","dwelling"
"SE31","2018",418293,"nuts2","all","dwelling"
"SE31","2019",420186,"nuts2","all","dwelling"
"SE31","2020",423899,"nuts2","all","dwelling"
"SE32","2013",181624,"nuts2","all","dwelling"
"SE32","2014",182051,"nuts2","all","dwelling"
"SE32","2015",182087,"nuts2","all","dwelling"
"SE32","2016",185230,"nuts2","all","dwelling"
"SE32","2017",186789,"nuts2","all","dwelling"
"SE32","2018",188057,"nuts2","all","dwelling"
"SE32","2019",189053,"nuts2","all","dwelling"
"SE32","2020",190397,"nuts2","all","dwelling"
"SE33","2013",241352,"nuts2","all","dwelling"
"SE33","2014",242628,"nuts2","all","dwelling"
"SE33","2015",244252,"nuts2","all","dwelling"
"SE33","2016",248545,"nuts2","all","dwelling"
"SE33","2017",251407,"nuts2","all","dwelling"
"SE33","2018",253601,"nuts2","all","dwelling"
"SE33","2019",254549,"nuts2","all","dwelling"
"SE33","2020",255883,"nuts2","all","dwelling"
"SE11","2021",1073053,"nuts2","all","dwelling"
"SE11","2022",1086807,"nuts2","all","dwelling"
"SE11","2023",1101187,"nuts2","all","dwelling"
"SE11","2024",1117254,"nuts2","all","dwelling"
"SE12","2021",816419,"nuts2","all","dwelling"
"SE21","2021",415790,"nuts2","all","dwelling"
"SE12","2022",828377,"nuts2","all","dwelling"
"SE21","2022",420067,"nuts2","all","dwelling"
"SE12","2023",837668,"nuts2","all","dwelling"
"SE21","2023",423257,"nuts2","all","dwelling"
"SE12","2024",845641,"nuts2","all","dwelling"
"SE21","2024",425205,"nuts2","all","dwelling"
"SE22","2021",707970,"nuts2","all","dwelling"
"SE22","2022",716786,"nuts2","all","dwelling"
"SE22","2023",724777,"nuts2","all","dwelling"
"SE22","2024",729747,"nuts2","all","dwelling"
"SE23","2021",949445,"nuts2","all","dwelling"
"SE23","2022",961766,"nuts2","all","dwelling"
"SE23","2023",971032,"nuts2","all","dwelling"
"SE23","2024",978113,"nuts2","all","dwelling"
"SE31","2021",426190,"nuts2","all","dwelling"
"SE31","2022",429208,"nuts2","all","dwelling"
"SE31","2023",431281,"nuts2","all","dwelling"
"SE31","2024",433276,"nuts2","all","dwelling"
"SE32","2021",191349,"nuts2","all","dwelling"
"SE32","2022",192457,"nuts2","all","dwelling"
"SE32","2023",193198,"nuts2","all","dwelling"
"SE32","2024",194030,"nuts2","all","dwelling"
"SE33","2021",256841,"nuts2","all","dwelling"
"SE33","2022",258778,"nuts2","all","dwelling"
"SE33","2023",260473,"nuts2","all","dwelling"
"SE33","2024",263033,"nuts2","all","dwelling"
"SE1","2013",1695793,"nuts1","all","dwelling"
"SE1","2014",1711059,"nuts1","all","dwelling"
"SE1","2015",1734107,"nuts1","all","dwelling"
"SE1","2016",1767241,"nuts1","all","dwelling"
"SE1","2017",1791499,"nuts1","all","dwelling"
"SE1","2018",1819988,"nuts1","all","dwelling"
"SE1","2019",1843487,"nuts1","all","dwelling"
"SE1","2020",1864979,"nuts1","all","dwelling"
"SE2","2013",1898440,"nuts1","all","dwelling"
"SE2","2014",1911657,"nuts1","all","dwelling"
"SE2","2015",1928868,"nuts1","all","dwelling"
"SE2","2016",1956203,"nuts1","all","dwelling"
"SE2","2017",1980512,"nuts1","all","dwelling"
"SE2","2018",2004053,"nuts1","all","dwelling"
"SE2","2019",2023890,"nuts1","all","dwelling"
"SE2","2020",2049139,"nuts1","all","dwelling"
"SE3","2013",829135,"nuts1","all","dwelling"
"SE3","2014",831748,"nuts1","all","dwelling"
"SE3","2015",834852,"nuts1","all","dwelling"
"SE3","2016",845885,"nuts1","all","dwelling"
"SE3","2017",852772,"nuts1","all","dwelling"
"SE3","2018",859951,"nuts1","all","dwelling"
"SE3","2019",863788,"nuts1","all","dwelling"
"SE3","2020",870179,"nuts1","all","dwelling"
"SE1","2021",1889472,"nuts1","all","dwelling"
"SE1","2022",1915184,"nuts1","all","dwelling"
"SE1","2023",1938855,"nuts1","all","dwelling"
"SE1","2024",1962895,"nuts1","all","dwelling"
"SE2","2021",2073205,"nuts1","all","dwelling"
"SE2","2022",2098619,"nuts1","all","dwelling"
"SE2","2023",2119066,"nuts1","all","dwelling"
"SE2","2024",2133065,"nuts1","all","dwelling"
"SE3","2021",874380,"nuts1","all","dwelling"
"SE3","2022",880443,"nuts1","all","dwelling"
"SE3","2023",884952,"nuts1","all","dwelling"
"SE3","2024",890339,"nuts1","all","dwelling"
"SE","2013",4423368,"nuts0","all","dwelling"
"SE","2014",4454464,"nuts0","all","dwelling"
"SE","2015",4497827,"nuts0","all","dwelling"
"SE","2016",4569329,"nuts0","all","dwelling"
"SE","2017",4624783,"nuts0","all","dwelling"
"SE","2018",4683992,"nuts0","all","dwelling"
"SE","2019",4731165,"nuts0","all","dwelling"
"SE","2020",4784297,"nuts0","all","dwelling"
"SE","2021",4837057,"nuts0","all","dwelling"
"SE","2022",4894246,"nuts0","all","dwelling"
"SE","2023",4942873,"nuts0","all","dwelling"
"SE","2024",4986299,"nuts0","all","dwelling"
"114","2013",17766,"laucode","all","dwelling"
"114","2014",17903,"laucode","all","dwelling"
"114","2015",18344,"laucode","all","dwelling"
"114","2016",18616,"laucode","all","dwelling"
"114","2017",18881,"laucode","all","dwelling"
"114","2018",19330,"laucode","all","dwelling"
"114","2019",19844,"laucode","all","dwelling"
"114","2020",20191,"laucode","all","dwelling"
"115","2013",11956,"laucode","all","dwelling"
"115","2014",12057,"laucode","all","dwelling"
"115","2015",12183,"laucode","all","dwelling"
"115","2016",12611,"laucode","all","dwelling"
"115","2017",12733,"laucode","all","dwelling"
"115","2018",12990,"laucode","all","dwelling"
"115","2019",13253,"laucode","all","dwelling"
"115","2020",13362,"laucode","all","dwelling"
"117","2013",16130,"laucode","all","dwelling"
"117","2014",16321,"laucode","all","dwelling"
"117","2015",16654,"laucode","all","dwelling"
"117","2016",17037,"laucode","all","dwelling"
"117","2017",17286,"laucode","all","dwelling"
"117","2018",17480,"laucode","all","dwelling"
"117","2019",17945,"laucode","all","dwelling"
"117","2020",18519,"laucode","all","dwelling"
"120","2013",15731,"laucode","all","dwelling"
"120","2014",16022,"laucode","all","dwelling"
"120","2015",16305,"laucode","all","dwelling"
"120","2016",16822,"laucode","all","dwelling"
"120","2017",17701,"laucode","all","dwelling"
"120","2018",18324,"laucode","all","dwelling"
"120","2019",18487,"laucode","all","dwelling"
"120","2020",18755,"laucode","all","dwelling"
"123","2013",28802,"laucode","all","dwelling"
"123","2014",29298,"laucode","all","dwelling"
"123","2015",30258,"laucode","all","dwelling"
"123","2016",31078,"laucode","all","dwelling"
"123","2017",31780,"laucode","all","dwelling"
"123","2018",32217,"laucode","all","dwelling"
"123","2019",33090,"laucode","all","dwelling"
"123","2020",33898,"laucode","all","dwelling"
"125","2013",9220,"laucode","all","dwelling"
"125","2014",9296,"laucode","all","dwelling"
"125","2015",9350,"laucode","all","dwelling"
"125","2016",9802,"laucode","all","dwelling"
"125","2017",9893,"laucode","all","dwelling"
"125","2018",10037,"laucode","all","dwelling"
"125","2019",10045,"laucode","all","dwelling"
"125","2020",10072,"laucode","all","dwelling"
"126","2013",39464,"laucode","all","dwelling"
"126","2014",39817,"laucode","all","dwelling"
"126","2015",40358,"laucode","all","dwelling"
"126","2016",41022,"laucode","all","dwelling"
"126","2017",41700,"laucode","all","dwelling"
"126","2018",42348,"laucode","all","dwelling"
"126","2019",42742,"laucode","all","dwelling"
"126","2020",43170,"laucode","all","dwelling"
"127","2013",32120,"laucode","all","dwelling"
"127","2014",32509,"laucode","all","dwelling"
"127","2015",32753,"laucode","all","dwelling"
"127","2016",33364,"laucode","all","dwelling"
"127","2017",33786,"laucode","all","dwelling"
"127","2018",34435,"laucode","all","dwelling"
"127","2019",34846,"laucode","all","dwelling"
"127","2020",35213,"laucode","all","dwelling"
"128","2013",6126,"laucode","all","dwelling"
"128","2014",6145,"laucode","all","dwelling"
"128","2015",6161,"laucode","all","dwelling"
"128","2016",6238,"laucode","all","dwelling"
"128","2017",6256,"laucode","all","dwelling"
"128","2018",6329,"laucode","all","dwelling"
"128","2019",6353,"laucode","all","dwelling"
"128","2020",6500,"laucode","all","dwelling"
"136","2013",32398,"laucode","all","dwelling"
"136","2014",32610,"laucode","all","dwelling"
"136","2015",33128,"laucode","all","dwelling"
"136","2016",33884,"laucode","all","dwelling"
"136","2017",34558,"laucode","all","dwelling"
"136","2018",35236,"laucode","all","dwelling"
"136","2019",36043,"laucode","all","dwelling"
"136","2020",36871,"laucode","all","dwelling"
"138","2013",17656,"laucode","all","dwelling"
"138","2014",17953,"laucode","all","dwelling"
"138","2015",18294,"laucode","all","dwelling"
"138","2016",18619,"laucode","all","dwelling"
"138","2017",18977,"laucode","all","dwelling"
"138","2018",19281,"laucode","all","dwelling"
"138","2019",19737,"laucode","all","dwelling"
"138","2020",19768,"laucode","all","dwelling"
"139","2013",10078,"laucode","all","dwelling"
"139","2014",10196,"laucode","all","dwelling"
"139","2015",10212,"laucode","all","dwelling"
"139","2016",10795,"laucode","all","dwelling"
"139","2017",11105,"laucode","all","dwelling"
"139","2018",11445,"laucode","all","dwelling"
"139","2019",11726,"laucode","all","dwelling"
"139","2020",12551,"laucode","all","dwelling"
"140","2013",3650,"laucode","all","dwelling"
"140","2014",3696,"laucode","all","dwelling"
"140","2015",3911,"laucode","all","dwelling"
"140","2016",3955,"laucode","all","dwelling"
"140","2017",4037,"laucode","all","dwelling"
"140","2018",4151,"laucode","all","dwelling"
"140","2019",4191,"laucode","all","dwelling"
"140","2020",4223,"laucode","all","dwelling"
"160","2013",26311,"laucode","all","dwelling"
"160","2014",26639,"laucode","all","dwelling"
"160","2015",26922,"laucode","all","dwelling"
"160","2016",27799,"laucode","all","dwelling"
"160","2017",28104,"laucode","all","dwelling"
"160","2018",28637,"laucode","all","dwelling"
"160","2019",28944,"laucode","all","dwelling"
"160","2020",30330,"laucode","all","dwelling"
"162","2013",12455,"laucode","all","dwelling"
"162","2014",12453,"laucode","all","dwelling"
"162","2015",12517,"laucode","all","dwelling"
"162","2016",12620,"laucode","all","dwelling"
"162","2017",12672,"laucode","all","dwelling"
"162","2018",12721,"laucode","all","dwelling"
"162","2019",12738,"laucode","all","dwelling"
"162","2020",12836,"laucode","all","dwelling"
"163","2013",27164,"laucode","all","dwelling"
"163","2014",27553,"laucode","all","dwelling"
"163","2015",28113,"laucode","all","dwelling"
"163","2016",28143,"laucode","all","dwelling"
"163","2017",28561,"laucode","all","dwelling"
"163","2018",28814,"laucode","all","dwelling"
"163","2019",28927,"laucode","all","dwelling"
"163","2020",29308,"laucode","all","dwelling"
"180","2013",436558,"laucode","all","dwelling"
"180","2014",440239,"laucode","all","dwelling"
"180","2015",446048,"laucode","all","dwelling"
"180","2016",454292,"laucode","all","dwelling"
"180","2017",459142,"laucode","all","dwelling"
"180","2018",465236,"laucode","all","dwelling"
"180","2019",471455,"laucode","all","dwelling"
"180","2020",474316,"laucode","all","dwelling"
"181","2013",39042,"laucode","all","dwelling"
"181","2014",39248,"laucode","all","dwelling"
"181","2015",39574,"laucode","all","dwelling"
"181","2016",39894,"laucode","all","dwelling"
"181","2017",40312,"laucode","all","dwelling"
"181","2018",40960,"laucode","all","dwelling"
"181","2019",41368,"laucode","all","dwelling"
"181","2020",41833,"laucode","all","dwelling"
"182","2013",37968,"laucode","all","dwelling"
"182","2014",38492,"laucode","all","dwelling"
"182","2015",39094,"laucode","all","dwelling"
"182","2016",39785,"laucode","all","dwelling"
"182","2017",40761,"laucode","all","dwelling"
"182","2018",41402,"laucode","all","dwelling"
"182","2019",42330,"laucode","all","dwelling"
"182","2020",43126,"laucode","all","dwelling"
"183","2013",20331,"laucode","all","dwelling"
"183","2014",21079,"laucode","all","dwelling"
"183","2015",21924,"laucode","all","dwelling"
"183","2016",22917,"laucode","all","dwelling"
"183","2017",23435,"laucode","all","dwelling"
"183","2018",24196,"laucode","all","dwelling"
"183","2019",25034,"laucode","all","dwelling"
"183","2020",25330,"laucode","all","dwelling"
"184","2013",36040,"laucode","all","dwelling"
"184","2014",36770,"laucode","all","dwelling"
"184","2015",37438,"laucode","all","dwelling"
"184","2016",38455,"laucode","all","dwelling"
"184","2017",38337,"laucode","all","dwelling"
"184","2018",38986,"laucode","all","dwelling"
"184","2019",39422,"laucode","all","dwelling"
"184","2020",40345,"laucode","all","dwelling"
"186","2013",19320,"laucode","all","dwelling"
"186","2014",19419,"laucode","all","dwelling"
"186","2015",20050,"laucode","all","dwelling"
"186","2016",20305,"laucode","all","dwelling"
"186","2017",20471,"laucode","all","dwelling"
"186","2018",20639,"laucode","all","dwelling"
"186","2019",20876,"laucode","all","dwelling"
"186","2020",21123,"laucode","all","dwelling"
"187","2013",4411,"laucode","all","dwelling"
"187","2014",4448,"laucode","all","dwelling"
"187","2015",4556,"laucode","all","dwelling"
"187","2016",4659,"laucode","all","dwelling"
"187","2017",4731,"laucode","all","dwelling"
"187","2018",4963,"laucode","all","dwelling"
"187","2019",4974,"laucode","all","dwelling"
