"year","level","code","type.of.building","value","measure"
2018,"laucode","480","flat",2180,"offer_pricem2"
2018,"laucode","480","house",2508,"offer_pricem2"
2018,"laucode","481","all",1084,"offer_pricem2"
2018,"laucode","481","flat",773,"offer_pricem2"
2018,"laucode","481","house",1395,"offer_pricem2"
2018,"laucode","482","all",1504,"offer_pricem2"
2018,"laucode","482","flat",620,"offer_pricem2"
2018,"laucode","482","house",1839,"offer_pricem2"
2018,"laucode","483","all",1634,"offer_pricem2"
2018,"laucode","483","flat",1423,"offer_pricem2"
2018,"laucode","483","house",1904,"offer_pricem2"
2018,"laucode","484","all",2460,"offer_pricem2"
2018,"laucode","484","flat",2523,"offer_pricem2"
2018,"laucode","484","house",2207,"offer_pricem2"
2018,"laucode","488","all",2731,"offer_pricem2"
2018,"laucode","488","flat",2715,"offer_pricem2"
2018,"laucode","488","house",2754,"offer_pricem2"
2018,"laucode","509","all",1034,"offer_pricem2"
2018,"laucode","509","flat",2828,"offer_pricem2"
2018,"laucode","509","house",781,"offer_pricem2"
2018,"laucode","512","all",546,"offer_pricem2"
2018,"laucode","512","house",546,"offer_pricem2"
2018,"laucode","513","all",1712,"offer_pricem2"
2018,"laucode","513","house",1712,"offer_pricem2"
2018,"laucode","560","all",961,"offer_pricem2"
2018,"laucode","560","flat",783,"offer_pricem2"
2018,"laucode","560","house",980,"offer_pricem2"
2018,"laucode","561","all",1216,"offer_pricem2"
2018,"laucode","561","flat",1280,"offer_pricem2"
2018,"laucode","561","house",1102,"offer_pricem2"
2018,"laucode","562","all",987,"offer_pricem2"
2018,"laucode","562","flat",623,"offer_pricem2"
2018,"laucode","562","house",1220,"offer_pricem2"
2018,"laucode","563","all",1109,"offer_pricem2"
2018,"laucode","563","house",1109,"offer_pricem2"
2018,"laucode","580","all",3401,"offer_pricem2"
2018,"laucode","580","flat",3456,"offer_pricem2"
2018,"laucode","580","house",2452,"offer_pricem2"
2018,"laucode","581","all",2589,"offer_pricem2"
2018,"laucode","581","flat",2556,"offer_pricem2"
2018,"laucode","581","house",2711,"offer_pricem2"
2018,"laucode","582","all",3085,"offer_pricem2"
2018,"laucode","582","flat",2176,"offer_pricem2"
2018,"laucode","582","house",3092,"offer_pricem2"
2018,"laucode","583","all",1655,"offer_pricem2"
2018,"laucode","583","flat",1476,"offer_pricem2"
2018,"laucode","583","house",1728,"offer_pricem2"
2018,"laucode","584","all",1822,"offer_pricem2"
2018,"laucode","584","flat",2137,"offer_pricem2"
2018,"laucode","584","house",1728,"offer_pricem2"
2018,"laucode","586","all",1748,"offer_pricem2"
2018,"laucode","586","flat",1707,"offer_pricem2"
2018,"laucode","586","house",1797,"offer_pricem2"
2018,"laucode","604","all",1313,"offer_pricem2"
2018,"laucode","604","flat",310,"offer_pricem2"
2018,"laucode","604","house",1353,"offer_pricem2"
2018,"laucode","617","all",862,"offer_pricem2"
2018,"laucode","617","house",862,"offer_pricem2"
2018,"laucode","642","all",1436,"offer_pricem2"
2018,"laucode","642","flat",1747,"offer_pricem2"
2018,"laucode","642","house",1359,"offer_pricem2"
2018,"laucode","643","all",2115,"offer_pricem2"
2018,"laucode","643","flat",1855,"offer_pricem2"
2018,"laucode","643","house",2180,"offer_pricem2"
2018,"laucode","662","all",904,"offer_pricem2"
2018,"laucode","662","flat",797,"offer_pricem2"
2018,"laucode","662","house",948,"offer_pricem2"
2018,"laucode","665","all",1452,"offer_pricem2"
2018,"laucode","665","flat",1243,"offer_pricem2"
2018,"laucode","665","house",1457,"offer_pricem2"
2018,"laucode","680","all",2737,"offer_pricem2"
2018,"laucode","680","flat",2797,"offer_pricem2"
2018,"laucode","680","house",2485,"offer_pricem2"
2018,"laucode","682","all",1248,"offer_pricem2"
2018,"laucode","682","flat",966,"offer_pricem2"
2018,"laucode","682","house",1299,"offer_pricem2"
2018,"laucode","683","all",1527,"offer_pricem2"
2018,"laucode","683","flat",1727,"offer_pricem2"
2018,"laucode","683","house",1472,"offer_pricem2"
2018,"laucode","684","all",729,"offer_pricem2"
2018,"laucode","684","flat",576,"offer_pricem2"
2018,"laucode","684","house",739,"offer_pricem2"
2018,"laucode","685","all",1325,"offer_pricem2"
2018,"laucode","685","flat",2128,"offer_pricem2"
2018,"laucode","685","house",1279,"offer_pricem2"
2018,"laucode","686","all",976,"offer_pricem2"
2018,"laucode","686","flat",1327,"offer_pricem2"
2018,"laucode","686","house",875,"offer_pricem2"
2018,"laucode","687","all",1502,"offer_pricem2"
2018,"laucode","687","flat",1484,"offer_pricem2"
2018,"laucode","687","house",1589,"offer_pricem2"
2018,"laucode","760","all",812,"offer_pricem2"
2018,"laucode","760","house",812,"offer_pricem2"
2018,"laucode","761","all",658,"offer_pricem2"
2018,"laucode","761","house",658,"offer_pricem2"
2018,"laucode","763","all",698,"offer_pricem2"
2018,"laucode","763","flat",865,"offer_pricem2"
2018,"laucode","763","house",698,"offer_pricem2"
2018,"laucode","764","all",1388,"offer_pricem2"
2018,"laucode","764","flat",928,"offer_pricem2"
2018,"laucode","764","house",1440,"offer_pricem2"
2018,"laucode","765","all",1474,"offer_pricem2"
2018,"laucode","765","flat",1527,"offer_pricem2"
2018,"laucode","765","house",1471,"offer_pricem2"
2018,"laucode","767","all",712,"offer_pricem2"
2018,"laucode","767","flat",234,"offer_pricem2"
2018,"laucode","767","house",717,"offer_pricem2"
2018,"laucode","780","all",2570,"offer_pricem2"
2018,"laucode","780","flat",2654,"offer_pricem2"
2018,"laucode","780","house",2075,"offer_pricem2"
2018,"laucode","781","all",1161,"offer_pricem2"
2018,"laucode","781","flat",1298,"offer_pricem2"
2018,"laucode","781","house",1159,"offer_pricem2"
