"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","laucode","type"
"kehtna vald","Järvakandi rural municipality",2004,"dwelling",913,"EE009","EE006",293,"all"
"kehtna vald","Järvakandi rural municipality",2005,"dwelling",913,"EE009","EE006",293,"all"
"kehtna vald","Kehtna rural municipality",2003,"dwelling",2185,"EE009","EE006",293,"all"
"kehtna vald","Kehtna rural municipality",2004,"dwelling",2208,"EE009","EE006",293,"all"
"kehtna vald","Kehtna rural municipality",2005,"dwelling",2235,"EE009","EE006",293,"all"
"kehtna vald","Järvakandi rural municipality",2006,"dwelling",911,"EE009","EE006",293,"all"
"kehtna vald","Järvakandi rural municipality",2007,"dwelling",911,"EE009","EE006",293,"all"
"kehtna vald","Kehtna rural municipality",2006,"dwelling",2257,"EE009","EE006",293,"all"
"kehtna vald","Kehtna rural municipality",2007,"dwelling",2257,"EE009","EE006",293,"all"
"keila linn","Keila city",2003,"dwelling",3700,"EE001","EE001",296,"all"
"keila linn","Keila city",2004,"dwelling",3677,"EE001","EE001",296,"all"
"keila linn","Keila city",2005,"dwelling",3721,"EE001","EE001",296,"all"
"keila linn","Keila city",2006,"dwelling",3824,"EE001","EE001",296,"all"
"keila linn","Keila city",2007,"dwelling",4003,"EE001","EE001",296,"all"
"kihnu vald","Kihnu rural municipality",2003,"dwelling",241,"EE004","EE004",303,"all"
"kihnu vald","Kihnu rural municipality",2004,"dwelling",244,"EE004","EE004",303,"all"
"kihnu vald","Kihnu rural municipality",2005,"dwelling",249,"EE004","EE004",303,"all"
"kihnu vald","Kihnu rural municipality",2006,"dwelling",257,"EE004","EE004",303,"all"
"kihnu vald","Kihnu rural municipality",2007,"dwelling",259,"EE004","EE004",303,"all"
"kiili vald","Kiili rural municipality",2003,"dwelling",686,"EE001","EE001",304,"all"
"kiili vald","Kiili rural municipality",2004,"dwelling",714,"EE001","EE001",304,"all"
"kiili vald","Kiili rural municipality",2005,"dwelling",761,"EE001","EE001",304,"all"
"kiili vald","Kiili rural municipality",2006,"dwelling",1181,"EE001","EE001",304,"all"
"kiili vald","Kiili rural municipality",2007,"dwelling",1293,"EE001","EE001",304,"all"
"kohila vald","Kohila rural municipality",2003,"dwelling",2571,"EE009","EE006",317,"all"
"kohila vald","Kohila rural municipality",2004,"dwelling",2597,"EE009","EE006",317,"all"
"kohila vald","Kohila rural municipality",2005,"dwelling",2638,"EE009","EE006",317,"all"
"kohila vald","Kohila rural municipality",2006,"dwelling",3876,"EE009","EE006",317,"all"
"kohila vald","Kohila rural municipality",2007,"dwelling",3881,"EE009","EE006",317,"all"
"kohtla-järve linn","Kohtla-Järve city",2003,"dwelling",23015,"EE00A","EE007",321,"all"
"kohtla-järve linn","Kohtla-Järve city",2004,"dwelling",23275,"EE00A","EE007",321,"all"
"kohtla-järve linn","Kohtla-Järve city",2005,"dwelling",23816,"EE00A","EE007",321,"all"
"kohtla-järve linn","Kohtla-Järve city",2006,"dwelling",23819,"EE00A","EE007",321,"all"
"kohtla-järve linn","Kohtla-Järve city",2007,"dwelling",23441,"EE00A","EE007",321,"all"
"kose vald","Kose rural municipality",2003,"dwelling",2370,"EE001","EE001",338,"all"
"kose vald","Kose rural municipality",2004,"dwelling",2373,"EE001","EE001",338,"all"
"kose vald","Kose rural municipality",2005,"dwelling",2392,"EE001","EE001",338,"all"
"kose vald","Kõue rural municipality",2003,"dwelling",830,"EE001","EE001",338,"all"
"kose vald","Kõue rural municipality",2004,"dwelling",833,"EE001","EE001",338,"all"
"kose vald","Kõue rural municipality",2005,"dwelling",856,"EE001","EE001",338,"all"
"kose vald","Kose rural municipality",2006,"dwelling",2501,"EE001","EE001",338,"all"
"kose vald","Kose rural municipality",2007,"dwelling",2502,"EE001","EE001",338,"all"
"kose vald","Kõue rural municipality",2006,"dwelling",871,"EE001","EE001",338,"all"
"kose vald","Kõue rural municipality",2007,"dwelling",872,"EE001","EE001",338,"all"
"kuusalu vald","Kuusalu rural municipality*",2003,"dwelling",1992,"EE001","EE001",353,"all"
"kuusalu vald","Kuusalu rural municipality*",2004,"dwelling",2039,"EE001","EE001",353,"all"
"kuusalu vald","Kuusalu rural municipality*",2005,"dwelling",2052,"EE001","EE001",353,"all"
"kuusalu vald","Loksa rural municipality*",2003,"dwelling",1320,"EE001","EE001",353,"all"
"kuusalu vald","Loksa rural municipality*",2004,"dwelling",1345,"EE001","EE001",353,"all"
"kuusalu vald","Loksa rural municipality*",2005,"dwelling",1368,"EE001","EE001",353,"all"
