"laucode","year","NUTS 3 CODE 2021","NUTS 3 CODE 2016","indicator","value"
171,2000,"EE008","EE008","totalm2_<60sqm",850
171,2011,"EE008","EE008","totalm2_<60sqm",448
171,2021,"EE008","EE008","totalm2_<60sqm",522
171,2000,"EE008","EE008","totalm2_<60sqm",1686
171,2011,"EE008","EE008","totalm2_<60sqm",1288
171,2021,"EE008","EE008","totalm2_<60sqm",1474
171,2000,"EE008","EE008","totalm2_<60sqm",2858
171,2011,"EE008","EE008","totalm2_<60sqm",2472
171,2021,"EE008","EE008","totalm2_<60sqm",2718
171,2000,"EE008","EE008","totalm2_<60sqm",2192
171,2011,"EE008","EE008","totalm2_<60sqm",1608
171,2021,"EE008","EE008","totalm2_<60sqm",1944
171,2000,"EE008","EE008","totalm2_61_100sqm",2064
171,2011,"EE008","EE008","totalm2_61_100sqm",1856
171,2021,"EE008","EE008","totalm2_61_100sqm",1846
171,2000,"EE008","EE008","totalm2_61_100sqm",1394
171,2011,"EE008","EE008","totalm2_61_100sqm",1240
171,2021,"EE008","EE008","totalm2_61_100sqm",1352
171,2000,"EE008","EE008","totalm2_61_100sqm",1504
171,2011,"EE008","EE008","totalm2_61_100sqm",1348
171,2021,"EE008","EE008","totalm2_61_100sqm",1692
171,2000,"EE008","EE008","totalm2_101_150sqm",932
171,2011,"EE008","EE008","totalm2_101_150sqm",1184
171,2021,"EE008","EE008","totalm2_101_150sqm",1478
171,2000,"EE008","EE008","totalm2_101_150sqm",580
171,2011,"EE008","EE008","totalm2_101_150sqm",1018
171,2021,"EE008","EE008","totalm2_101_150sqm",1126
171,2000,"EE008","EE008","totalm2_>150sqm",478
171,2011,"EE008","EE008","totalm2_>150sqm",1376
171,2021,"EE008","EE008","totalm2_>150sqm",1180
171,2000,"EE008","EE008","totalm2_data_missing",606
171,2011,"EE008","EE008","totalm2_data_missing",86
171,2021,"EE008","EE008","totalm2_data_missing",436
184,2000,"EE004","EE004","totalm2_<60sqm",950
184,2011,"EE004","EE004","totalm2_<60sqm",656
184,2021,"EE004","EE004","totalm2_<60sqm",964
184,2000,"EE004","EE004","totalm2_<60sqm",2214
184,2011,"EE004","EE004","totalm2_<60sqm",1930
184,2021,"EE004","EE004","totalm2_<60sqm",2372
184,2000,"EE004","EE004","totalm2_<60sqm",3328
184,2011,"EE004","EE004","totalm2_<60sqm",3190
184,2021,"EE004","EE004","totalm2_<60sqm",3330
184,2000,"EE004","EE004","totalm2_<60sqm",2254
184,2011,"EE004","EE004","totalm2_<60sqm",2194
184,2021,"EE004","EE004","totalm2_<60sqm",2282
184,2000,"EE004","EE004","totalm2_61_100sqm",2418
184,2011,"EE004","EE004","totalm2_61_100sqm",2250
184,2021,"EE004","EE004","totalm2_61_100sqm",2436
184,2000,"EE004","EE004","totalm2_61_100sqm",1292
184,2011,"EE004","EE004","totalm2_61_100sqm",1362
184,2021,"EE004","EE004","totalm2_61_100sqm",1384
184,2000,"EE004","EE004","totalm2_61_100sqm",998
184,2011,"EE004","EE004","totalm2_61_100sqm",1128
184,2021,"EE004","EE004","totalm2_61_100sqm",1366
184,2000,"EE004","EE004","totalm2_101_150sqm",542
184,2011,"EE004","EE004","totalm2_101_150sqm",796
184,2021,"EE004","EE004","totalm2_101_150sqm",792
184,2000,"EE004","EE004","totalm2_101_150sqm",272
184,2011,"EE004","EE004","totalm2_101_150sqm",620
184,2021,"EE004","EE004","totalm2_101_150sqm",588
184,2000,"EE004","EE004","totalm2_>150sqm",250
184,2011,"EE004","EE004","totalm2_>150sqm",922
184,2021,"EE004","EE004","totalm2_>150sqm",752
184,2000,"EE004","EE004","totalm2_data_missing",640
184,2011,"EE004","EE004","totalm2_data_missing",64
184,2021,"EE004","EE004","totalm2_data_missing",182
191,2000,"EE009","EE006","totalm2_<60sqm",154
191,2011,"EE009","EE006","totalm2_<60sqm",116
191,2021,"EE009","EE006","totalm2_<60sqm",206
191,2000,"EE009","EE006","totalm2_<60sqm",472
191,2011,"EE009","EE006","totalm2_<60sqm",284
191,2021,"EE009","EE006","totalm2_<60sqm",462
191,2000,"EE009","EE006","totalm2_<60sqm",786
191,2011,"EE009","EE006","totalm2_<60sqm",700
191,2021,"EE009","EE006","totalm2_<60sqm",694
191,2000,"EE009","EE006","totalm2_<60sqm",912
191,2011,"EE009","EE006","totalm2_<60sqm",774
191,2021,"EE009","EE006","totalm2_<60sqm",934
191,2000,"EE009","EE006","totalm2_61_100sqm",838
191,2011,"EE009","EE006","totalm2_61_100sqm",796
191,2021,"EE009","EE006","totalm2_61_100sqm",786
191,2000,"EE009","EE006","totalm2_61_100sqm",762
191,2011,"EE009","EE006","totalm2_61_100sqm",704
191,2021,"EE009","EE006","totalm2_61_100sqm",820
191,2000,"EE009","EE006","totalm2_61_100sqm",786
191,2011,"EE009","EE006","totalm2_61_100sqm",662
191,2021,"EE009","EE006","totalm2_61_100sqm",858
191,2000,"EE009","EE006","totalm2_101_150sqm",472
191,2011,"EE009","EE006","totalm2_101_150sqm",490
191,2021,"EE009","EE006","totalm2_101_150sqm",580
191,2000,"EE009","EE006","totalm2_101_150sqm",344
