"Location","Year","Indicator","dwellings"
"Whole country","2000","Number of dwellings",537907
"Whole country","2000","Number of dwellings for which the number of rooms was recorded",536409
"Whole country","2000","Total number of rooms",1417249
"Whole country","2000","Average number of rooms per inhabitant",1.06
"Whole country","2011","Number of dwellings",544967
"Whole country","2011","Number of dwellings for which the number of rooms was recorded",544578
"Whole country","2011","Total number of rooms",1565348
"Whole country","2011","Average number of rooms per inhabitant",1.24
"Whole country","2021","Number of dwellings",557146
"Whole country","2021","Number of dwellings for which the number of rooms was recorded",551355
"Whole country","2021","Total number of rooms",1559930
"Whole country","2021","Average number of rooms per inhabitant",1.21
"..City settlement region","2000","Number of dwellings",332124
"..City settlement region","2000","Number of dwellings for which the number of rooms was recorded",331094
"..City settlement region","2000","Total number of rooms",807062
"..City settlement region","2000","Average number of rooms per inhabitant",1
"..City settlement region","2011","Number of dwellings",342532
"..City settlement region","2011","Number of dwellings for which the number of rooms was recorded",342350
"..City settlement region","2011","Total number of rooms",883536
"..City settlement region","2011","Average number of rooms per inhabitant",1.16
"..City settlement region","2021","Number of dwellings",345456
"..City settlement region","2021","Number of dwellings for which the number of rooms was recorded",341811
"..City settlement region","2021","Total number of rooms",874983
"..City settlement region","2021","Average number of rooms per inhabitant",1.11
"..Town settlement region","2000","Number of dwellings",32177
"..Town settlement region","2000","Number of dwellings for which the number of rooms was recorded",32081
"..Town settlement region","2000","Total number of rooms",93097
"..Town settlement region","2000","Average number of rooms per inhabitant",1.12
"..Town settlement region","2011","Number of dwellings",41208
"..Town settlement region","2011","Number of dwellings for which the number of rooms was recorded",41185
"..Town settlement region","2011","Total number of rooms",140260
"..Town settlement region","2011","Average number of rooms per inhabitant",1.32
"..Town settlement region","2021","Number of dwellings",45914
"..Town settlement region","2021","Number of dwellings for which the number of rooms was recorded",45580
"..Town settlement region","2021","Total number of rooms",153346
"..Town settlement region","2021","Average number of rooms per inhabitant",1.28
"..Rural settlement region","2000","Number of dwellings",173606
"..Rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",173234
"..Rural settlement region","2000","Total number of rooms",517090
"..Rural settlement region","2000","Average number of rooms per inhabitant",1.17
"..Rural settlement region","2011","Number of dwellings",161227
"..Rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",161043
"..Rural settlement region","2011","Total number of rooms",541552
"..Rural settlement region","2011","Average number of rooms per inhabitant",1.38
"..Rural settlement region","2021","Number of dwellings",165776
"..Rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",163964
"..Rural settlement region","2021","Total number of rooms",531601
"..Rural settlement region","2021","Average number of rooms per inhabitant",1.39
"Northern Estonia","2000","Number of dwellings",205583
"Northern Estonia","2000","Number of dwellings for which the number of rooms was recorded",204642
"Northern Estonia","2000","Total number of rooms",506329
"Northern Estonia","2000","Average number of rooms per inhabitant",0.99
"Northern Estonia","2011","Number of dwellings",232932
"Northern Estonia","2011","Number of dwellings for which the number of rooms was recorded",232753
"Northern Estonia","2011","Total number of rooms",631933
"Northern Estonia","2011","Average number of rooms per inhabitant",1.17
"Northern Estonia","2021","Number of dwellings",249161
"Northern Estonia","2021","Number of dwellings for which the number of rooms was recorded",246224
"Northern Estonia","2021","Total number of rooms",660424
"Northern Estonia","2021","Average number of rooms per inhabitant",1.11
"..Northern Estonia: city settlement region","2000","Number of dwellings",173111
"..Northern Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",172302
"..Northern Estonia: city settlement region","2000","Total number of rooms",412802
"..Northern Estonia: city settlement region","2000","Average number of rooms per inhabitant",0.97
"..Northern Estonia: city settlement region","2011","Number of dwellings",189857
"..Northern Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",189732
"..Northern Estonia: city settlement region","2011","Total number of rooms",481422
"..Northern Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.13
"..Northern Estonia: city settlement region","2021","Number of dwellings",200541
"..Northern Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",198116
"..Northern Estonia: city settlement region","2021","Total number of rooms",498051
"..Northern Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.06
"..Northern Estonia: town settlement region","2000","Number of dwellings",8307
"..Northern Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",8255
"..Northern Estonia: town settlement region","2000","Total number of rooms",26151
"..Northern Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.1
"..Northern Estonia: town settlement region","2011","Number of dwellings",15616
"..Northern Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",15603
"..Northern Estonia: town settlement region","2011","Total number of rooms",59657
"..Northern Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.33
"..Northern Estonia: town settlement region","2021","Number of dwellings",19082
"..Northern Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",18899
"..Northern Estonia: town settlement region","2021","Total number of rooms",69915
"..Northern Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.26
"..Northern Estonia: rural settlement region","2000","Number of dwellings",24165
"..Northern Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",24085
"..Northern Estonia: rural settlement region","2000","Total number of rooms",67376
"..Northern Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.09
"..Northern Estonia: rural settlement region","2011","Number of dwellings",27459
"..Northern Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",27418
"..Northern Estonia: rural settlement region","2011","Total number of rooms",90854
"..Northern Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.3
"..Northern Estonia: rural settlement region","2021","Number of dwellings",29538
"..Northern Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",29209
"..Northern Estonia: rural settlement region","2021","Total number of rooms",92458
"..Northern Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.26
"Central Estonia","2000","Number of dwellings",57797
"Central Estonia","2000","Number of dwellings for which the number of rooms was recorded",57671
"Central Estonia","2000","Total number of rooms",166063
"Central Estonia","2000","Average number of rooms per inhabitant",1.17
"Central Estonia","2011","Number of dwellings",53520
"Central Estonia","2011","Number of dwellings for which the number of rooms was recorded",53479
"Central Estonia","2011","Total number of rooms",168713
"Central Estonia","2011","Average number of rooms per inhabitant",1.36
"Central Estonia","2021","Number of dwellings",52333
"Central Estonia","2021","Number of dwellings for which the number of rooms was recorded",51962
"Central Estonia","2021","Total number of rooms",159036
"Central Estonia","2021","Average number of rooms per inhabitant",1.34
"..Central Estonia: city settlement region","2000","Number of dwellings",11094
"..Central Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",11084
"..Central Estonia: city settlement region","2000","Total number of rooms",29395
"..Central Estonia: city settlement region","2000","Average number of rooms per inhabitant",1.14
"..Central Estonia: city settlement region","2011","Number of dwellings",10666
"..Central Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",10661
"..Central Estonia: city settlement region","2011","Total number of rooms",30330
"..Central Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.31
"..Central Estonia: city settlement region","2021","Number of dwellings",10028
"..Central Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",10012
"..Central Estonia: city settlement region","2021","Total number of rooms",27822
"..Central Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.22
"..Central Estonia: town settlement region","2000","Number of dwellings",9399
"..Central Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",9376
"..Central Estonia: town settlement region","2000","Total number of rooms",25930
"..Central Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.16
"..Central Estonia: town settlement region","2011","Number of dwellings",8975
"..Central Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",8972
"..Central Estonia: town settlement region","2011","Total number of rooms",26696
"..Central Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.32
"..Central Estonia: town settlement region","2021","Number of dwellings",8595
"..Central Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",8542
"..Central Estonia: town settlement region","2021","Total number of rooms",25176
"..Central Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.32
"..Central Estonia: rural settlement region","2000","Number of dwellings",37304
"..Central Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",37211
"..Central Estonia: rural settlement region","2000","Total number of rooms",110738
"..Central Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.18
"..Central Estonia: rural settlement region","2011","Number of dwellings",33879
"..Central Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",33846
"..Central Estonia: rural settlement region","2011","Total number of rooms",111687
"..Central Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.38
"..Central Estonia: rural settlement region","2021","Number of dwellings",33710
"..Central Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",33408
"..Central Estonia: rural settlement region","2021","Total number of rooms",106038
"..Central Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.37
"Northeastern Estonia","2000","Number of dwellings",73639
"Northeastern Estonia","2000","Number of dwellings for which the number of rooms was recorded",73587
"Northeastern Estonia","2000","Total number of rooms",170286
"Northeastern Estonia","2000","Average number of rooms per inhabitant",0.99
"Northeastern Estonia","2011","Number of dwellings",65560
"Northeastern Estonia","2011","Number of dwellings for which the number of rooms was recorded",65542
"Northeastern Estonia","2011","Total number of rooms",158797
"Northeastern Estonia","2011","Average number of rooms per inhabitant",1.13
"Northeastern Estonia","2021","Number of dwellings",61966
"Northeastern Estonia","2021","Number of dwellings for which the number of rooms was recorded",61817
"Northeastern Estonia","2021","Total number of rooms",150392
"Northeastern Estonia","2021","Average number of rooms per inhabitant",1.17
"..Northeastern Estonia: city settlement region","2000","Number of dwellings",59375
"..Northeastern Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",59341
"..Northeastern Estonia: city settlement region","2000","Total number of rooms",132499
"..Northeastern Estonia: city settlement region","2000","Average number of rooms per inhabitant",0.95
"..Northeastern Estonia: city settlement region","2011","Number of dwellings",54160
"..Northeastern Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",54154
"..Northeastern Estonia: city settlement region","2011","Total number of rooms",124997
"..Northeastern Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.08
"..Northeastern Estonia: city settlement region","2021","Number of dwellings",51113
"..Northeastern Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",51037
"..Northeastern Estonia: city settlement region","2021","Total number of rooms",118580
"..Northeastern Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.12
"..Northeastern Estonia: town settlement region","2000","Number of dwellings",153
"..Northeastern Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",153
"..Northeastern Estonia: town settlement region","2000","Total number of rooms",416
"..Northeastern Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.13
"..Northeastern Estonia: town settlement region","2011","Number of dwellings",140
"..Northeastern Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",140
"..Northeastern Estonia: town settlement region","2011","Total number of rooms",396
"..Northeastern Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.36
"..Northeastern Estonia: town settlement region","2021","Number of dwellings",134
"..Northeastern Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",134
"..Northeastern Estonia: town settlement region","2021","Total number of rooms",374
"..Northeastern Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.19
"..Northeastern Estonia: rural settlement region","2000","Number of dwellings",14111
"..Northeastern Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",14093
"..Northeastern Estonia: rural settlement region","2000","Total number of rooms",37371
"..Northeastern Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.18
"..Northeastern Estonia: rural settlement region","2011","Number of dwellings",11260
"..Northeastern Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",11248
"..Northeastern Estonia: rural settlement region","2011","Total number of rooms",33404
"..Northeastern Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.36
"..Northeastern Estonia: rural settlement region","2021","Number of dwellings",10719
"..Northeastern Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",10646
"..Northeastern Estonia: rural settlement region","2021","Total number of rooms",31438
"..Northeastern Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.4
"Southern Estonia","2000","Number of dwellings",137270
"Southern Estonia","2000","Number of dwellings for which the number of rooms was recorded",136997
"Southern Estonia","2000","Total number of rooms",386423
"Southern Estonia","2000","Average number of rooms per inhabitant",1.12
"Southern Estonia","2011","Number of dwellings",132002
"Southern Estonia","2011","Number of dwellings for which the number of rooms was recorded",131892
"Southern Estonia","2011","Total number of rooms",406816
"Southern Estonia","2011","Average number of rooms per inhabitant",1.3
"Southern Estonia","2021","Number of dwellings",131039
"Southern Estonia","2021","Number of dwellings for which the number of rooms was recorded",129226
"Southern Estonia","2021","Total number of rooms",394791
"Southern Estonia","2021","Average number of rooms per inhabitant",1.29
"..Southern Estonia: city settlement region","2000","Number of dwellings",59680
"..Southern Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",59547
"..Southern Estonia: city settlement region","2000","Total number of rooms",153236
"..Southern Estonia: city settlement region","2000","Average number of rooms per inhabitant",1.05
"..Southern Estonia: city settlement region","2011","Number of dwellings",59824
"..Southern Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",59785
"..Southern Estonia: city settlement region","2011","Total number of rooms",164401
"..Southern Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.22
"..Southern Estonia: city settlement region","2021","Number of dwellings",56204
"..Southern Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",55224
"..Southern Estonia: city settlement region","2021","Total number of rooms",151813
"..Southern Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.16
"..Southern Estonia: town settlement region","2000","Number of dwellings",10813
"..Southern Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",10797
"..Southern Estonia: town settlement region","2000","Total number of rooms",30335
"..Southern Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.1
"..Southern Estonia: town settlement region","2011","Number of dwellings",12212
"..Southern Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",12210
"..Southern Estonia: town settlement region","2011","Total number of rooms",38596
"..Southern Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.29
"..Southern Estonia: town settlement region","2021","Number of dwellings",13553
"..Southern Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",13476
"..Southern Estonia: town settlement region","2021","Total number of rooms",42944
"..Southern Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.28
"..Southern Estonia: rural settlement region","2000","Number of dwellings",66777
"..Southern Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",66653
"..Southern Estonia: rural settlement region","2000","Total number of rooms",202852
"..Southern Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.18
"..Southern Estonia: rural settlement region","2011","Number of dwellings",59966
"..Southern Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",59897
"..Southern Estonia: rural settlement region","2011","Total number of rooms",203819
"..Southern Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.39
"..Southern Estonia: rural settlement region","2021","Number of dwellings",61282
"..Southern Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",60526
"..Southern Estonia: rural settlement region","2021","Total number of rooms",200034
"..Southern Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.42
"Western Estonia","2000","Number of dwellings",63618
"Western Estonia","2000","Number of dwellings for which the number of rooms was recorded",63512
"Western Estonia","2000","Total number of rooms",188148
"Western Estonia","2000","Average number of rooms per inhabitant",1.16
"Western Estonia","2011","Number of dwellings",60953
"Western Estonia","2011","Number of dwellings for which the number of rooms was recorded",60912
"Western Estonia","2011","Total number of rooms",199089
"Western Estonia","2011","Average number of rooms per inhabitant",1.39
"Western Estonia","2021","Number of dwellings",62647
"Western Estonia","2021","Number of dwellings for which the number of rooms was recorded",62126
"Western Estonia","2021","Total number of rooms",195287
"Western Estonia","2021","Average number of rooms per inhabitant",1.37
"..Western Estonia: city settlement region","2000","Number of dwellings",28864
"..Western Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",28820
"..Western Estonia: city settlement region","2000","Total number of rooms",79130
"..Western Estonia: city settlement region","2000","Average number of rooms per inhabitant",1.1
"..Western Estonia: city settlement region","2011","Number of dwellings",28025
"..Western Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",28018
"..Western Estonia: city settlement region","2011","Total number of rooms",82386
"..Western Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.31
"..Western Estonia: city settlement region","2021","Number of dwellings",27570
"..Western Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",27422
"..Western Estonia: city settlement region","2021","Total number of rooms",78717
"..Western Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.26
"..Western Estonia: town settlement region","2000","Number of dwellings",3505
"..Western Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",3500
"..Western Estonia: town settlement region","2000","Total number of rooms",10265
"..Western Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.1
"..Western Estonia: town settlement region","2011","Number of dwellings",4265
"..Western Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",4260
"..Western Estonia: town settlement region","2011","Total number of rooms",14915
"..Western Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.34
"..Western Estonia: town settlement region","2021","Number of dwellings",4550
"..Western Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",4529
"..Western Estonia: town settlement region","2021","Total number of rooms",14937
"..Western Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.3
"..Western Estonia: rural settlement region","2000","Number of dwellings",31249
"..Western Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",31192
"..Western Estonia: rural settlement region","2000","Total number of rooms",98753
"..Western Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.21
"..Western Estonia: rural settlement region","2011","Number of dwellings",28663
"..Western Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",28634
"..Western Estonia: rural settlement region","2011","Total number of rooms",101788
"..Western Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.47
"..Western Estonia: rural settlement region","2021","Number of dwellings",30527
"..Western Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",30175
"..Western Estonia: rural settlement region","2021","Total number of rooms",101633
"..Western Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.48
"HARJU COUNTY","2000","Number of dwellings",205583
"HARJU COUNTY","2000","Number of dwellings for which the number of rooms was recorded",204642
"HARJU COUNTY","2000","Total number of rooms",506329
"HARJU COUNTY","2000","Average number of rooms per inhabitant",0.99
"HARJU COUNTY","2011","Number of dwellings",232932
"HARJU COUNTY","2011","Number of dwellings for which the number of rooms was recorded",232753
"HARJU COUNTY","2011","Total number of rooms",631933
"HARJU COUNTY","2011","Average number of rooms per inhabitant",1.17
"HARJU COUNTY","2021","Number of dwellings",249161
"HARJU COUNTY","2021","Number of dwellings for which the number of rooms was recorded",246224
"HARJU COUNTY","2021","Total number of rooms",660424
"HARJU COUNTY","2021","Average number of rooms per inhabitant",1.11
"..Harju county: city settlement region","2000","Number of dwellings",173111
"..Harju county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",172302
"..Harju county: city settlement region","2000","Total number of rooms",412802
"..Harju county: city settlement region","2000","Average number of rooms per inhabitant",0.97
"..Harju county: city settlement region","2011","Number of dwellings",189857
"..Harju county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",189732
"..Harju county: city settlement region","2011","Total number of rooms",481422
"..Harju county: city settlement region","2011","Average number of rooms per inhabitant",1.13
"..Harju county: city settlement region","2021","Number of dwellings",200541
"..Harju county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",198116
"..Harju county: city settlement region","2021","Total number of rooms",498051
"..Harju county: city settlement region","2021","Average number of rooms per inhabitant",1.06
"..Harju county: town settlement region","2000","Number of dwellings",8307
"..Harju county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",8255
"..Harju county: town settlement region","2000","Total number of rooms",26151
"..Harju county: town settlement region","2000","Average number of rooms per inhabitant",1.1
"..Harju county: town settlement region","2011","Number of dwellings",15616
"..Harju county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",15603
"..Harju county: town settlement region","2011","Total number of rooms",59657
"..Harju county: town settlement region","2011","Average number of rooms per inhabitant",1.33
"..Harju county: town settlement region","2021","Number of dwellings",19082
"..Harju county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",18899
"..Harju county: town settlement region","2021","Total number of rooms",69915
"..Harju county: town settlement region","2021","Average number of rooms per inhabitant",1.26
"..Harju county: rural settlement region","2000","Number of dwellings",24165
"..Harju county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",24085
"..Harju county: rural settlement region","2000","Total number of rooms",67376
"..Harju county: rural settlement region","2000","Average number of rooms per inhabitant",1.09
"..Harju county: rural settlement region","2011","Number of dwellings",27459
"..Harju county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",27418
"..Harju county: rural settlement region","2011","Total number of rooms",90854
"..Harju county: rural settlement region","2011","Average number of rooms per inhabitant",1.3
"..Harju county: rural settlement region","2021","Number of dwellings",29538
"..Harju county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",29209
"..Harju county: rural settlement region","2021","Total number of rooms",92458
"..Harju county: rural settlement region","2021","Average number of rooms per inhabitant",1.26
"..Tallinn","2000","Number of dwellings",160271
"..Tallinn","2000","Number of dwellings for which the number of rooms was recorded",159503
"..Tallinn","2000","Total number of rooms",380085
"..Tallinn","2000","Average number of rooms per inhabitant",0.97
"..Tallinn","2011","Number of dwellings",173403
"..Tallinn","2011","Number of dwellings for which the number of rooms was recorded",173283
"..Tallinn","2011","Total number of rooms",433372
"..Tallinn","2011","Average number of rooms per inhabitant",1.12
"..Tallinn","2021","Number of dwellings",182992
"..Tallinn","2021","Number of dwellings for which the number of rooms was recorded",180693
"..Tallinn","2021","Total number of rooms",448611
"..Tallinn","2021","Average number of rooms per inhabitant",1.06
"....Haabersti city district","2000","Number of dwellings",14904
"....Haabersti city district","2000","Number of dwellings for which the number of rooms was recorded",14874
"....Haabersti city district","2000","Total number of rooms",36060
"....Haabersti city district","2000","Average number of rooms per inhabitant",0.97
"....Haabersti city district","2011","Number of dwellings",17574
"....Haabersti city district","2011","Number of dwellings for which the number of rooms was recorded",17572
"....Haabersti city district","2011","Total number of rooms",47531
"....Haabersti city district","2011","Average number of rooms per inhabitant",1.14
"....Haabersti city district","2021","Number of dwellings",19312
"....Haabersti city district","2021","Number of dwellings for which the number of rooms was recorded",19274
"....Haabersti city district","2021","Total number of rooms",52044
"....Haabersti city district","2021","Average number of rooms per inhabitant",1.12
"....Kesklinn city district","2000","Number of dwellings",19145
"....Kesklinn city district","2000","Number of dwellings for which the number of rooms was recorded",18945
"....Kesklinn city district","2000","Total number of rooms",44913
"....Kesklinn city district","2000","Average number of rooms per inhabitant",1.04
"....Kesklinn city district","2011","Number of dwellings",22080
"....Kesklinn city district","2011","Number of dwellings for which the number of rooms was recorded",22048
"....Kesklinn city district","2011","Total number of rooms",54117
"....Kesklinn city district","2011","Average number of rooms per inhabitant",1.21
"....Kesklinn city district","2021","Number of dwellings",25794
"....Kesklinn city district","2021","Number of dwellings for which the number of rooms was recorded",25051
"....Kesklinn city district","2021","Total number of rooms",62288
"....Kesklinn city district","2021","Average number of rooms per inhabitant",1.03
"....Kristiine city district","2000","Number of dwellings",11960
"....Kristiine city district","2000","Number of dwellings for which the number of rooms was recorded",11880
"....Kristiine city district","2000","Total number of rooms",28878
"....Kristiine city district","2000","Average number of rooms per inhabitant",1.01
"....Kristiine city district","2011","Number of dwellings",12995
"....Kristiine city district","2011","Number of dwellings for which the number of rooms was recorded",12985
"....Kristiine city district","2011","Total number of rooms",33131
"....Kristiine city district","2011","Average number of rooms per inhabitant",1.16
"....Kristiine city district","2021","Number of dwellings",13490
"....Kristiine city district","2021","Number of dwellings for which the number of rooms was recorded",13249
"....Kristiine city district","2021","Total number of rooms",33835
"....Kristiine city district","2021","Average number of rooms per inhabitant",1.08
"....Lasnamäe city district","2000","Number of dwellings",44336
"....Lasnamäe city district","2000","Number of dwellings for which the number of rooms was recorded",44238
"....Lasnamäe city district","2000","Total number of rooms",100309
"....Lasnamäe city district","2000","Average number of rooms per inhabitant",0.88
"....Lasnamäe city district","2011","Number of dwellings",47114
"....Lasnamäe city district","2011","Number of dwellings for which the number of rooms was recorded",47106
"....Lasnamäe city district","2011","Total number of rooms",107307
"....Lasnamäe city district","2011","Average number of rooms per inhabitant",1
"....Lasnamäe city district","2021","Number of dwellings",49768
"....Lasnamäe city district","2021","Number of dwellings for which the number of rooms was recorded",49646
"....Lasnamäe city district","2021","Total number of rooms",113598
"....Lasnamäe city district","2021","Average number of rooms per inhabitant",1
"....Mustamäe city district","2000","Number of dwellings",28868
"....Mustamäe city district","2000","Number of dwellings for which the number of rooms was recorded",28729
"....Mustamäe city district","2000","Total number of rooms",66221
"....Mustamäe city district","2000","Average number of rooms per inhabitant",0.99
"....Mustamäe city district","2011","Number of dwellings",28971
"....Mustamäe city district","2011","Number of dwellings for which the number of rooms was recorded",28966
"....Mustamäe city district","2011","Total number of rooms",67699
"....Mustamäe city district","2011","Average number of rooms per inhabitant",1.12
"....Mustamäe city district","2021","Number of dwellings",29155
"....Mustamäe city district","2021","Number of dwellings for which the number of rooms was recorded",28934
"....Mustamäe city district","2021","Total number of rooms",68235
"....Mustamäe city district","2021","Average number of rooms per inhabitant",1.06
"....Nõmme city district","2000","Number of dwellings",13615
"....Nõmme city district","2000","Number of dwellings for which the number of rooms was recorded",13538
"....Nõmme city district","2000","Total number of rooms",41489
"....Nõmme city district","2000","Average number of rooms per inhabitant",1.13
"....Nõmme city district","2011","Number of dwellings",13503
"....Nõmme city district","2011","Number of dwellings for which the number of rooms was recorded",13480
"....Nõmme city district","2011","Total number of rooms",46516
"....Nõmme city district","2011","Average number of rooms per inhabitant",1.33
"....Nõmme city district","2021","Number of dwellings",12945
"....Nõmme city district","2021","Number of dwellings for which the number of rooms was recorded",12513
"....Nõmme city district","2021","Total number of rooms",40951
"....Nõmme city district","2021","Average number of rooms per inhabitant",1.24
"....Pirita city district","2000","Number of dwellings",3125
"....Pirita city district","2000","Number of dwellings for which the number of rooms was recorded",3103
"....Pirita city district","2000","Total number of rooms",12061
"....Pirita city district","2000","Average number of rooms per inhabitant",1.3
"....Pirita city district","2011","Number of dwellings",5728
"....Pirita city district","2011","Number of dwellings for which the number of rooms was recorded",5723
"....Pirita city district","2011","Total number of rooms",22665
"....Pirita city district","2011","Average number of rooms per inhabitant",1.44
"....Pirita city district","2021","Number of dwellings",6137
"....Pirita city district","2021","Number of dwellings for which the number of rooms was recorded",6062
"....Pirita city district","2021","Total number of rooms",22182
"....Pirita city district","2021","Average number of rooms per inhabitant",1.33
"....Põhja-Tallinn city district","2000","Number of dwellings",24318
"....Põhja-Tallinn city district","2000","Number of dwellings for which the number of rooms was recorded",24196
"....Põhja-Tallinn city district","2000","Total number of rooms",50154
"....Põhja-Tallinn city district","2000","Average number of rooms per inhabitant",0.9
"....Põhja-Tallinn city district","2011","Number of dwellings",25438
"....Põhja-Tallinn city district","2011","Number of dwellings for which the number of rooms was recorded",25403
"....Põhja-Tallinn city district","2011","Total number of rooms",54406
"....Põhja-Tallinn city district","2011","Average number of rooms per inhabitant",1.03
"....Põhja-Tallinn city district","2021","Number of dwellings",26391
"....Põhja-Tallinn city district","2021","Number of dwellings for which the number of rooms was recorded",25964
"....Põhja-Tallinn city district","2021","Total number of rooms",55478
"....Põhja-Tallinn city district","2021","Average number of rooms per inhabitant",0.95
"..Anija rural municipality","2000","Number of dwellings",2933
