"nuts","year","type","nuts2021","nuts2016","variable","value"
130,2007,"flat","EE00A","EE007","ppm2_offer",NA
130,2008,"flat","EE00A","EE007","ppm2_offer",NA
130,2009,"flat","EE00A","EE007","ppm2_offer",NA
130,2010,"flat","EE00A","EE007","ppm2_offer",NA
130,2011,"flat","EE00A","EE007","ppm2_offer",NA
130,2012,"flat","EE00A","EE007","ppm2_offer",NA
130,2013,"flat","EE00A","EE007","ppm2_offer",NA
130,2014,"flat","EE00A","EE007","ppm2_offer",NA
130,2015,"flat","EE00A","EE007","ppm2_offer",173.955456897021
130,2016,"flat","EE00A","EE007","ppm2_offer",177.301411247225
130,2017,"flat","EE00A","EE007","ppm2_offer",186.753526981716
130,2018,"flat","EE00A","EE007","ppm2_offer",196.545885688213
130,2019,"flat","EE00A","EE007","ppm2_offer",204.205501862871
130,2020,"flat","EE00A","EE007","ppm2_offer",222.794386187068
130,2021,"flat","EE00A","EE007","ppm2_offer",238.55344481727
130,2022,"flat","EE00A","EE007","ppm2_offer",278.677219686687
130,2023,"flat","EE00A","EE007","ppm2_offer",368
130,2024,"flat","EE00A","EE007","ppm2_offer",404
130,2025,"flat","EE00A","EE007","ppm2_offer",384
141,2007,"flat","EE001","EE001","ppm2_offer",633.76560332871
141,2008,"flat","EE001","EE001","ppm2_offer",598.79334257975
141,2009,"flat","EE001","EE001","ppm2_offer",398.005757249889
141,2010,"flat","EE001","EE001","ppm2_offer",340.339805825243
141,2011,"flat","EE001","EE001","ppm2_offer",351.820986186621
141,2012,"flat","EE001","EE001","ppm2_offer",371.21717241811
141,2013,"flat","EE001","EE001","ppm2_offer",395.277126049817
141,2014,"flat","EE001","EE001","ppm2_offer",476.337470886525
141,2015,"flat","EE001","EE001","ppm2_offer",529.507858409837
141,2016,"flat","EE001","EE001","ppm2_offer",570.364843718649
141,2017,"flat","EE001","EE001","ppm2_offer",597.351062655559
141,2018,"flat","EE001","EE001","ppm2_offer",631.770534619974
141,2019,"flat","EE001","EE001","ppm2_offer",746.359223300971
141,2020,"flat","EE001","EE001","ppm2_offer",857.545440544776
141,2021,"flat","EE001","EE001","ppm2_offer",923.949163251899
141,2022,"flat","EE001","EE001","ppm2_offer",1153.07211977352
141,2023,"flat","EE001","EE001","ppm2_offer",1222
141,2024,"flat","EE001","EE001","ppm2_offer",1230
141,2025,"flat","EE001","EE001","ppm2_offer",1308
142,2007,"flat","EE008","EE008","ppm2_offer",194.300518134715
142,2008,"flat","EE008","EE008","ppm2_offer",192.166160183572
142,2009,"flat","EE008","EE008","ppm2_offer",133.412353007897
