"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"saue vald",2004,"flat","EE001","EE001",726,"number",211
"tallinn",2004,"flat","EE001","EE001",784,"number",8750
"viimsi vald",2004,"flat","EE001","EE001",890,"number",287
"haademeeste vald",2004,"flat","EE004","EE004",214,"number",NA
"haapsalu linn",2004,"flat","EE004","EE004",184,"number",196
"hiiumaa vald",2004,"flat","EE004","EE004",205,"number",66
"kihnu vald",2004,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2004,"flat","EE004","EE004",441,"number",57
"laaneranna vald",2004,"flat","EE004","EE004",430,"number",NA
"muhu vald",2004,"flat","EE004","EE004",478,"number",3
"parnu linn",2004,"flat","EE004","EE004",624,"number",NA
"pohjaparnumaa vald",2004,"flat","EE004","EE004",638,"number",NA
"ruhnu vald",2004,"flat","EE004","EE004",689,"number",NA
"saarde vald",2004,"flat","EE004","EE004",712,"number",NA
"saaremaa vald",2004,"flat","EE004","EE004",714,"number",254
"tori vald",2004,"flat","EE004","EE004",809,"number",NA
"vormsi vald",2004,"flat","EE004","EE004",907,"number",NA
"antsla vald",2004,"flat","EE008","EE008",142,"number",5
"elva vald",2004,"flat","EE008","EE008",171,"number",113
"jogeva vald",2004,"flat","EE008","EE008",247,"number",176
"kambja vald",2004,"flat","EE008","EE008",283,"number",70
"kanepi vald",2004,"flat","EE008","EE008",284,"number",22
"kastre vald",2004,"flat","EE008","EE008",291,"number",29
"luunja vald",2004,"flat","EE008","EE008",432,"number",25
"mulgi vald",2004,"flat","EE008","EE008",480,"number",39
"mustvee vald",2004,"flat","EE008","EE008",486,"number",10
"noo vald",2004,"flat","EE008","EE008",528,"number",18
"otepaa vald",2004,"flat","EE008","EE008",557,"number",29
"peipsiaare vald",2004,"flat","EE008","EE008",586,"number",19
"pohjasakala vald",2004,"flat","EE008","EE008",615,"number",68
"poltsamaa vald",2004,"flat","EE008","EE008",618,"number",92
"polva vald",2004,"flat","EE008","EE008",622,"number",133
"rapina vald",2004,"flat","EE008","EE008",708,"number",11
"rouge vald",2004,"flat","EE008","EE008",698,"number",12
"setomaa vald",2004,"flat","EE008","EE008",732,"number",NA
"tartu linn",2004,"flat","EE008","EE008",793,"number",2068
"tartu vald",2004,"flat","EE008","EE008",796,"number",62
"torva vald",2004,"flat","EE008","EE008",824,"number",56
"valga vald",2004,"flat","EE008","EE008",855,"number",261
"viljandi linn",2004,"flat","EE008","EE008",897,"number",255
"viljandi vald",2004,"flat","EE008","EE008",899,"number",52
"voru linn",2004,"flat","EE008","EE008",919,"number",200
"voru vald",2004,"flat","EE008","EE008",917,"number",45
"haljala vald",2004,"flat","EE009","EE006",191,"number",26
"jarva vald",2004,"flat","EE009","EE006",255,"number",23
"kadrina vald",2004,"flat","EE009","EE006",272,"number",65
"kehtna vald",2004,"flat","EE009","EE006",293,"number",71
"kohila vald",2004,"flat","EE009","EE006",317,"number",61
"marjamaa vald",2004,"flat","EE009","EE006",503,"number",45
"paide linn",2004,"flat","EE009","EE006",567,"number",176
"rakvere linn",2004,"flat","EE009","EE006",663,"number",243
"rakvere vald",2004,"flat","EE009","EE006",661,"number",31
"rapla vald",2004,"flat","EE009","EE006",668,"number",126
"tapa vald",2004,"flat","EE009","EE006",792,"number",157
"turi vald",2004,"flat","EE009","EE006",834,"number",89
"vaikemaarja vald",2004,"flat","EE009","EE006",928,"number",5
"vinni vald",2004,"flat","EE009","EE006",901,"number",37
"virunigula vald",2004,"flat","EE009","EE006",903,"number",99
"alutaguse vald",2004,"flat","EE00A","EE007",130,"number",12
"johvi vald",2004,"flat","EE00A","EE007",251,"number",309
"kohtlajarve linn",2004,"flat","EE00A","EE007",321,"number",626
"luganuse vald",2004,"flat","EE00A","EE007",442,"number",123
"narva linn",2004,"flat","EE00A","EE007",511,"number",367
"narvajoesuu linn",2004,"flat","EE00A","EE007",514,"number",25
"sillamae linn",2004,"flat","EE00A","EE007",735,"number",187
"toila vald",2004,"flat","EE00A","EE007",803,"number",148
"anija vald",2005,"flat","EE001","EE001",141,"number",131
"harku vald",2005,"flat","EE001","EE001",198,"number",313
"joelahtme vald",2005,"flat","EE001","EE001",245,"number",124
"keila linn",2005,"flat","EE001","EE001",296,"number",180
"kiili vald",2005,"flat","EE001","EE001",304,"number",39
"kose vald",2005,"flat","EE001","EE001",338,"number",73
"kuusalu vald",2005,"flat","EE001","EE001",353,"number",68
"laaneharju vald",2005,"flat","EE001","EE001",431,"number",356
"loksa linn",2005,"flat","EE001","EE001",424,"number",56
"maardu linn",2005,"flat","EE001","EE001",446,"number",495
"raasiku vald",2005,"flat","EE001","EE001",651,"number",35
"rae vald",2005,"flat","EE001","EE001",653,"number",609
"saku vald",2005,"flat","EE001","EE001",718,"number",109
"saue vald",2005,"flat","EE001","EE001",726,"number",322
"tallinn",2005,"flat","EE001","EE001",784,"number",13263
"viimsi vald",2005,"flat","EE001","EE001",890,"number",746
"haademeeste vald",2005,"flat","EE004","EE004",214,"number",NA
"haapsalu linn",2005,"flat","EE004","EE004",184,"number",281
"hiiumaa vald",2005,"flat","EE004","EE004",205,"number",73
"kihnu vald",2005,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2005,"flat","EE004","EE004",441,"number",63
"laaneranna vald",2005,"flat","EE004","EE004",430,"number",NA
"muhu vald",2005,"flat","EE004","EE004",478,"number",NA
"parnu linn",2005,"flat","EE004","EE004",624,"number",NA
"pohjaparnumaa vald",2005,"flat","EE004","EE004",638,"number",NA
"ruhnu vald",2005,"flat","EE004","EE004",689,"number",NA
"saarde vald",2005,"flat","EE004","EE004",712,"number",NA
"saaremaa vald",2005,"flat","EE004","EE004",714,"number",249
"tori vald",2005,"flat","EE004","EE004",809,"number",NA
"vormsi vald",2005,"flat","EE004","EE004",907,"number",NA
"antsla vald",2005,"flat","EE008","EE008",142,"number",12
