"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"kohila vald",2006,"all","EE009","EE006",317,"number",109
"kohila vald",2007,"all","EE009","EE006",317,"number",72
"kohila vald",2008,"all","EE009","EE006",317,"number",46
"kohila vald",2009,"all","EE009","EE006",317,"number",27
"kohila vald",2010,"all","EE009","EE006",317,"number",20
"kohila vald",2011,"all","EE009","EE006",317,"number",33
"kohila vald",2012,"all","EE009","EE006",317,"number",56
"kohila vald",2013,"all","EE009","EE006",317,"number",67
"kohila vald",2014,"all","EE009","EE006",317,"number",69
"kohila vald",2015,"all","EE009","EE006",317,"number",69
"kohila vald",2016,"all","EE009","EE006",317,"number",81
"kohila vald",2017,"all","EE009","EE006",317,"number",94
"kohila vald",2018,"all","EE009","EE006",317,"number",81
"kohila vald",2019,"all","EE009","EE006",317,"number",89
"kohila vald",2020,"all","EE009","EE006",317,"number",61
"kohila vald",2021,"all","EE009","EE006",317,"number",112
"kohila vald",2022,"all","EE009","EE006",317,"number",78
"kohila vald",2023,"all","EE009","EE006",317,"number",67
"kohila vald",2024,"all","EE009","EE006",317,"number",73
"kohila vald",2025,"all","EE009","EE006",317,"number",96
"kohtlajarve linn",2003,"all","EE00A","EE007",321,"number",302
"kohtlajarve linn",2004,"all","EE00A","EE007",321,"number",637
"kohtlajarve linn",2005,"all","EE00A","EE007",321,"number",750
"kohtlajarve linn",2006,"all","EE00A","EE007",321,"number",944
"kohtlajarve linn",2007,"all","EE00A","EE007",321,"number",863
"kohtlajarve linn",2008,"all","EE00A","EE007",321,"number",607
"kohtlajarve linn",2009,"all","EE00A","EE007",321,"number",507
"kohtlajarve linn",2010,"all","EE00A","EE007",321,"number",546
"kohtlajarve linn",2011,"all","EE00A","EE007",321,"number",551
"kohtlajarve linn",2012,"all","EE00A","EE007",321,"number",636
"kohtlajarve linn",2013,"all","EE00A","EE007",321,"number",775
"kohtlajarve linn",2014,"all","EE00A","EE007",321,"number",768
"kohtlajarve linn",2015,"all","EE00A","EE007",321,"number",778
"kohtlajarve linn",2016,"all","EE00A","EE007",321,"number",706
"kohtlajarve linn",2017,"all","EE00A","EE007",321,"number",811
"kohtlajarve linn",2018,"all","EE00A","EE007",321,"number",751
"kohtlajarve linn",2019,"all","EE00A","EE007",321,"number",868
"kohtlajarve linn",2020,"all","EE00A","EE007",321,"number",774
"kohtlajarve linn",2021,"all","EE00A","EE007",321,"number",945
"kohtlajarve linn",2022,"all","EE00A","EE007",321,"number",1055
"kohtlajarve linn",2023,"all","EE00A","EE007",321,"number",891
"kohtlajarve linn",2024,"all","EE00A","EE007",321,"number",857
"kohtlajarve linn",2025,"all","EE00A","EE007",321,"number",694
"kose vald",2003,"all","EE001","EE001",338,"number",35
"kose vald",2004,"all","EE001","EE001",338,"number",75
"kose vald",2005,"all","EE001","EE001",338,"number",90
"kose vald",2006,"all","EE001","EE001",338,"number",112
"kose vald",2007,"all","EE001","EE001",338,"number",99
"kose vald",2008,"all","EE001","EE001",338,"number",73
"kose vald",2009,"all","EE001","EE001",338,"number",32
"kose vald",2010,"all","EE001","EE001",338,"number",35
"kose vald",2011,"all","EE001","EE001",338,"number",52
"kose vald",2012,"all","EE001","EE001",338,"number",43
"kose vald",2013,"all","EE001","EE001",338,"number",60
"kose vald",2014,"all","EE001","EE001",338,"number",99
"kose vald",2015,"all","EE001","EE001",338,"number",86
"kose vald",2016,"all","EE001","EE001",338,"number",88
"kose vald",2017,"all","EE001","EE001",338,"number",104
"kose vald",2018,"all","EE001","EE001",338,"number",88
"kose vald",2019,"all","EE001","EE001",338,"number",96
"kose vald",2020,"all","EE001","EE001",338,"number",104
"kose vald",2021,"all","EE001","EE001",338,"number",143
"kose vald",2022,"all","EE001","EE001",338,"number",105
"kose vald",2023,"all","EE001","EE001",338,"number",80
"kose vald",2024,"all","EE001","EE001",338,"number",84
"kose vald",2025,"all","EE001","EE001",338,"number",118
"kuusalu vald",2003,"all","EE001","EE001",353,"number",19
"kuusalu vald",2004,"all","EE001","EE001",353,"number",59
"kuusalu vald",2005,"all","EE001","EE001",353,"number",90
"kuusalu vald",2006,"all","EE001","EE001",353,"number",119
"kuusalu vald",2007,"all","EE001","EE001",353,"number",91
"kuusalu vald",2008,"all","EE001","EE001",353,"number",48
"kuusalu vald",2009,"all","EE001","EE001",353,"number",30
"kuusalu vald",2010,"all","EE001","EE001",353,"number",32
"kuusalu vald",2011,"all","EE001","EE001",353,"number",36
"kuusalu vald",2012,"all","EE001","EE001",353,"number",46
"kuusalu vald",2013,"all","EE001","EE001",353,"number",43
"kuusalu vald",2014,"all","EE001","EE001",353,"number",70
"kuusalu vald",2015,"all","EE001","EE001",353,"number",40
"kuusalu vald",2016,"all","EE001","EE001",353,"number",62
"kuusalu vald",2017,"all","EE001","EE001",353,"number",62
"kuusalu vald",2018,"all","EE001","EE001",353,"number",58
"kuusalu vald",2019,"all","EE001","EE001",353,"number",64
"kuusalu vald",2020,"all","EE001","EE001",353,"number",63
"kuusalu vald",2021,"all","EE001","EE001",353,"number",85
"kuusalu vald",2022,"all","EE001","EE001",353,"number",76
"kuusalu vald",2023,"all","EE001","EE001",353,"number",66
"kuusalu vald",2024,"all","EE001","EE001",353,"number",40
"kuusalu vald",2025,"all","EE001","EE001",353,"number",72
"loksa linn",2003,"all","EE001","EE001",424,"number",26
"loksa linn",2004,"all","EE001","EE001",424,"number",51
"loksa linn",2005,"all","EE001","EE001",424,"number",59
"loksa linn",2006,"all","EE001","EE001",424,"number",61
"loksa linn",2007,"all","EE001","EE001",424,"number",47
"loksa linn",2008,"all","EE001","EE001",424,"number",36
"loksa linn",2009,"all","EE001","EE001",424,"number",22
"loksa linn",2010,"all","EE001","EE001",424,"number",43
"loksa linn",2011,"all","EE001","EE001",424,"number",24
"loksa linn",2012,"all","EE001","EE001",424,"number",35
"loksa linn",2013,"all","EE001","EE001",424,"number",37
"loksa linn",2014,"all","EE001","EE001",424,"number",38
"loksa linn",2015,"all","EE001","EE001",424,"number",43
"loksa linn",2016,"all","EE001","EE001",424,"number",41
"loksa linn",2017,"all","EE001","EE001",424,"number",51
"loksa linn",2018,"all","EE001","EE001",424,"number",53
"loksa linn",2019,"all","EE001","EE001",424,"number",55
"loksa linn",2020,"all","EE001","EE001",424,"number",46
"loksa linn",2021,"all","EE001","EE001",424,"number",61
"loksa linn",2022,"all","EE001","EE001",424,"number",72
"loksa linn",2023,"all","EE001","EE001",424,"number",46
"loksa linn",2024,"all","EE001","EE001",424,"number",48
"loksa linn",2025,"all","EE001","EE001",424,"number",44
"luunja vald",2003,"all","EE008","EE008",432,"number",16
"luunja vald",2004,"all","EE008","EE008",432,"number",30
"luunja vald",2005,"all","EE008","EE008",432,"number",84
"luunja vald",2006,"all","EE008","EE008",432,"number",110
"luunja vald",2007,"all","EE008","EE008",432,"number",143
"luunja vald",2008,"all","EE008","EE008",432,"number",72
"luunja vald",2009,"all","EE008","EE008",432,"number",36
"luunja vald",2010,"all","EE008","EE008",432,"number",143
"luunja vald",2011,"all","EE008","EE008",432,"number",90
"luunja vald",2012,"all","EE008","EE008",432,"number",53
"luunja vald",2013,"all","EE008","EE008",432,"number",88
"luunja vald",2014,"all","EE008","EE008",432,"number",99
"luunja vald",2015,"all","EE008","EE008",432,"number",122
"luunja vald",2016,"all","EE008","EE008",432,"number",121
"luunja vald",2017,"all","EE008","EE008",432,"number",196
"luunja vald",2018,"all","EE008","EE008",432,"number",193
"luunja vald",2019,"all","EE008","EE008",432,"number",121
"luunja vald",2020,"all","EE008","EE008",432,"number",120
"luunja vald",2021,"all","EE008","EE008",432,"number",188
"luunja vald",2022,"all","EE008","EE008",432,"number",128
"luunja vald",2023,"all","EE008","EE008",432,"number",82
"luunja vald",2024,"all","EE008","EE008",432,"number",132
"luunja vald",2025,"all","EE008","EE008",432,"number",119
"laaneharju vald",2003,"all","EE001","EE001",431,"number",134
"laaneharju vald",2004,"all","EE001","EE001",431,"number",323
"laaneharju vald",2005,"all","EE001","EE001",431,"number",380
"laaneharju vald",2006,"all","EE001","EE001",431,"number",514
"laaneharju vald",2007,"all","EE001","EE001",431,"number",375
"laaneharju vald",2008,"all","EE001","EE001",431,"number",149
"laaneharju vald",2009,"all","EE001","EE001",431,"number",116
"laaneharju vald",2010,"all","EE001","EE001",431,"number",287
"laaneharju vald",2011,"all","EE001","EE001",431,"number",149
"laaneharju vald",2012,"all","EE001","EE001",431,"number",159
"laaneharju vald",2013,"all","EE001","EE001",431,"number",219
"laaneharju vald",2014,"all","EE001","EE001",431,"number",246
"laaneharju vald",2015,"all","EE001","EE001",431,"number",254
"laaneharju vald",2016,"all","EE001","EE001",431,"number",231
"laaneharju vald",2017,"all","EE001","EE001",431,"number",259
"laaneharju vald",2018,"all","EE001","EE001",431,"number",244
"laaneharju vald",2019,"all","EE001","EE001",431,"number",293
"laaneharju vald",2020,"all","EE001","EE001",431,"number",251
"laaneharju vald",2021,"all","EE001","EE001",431,"number",400
"laaneharju vald",2022,"all","EE001","EE001",431,"number",308
"laaneharju vald",2023,"all","EE001","EE001",431,"number",231
"laaneharju vald",2024,"all","EE001","EE001",431,"number",264
"laaneharju vald",2025,"all","EE001","EE001",431,"number",268
"laanenigula vald",2003,"all","EE004","EE004",441,"number",30
"laanenigula vald",2004,"all","EE004","EE004",441,"number",66
"laanenigula vald",2005,"all","EE004","EE004",441,"number",86
"laanenigula vald",2006,"all","EE004","EE004",441,"number",111
"laanenigula vald",2007,"all","EE004","EE004",441,"number",95
"laanenigula vald",2008,"all","EE004","EE004",441,"number",73
"laanenigula vald",2009,"all","EE004","EE004",441,"number",39
"laanenigula vald",2010,"all","EE004","EE004",441,"number",43
"laanenigula vald",2011,"all","EE004","EE004",441,"number",49
"laanenigula vald",2012,"all","EE004","EE004",441,"number",72
"laanenigula vald",2013,"all","EE004","EE004",441,"number",75
"laanenigula vald",2014,"all","EE004","EE004",441,"number",69
"laanenigula vald",2015,"all","EE004","EE004",441,"number",86
"laanenigula vald",2016,"all","EE004","EE004",441,"number",91
"laanenigula vald",2017,"all","EE004","EE004",441,"number",108
"laanenigula vald",2018,"all","EE004","EE004",441,"number",103
"laanenigula vald",2019,"all","EE004","EE004",441,"number",111
"laanenigula vald",2020,"all","EE004","EE004",441,"number",120
"laanenigula vald",2021,"all","EE004","EE004",441,"number",124
"laanenigula vald",2022,"all","EE004","EE004",441,"number",137
"laanenigula vald",2023,"all","EE004","EE004",441,"number",114
"laanenigula vald",2024,"all","EE004","EE004",441,"number",114
"laanenigula vald",2025,"all","EE004","EE004",441,"number",96
"laaneranna vald",2003,"all","EE004","EE004",430,"number",14
"laaneranna vald",2004,"all","EE004","EE004",430,"number",9
"laaneranna vald",2005,"all","EE004","EE004",430,"number",12
"laaneranna vald",2006,"all","EE004","EE004",430,"number",20
"laaneranna vald",2007,"all","EE004","EE004",430,"number",65
"laaneranna vald",2008,"all","EE004","EE004",430,"number",52
"laaneranna vald",2009,"all","EE004","EE004",430,"number",24
"laaneranna vald",2010,"all","EE004","EE004",430,"number",42
"laaneranna vald",2011,"all","EE004","EE004",430,"number",33
"laaneranna vald",2012,"all","EE004","EE004",430,"number",38
"laaneranna vald",2013,"all","EE004","EE004",430,"number",61
"laaneranna vald",2014,"all","EE004","EE004",430,"number",62
"laaneranna vald",2015,"all","EE004","EE004",430,"number",90
"laaneranna vald",2016,"all","EE004","EE004",430,"number",66
"laaneranna vald",2017,"all","EE004","EE004",430,"number",57
"laaneranna vald",2018,"all","EE004","EE004",430,"number",63
"laaneranna vald",2019,"all","EE004","EE004",430,"number",66
"laaneranna vald",2020,"all","EE004","EE004",430,"number",83
"laaneranna vald",2021,"all","EE004","EE004",430,"number",102
"laaneranna vald",2022,"all","EE004","EE004",430,"number",94
"laaneranna vald",2023,"all","EE004","EE004",430,"number",70
"laaneranna vald",2024,"all","EE004","EE004",430,"number",62
"laaneranna vald",2025,"all","EE004","EE004",430,"number",71
"luganuse vald",2003,"all","EE00A","EE007",442,"number",75
"luganuse vald",2004,"all","EE00A","EE007",442,"number",140
"luganuse vald",2005,"all","EE00A","EE007",442,"number",128
"luganuse vald",2006,"all","EE00A","EE007",442,"number",138
"luganuse vald",2007,"all","EE00A","EE007",442,"number",198
"luganuse vald",2008,"all","EE00A","EE007",442,"number",191
"luganuse vald",2009,"all","EE00A","EE007",442,"number",99
"luganuse vald",2010,"all","EE00A","EE007",442,"number",151
"luganuse vald",2011,"all","EE00A","EE007",442,"number",174
"luganuse vald",2012,"all","EE00A","EE007",442,"number",191
"luganuse vald",2013,"all","EE00A","EE007",442,"number",223
"luganuse vald",2014,"all","EE00A","EE007",442,"number",199
"luganuse vald",2015,"all","EE00A","EE007",442,"number",118
"luganuse vald",2016,"all","EE00A","EE007",442,"number",145
"luganuse vald",2017,"all","EE00A","EE007",442,"number",159
"luganuse vald",2018,"all","EE00A","EE007",442,"number",199
"luganuse vald",2019,"all","EE00A","EE007",442,"number",186
"luganuse vald",2020,"all","EE00A","EE007",442,"number",150
"luganuse vald",2021,"all","EE00A","EE007",442,"number",218
"luganuse vald",2022,"all","EE00A","EE007",442,"number",232
"luganuse vald",2023,"all","EE00A","EE007",442,"number",269
"luganuse vald",2024,"all","EE00A","EE007",442,"number",280
"luganuse vald",2025,"all","EE00A","EE007",442,"number",201
"maardu linn",2003,"all","EE001","EE001",446,"number",224
"maardu linn",2004,"all","EE001","EE001",446,"number",430
"maardu linn",2005,"all","EE001","EE001",446,"number",516
"maardu linn",2006,"all","EE001","EE001",446,"number",412
"maardu linn",2007,"all","EE001","EE001",446,"number",327
"maardu linn",2008,"all","EE001","EE001",446,"number",200
"maardu linn",2009,"all","EE001","EE001",446,"number",153
"maardu linn",2010,"all","EE001","EE001",446,"number",215
"maardu linn",2011,"all","EE001","EE001",446,"number",144
"maardu linn",2012,"all","EE001","EE001",446,"number",218
"maardu linn",2013,"all","EE001","EE001",446,"number",247
"maardu linn",2014,"all","EE001","EE001",446,"number",228
"maardu linn",2015,"all","EE001","EE001",446,"number",263
"maardu linn",2016,"all","EE001","EE001",446,"number",250
"maardu linn",2017,"all","EE001","EE001",446,"number",257
"maardu linn",2018,"all","EE001","EE001",446,"number",260
"maardu linn",2019,"all","EE001","EE001",446,"number",204
"maardu linn",2020,"all","EE001","EE001",446,"number",211
"maardu linn",2021,"all","EE001","EE001",446,"number",365
"maardu linn",2022,"all","EE001","EE001",446,"number",212
"maardu linn",2023,"all","EE001","EE001",446,"number",193
"maardu linn",2024,"all","EE001","EE001",446,"number",206
"maardu linn",2025,"all","EE001","EE001",446,"number",290
"muhu vald",2003,"all","EE004","EE004",478,"number",0
"muhu vald",2004,"all","EE004","EE004",478,"number",9
"muhu vald",2005,"all","EE004","EE004",478,"number",1
"muhu vald",2006,"all","EE004","EE004",478,"number",5
"muhu vald",2007,"all","EE004","EE004",478,"number",7
"muhu vald",2008,"all","EE004","EE004",478,"number",4
"muhu vald",2009,"all","EE004","EE004",478,"number",2
"muhu vald",2010,"all","EE004","EE004",478,"number",3
"muhu vald",2011,"all","EE004","EE004",478,"number",3
"muhu vald",2012,"all","EE004","EE004",478,"number",9
"muhu vald",2013,"all","EE004","EE004",478,"number",6
"muhu vald",2014,"all","EE004","EE004",478,"number",3
"muhu vald",2015,"all","EE004","EE004",478,"number",4
"muhu vald",2016,"all","EE004","EE004",478,"number",6
"muhu vald",2017,"all","EE004","EE004",478,"number",9
"muhu vald",2018,"all","EE004","EE004",478,"number",7
"muhu vald",2019,"all","EE004","EE004",478,"number",9
"muhu vald",2020,"all","EE004","EE004",478,"number",6
"muhu vald",2021,"all","EE004","EE004",478,"number",14
"muhu vald",2022,"all","EE004","EE004",478,"number",5
"muhu vald",2023,"all","EE004","EE004",478,"number",2
"muhu vald",2024,"all","EE004","EE004",478,"number",4
"muhu vald",2025,"all","EE004","EE004",478,"number",11
"mulgi vald",2003,"all","EE008","EE008",480,"number",21
"mulgi vald",2004,"all","EE008","EE008",480,"number",59
"mulgi vald",2005,"all","EE008","EE008",480,"number",85
"mulgi vald",2006,"all","EE008","EE008",480,"number",79
"mulgi vald",2007,"all","EE008","EE008",480,"number",88
"mulgi vald",2008,"all","EE008","EE008",480,"number",70
"mulgi vald",2009,"all","EE008","EE008",480,"number",70
"mulgi vald",2010,"all","EE008","EE008",480,"number",65
"mulgi vald",2011,"all","EE008","EE008",480,"number",72
"mulgi vald",2012,"all","EE008","EE008",480,"number",69
"mulgi vald",2013,"all","EE008","EE008",480,"number",90
"mulgi vald",2014,"all","EE008","EE008",480,"number",88
"mulgi vald",2015,"all","EE008","EE008",480,"number",90
"mulgi vald",2016,"all","EE008","EE008",480,"number",77
"mulgi vald",2017,"all","EE008","EE008",480,"number",96
"mulgi vald",2018,"all","EE008","EE008",480,"number",108
"mulgi vald",2019,"all","EE008","EE008",480,"number",112
"mulgi vald",2020,"all","EE008","EE008",480,"number",113
"mulgi vald",2021,"all","EE008","EE008",480,"number",147
"mulgi vald",2022,"all","EE008","EE008",480,"number",140
"mulgi vald",2023,"all","EE008","EE008",480,"number",125
"mulgi vald",2024,"all","EE008","EE008",480,"number",105
"mulgi vald",2025,"all","EE008","EE008",480,"number",100
"mustvee vald",2003,"all","EE008","EE008",486,"number",15
"mustvee vald",2004,"all","EE008","EE008",486,"number",32
"mustvee vald",2005,"all","EE008","EE008",486,"number",32
"mustvee vald",2006,"all","EE008","EE008",486,"number",54
"mustvee vald",2007,"all","EE008","EE008",486,"number",50
"mustvee vald",2008,"all","EE008","EE008",486,"number",45
"mustvee vald",2009,"all","EE008","EE008",486,"number",18
"mustvee vald",2010,"all","EE008","EE008",486,"number",28
"mustvee vald",2011,"all","EE008","EE008",486,"number",54
"mustvee vald",2012,"all","EE008","EE008",486,"number",43
"mustvee vald",2013,"all","EE008","EE008",486,"number",40
"mustvee vald",2014,"all","EE008","EE008",486,"number",38
"mustvee vald",2015,"all","EE008","EE008",486,"number",47
"mustvee vald",2016,"all","EE008","EE008",486,"number",35
"mustvee vald",2017,"all","EE008","EE008",486,"number",51
"mustvee vald",2018,"all","EE008","EE008",486,"number",51
"mustvee vald",2019,"all","EE008","EE008",486,"number",52
"mustvee vald",2020,"all","EE008","EE008",486,"number",74
"mustvee vald",2021,"all","EE008","EE008",486,"number",90
"mustvee vald",2022,"all","EE008","EE008",486,"number",78
"mustvee vald",2023,"all","EE008","EE008",486,"number",75
"mustvee vald",2024,"all","EE008","EE008",486,"number",51
"mustvee vald",2025,"all","EE008","EE008",486,"number",51
"marjamaa vald",2003,"all","EE009","EE006",503,"number",24
"marjamaa vald",2004,"all","EE009","EE006",503,"number",76
"marjamaa vald",2005,"all","EE009","EE006",503,"number",75
"marjamaa vald",2006,"all","EE009","EE006",503,"number",93
"marjamaa vald",2007,"all","EE009","EE006",503,"number",103
"marjamaa vald",2008,"all","EE009","EE006",503,"number",97
"marjamaa vald",2009,"all","EE009","EE006",503,"number",30
"marjamaa vald",2010,"all","EE009","EE006",503,"number",41
"marjamaa vald",2011,"all","EE009","EE006",503,"number",40
"marjamaa vald",2012,"all","EE009","EE006",503,"number",48
"marjamaa vald",2013,"all","EE009","EE006",503,"number",56
"marjamaa vald",2014,"all","EE009","EE006",503,"number",72
"marjamaa vald",2015,"all","EE009","EE006",503,"number",82
"marjamaa vald",2016,"all","EE009","EE006",503,"number",82
"marjamaa vald",2017,"all","EE009","EE006",503,"number",107
"marjamaa vald",2018,"all","EE009","EE006",503,"number",92
"marjamaa vald",2019,"all","EE009","EE006",503,"number",93
"marjamaa vald",2020,"all","EE009","EE006",503,"number",97
"marjamaa vald",2021,"all","EE009","EE006",503,"number",130
"marjamaa vald",2022,"all","EE009","EE006",503,"number",108
"marjamaa vald",2023,"all","EE009","EE006",503,"number",78
"marjamaa vald",2024,"all","EE009","EE006",503,"number",88
"marjamaa vald",2025,"all","EE009","EE006",503,"number",70
"narva linn",2003,"all","EE00A","EE007",511,"number",151
"narva linn",2004,"all","EE00A","EE007",511,"number",374
"narva linn",2005,"all","EE00A","EE007",511,"number",643
"narva linn",2006,"all","EE00A","EE007",511,"number",700
"narva linn",2007,"all","EE00A","EE007",511,"number",614
"narva linn",2008,"all","EE00A","EE007",511,"number",536
"narva linn",2009,"all","EE00A","EE007",511,"number",482
"narva linn",2010,"all","EE00A","EE007",511,"number",620
"narva linn",2011,"all","EE00A","EE007",511,"number",519
"narva linn",2012,"all","EE00A","EE007",511,"number",662
"narva linn",2013,"all","EE00A","EE007",511,"number",684
"narva linn",2014,"all","EE00A","EE007",511,"number",706
"narva linn",2015,"all","EE00A","EE007",511,"number",663
"narva linn",2016,"all","EE00A","EE007",511,"number",622
"narva linn",2017,"all","EE00A","EE007",511,"number",744
"narva linn",2018,"all","EE00A","EE007",511,"number",719
"narva linn",2019,"all","EE00A","EE007",511,"number",773
"narva linn",2020,"all","EE00A","EE007",511,"number",687
"narva linn",2021,"all","EE00A","EE007",511,"number",1001
"narva linn",2022,"all","EE00A","EE007",511,"number",950
"narva linn",2023,"all","EE00A","EE007",511,"number",831
"narva linn",2024,"all","EE00A","EE007",511,"number",778
"narva linn",2025,"all","EE00A","EE007",511,"number",746
"narvajoesuu linn",2003,"all","EE00A","EE007",514,"number",23
"narvajoesuu linn",2004,"all","EE00A","EE007",514,"number",35
"narvajoesuu linn",2005,"all","EE00A","EE007",514,"number",56
"narvajoesuu linn",2006,"all","EE00A","EE007",514,"number",81
"narvajoesuu linn",2007,"all","EE00A","EE007",514,"number",53
"narvajoesuu linn",2008,"all","EE00A","EE007",514,"number",88
"narvajoesuu linn",2009,"all","EE00A","EE007",514,"number",47
"narvajoesuu linn",2010,"all","EE00A","EE007",514,"number",77
"narvajoesuu linn",2011,"all","EE00A","EE007",514,"number",78
"narvajoesuu linn",2012,"all","EE00A","EE007",514,"number",100
"narvajoesuu linn",2013,"all","EE00A","EE007",514,"number",141
"narvajoesuu linn",2014,"all","EE00A","EE007",514,"number",81
"narvajoesuu linn",2015,"all","EE00A","EE007",514,"number",71
"narvajoesuu linn",2016,"all","EE00A","EE007",514,"number",57
"narvajoesuu linn",2017,"all","EE00A","EE007",514,"number",53
"narvajoesuu linn",2018,"all","EE00A","EE007",514,"number",100
"narvajoesuu linn",2019,"all","EE00A","EE007",514,"number",70
"narvajoesuu linn",2020,"all","EE00A","EE007",514,"number",93
"narvajoesuu linn",2021,"all","EE00A","EE007",514,"number",125
"narvajoesuu linn",2022,"all","EE00A","EE007",514,"number",98
"narvajoesuu linn",2023,"all","EE00A","EE007",514,"number",94
"narvajoesuu linn",2024,"all","EE00A","EE007",514,"number",83
"narvajoesuu linn",2025,"all","EE00A","EE007",514,"number",78
"noo vald",2003,"all","EE008","EE008",528,"number",14
"noo vald",2004,"all","EE008","EE008",528,"number",31
"noo vald",2005,"all","EE008","EE008",528,"number",58
"noo vald",2006,"all","EE008","EE008",528,"number",32
"noo vald",2007,"all","EE008","EE008",528,"number",37
"noo vald",2008,"all","EE008","EE008",528,"number",21
"noo vald",2009,"all","EE008","EE008",528,"number",17
"noo vald",2010,"all","EE008","EE008",528,"number",18
"noo vald",2011,"all","EE008","EE008",528,"number",34
"noo vald",2012,"all","EE008","EE008",528,"number",28
"noo vald",2013,"all","EE008","EE008",528,"number",32
"noo vald",2014,"all","EE008","EE008",528,"number",43
"noo vald",2015,"all","EE008","EE008",528,"number",30
"noo vald",2016,"all","EE008","EE008",528,"number",36
"noo vald",2017,"all","EE008","EE008",528,"number",39
"noo vald",2018,"all","EE008","EE008",528,"number",34
"noo vald",2019,"all","EE008","EE008",528,"number",36
"noo vald",2020,"all","EE008","EE008",528,"number",39
"noo vald",2021,"all","EE008","EE008",528,"number",76
"noo vald",2022,"all","EE008","EE008",528,"number",77
"noo vald",2023,"all","EE008","EE008",528,"number",36
"noo vald",2024,"all","EE008","EE008",528,"number",47
"noo vald",2025,"all","EE008","EE008",528,"number",86
"otepaa vald",2003,"all","EE008","EE008",557,"number",16
"otepaa vald",2004,"all","EE008","EE008",557,"number",29
"otepaa vald",2005,"all","EE008","EE008",557,"number",41
"otepaa vald",2006,"all","EE008","EE008",557,"number",42
"otepaa vald",2007,"all","EE008","EE008",557,"number",77
"otepaa vald",2008,"all","EE008","EE008",557,"number",64
"otepaa vald",2009,"all","EE008","EE008",557,"number",37
"otepaa vald",2010,"all","EE008","EE008",557,"number",39
"otepaa vald",2011,"all","EE008","EE008",557,"number",26
"otepaa vald",2012,"all","EE008","EE008",557,"number",42
"otepaa vald",2013,"all","EE008","EE008",557,"number",52
"otepaa vald",2014,"all","EE008","EE008",557,"number",57
"otepaa vald",2015,"all","EE008","EE008",557,"number",65
"otepaa vald",2016,"all","EE008","EE008",557,"number",71
"otepaa vald",2017,"all","EE008","EE008",557,"number",86
"otepaa vald",2018,"all","EE008","EE008",557,"number",62
"otepaa vald",2019,"all","EE008","EE008",557,"number",65
"otepaa vald",2020,"all","EE008","EE008",557,"number",96
"otepaa vald",2021,"all","EE008","EE008",557,"number",111
"otepaa vald",2022,"all","EE008","EE008",557,"number",73
"otepaa vald",2023,"all","EE008","EE008",557,"number",59
"otepaa vald",2024,"all","EE008","EE008",557,"number",64
"otepaa vald",2025,"all","EE008","EE008",557,"number",77
"paide linn",2003,"all","EE009","EE006",567,"number",100
"paide linn",2004,"all","EE009","EE006",567,"number",206
"paide linn",2005,"all","EE009","EE006",567,"number",223
"paide linn",2006,"all","EE009","EE006",567,"number",286
"paide linn",2007,"all","EE009","EE006",567,"number",211
"paide linn",2008,"all","EE009","EE006",567,"number",138
"paide linn",2009,"all","EE009","EE006",567,"number",51
"paide linn",2010,"all","EE009","EE006",567,"number",94
"paide linn",2011,"all","EE009","EE006",567,"number",104
"paide linn",2012,"all","EE009","EE006",567,"number",108
"paide linn",2013,"all","EE009","EE006",567,"number",177
"paide linn",2014,"all","EE009","EE006",567,"number",186
"paide linn",2015,"all","EE009","EE006",567,"number",233
"paide linn",2016,"all","EE009","EE006",567,"number",208
"paide linn",2017,"all","EE009","EE006",567,"number",211
"paide linn",2018,"all","EE009","EE006",567,"number",218
"paide linn",2019,"all","EE009","EE006",567,"number",185
"paide linn",2020,"all","EE009","EE006",567,"number",209
"paide linn",2021,"all","EE009","EE006",567,"number",231
"paide linn",2022,"all","EE009","EE006",567,"number",207
"paide linn",2023,"all","EE009","EE006",567,"number",193
"paide linn",2024,"all","EE009","EE006",567,"number",214
"paide linn",2025,"all","EE009","EE006",567,"number",217
"peipsiaare vald",2003,"all","EE008","EE008",586,"number",20
"peipsiaare vald",2004,"all","EE008","EE008",586,"number",37
"peipsiaare vald",2005,"all","EE008","EE008",586,"number",46
"peipsiaare vald",2006,"all","EE008","EE008",586,"number",57
"peipsiaare vald",2007,"all","EE008","EE008",586,"number",52
"peipsiaare vald",2008,"all","EE008","EE008",586,"number",32
"peipsiaare vald",2009,"all","EE008","EE008",586,"number",23
"peipsiaare vald",2010,"all","EE008","EE008",586,"number",39
"peipsiaare vald",2011,"all","EE008","EE008",586,"number",26
"peipsiaare vald",2012,"all","EE008","EE008",586,"number",42
"peipsiaare vald",2013,"all","EE008","EE008",586,"number",33
"peipsiaare vald",2014,"all","EE008","EE008",586,"number",29
"peipsiaare vald",2015,"all","EE008","EE008",586,"number",45
"peipsiaare vald",2016,"all","EE008","EE008",586,"number",55
"peipsiaare vald",2017,"all","EE008","EE008",586,"number",54
"peipsiaare vald",2018,"all","EE008","EE008",586,"number",39
"peipsiaare vald",2019,"all","EE008","EE008",586,"number",37
"peipsiaare vald",2020,"all","EE008","EE008",586,"number",59
"peipsiaare vald",2021,"all","EE008","EE008",586,"number",62
"peipsiaare vald",2022,"all","EE008","EE008",586,"number",57
"peipsiaare vald",2023,"all","EE008","EE008",586,"number",38
