"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"antsla vald","Antsla rural municipality","2005","dwelling",1928,"EE008","EE008",142
"antsla vald","Antsla rural municipality","2005","totalm2",131854.8,"EE008","EE008",142
"antsla vald","Antsla rural municipality","2006","dwelling",1946,"EE008","EE008",142
"antsla vald","Antsla rural municipality","2006","totalm2",133049.8,"EE008","EE008",142
"antsla vald","Antsla rural municipality","2007","dwelling",1946,"EE008","EE008",142
"antsla vald","Antsla rural municipality","2007","totalm2",133049.8,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2003","dwelling",637,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2003","totalm2",48705.2,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2004","dwelling",641,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2004","totalm2",49030,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2005","dwelling",650,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2005","totalm2",49786.8,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2006","dwelling",656,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2006","totalm2",50316.4,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2007","dwelling",656,"EE008","EE008",142
"antsla vald","Urvaste rural municipality","2007","totalm2",50316.4,"EE008","EE008",142
"elva vald","Elva city","2003","dwelling",2602,"EE008","EE008",171
"elva vald","Elva city","2003","totalm2",183931.2,"EE008","EE008",171
"elva vald","Elva city","2004","dwelling",2607,"EE008","EE008",171
"elva vald","Elva city","2004","totalm2",185035.6,"EE008","EE008",171
"elva vald","Elva city","2005","dwelling",2656,"EE008","EE008",171
"elva vald","Elva city","2005","totalm2",187995.3,"EE008","EE008",171
"elva vald","Elva city","2006","dwelling",2757,"EE008","EE008",171
"elva vald","Elva city","2006","totalm2",195388.4,"EE008","EE008",171
"elva vald","Elva city","2007","dwelling",2778,"EE008","EE008",171
"elva vald","Elva city","2007","totalm2",197504.2,"EE008","EE008",171
"elva vald","Konguta rural municipality","2003","dwelling",617,"EE008","EE008",171
"elva vald","Konguta rural municipality","2003","totalm2",48427.8,"EE008","EE008",171
"elva vald","Konguta rural municipality","2004","dwelling",630,"EE008","EE008",171
"elva vald","Konguta rural municipality","2004","totalm2",49364.1,"EE008","EE008",171
"elva vald","Konguta rural municipality","2005","dwelling",644,"EE008","EE008",171
"elva vald","Konguta rural municipality","2005","totalm2",50569.6,"EE008","EE008",171
"elva vald","Konguta rural municipality","2006","dwelling",681,"EE008","EE008",171
"elva vald","Konguta rural municipality","2006","totalm2",53980.8,"EE008","EE008",171
"elva vald","Konguta rural municipality","2007","dwelling",683,"EE008","EE008",171
"elva vald","Konguta rural municipality","2007","totalm2",54426.9,"EE008","EE008",171
"elva vald","Palupera rural municipality","2003","dwelling",477,"EE008","EE008",171
"elva vald","Palupera rural municipality","2003","totalm2",40072.3,"EE008","EE008",171
"elva vald","Palupera rural municipality","2004","dwelling",494,"EE008","EE008",171
"elva vald","Palupera rural municipality","2004","totalm2",42769,"EE008","EE008",171
"elva vald","Palupera rural municipality","2005","dwelling",514,"EE008","EE008",171
"elva vald","Palupera rural municipality","2005","totalm2",45543.4,"EE008","EE008",171
"elva vald","Palupera rural municipality","2006","dwelling",523,"EE008","EE008",171
"elva vald","Palupera rural municipality","2006","totalm2",47468.2,"EE008","EE008",171
"elva vald","Palupera rural municipality","2007","dwelling",523,"EE008","EE008",171
"elva vald","Palupera rural municipality","2007","totalm2",47468.2,"EE008","EE008",171
"elva vald","Puhja rural municipality","2003","dwelling",1089,"EE008","EE008",171
"elva vald","Puhja rural municipality","2003","totalm2",69321.1,"EE008","EE008",171
"elva vald","Puhja rural municipality","2004","dwelling",1098,"EE008","EE008",171
"elva vald","Puhja rural municipality","2004","totalm2",70299.3,"EE008","EE008",171
"elva vald","Puhja rural municipality","2005","dwelling",1108,"EE008","EE008",171
"elva vald","Puhja rural municipality","2005","totalm2",71477.9,"EE008","EE008",171
"elva vald","Puhja rural municipality","2006","dwelling",1132,"EE008","EE008",171
"elva vald","Puhja rural municipality","2006","totalm2",72808.9,"EE008","EE008",171
"elva vald","Puhja rural municipality","2007","dwelling",1132,"EE008","EE008",171
"elva vald","Puhja rural municipality","2007","totalm2",72808.9,"EE008","EE008",171
"elva vald","Puka rural municipality","2003","dwelling",838,"EE008","EE008",171
"elva vald","Puka rural municipality","2003","totalm2",62897.7,"EE008","EE008",171
