"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"jõgeva vald","2011","150 m² or more",992,"EE008","EE008",247
"jõgeva vald","2021","150 m² or more",902,"EE008","EE008",247
"jõgeva vald","2000","Area of dwelling unknown",752,"EE008","EE008",247
"jõgeva vald","2011","Area of dwelling unknown",202,"EE008","EE008",247
"jõgeva vald","2021","Area of dwelling unknown",74,"EE008","EE008",247
"jõhvi vald","2000","Area of dwelling total",13452,"EE00A","EE007",251
"jõhvi vald","2011","Area of dwelling total",13416,"EE00A","EE007",251
"jõhvi vald","2021","Area of dwelling total",13982,"EE00A","EE007",251
"jõhvi vald","2000","Less than 30 m²",1082,"EE00A","EE007",251
"jõhvi vald","2011","Less than 30 m²",1000,"EE00A","EE007",251
"jõhvi vald","2021","Less than 30 m²",1146,"EE00A","EE007",251
"jõhvi vald","2000","30-39 m²",2414,"EE00A","EE007",251
"jõhvi vald","2011","30-39 m²",2444,"EE00A","EE007",251
"jõhvi vald","2021","30-39 m²",2644,"EE00A","EE007",251
"jõhvi vald","2000","40-49 m²",3804,"EE00A","EE007",251
"jõhvi vald","2011","40-49 m²",3638,"EE00A","EE007",251
"jõhvi vald","2021","40-49 m²",3660,"EE00A","EE007",251
"jõhvi vald","2000","50-59 m²",2156,"EE00A","EE007",251
"jõhvi vald","2011","50-59 m²",1942,"EE00A","EE007",251
"jõhvi vald","2021","50-59 m²",2062,"EE00A","EE007",251
"jõhvi vald","2000","60-69 m²",1544,"EE00A","EE007",251
"jõhvi vald","2011","60-69 m²",1480,"EE00A","EE007",251
"jõhvi vald","2021","60-69 m²",1404,"EE00A","EE007",251
"jõhvi vald","2000","70-79 m²",866,"EE00A","EE007",251
"jõhvi vald","2011","70-79 m²",840,"EE00A","EE007",251
"jõhvi vald","2021","70-79 m²",952,"EE00A","EE007",251
"jõhvi vald","2000","80-99 m²",790,"EE00A","EE007",251
"jõhvi vald","2011","80-99 m²",690,"EE00A","EE007",251
"jõhvi vald","2021","80-99 m²",830,"EE00A","EE007",251
"jõhvi vald","2000","100-119 m²",358,"EE00A","EE007",251
"jõhvi vald","2011","100-119 m²",408,"EE00A","EE007",251
"jõhvi vald","2021","100-119 m²",434,"EE00A","EE007",251
"jõhvi vald","2000","120-149 m²",252,"EE00A","EE007",251
"jõhvi vald","2011","120-149 m²",360,"EE00A","EE007",251
"jõhvi vald","2021","120-149 m²",354,"EE00A","EE007",251
"jõhvi vald","2000","150 m² or more",146,"EE00A","EE007",251
"jõhvi vald","2011","150 m² or more",566,"EE00A","EE007",251
"jõhvi vald","2021","150 m² or more",356,"EE00A","EE007",251
"jõhvi vald","2000","Area of dwelling unknown",40,"EE00A","EE007",251
"jõhvi vald","2011","Area of dwelling unknown",48,"EE00A","EE007",251
"jõhvi vald","2021","Area of dwelling unknown",140,"EE00A","EE007",251
"kadrina vald","2000","Area of dwelling total",4834,"EE009","EE006",272
"kadrina vald","2011","Area of dwelling total",4860,"EE009","EE006",272
"kadrina vald","2021","Area of dwelling total",5342,"EE009","EE006",272
"kadrina vald","2000","Less than 30 m²",166,"EE009","EE006",272
"kadrina vald","2011","Less than 30 m²",108,"EE009","EE006",272
"kadrina vald","2021","Less than 30 m²",166,"EE009","EE006",272
"kadrina vald","2000","30-39 m²",292,"EE009","EE006",272
"kadrina vald","2011","30-39 m²",232,"EE009","EE006",272
"kadrina vald","2021","30-39 m²",322,"EE009","EE006",272
"kadrina vald","2000","40-49 m²",724,"EE009","EE006",272
"kadrina vald","2011","40-49 m²",668,"EE009","EE006",272
"kadrina vald","2021","40-49 m²",764,"EE009","EE006",272
"kadrina vald","2000","50-59 m²",710,"EE009","EE006",272
"kadrina vald","2011","50-59 m²",690,"EE009","EE006",272
"kadrina vald","2021","50-59 m²",768,"EE009","EE006",272
"kadrina vald","2000","60-69 m²",970,"EE009","EE006",272
"kadrina vald","2011","60-69 m²",938,"EE009","EE006",272
"kadrina vald","2021","60-69 m²",964,"EE009","EE006",272
"kadrina vald","2000","70-79 m²",686,"EE009","EE006",272
"kadrina vald","2011","70-79 m²",698,"EE009","EE006",272
"kadrina vald","2021","70-79 m²",802,"EE009","EE006",272
"kadrina vald","2000","80-99 m²",532,"EE009","EE006",272
"kadrina vald","2011","80-99 m²",514,"EE009","EE006",272
"kadrina vald","2021","80-99 m²",626,"EE009","EE006",272
"kadrina vald","2000","100-119 m²",324,"EE009","EE006",272
"kadrina vald","2011","100-119 m²",404,"EE009","EE006",272
"kadrina vald","2021","100-119 m²",442,"EE009","EE006",272
"kadrina vald","2000","120-149 m²",128,"EE009","EE006",272
"kadrina vald","2011","120-149 m²",210,"EE009","EE006",272
"kadrina vald","2021","120-149 m²",200,"EE009","EE006",272
"kadrina vald","2000","150 m² or more",94,"EE009","EE006",272
"kadrina vald","2011","150 m² or more",376,"EE009","EE006",272
"kadrina vald","2021","150 m² or more",262,"EE009","EE006",272
"kadrina vald","2000","Area of dwelling unknown",208,"EE009","EE006",272
"kadrina vald","2011","Area of dwelling unknown",22,"EE009","EE006",272
"kadrina vald","2021","Area of dwelling unknown",26,"EE009","EE006",272
"kambja vald","2000","Area of dwelling total",6134,"EE008","EE008",283
"kambja vald","2011","Area of dwelling total",8274,"EE008","EE008",283
"kambja vald","2021","Area of dwelling total",11928,"EE008","EE008",283
"kambja vald","2000","Less than 30 m²",336,"EE008","EE008",283
"kambja vald","2011","Less than 30 m²",160,"EE008","EE008",283
"kambja vald","2021","Less than 30 m²",256,"EE008","EE008",283
"kambja vald","2000","30-39 m²",718,"EE008","EE008",283
"kambja vald","2011","30-39 m²",522,"EE008","EE008",283
"kambja vald","2021","30-39 m²",710,"EE008","EE008",283
"kambja vald","2000","40-49 m²",1242,"EE008","EE008",283
"kambja vald","2011","40-49 m²",1156,"EE008","EE008",283
"kambja vald","2021","40-49 m²",1378,"EE008","EE008",283
"kambja vald","2000","50-59 m²",794,"EE008","EE008",283
"kambja vald","2011","50-59 m²",756,"EE008","EE008",283
"kambja vald","2021","50-59 m²",922,"EE008","EE008",283
"kambja vald","2000","60-69 m²",1068,"EE008","EE008",283
"kambja vald","2011","60-69 m²",1072,"EE008","EE008",283
"kambja vald","2021","60-69 m²",1132,"EE008","EE008",283
"kambja vald","2000","70-79 m²",472,"EE008","EE008",283
"kambja vald","2011","70-79 m²",564,"EE008","EE008",283
"kambja vald","2021","70-79 m²",1110,"EE008","EE008",283
"kambja vald","2000","80-99 m²",510,"EE008","EE008",283
"kambja vald","2011","80-99 m²",658,"EE008","EE008",283
"kambja vald","2021","80-99 m²",1412,"EE008","EE008",283
"kambja vald","2000","100-119 m²",288,"EE008","EE008",283
"kambja vald","2011","100-119 m²",678,"EE008","EE008",283
"kambja vald","2021","100-119 m²",1404,"EE008","EE008",283
"kambja vald","2000","120-149 m²",242,"EE008","EE008",283
"kambja vald","2011","120-149 m²",872,"EE008","EE008",283
"kambja vald","2021","120-149 m²",1524,"EE008","EE008",283
"kambja vald","2000","150 m² or more",210,"EE008","EE008",283
"kambja vald","2011","150 m² or more",1814,"EE008","EE008",283
"kambja vald","2021","150 m² or more",1910,"EE008","EE008",283
"kambja vald","2000","Area of dwelling unknown",254,"EE008","EE008",283
"kambja vald","2011","Area of dwelling unknown",22,"EE008","EE008",283
"kambja vald","2021","Area of dwelling unknown",170,"EE008","EE008",283
"kanepi vald","2000","Area of dwelling total",5710,"EE008","EE008",284
"kanepi vald","2011","Area of dwelling total",5102,"EE008","EE008",284
"kanepi vald","2021","Area of dwelling total",5548,"EE008","EE008",284
"kanepi vald","2000","Less than 30 m²",174,"EE008","EE008",284
"kanepi vald","2011","Less than 30 m²",106,"EE008","EE008",284
"kanepi vald","2021","Less than 30 m²",126,"EE008","EE008",284
"kanepi vald","2000","30-39 m²",312,"EE008","EE008",284
"kanepi vald","2011","30-39 m²",166,"EE008","EE008",284
"kanepi vald","2021","30-39 m²",216,"EE008","EE008",284
"kanepi vald","2000","40-49 m²",824,"EE008","EE008",284
"kanepi vald","2011","40-49 m²",628,"EE008","EE008",284
"kanepi vald","2021","40-49 m²",698,"EE008","EE008",284
"kanepi vald","2000","50-59 m²",810,"EE008","EE008",284
"kanepi vald","2011","50-59 m²",682,"EE008","EE008",284
"kanepi vald","2021","50-59 m²",772,"EE008","EE008",284
"kanepi vald","2000","60-69 m²",890,"EE008","EE008",284
"kanepi vald","2011","60-69 m²",808,"EE008","EE008",284
"kanepi vald","2021","60-69 m²",696,"EE008","EE008",284
"kanepi vald","2000","70-79 m²",734,"EE008","EE008",284
"kanepi vald","2011","70-79 m²",590,"EE008","EE008",284
"kanepi vald","2021","70-79 m²",642,"EE008","EE008",284
"kanepi vald","2000","80-99 m²",810,"EE008","EE008",284
"kanepi vald","2011","80-99 m²",692,"EE008","EE008",284
"kanepi vald","2021","80-99 m²",872,"EE008","EE008",284
"kanepi vald","2000","100-119 m²",370,"EE008","EE008",284
"kanepi vald","2011","100-119 m²",500,"EE008","EE008",284
"kanepi vald","2021","100-119 m²",564,"EE008","EE008",284
"kanepi vald","2000","120-149 m²",298,"EE008","EE008",284
"kanepi vald","2011","120-149 m²",384,"EE008","EE008",284
"kanepi vald","2021","120-149 m²",472,"EE008","EE008",284
"kanepi vald","2000","150 m² or more",192,"EE008","EE008",284
"kanepi vald","2011","150 m² or more",428,"EE008","EE008",284
"kanepi vald","2021","150 m² or more",456,"EE008","EE008",284
"kanepi vald","2000","Area of dwelling unknown",296,"EE008","EE008",284
"kanepi vald","2011","Area of dwelling unknown",118,"EE008","EE008",284
"kanepi vald","2021","Area of dwelling unknown",34,"EE008","EE008",284
"kastre vald","2000","Area of dwelling total",4718,"EE008","EE008",291
"kastre vald","2011","Area of dwelling total",4806,"EE008","EE008",291
"kastre vald","2021","Area of dwelling total",5930,"EE008","EE008",291
"kastre vald","2000","Less than 30 m²",236,"EE008","EE008",291
"kastre vald","2011","Less than 30 m²",70,"EE008","EE008",291
"kastre vald","2021","Less than 30 m²",130,"EE008","EE008",291
"kastre vald","2000","30-39 m²",366,"EE008","EE008",291
"kastre vald","2011","30-39 m²",276,"EE008","EE008",291
"kastre vald","2021","30-39 m²",338,"EE008","EE008",291
"kastre vald","2000","40-49 m²",958,"EE008","EE008",291
"kastre vald","2011","40-49 m²",794,"EE008","EE008",291
"kastre vald","2021","40-49 m²",880,"EE008","EE008",291
"kastre vald","2000","50-59 m²",626,"EE008","EE008",291
"kastre vald","2011","50-59 m²",552,"EE008","EE008",291
"kastre vald","2021","50-59 m²",600,"EE008","EE008",291
"kastre vald","2000","60-69 m²",772,"EE008","EE008",291
"kastre vald","2011","60-69 m²",712,"EE008","EE008",291
"kastre vald","2021","60-69 m²",714,"EE008","EE008",291
"kastre vald","2000","70-79 m²",478,"EE008","EE008",291
"kastre vald","2011","70-79 m²",442,"EE008","EE008",291
"kastre vald","2021","70-79 m²",574,"EE008","EE008",291
"kastre vald","2000","80-99 m²",536,"EE008","EE008",291
"kastre vald","2011","80-99 m²",586,"EE008","EE008",291
"kastre vald","2021","80-99 m²",832,"EE008","EE008",291
"kastre vald","2000","100-119 m²",220,"EE008","EE008",291
"kastre vald","2011","100-119 m²",368,"EE008","EE008",291
"kastre vald","2021","100-119 m²",546,"EE008","EE008",291
"kastre vald","2000","120-149 m²",176,"EE008","EE008",291
"kastre vald","2011","120-149 m²",386,"EE008","EE008",291
"kastre vald","2021","120-149 m²",500,"EE008","EE008",291
"kastre vald","2000","150 m² or more",174,"EE008","EE008",291
"kastre vald","2011","150 m² or more",612,"EE008","EE008",291
"kastre vald","2021","150 m² or more",712,"EE008","EE008",291
"kastre vald","2000","Area of dwelling unknown",176,"EE008","EE008",291
"kastre vald","2011","Area of dwelling unknown",8,"EE008","EE008",291
"kastre vald","2021","Area of dwelling unknown",104,"EE008","EE008",291
"kehtna vald","2000","Area of dwelling total",6320,"EE009","EE006",293
"kehtna vald","2011","Area of dwelling total",5768,"EE009","EE006",293
"kehtna vald","2021","Area of dwelling total",6370,"EE009","EE006",293
"kehtna vald","2000","Less than 30 m²",374,"EE009","EE006",293
"kehtna vald","2011","Less than 30 m²",250,"EE009","EE006",293
"kehtna vald","2021","Less than 30 m²",302,"EE009","EE006",293
"kehtna vald","2000","30-39 m²",518,"EE009","EE006",293
"kehtna vald","2011","30-39 m²",480,"EE009","EE006",293
"kehtna vald","2021","30-39 m²",582,"EE009","EE006",293
"kehtna vald","2000","40-49 m²",1190,"EE009","EE006",293
"kehtna vald","2011","40-49 m²",1054,"EE009","EE006",293
"kehtna vald","2021","40-49 m²",1198,"EE009","EE006",293
"kehtna vald","2000","50-59 m²",778,"EE009","EE006",293
"kehtna vald","2011","50-59 m²",668,"EE009","EE006",293
"kehtna vald","2021","50-59 m²",702,"EE009","EE006",293
"kehtna vald","2000","60-69 m²",1020,"EE009","EE006",293
"kehtna vald","2011","60-69 m²",908,"EE009","EE006",293
"kehtna vald","2021","60-69 m²",950,"EE009","EE006",293
"kehtna vald","2000","70-79 m²",592,"EE009","EE006",293
"kehtna vald","2011","70-79 m²",500,"EE009","EE006",293
"kehtna vald","2021","70-79 m²",566,"EE009","EE006",293
"kehtna vald","2000","80-99 m²",756,"EE009","EE006",293
"kehtna vald","2011","80-99 m²",582,"EE009","EE006",293
"kehtna vald","2021","80-99 m²",766,"EE009","EE006",293
"kehtna vald","2000","100-119 m²",398,"EE009","EE006",293
"kehtna vald","2011","100-119 m²",470,"EE009","EE006",293
"kehtna vald","2021","100-119 m²",532,"EE009","EE006",293
"kehtna vald","2000","120-149 m²",250,"EE009","EE006",293
"kehtna vald","2011","120-149 m²",368,"EE009","EE006",293
"kehtna vald","2021","120-149 m²",372,"EE009","EE006",293
"kehtna vald","2000","150 m² or more",150,"EE009","EE006",293
"kehtna vald","2011","150 m² or more",460,"EE009","EE006",293
"kehtna vald","2021","150 m² or more",380,"EE009","EE006",293
"kehtna vald","2000","Area of dwelling unknown",294,"EE009","EE006",293
"kehtna vald","2011","Area of dwelling unknown",28,"EE009","EE006",293
"kehtna vald","2021","Area of dwelling unknown",20,"EE009","EE006",293
"keila linn","2000","Area of dwelling total",7478,"EE001","EE001",296
"keila linn","2011","Area of dwelling total",8142,"EE001","EE001",296
"keila linn","2021","Area of dwelling total",9112,"EE001","EE001",296
"keila linn","2000","Less than 30 m²",572,"EE001","EE001",296
"keila linn","2011","Less than 30 m²",212,"EE001","EE001",296
"keila linn","2021","Less than 30 m²",238,"EE001","EE001",296
"keila linn","2000","30-39 m²",1198,"EE001","EE001",296
"keila linn","2011","30-39 m²",1120,"EE001","EE001",296
"keila linn","2021","30-39 m²",1216,"EE001","EE001",296
"keila linn","2000","40-49 m²",1032,"EE001","EE001",296
"keila linn","2011","40-49 m²",1064,"EE001","EE001",296
"keila linn","2021","40-49 m²",1166,"EE001","EE001",296
"keila linn","2000","50-59 m²",1600,"EE001","EE001",296
"keila linn","2011","50-59 m²",1516,"EE001","EE001",296
"keila linn","2021","50-59 m²",1632,"EE001","EE001",296
"keila linn","2000","60-69 m²",1302,"EE001","EE001",296
"keila linn","2011","60-69 m²",1336,"EE001","EE001",296
"keila linn","2021","60-69 m²",1568,"EE001","EE001",296
"keila linn","2000","70-79 m²",572,"EE001","EE001",296
"keila linn","2011","70-79 m²",712,"EE001","EE001",296
"keila linn","2021","70-79 m²",664,"EE001","EE001",296
"keila linn","2000","80-99 m²",504,"EE001","EE001",296
"keila linn","2011","80-99 m²",618,"EE001","EE001",296
"keila linn","2021","80-99 m²",794,"EE001","EE001",296
"keila linn","2000","100-119 m²",214,"EE001","EE001",296
"keila linn","2011","100-119 m²",450,"EE001","EE001",296
"keila linn","2021","100-119 m²",518,"EE001","EE001",296
"keila linn","2000","120-149 m²",166,"EE001","EE001",296
"keila linn","2011","120-149 m²",420,"EE001","EE001",296
"keila linn","2021","120-149 m²",524,"EE001","EE001",296
"keila linn","2000","150 m² or more",206,"EE001","EE001",296
"keila linn","2011","150 m² or more",686,"EE001","EE001",296
"keila linn","2021","150 m² or more",508,"EE001","EE001",296
"keila linn","2000","Area of dwelling unknown",112,"EE001","EE001",296
"keila linn","2011","Area of dwelling unknown",8,"EE001","EE001",296
"keila linn","2021","Area of dwelling unknown",284,"EE001","EE001",296
"kihnu vald","2000","Area of dwelling total",466,"EE004","EE004",303
"kihnu vald","2011","Area of dwelling total",498,"EE004","EE004",303
"kihnu vald","2021","Area of dwelling total",570,"EE004","EE004",303
"kihnu vald","2000","Less than 30 m²",8,"EE004","EE004",303
"kihnu vald","2011","Less than 30 m²",12,"EE004","EE004",303
"kihnu vald","2021","Less than 30 m²",20,"EE004","EE004",303
"kihnu vald","2000","30-39 m²",18,"EE004","EE004",303
"kihnu vald","2011","30-39 m²",24,"EE004","EE004",303
"kihnu vald","2021","30-39 m²",24,"EE004","EE004",303
"kihnu vald","2000","40-49 m²",30,"EE004","EE004",303
"kihnu vald","2011","40-49 m²",36,"EE004","EE004",303
"kihnu vald","2021","40-49 m²",42,"EE004","EE004",303
"kihnu vald","2000","50-59 m²",48,"EE004","EE004",303
"kihnu vald","2011","50-59 m²",62,"EE004","EE004",303
"kihnu vald","2021","50-59 m²",60,"EE004","EE004",303
"kihnu vald","2000","60-69 m²",86,"EE004","EE004",303
"kihnu vald","2011","60-69 m²",70,"EE004","EE004",303
"kihnu vald","2021","60-69 m²",100,"EE004","EE004",303
"kihnu vald","2000","70-79 m²",122,"EE004","EE004",303
"kihnu vald","2011","70-79 m²",52,"EE004","EE004",303
"kihnu vald","2021","70-79 m²",120,"EE004","EE004",303
"kihnu vald","2000","80-99 m²",98,"EE004","EE004",303
"kihnu vald","2011","80-99 m²",96,"EE004","EE004",303
"kihnu vald","2021","80-99 m²",108,"EE004","EE004",303
"kihnu vald","2000","100-119 m²",38,"EE004","EE004",303
"kihnu vald","2011","100-119 m²",66,"EE004","EE004",303
"kihnu vald","2021","100-119 m²",44,"EE004","EE004",303
"kihnu vald","2000","120-149 m²",14,"EE004","EE004",303
"kihnu vald","2011","120-149 m²",46,"EE004","EE004",303
"kihnu vald","2021","120-149 m²",32,"EE004","EE004",303
"kihnu vald","2000","150 m² or more",4,"EE004","EE004",303
"kihnu vald","2011","150 m² or more",32,"EE004","EE004",303
"kihnu vald","2021","150 m² or more",18,"EE004","EE004",303
"kihnu vald","2000","Area of dwelling unknown",0,"EE004","EE004",303
"kihnu vald","2011","Area of dwelling unknown",2,"EE004","EE004",303
"kihnu vald","2021","Area of dwelling unknown",2,"EE004","EE004",303
"kiili vald","2000","Area of dwelling total",1756,"EE001","EE001",304
"kiili vald","2011","Area of dwelling total",3600,"EE001","EE001",304
"kiili vald","2021","Area of dwelling total",4816,"EE001","EE001",304
"kiili vald","2000","Less than 30 m²",78,"EE001","EE001",304
"kiili vald","2011","Less than 30 m²",14,"EE001","EE001",304
"kiili vald","2021","Less than 30 m²",42,"EE001","EE001",304
"kiili vald","2000","30-39 m²",186,"EE001","EE001",304
"kiili vald","2011","30-39 m²",156,"EE001","EE001",304
"kiili vald","2021","30-39 m²",238,"EE001","EE001",304
"kiili vald","2000","40-49 m²",226,"EE001","EE001",304
"kiili vald","2011","40-49 m²",202,"EE001","EE001",304
"kiili vald","2021","40-49 m²",300,"EE001","EE001",304
"kiili vald","2000","50-59 m²",298,"EE001","EE001",304
"kiili vald","2011","50-59 m²",260,"EE001","EE001",304
"kiili vald","2021","50-59 m²",284,"EE001","EE001",304
"kiili vald","2000","60-69 m²",224,"EE001","EE001",304
"kiili vald","2011","60-69 m²",260,"EE001","EE001",304
"kiili vald","2021","60-69 m²",374,"EE001","EE001",304
"kiili vald","2000","70-79 m²",184,"EE001","EE001",304
"kiili vald","2011","70-79 m²",206,"EE001","EE001",304
"kiili vald","2021","70-79 m²",262,"EE001","EE001",304
"kiili vald","2000","80-99 m²",214,"EE001","EE001",304
"kiili vald","2011","80-99 m²",368,"EE001","EE001",304
"kiili vald","2021","80-99 m²",650,"EE001","EE001",304
"kiili vald","2000","100-119 m²",136,"EE001","EE001",304
"kiili vald","2011","100-119 m²",368,"EE001","EE001",304
"kiili vald","2021","100-119 m²",554,"EE001","EE001",304
"kiili vald","2000","120-149 m²",88,"EE001","EE001",304
"kiili vald","2011","120-149 m²",650,"EE001","EE001",304
"kiili vald","2021","120-149 m²",802,"EE001","EE001",304
"kiili vald","2000","150 m² or more",78,"EE001","EE001",304
"kiili vald","2011","150 m² or more",1040,"EE001","EE001",304
"kiili vald","2021","150 m² or more",1214,"EE001","EE001",304
"kiili vald","2000","Area of dwelling unknown",44,"EE001","EE001",304
"kiili vald","2011","Area of dwelling unknown",76,"EE001","EE001",304
"kiili vald","2021","Area of dwelling unknown",96,"EE001","EE001",304
"kohila vald","2000","Area of dwelling total",5356,"EE009","EE006",317
"kohila vald","2011","Area of dwelling total",6556,"EE009","EE006",317
"kohila vald","2021","Area of dwelling total",7210,"EE009","EE006",317
"kohila vald","2000","Less than 30 m²",300,"EE009","EE006",317
"kohila vald","2011","Less than 30 m²",188,"EE009","EE006",317
"kohila vald","2021","Less than 30 m²",304,"EE009","EE006",317
"kohila vald","2000","30-39 m²",686,"EE009","EE006",317
"kohila vald","2011","30-39 m²",594,"EE009","EE006",317
"kohila vald","2021","30-39 m²",698,"EE009","EE006",317
"kohila vald","2000","40-49 m²",896,"EE009","EE006",317
"kohila vald","2011","40-49 m²",928,"EE009","EE006",317
"kohila vald","2021","40-49 m²",976,"EE009","EE006",317
"kohila vald","2000","50-59 m²",780,"EE009","EE006",317
"kohila vald","2011","50-59 m²",716,"EE009","EE006",317
"kohila vald","2021","50-59 m²",850,"EE009","EE006",317
"kohila vald","2000","60-69 m²",808,"EE009","EE006",317
"kohila vald","2011","60-69 m²",830,"EE009","EE006",317
"kohila vald","2021","60-69 m²",898,"EE009","EE006",317
"kohila vald","2000","70-79 m²",450,"EE009","EE006",317
"kohila vald","2011","70-79 m²",500,"EE009","EE006",317
"kohila vald","2021","70-79 m²",540,"EE009","EE006",317
"kohila vald","2000","80-99 m²",598,"EE009","EE006",317
"kohila vald","2011","80-99 m²",660,"EE009","EE006",317
"kohila vald","2021","80-99 m²",866,"EE009","EE006",317
"kohila vald","2000","100-119 m²",314,"EE009","EE006",317
"kohila vald","2011","100-119 m²",670,"EE009","EE006",317
"kohila vald","2021","100-119 m²",758,"EE009","EE006",317
"kohila vald","2000","120-149 m²",192,"EE009","EE006",317
"kohila vald","2011","120-149 m²",644,"EE009","EE006",317
"kohila vald","2021","120-149 m²",600,"EE009","EE006",317
"kohila vald","2000","150 m² or more",166,"EE009","EE006",317
"kohila vald","2011","150 m² or more",782,"EE009","EE006",317
"kohila vald","2021","150 m² or more",590,"EE009","EE006",317
"kohila vald","2000","Area of dwelling unknown",166,"EE009","EE006",317
"kohila vald","2011","Area of dwelling unknown",44,"EE009","EE006",317
"kohila vald","2021","Area of dwelling unknown",130,"EE009","EE006",317
"kohtla-järve linn","2000","Area of dwelling total",45082,"EE00A","EE007",321
"kohtla-järve linn","2011","Area of dwelling total",41098,"EE00A","EE007",321
"kohtla-järve linn","2021","Area of dwelling total",42488,"EE00A","EE007",321
"kohtla-järve linn","2000","Less than 30 m²",3356,"EE00A","EE007",321
"kohtla-järve linn","2011","Less than 30 m²",1548,"EE00A","EE007",321
"kohtla-järve linn","2021","Less than 30 m²",1842,"EE00A","EE007",321
"kohtla-järve linn","2000","30-39 m²",9664,"EE00A","EE007",321
"kohtla-järve linn","2011","30-39 m²",8774,"EE00A","EE007",321
"kohtla-järve linn","2021","30-39 m²",8994,"EE00A","EE007",321
"kohtla-järve linn","2000","40-49 m²",13392,"EE00A","EE007",321
"kohtla-järve linn","2011","40-49 m²",12338,"EE00A","EE007",321
"kohtla-järve linn","2021","40-49 m²",13146,"EE00A","EE007",321
"kohtla-järve linn","2000","50-59 m²",6184,"EE00A","EE007",321
"kohtla-järve linn","2011","50-59 m²",5954,"EE00A","EE007",321
"kohtla-järve linn","2021","50-59 m²",5846,"EE00A","EE007",321
"kohtla-järve linn","2000","60-69 m²",8886,"EE00A","EE007",321
"kohtla-järve linn","2011","60-69 m²",8496,"EE00A","EE007",321
"kohtla-järve linn","2021","60-69 m²",8804,"EE00A","EE007",321
"kohtla-järve linn","2000","70-79 m²",2272,"EE00A","EE007",321
"kohtla-järve linn","2011","70-79 m²",2218,"EE00A","EE007",321
"kohtla-järve linn","2021","70-79 m²",2416,"EE00A","EE007",321
"kohtla-järve linn","2000","80-99 m²",790,"EE00A","EE007",321
"kohtla-järve linn","2011","80-99 m²",896,"EE00A","EE007",321
"kohtla-järve linn","2021","80-99 m²",732,"EE00A","EE007",321
"kohtla-järve linn","2000","100-119 m²",180,"EE00A","EE007",321
"kohtla-järve linn","2011","100-119 m²",282,"EE00A","EE007",321
"kohtla-järve linn","2021","100-119 m²",224,"EE00A","EE007",321
"kohtla-järve linn","2000","120-149 m²",162,"EE00A","EE007",321
"kohtla-järve linn","2011","120-149 m²",192,"EE00A","EE007",321
"kohtla-järve linn","2021","120-149 m²",200,"EE00A","EE007",321
"kohtla-järve linn","2000","150 m² or more",124,"EE00A","EE007",321
"kohtla-järve linn","2011","150 m² or more",340,"EE00A","EE007",321
"kohtla-järve linn","2021","150 m² or more",218,"EE00A","EE007",321
"kohtla-järve linn","2000","Area of dwelling unknown",72,"EE00A","EE007",321
"kohtla-järve linn","2011","Area of dwelling unknown",60,"EE00A","EE007",321
"kohtla-järve linn","2021","Area of dwelling unknown",66,"EE00A","EE007",321
"kose vald","2000","Area of dwelling total",6596,"EE001","EE001",338
"kose vald","2011","Area of dwelling total",6728,"EE001","EE001",338
"kose vald","2021","Area of dwelling total",7710,"EE001","EE001",338
"kose vald","2000","Less than 30 m²",260,"EE001","EE001",338
"kose vald","2011","Less than 30 m²",122,"EE001","EE001",338
"kose vald","2021","Less than 30 m²",146,"EE001","EE001",338
"kose vald","2000","30-39 m²",684,"EE001","EE001",338
"kose vald","2011","30-39 m²",562,"EE001","EE001",338
"kose vald","2021","30-39 m²",588,"EE001","EE001",338
"kose vald","2000","40-49 m²",1150,"EE001","EE001",338
"kose vald","2011","40-49 m²",1106,"EE001","EE001",338
"kose vald","2021","40-49 m²",1190,"EE001","EE001",338
"kose vald","2000","50-59 m²",1100,"EE001","EE001",338
"kose vald","2011","50-59 m²",936,"EE001","EE001",338
"kose vald","2021","50-59 m²",1032,"EE001","EE001",338
"kose vald","2000","60-69 m²",1030,"EE001","EE001",338
"kose vald","2011","60-69 m²",970,"EE001","EE001",338
"kose vald","2021","60-69 m²",1098,"EE001","EE001",338
"kose vald","2000","70-79 m²",628,"EE001","EE001",338
"kose vald","2011","70-79 m²",590,"EE001","EE001",338
"kose vald","2021","70-79 m²",560,"EE001","EE001",338
"kose vald","2000","80-99 m²",770,"EE001","EE001",338
"kose vald","2011","80-99 m²",708,"EE001","EE001",338
"kose vald","2021","80-99 m²",954,"EE001","EE001",338
"kose vald","2000","100-119 m²",352,"EE001","EE001",338
"kose vald","2011","100-119 m²",494,"EE001","EE001",338
"kose vald","2021","100-119 m²",694,"EE001","EE001",338
"kose vald","2000","120-149 m²",242,"EE001","EE001",338
"kose vald","2011","120-149 m²",460,"EE001","EE001",338
"kose vald","2021","120-149 m²",616,"EE001","EE001",338
"kose vald","2000","150 m² or more",196,"EE001","EE001",338
"kose vald","2011","150 m² or more",750,"EE001","EE001",338
"kose vald","2021","150 m² or more",674,"EE001","EE001",338
"kose vald","2000","Area of dwelling unknown",184,"EE001","EE001",338
"kose vald","2011","Area of dwelling unknown",30,"EE001","EE001",338
"kose vald","2021","Area of dwelling unknown",158,"EE001","EE001",338
"kuusalu vald","2000","Area of dwelling total",7016,"EE001","EE001",353
