"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"antsla vald","2011","120-149 m²",346,"EE008","EE008",142
"antsla vald","2021","120-149 m²",320,"EE008","EE008",142
"antsla vald","2000","150 m² or more",136,"EE008","EE008",142
"antsla vald","2011","150 m² or more",324,"EE008","EE008",142
"antsla vald","2021","150 m² or more",270,"EE008","EE008",142
"antsla vald","2000","Area of dwelling unknown",294,"EE008","EE008",142
"antsla vald","2011","Area of dwelling unknown",18,"EE008","EE008",142
"antsla vald","2021","Area of dwelling unknown",92,"EE008","EE008",142
"elva vald","2000","Area of dwelling total",15144,"EE008","EE008",171
"elva vald","2011","Area of dwelling total",13924,"EE008","EE008",171
"elva vald","2021","Area of dwelling total",15768,"EE008","EE008",171
"elva vald","2000","Less than 30 m²",850,"EE008","EE008",171
"elva vald","2011","Less than 30 m²",448,"EE008","EE008",171
"elva vald","2021","Less than 30 m²",522,"EE008","EE008",171
"elva vald","2000","30-39 m²",1686,"EE008","EE008",171
"elva vald","2011","30-39 m²",1288,"EE008","EE008",171
"elva vald","2021","30-39 m²",1474,"EE008","EE008",171
"elva vald","2000","40-49 m²",2858,"EE008","EE008",171
"elva vald","2011","40-49 m²",2472,"EE008","EE008",171
"elva vald","2021","40-49 m²",2718,"EE008","EE008",171
"elva vald","2000","50-59 m²",2192,"EE008","EE008",171
"elva vald","2011","50-59 m²",1608,"EE008","EE008",171
"elva vald","2021","50-59 m²",1944,"EE008","EE008",171
"elva vald","2000","60-69 m²",2064,"EE008","EE008",171
"elva vald","2011","60-69 m²",1856,"EE008","EE008",171
"elva vald","2021","60-69 m²",1846,"EE008","EE008",171
"elva vald","2000","70-79 m²",1394,"EE008","EE008",171
"elva vald","2011","70-79 m²",1240,"EE008","EE008",171
"elva vald","2021","70-79 m²",1352,"EE008","EE008",171
"elva vald","2000","80-99 m²",1504,"EE008","EE008",171
"elva vald","2011","80-99 m²",1348,"EE008","EE008",171
"elva vald","2021","80-99 m²",1692,"EE008","EE008",171
"elva vald","2000","100-119 m²",932,"EE008","EE008",171
"elva vald","2011","100-119 m²",1184,"EE008","EE008",171
"elva vald","2021","100-119 m²",1478,"EE008","EE008",171
"elva vald","2000","120-149 m²",580,"EE008","EE008",171
"elva vald","2011","120-149 m²",1018,"EE008","EE008",171
"elva vald","2021","120-149 m²",1126,"EE008","EE008",171
"elva vald","2000","150 m² or more",478,"EE008","EE008",171
"elva vald","2011","150 m² or more",1376,"EE008","EE008",171
"elva vald","2021","150 m² or more",1180,"EE008","EE008",171
"elva vald","2000","Area of dwelling unknown",606,"EE008","EE008",171
"elva vald","2011","Area of dwelling unknown",86,"EE008","EE008",171
"elva vald","2021","Area of dwelling unknown",436,"EE008","EE008",171
"haapsalu linn","2000","Area of dwelling total",15158,"EE004","EE004",184
"haapsalu linn","2011","Area of dwelling total",15112,"EE004","EE004",184
"haapsalu linn","2021","Area of dwelling total",16448,"EE004","EE004",184
"haapsalu linn","2000","Less than 30 m²",950,"EE004","EE004",184
"haapsalu linn","2011","Less than 30 m²",656,"EE004","EE004",184
"haapsalu linn","2021","Less than 30 m²",964,"EE004","EE004",184
"haapsalu linn","2000","30-39 m²",2214,"EE004","EE004",184
"haapsalu linn","2011","30-39 m²",1930,"EE004","EE004",184
"haapsalu linn","2021","30-39 m²",2372,"EE004","EE004",184
"haapsalu linn","2000","40-49 m²",3328,"EE004","EE004",184
"haapsalu linn","2011","40-49 m²",3190,"EE004","EE004",184
"haapsalu linn","2021","40-49 m²",3330,"EE004","EE004",184
"haapsalu linn","2000","50-59 m²",2254,"EE004","EE004",184
"haapsalu linn","2011","50-59 m²",2194,"EE004","EE004",184
"haapsalu linn","2021","50-59 m²",2282,"EE004","EE004",184
"haapsalu linn","2000","60-69 m²",2418,"EE004","EE004",184
"haapsalu linn","2011","60-69 m²",2250,"EE004","EE004",184
"haapsalu linn","2021","60-69 m²",2436,"EE004","EE004",184
"haapsalu linn","2000","70-79 m²",1292,"EE004","EE004",184
