"municipality","indicator","year","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","county"
"kohila vald","%change","2023",9.8,"EE009","EE006",317,"Rapla county"
"kohila vald","%change","2024",7.4,"EE009","EE006",317,"Rapla county"
"kohtla-järve linn","avg_wage","2021",1177,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","avg_wage","2022",1287,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","avg_wage","2023",1464,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","avg_wage","2024",1632,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","employees","2021",9369,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","employees","2022",9281,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","employees","2023",8970,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","employees","2024",8832,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","median_wage","2021",950,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","median_wage","2022",1045,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","median_wage","2023",1190,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","median_wage","2024",1312,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","%change","2021",NA,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","%change","2022",9.3,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","%change","2023",13.7,"EE00A","EE007",321,"Ida-Viru county"
"kohtla-järve linn","%change","2024",11.5,"EE00A","EE007",321,"Ida-Viru county"
"kose vald","avg_wage","2021",1242,"EE001","EE001",338,"Harju county"
"kose vald","avg_wage","2022",1360,"EE001","EE001",338,"Harju county"
"kose vald","avg_wage","2023",1489,"EE001","EE001",338,"Harju county"
"kose vald","avg_wage","2024",1589,"EE001","EE001",338,"Harju county"
"kose vald","employees","2021",1996,"EE001","EE001",338,"Harju county"
"kose vald","employees","2022",2036,"EE001","EE001",338,"Harju county"
"kose vald","employees","2023",1983,"EE001","EE001",338,"Harju county"
"kose vald","employees","2024",1994,"EE001","EE001",338,"Harju county"
"kose vald","median_wage","2021",1089,"EE001","EE001",338,"Harju county"
"kose vald","median_wage","2022",1184,"EE001","EE001",338,"Harju county"
"kose vald","median_wage","2023",1308,"EE001","EE001",338,"Harju county"
"kose vald","median_wage","2024",1395,"EE001","EE001",338,"Harju county"
"kose vald","%change","2021",NA,"EE001","EE001",338,"Harju county"
"kose vald","%change","2022",9.5,"EE001","EE001",338,"Harju county"
"kose vald","%change","2023",9.5,"EE001","EE001",338,"Harju county"
"kose vald","%change","2024",6.7,"EE001","EE001",338,"Harju county"
"kuusalu vald","avg_wage","2021",1214,"EE001","EE001",353,"Harju county"
"kuusalu vald","avg_wage","2022",1345,"EE001","EE001",353,"Harju county"
"kuusalu vald","avg_wage","2023",1488,"EE001","EE001",353,"Harju county"
"kuusalu vald","avg_wage","2024",1575,"EE001","EE001",353,"Harju county"
"kuusalu vald","employees","2021",1593,"EE001","EE001",353,"Harju county"
"kuusalu vald","employees","2022",1609,"EE001","EE001",353,"Harju county"
"kuusalu vald","employees","2023",1651,"EE001","EE001",353,"Harju county"
"kuusalu vald","employees","2024",1640,"EE001","EE001",353,"Harju county"
"kuusalu vald","median_wage","2021",1051,"EE001","EE001",353,"Harju county"
"kuusalu vald","median_wage","2022",1183,"EE001","EE001",353,"Harju county"
"kuusalu vald","median_wage","2023",1273,"EE001","EE001",353,"Harju county"
"kuusalu vald","median_wage","2024",1379,"EE001","EE001",353,"Harju county"
"kuusalu vald","%change","2021",NA,"EE001","EE001",353,"Harju county"
"kuusalu vald","%change","2022",10.8,"EE001","EE001",353,"Harju county"
"kuusalu vald","%change","2023",10.7,"EE001","EE001",353,"Harju county"
"kuusalu vald","%change","2024",5.8,"EE001","EE001",353,"Harju county"
"loksa linn","avg_wage","2021",961,"EE001","EE001",424,"Harju county"
"loksa linn","avg_wage","2022",1035,"EE001","EE001",424,"Harju county"
"loksa linn","avg_wage","2023",1158,"EE001","EE001",424,"Harju county"
"loksa linn","avg_wage","2024",1280,"EE001","EE001",424,"Harju county"
"loksa linn","employees","2021",559,"EE001","EE001",424,"Harju county"
"loksa linn","employees","2022",488,"EE001","EE001",424,"Harju county"
"loksa linn","employees","2023",435,"EE001","EE001",424,"Harju county"
"loksa linn","employees","2024",416,"EE001","EE001",424,"Harju county"
"loksa linn","median_wage","2021",835,"EE001","EE001",424,"Harju county"
"loksa linn","median_wage","2022",884,"EE001","EE001",424,"Harju county"
"loksa linn","median_wage","2023",953,"EE001","EE001",424,"Harju county"
"loksa linn","median_wage","2024",1051,"EE001","EE001",424,"Harju county"
"loksa linn","%change","2021",NA,"EE001","EE001",424,"Harju county"
"loksa linn","%change","2022",7.7,"EE001","EE001",424,"Harju county"
"loksa linn","%change","2023",11.9,"EE001","EE001",424,"Harju county"
"loksa linn","%change","2024",10.6,"EE001","EE001",424,"Harju county"
"luunja vald","avg_wage","2021",1280,"EE008","EE008",432,"Tartu county"
"luunja vald","avg_wage","2022",1406,"EE008","EE008",432,"Tartu county"
"luunja vald","avg_wage","2023",1565,"EE008","EE008",432,"Tartu county"
"luunja vald","avg_wage","2024",1665,"EE008","EE008",432,"Tartu county"
"luunja vald","employees","2021",1496,"EE008","EE008",432,"Tartu county"
"luunja vald","employees","2022",1507,"EE008","EE008",432,"Tartu county"
"luunja vald","employees","2023",1421,"EE008","EE008",432,"Tartu county"
"luunja vald","employees","2024",1431,"EE008","EE008",432,"Tartu county"
"luunja vald","median_wage","2021",1115,"EE008","EE008",432,"Tartu county"
"luunja vald","median_wage","2022",1203,"EE008","EE008",432,"Tartu county"
"luunja vald","median_wage","2023",1334,"EE008","EE008",432,"Tartu county"
"luunja vald","median_wage","2024",1414,"EE008","EE008",432,"Tartu county"
"luunja vald","%change","2021",NA,"EE008","EE008",432,"Tartu county"
"luunja vald","%change","2022",9.9,"EE008","EE008",432,"Tartu county"
"luunja vald","%change","2023",11.3,"EE008","EE008",432,"Tartu county"
"luunja vald","%change","2024",6.3,"EE008","EE008",432,"Tartu county"
"lääne-harju vald","avg_wage","2021",1293,"EE001","EE001",431,"Harju county"
"lääne-harju vald","avg_wage","2022",1439,"EE001","EE001",431,"Harju county"
"lääne-harju vald","avg_wage","2023",1597,"EE001","EE001",431,"Harju county"
"lääne-harju vald","avg_wage","2024",1726,"EE001","EE001",431,"Harju county"
"lääne-harju vald","employees","2021",3207,"EE001","EE001",431,"Harju county"
"lääne-harju vald","employees","2022",3276,"EE001","EE001",431,"Harju county"
"lääne-harju vald","employees","2023",3175,"EE001","EE001",431,"Harju county"
"lääne-harju vald","employees","2024",3040,"EE001","EE001",431,"Harju county"
"lääne-harju vald","median_wage","2021",1131,"EE001","EE001",431,"Harju county"
"lääne-harju vald","median_wage","2022",1236,"EE001","EE001",431,"Harju county"
"lääne-harju vald","median_wage","2023",1353,"EE001","EE001",431,"Harju county"
"lääne-harju vald","median_wage","2024",1462,"EE001","EE001",431,"Harju county"
"lääne-harju vald","%change","2021",NA,"EE001","EE001",431,"Harju county"
"lääne-harju vald","%change","2022",11.3,"EE001","EE001",431,"Harju county"
"lääne-harju vald","%change","2023",11,"EE001","EE001",431,"Harju county"
"lääne-harju vald","%change","2024",8,"EE001","EE001",431,"Harju county"
"lääne-nigula vald","avg_wage","2021",1141,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","avg_wage","2022",1254,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","avg_wage","2023",1336,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","avg_wage","2024",1428,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","employees","2021",1871,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","employees","2022",1878,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","employees","2023",1805,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","employees","2024",1842,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","median_wage","2021",1032,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","median_wage","2022",1152,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","median_wage","2023",1207,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","median_wage","2024",1292,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","%change","2021",NA,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","%change","2022",9.9,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","%change","2023",6.6,"EE004","EE004",441,"Lääne county"
"lääne-nigula vald","%change","2024",6.9,"EE004","EE004",441,"Lääne county"
"lääneranna vald","avg_wage","2021",1092,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","avg_wage","2022",1164,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","avg_wage","2023",1314,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","avg_wage","2024",1416,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","employees","2021",1402,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","employees","2022",1427,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","employees","2023",1365,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","employees","2024",1318,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","median_wage","2021",1000,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","median_wage","2022",1058,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","median_wage","2023",1173,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","median_wage","2024",1241,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","%change","2021",NA,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","%change","2022",6.5,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","%change","2023",12.9,"EE004","EE004",430,"Pärnu county"
"lääneranna vald","%change","2024",7.8,"EE004","EE004",430,"Pärnu county"
"lüganuse vald","avg_wage","2021",1049,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","avg_wage","2022",1122,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","avg_wage","2023",1284,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","avg_wage","2024",1436,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","employees","2021",2556,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","employees","2022",2537,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","employees","2023",2397,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","employees","2024",2381,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","median_wage","2021",904,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","median_wage","2022",972,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","median_wage","2023",1110,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","median_wage","2024",1243,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","%change","2021",NA,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","%change","2022",6.9,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","%change","2023",14.5,"EE00A","EE007",442,"Ida-Viru county"
"lüganuse vald","%change","2024",11.8,"EE00A","EE007",442,"Ida-Viru county"
"maardu linn","avg_wage","2021",1307,"EE001","EE001",446,"Harju county"
"maardu linn","avg_wage","2022",1453,"EE001","EE001",446,"Harju county"
"maardu linn","avg_wage","2023",1567,"EE001","EE001",446,"Harju county"
"maardu linn","avg_wage","2024",1664,"EE001","EE001",446,"Harju county"
"maardu linn","employees","2021",7138,"EE001","EE001",446,"Harju county"
"maardu linn","employees","2022",7226,"EE001","EE001",446,"Harju county"
"maardu linn","employees","2023",7129,"EE001","EE001",446,"Harju county"
"maardu linn","employees","2024",6840,"EE001","EE001",446,"Harju county"
"maardu linn","median_wage","2021",1119,"EE001","EE001",446,"Harju county"
"maardu linn","median_wage","2022",1257,"EE001","EE001",446,"Harju county"
"maardu linn","median_wage","2023",1351,"EE001","EE001",446,"Harju county"
"maardu linn","median_wage","2024",1429,"EE001","EE001",446,"Harju county"
"maardu linn","%change","2021",NA,"EE001","EE001",446,"Harju county"
"maardu linn","%change","2022",11.2,"EE001","EE001",446,"Harju county"
"maardu linn","%change","2023",7.8,"EE001","EE001",446,"Harju county"
"maardu linn","%change","2024",6.2,"EE001","EE001",446,"Harju county"
"muhu vald","avg_wage","2021",999,"EE004","EE004",478,"Saare county"
"muhu vald","avg_wage","2022",1111,"EE004","EE004",478,"Saare county"
"muhu vald","avg_wage","2023",1255,"EE004","EE004",478,"Saare county"
"muhu vald","avg_wage","2024",1368,"EE004","EE004",478,"Saare county"
"muhu vald","employees","2021",437,"EE004","EE004",478,"Saare county"
"muhu vald","employees","2022",441,"EE004","EE004",478,"Saare county"
"muhu vald","employees","2023",445,"EE004","EE004",478,"Saare county"
"muhu vald","employees","2024",451,"EE004","EE004",478,"Saare county"
"muhu vald","median_wage","2021",905,"EE004","EE004",478,"Saare county"
"muhu vald","median_wage","2022",988,"EE004","EE004",478,"Saare county"
"muhu vald","median_wage","2023",1107,"EE004","EE004",478,"Saare county"
"muhu vald","median_wage","2024",1233,"EE004","EE004",478,"Saare county"
"muhu vald","%change","2021",NA,"EE004","EE004",478,"Saare county"
"muhu vald","%change","2022",11.2,"EE004","EE004",478,"Saare county"
"muhu vald","%change","2023",13,"EE004","EE004",478,"Saare county"
"muhu vald","%change","2024",9.1,"EE004","EE004",478,"Saare county"
"mulgi vald","avg_wage","2021",1164,"EE008","EE008",480,"Viljandi county"
"mulgi vald","avg_wage","2022",1304,"EE008","EE008",480,"Viljandi county"
"mulgi vald","avg_wage","2023",1434,"EE008","EE008",480,"Viljandi county"
"mulgi vald","avg_wage","2024",1532,"EE008","EE008",480,"Viljandi county"
"mulgi vald","employees","2021",1958,"EE008","EE008",480,"Viljandi county"
"mulgi vald","employees","2022",1941,"EE008","EE008",480,"Viljandi county"
"mulgi vald","employees","2023",1788,"EE008","EE008",480,"Viljandi county"
"mulgi vald","employees","2024",1770,"EE008","EE008",480,"Viljandi county"
"mulgi vald","median_wage","2021",996,"EE008","EE008",480,"Viljandi county"
"mulgi vald","median_wage","2022",1118,"EE008","EE008",480,"Viljandi county"
"mulgi vald","median_wage","2023",1224,"EE008","EE008",480,"Viljandi county"
"mulgi vald","median_wage","2024",1308,"EE008","EE008",480,"Viljandi county"
"mulgi vald","%change","2021",NA,"EE008","EE008",480,"Viljandi county"
"mulgi vald","%change","2022",12.1,"EE008","EE008",480,"Viljandi county"
"mulgi vald","%change","2023",9.9,"EE008","EE008",480,"Viljandi county"
"mulgi vald","%change","2024",6.9,"EE008","EE008",480,"Viljandi county"
"mustvee vald","avg_wage","2021",1025,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","avg_wage","2022",1094,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","avg_wage","2023",1226,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","avg_wage","2024",1350,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","employees","2021",1544,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","employees","2022",1490,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","employees","2023",1407,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","employees","2024",1394,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","median_wage","2021",821,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","median_wage","2022",908,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","median_wage","2023",1007,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","median_wage","2024",1100,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","%change","2021",NA,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","%change","2022",6.7,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","%change","2023",12.1,"EE008","EE008",486,"Jõgeva county"
"mustvee vald","%change","2024",10.1,"EE008","EE008",486,"Jõgeva county"
"märjamaa vald","avg_wage","2021",1131,"EE009","EE006",503,"Rapla county"
"märjamaa vald","avg_wage","2022",1236,"EE009","EE006",503,"Rapla county"
"märjamaa vald","avg_wage","2023",1369,"EE009","EE006",503,"Rapla county"
"märjamaa vald","avg_wage","2024",1470,"EE009","EE006",503,"Rapla county"
"märjamaa vald","employees","2021",2113,"EE009","EE006",503,"Rapla county"
"märjamaa vald","employees","2022",2129,"EE009","EE006",503,"Rapla county"
"märjamaa vald","employees","2023",2096,"EE009","EE006",503,"Rapla county"
"märjamaa vald","employees","2024",2051,"EE009","EE006",503,"Rapla county"
"märjamaa vald","median_wage","2021",986,"EE009","EE006",503,"Rapla county"
"märjamaa vald","median_wage","2022",1087,"EE009","EE006",503,"Rapla county"
"märjamaa vald","median_wage","2023",1181,"EE009","EE006",503,"Rapla county"
"märjamaa vald","median_wage","2024",1270,"EE009","EE006",503,"Rapla county"
"märjamaa vald","%change","2021",NA,"EE009","EE006",503,"Rapla county"
"märjamaa vald","%change","2022",9.4,"EE009","EE006",503,"Rapla county"
"märjamaa vald","%change","2023",10.7,"EE009","EE006",503,"Rapla county"
"märjamaa vald","%change","2024",7.4,"EE009","EE006",503,"Rapla county"
"narva linn","avg_wage","2021",1033,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","avg_wage","2022",1158,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","avg_wage","2023",1311,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","avg_wage","2024",1450,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","employees","2021",14895,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","employees","2022",15282,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","employees","2023",14767,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","employees","2024",13992,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","median_wage","2021",804,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","median_wage","2022",910,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","median_wage","2023",1036,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","median_wage","2024",1146,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","%change","2021",NA,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","%change","2022",12.1,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","%change","2023",13.2,"EE00A","EE007",511,"Ida-Viru county"
"narva linn","%change","2024",10.6,"EE00A","EE007",511,"Ida-Viru county"
"narva-jõesuu linn","avg_wage","2021",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","avg_wage","2022",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","avg_wage","2023",1765,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","avg_wage","2024",1860,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","employees","2021",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","employees","2022",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","employees","2023",2983,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","employees","2024",3020,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","median_wage","2021",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","median_wage","2022",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","median_wage","2023",1640,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","median_wage","2024",1746,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","%change","2021",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","%change","2022",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","%change","2023",NA,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn","%change","2024",5.3,"EE00A","EE007",514,"Ida-Viru county"
"narva-jõesuu linn, until 2022","avg_wage","2021",1377,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","avg_wage","2022",1588,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","avg_wage","2023",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","avg_wage","2024",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","employees","2021",2561,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","employees","2022",2653,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","employees","2023",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","employees","2024",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","median_wage","2021",1300,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","median_wage","2022",1472,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","median_wage","2023",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","median_wage","2024",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","%change","2021",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","%change","2022",15.3,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","%change","2023",NA,NA,NA,NA,NA
"narva-jõesuu linn, until 2022","%change","2024",NA,NA,NA,NA,NA
"nõo vald","avg_wage","2021",1213,"EE008","EE008",528,"Tartu county"
"nõo vald","avg_wage","2022",1304,"EE008","EE008",528,"Tartu county"
"nõo vald","avg_wage","2023",1470,"EE008","EE008",528,"Tartu county"
"nõo vald","avg_wage","2024",1608,"EE008","EE008",528,"Tartu county"
"nõo vald","employees","2021",1080,"EE008","EE008",528,"Tartu county"
"nõo vald","employees","2022",1201,"EE008","EE008",528,"Tartu county"
"nõo vald","employees","2023",1188,"EE008","EE008",528,"Tartu county"
"nõo vald","employees","2024",1115,"EE008","EE008",528,"Tartu county"
"nõo vald","median_wage","2021",1083,"EE008","EE008",528,"Tartu county"
"nõo vald","median_wage","2022",1160,"EE008","EE008",528,"Tartu county"
"nõo vald","median_wage","2023",1345,"EE008","EE008",528,"Tartu county"
"nõo vald","median_wage","2024",1465,"EE008","EE008",528,"Tartu county"
"nõo vald","%change","2021",NA,"EE008","EE008",528,"Tartu county"
"nõo vald","%change","2022",7.5,"EE008","EE008",528,"Tartu county"
"nõo vald","%change","2023",12.7,"EE008","EE008",528,"Tartu county"
"nõo vald","%change","2024",9.4,"EE008","EE008",528,"Tartu county"
"otepää vald","avg_wage","2021",1125,"EE008","EE008",557,"Valga county"
"otepää vald","avg_wage","2022",1211,"EE008","EE008",557,"Valga county"
"otepää vald","avg_wage","2023",1390,"EE008","EE008",557,"Valga county"
"otepää vald","avg_wage","2024",1504,"EE008","EE008",557,"Valga county"
"otepää vald","employees","2021",2266,"EE008","EE008",557,"Valga county"
"otepää vald","employees","2022",2378,"EE008","EE008",557,"Valga county"
"otepää vald","employees","2023",2236,"EE008","EE008",557,"Valga county"
"otepää vald","employees","2024",2215,"EE008","EE008",557,"Valga county"
"otepää vald","median_wage","2021",1000,"EE008","EE008",557,"Valga county"
"otepää vald","median_wage","2022",1061,"EE008","EE008",557,"Valga county"
"otepää vald","median_wage","2023",1238,"EE008","EE008",557,"Valga county"
"otepää vald","median_wage","2024",1333,"EE008","EE008",557,"Valga county"
"otepää vald","%change","2021",NA,"EE008","EE008",557,"Valga county"
"otepää vald","%change","2022",7.7,"EE008","EE008",557,"Valga county"
"otepää vald","%change","2023",14.8,"EE008","EE008",557,"Valga county"
"otepää vald","%change","2024",8.2,"EE008","EE008",557,"Valga county"
"paide linn","avg_wage","2021",1302,"EE009","EE006",567,"Järva county"
"paide linn","avg_wage","2022",1419,"EE009","EE006",567,"Järva county"
"paide linn","avg_wage","2023",1568,"EE009","EE006",567,"Järva county"
"paide linn","avg_wage","2024",1682,"EE009","EE006",567,"Järva county"
"paide linn","employees","2021",5055,"EE009","EE006",567,"Järva county"
"paide linn","employees","2022",5082,"EE009","EE006",567,"Järva county"
"paide linn","employees","2023",4972,"EE009","EE006",567,"Järva county"
"paide linn","employees","2024",4852,"EE009","EE006",567,"Järva county"
"paide linn","median_wage","2021",1133,"EE009","EE006",567,"Järva county"
"paide linn","median_wage","2022",1252,"EE009","EE006",567,"Järva county"
"paide linn","median_wage","2023",1400,"EE009","EE006",567,"Järva county"
"paide linn","median_wage","2024",1494,"EE009","EE006",567,"Järva county"
"paide linn","%change","2021",NA,"EE009","EE006",567,"Järva county"
"paide linn","%change","2022",9,"EE009","EE006",567,"Järva county"
"paide linn","%change","2023",10.5,"EE009","EE006",567,"Järva county"
"paide linn","%change","2024",7.3,"EE009","EE006",567,"Järva county"
"peipsiääre vald","avg_wage","2021",1037,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","avg_wage","2022",1172,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","avg_wage","2023",1299,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","avg_wage","2024",1424,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","employees","2021",1013,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","employees","2022",997,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","employees","2023",1004,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","employees","2024",1022,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","median_wage","2021",887,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","median_wage","2022",1000,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","median_wage","2023",1129,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","median_wage","2024",1223,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","%change","2021",NA,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","%change","2022",13.1,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","%change","2023",10.8,"EE008","EE008",586,"Tartu county"
"peipsiääre vald","%change","2024",9.6,"EE008","EE008",586,"Tartu county"
"pärnu linn","avg_wage","2021",1215,"EE004","EE004",624,"Pärnu county"
"pärnu linn","avg_wage","2022",1355,"EE004","EE004",624,"Pärnu county"
"pärnu linn","avg_wage","2023",1504,"EE004","EE004",624,"Pärnu county"
"pärnu linn","avg_wage","2024",1629,"EE004","EE004",624,"Pärnu county"
"pärnu linn","employees","2021",23848,"EE004","EE004",624,"Pärnu county"
"pärnu linn","employees","2022",24647,"EE004","EE004",624,"Pärnu county"
"pärnu linn","employees","2023",24536,"EE004","EE004",624,"Pärnu county"
"pärnu linn","employees","2024",24134,"EE004","EE004",624,"Pärnu county"
"pärnu linn","median_wage","2021",1030,"EE004","EE004",624,"Pärnu county"
"pärnu linn","median_wage","2022",1161,"EE004","EE004",624,"Pärnu county"
"pärnu linn","median_wage","2023",1274,"EE004","EE004",624,"Pärnu county"
"pärnu linn","median_wage","2024",1373,"EE004","EE004",624,"Pärnu county"
"pärnu linn","%change","2021",NA,"EE004","EE004",624,"Pärnu county"
"pärnu linn","%change","2022",11.5,"EE004","EE004",624,"Pärnu county"
"pärnu linn","%change","2023",11,"EE004","EE004",624,"Pärnu county"
"pärnu linn","%change","2024",8.3,"EE004","EE004",624,"Pärnu county"
"põhja-pärnumaa vald","avg_wage","2021",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","avg_wage","2022",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","avg_wage","2023",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","avg_wage","2024",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","employees","2021",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","employees","2022",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","employees","2023",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","employees","2024",NA,"EE004","EE004",638,"Pärnu county"
"põhja-pärnumaa vald","median_wage","2021",NA,"EE004","EE004",638,"Pärnu county"
