"municipality","indicator","year","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","county"
"elva vald","median_wage","2024",1444,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2021",NA,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2022",9.8,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2023",11.2,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2024",8.4,"EE008","EE008",171,"Tartu county"
"haapsalu linn","avg_wage","2021",1197,"EE004","EE004",184,"Lääne county"
"haapsalu linn","avg_wage","2022",1314,"EE004","EE004",184,"Lääne county"
"haapsalu linn","avg_wage","2023",1447,"EE004","EE004",184,"Lääne county"
"haapsalu linn","avg_wage","2024",1543,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2021",5354,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2022",5408,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2023",5317,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2024",5263,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2021",1054,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2022",1167,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2023",1279,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2024",1353,"EE004","EE004",184,"Lääne county"
"haapsalu linn","%change","2021",NA,"EE004","EE004",184,"Lääne county"
"haapsalu linn","%change","2022",9.8,"EE004","EE004",184,"Lääne county"
"haapsalu linn","%change","2023",10.1,"EE004","EE004",184,"Lääne county"
"haapsalu linn","%change","2024",6.6,"EE004","EE004",184,"Lääne county"
"haljala vald","avg_wage","2021",1247,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","avg_wage","2022",1348,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","avg_wage","2023",1492,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","avg_wage","2024",1553,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","employees","2021",1429,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","employees","2022",1467,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","employees","2023",1449,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","employees","2024",1372,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","median_wage","2021",1100,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","median_wage","2022",1203,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","median_wage","2023",1333,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","median_wage","2024",1372,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","%change","2021",NA,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","%change","2022",8.1,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","%change","2023",10.7,"EE009","EE006",191,"Lääne-Viru county"
"haljala vald","%change","2024",4.1,"EE009","EE006",191,"Lääne-Viru county"
"harku vald","avg_wage","2021",1381,"EE001","EE001",198,"Harju county"
"harku vald","avg_wage","2022",1515,"EE001","EE001",198,"Harju county"
"harku vald","avg_wage","2023",1635,"EE001","EE001",198,"Harju county"
"harku vald","avg_wage","2024",1733,"EE001","EE001",198,"Harju county"
"harku vald","employees","2021",5305,"EE001","EE001",198,"Harju county"
"harku vald","employees","2022",5500,"EE001","EE001",198,"Harju county"
"harku vald","employees","2023",5416,"EE001","EE001",198,"Harju county"
"harku vald","employees","2024",5425,"EE001","EE001",198,"Harju county"
"harku vald","median_wage","2021",1215,"EE001","EE001",198,"Harju county"
"harku vald","median_wage","2022",1352,"EE001","EE001",198,"Harju county"
"harku vald","median_wage","2023",1450,"EE001","EE001",198,"Harju county"
"harku vald","median_wage","2024",1544,"EE001","EE001",198,"Harju county"
"harku vald","%change","2021",NA,"EE001","EE001",198,"Harju county"
"harku vald","%change","2022",9.7,"EE001","EE001",198,"Harju county"
"harku vald","%change","2023",7.9,"EE001","EE001",198,"Harju county"
"harku vald","%change","2024",6,"EE001","EE001",198,"Harju county"
"hiiumaa vald","avg_wage","2021",1154,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","avg_wage","2022",1259,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","avg_wage","2023",1398,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","avg_wage","2024",1537,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","employees","2021",2937,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","employees","2022",2965,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","employees","2023",2894,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","employees","2024",2848,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","median_wage","2021",1005,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","median_wage","2022",1128,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","median_wage","2023",1253,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","median_wage","2024",1373,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","%change","2021",NA,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","%change","2022",9.1,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","%change","2023",11,"EE004","EE004",205,"Hiiu county"
"hiiumaa vald","%change","2024",9.9,"EE004","EE004",205,"Hiiu county"
"häädemeeste vald","avg_wage","2021",1043,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","avg_wage","2022",1178,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","avg_wage","2023",1345,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","avg_wage","2024",1464,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","employees","2021",1035,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","employees","2022",1062,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","employees","2023",1052,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","employees","2024",1043,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","median_wage","2021",839,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","median_wage","2022",985,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","median_wage","2023",1130,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","median_wage","2024",1201,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","%change","2021",NA,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","%change","2022",12.9,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","%change","2023",14.2,"EE004","EE004",214,"Pärnu county"
"häädemeeste vald","%change","2024",8.9,"EE004","EE004",214,"Pärnu county"
"järva vald","avg_wage","2021",1269,"EE009","EE006",255,"Järva county"
"järva vald","avg_wage","2022",1377,"EE009","EE006",255,"Järva county"
"järva vald","avg_wage","2023",1506,"EE009","EE006",255,"Järva county"
"järva vald","avg_wage","2024",1647,"EE009","EE006",255,"Järva county"
"järva vald","employees","2021",3122,"EE009","EE006",255,"Järva county"
"järva vald","employees","2022",3120,"EE009","EE006",255,"Järva county"
"järva vald","employees","2023",3056,"EE009","EE006",255,"Järva county"
"järva vald","employees","2024",2968,"EE009","EE006",255,"Järva county"
"järva vald","median_wage","2021",1090,"EE009","EE006",255,"Järva county"
"järva vald","median_wage","2022",1200,"EE009","EE006",255,"Järva county"
"järva vald","median_wage","2023",1330,"EE009","EE006",255,"Järva county"
"järva vald","median_wage","2024",1467,"EE009","EE006",255,"Järva county"
