"nuts","year","indicator","value","level"
"184",2021,"avg_gross_wage",1197,"laucode"
"184",2022,"avg_gross_wage",1314,"laucode"
"184",2023,"avg_gross_wage",1447,"laucode"
"184",2024,"avg_gross_wage",1543,"laucode"
"191",2000,"avg_gross_wage",247.898512975942,"laucode"
"191",2001,"avg_gross_wage",285.458893729873,"laucode"
"191",2002,"avg_gross_wage",308.495927258951,"laucode"
"191",2003,"avg_gross_wage",336.791414093578,"laucode"
"191",2004,"avg_gross_wage",356.823617162341,"laucode"
"191",2005,"avg_gross_wage",400.143256298541,"laucode"
"191",2006,"avg_gross_wage",467.251136578898,"laucode"
"191",2007,"avg_gross_wage",561.903296078803,"laucode"
"191",2008,"avg_gross_wage",666.32115457473,"laucode"
"191",2009,"avg_gross_wage",624.503930668687,"laucode"
"191",2010,"avg_gross_wage",648.041769274484,"laucode"
"191",2011,"avg_gross_wage",674.083633263876,"laucode"
"191",2012,"avg_gross_wage",741.692318620951,"laucode"
"191",2013,"avg_gross_wage",792.524033907937,"laucode"
"191",2014,"avg_gross_wage",835.593270505778,"laucode"
"191",2015,"avg_gross_wage",895.189074635348,"laucode"
"191",2016,"avg_gross_wage",939.510323924986,"laucode"
"191",2017,"avg_gross_wage",974.065874218602,"laucode"
"191",2018,"avg_gross_wage",1024.14638189051,"laucode"
"191",2021,"avg_gross_wage",1247,"laucode"
"191",2022,"avg_gross_wage",1348,"laucode"
"191",2023,"avg_gross_wage",1492,"laucode"
"191",2024,"avg_gross_wage",1553,"laucode"
"198",2000,"avg_gross_wage",377.831544326506,"laucode"
"198",2001,"avg_gross_wage",422.532037673793,"laucode"
"198",2002,"avg_gross_wage",472.226999551503,"laucode"
"198",2003,"avg_gross_wage",514.679982060099,"laucode"
"198",2004,"avg_gross_wage",546.394857228285,"laucode"
"198",2005,"avg_gross_wage",592.84341456122,"laucode"
"198",2006,"avg_gross_wage",686.989146359695,"laucode"
"198",2007,"avg_gross_wage",816.345881297653,"laucode"
"198",2008,"avg_gross_wage",915.735805053072,"laucode"
"198",2009,"avg_gross_wage",879.775631634026,"laucode"
"198",2010,"avg_gross_wage",880.025355060547,"laucode"
"198",2011,"avg_gross_wage",934.71478546868,"laucode"
"198",2012,"avg_gross_wage",990.153386156376,"laucode"
"198",2013,"avg_gross_wage",1069.5654357901,"laucode"
"198",2014,"avg_gross_wage",1122.75652563911,"laucode"
"198",2015,"avg_gross_wage",1178.44484975333,"laucode"
"198",2016,"avg_gross_wage",1261.35302735835,"laucode"
"198",2017,"avg_gross_wage",1347.50760950815,"laucode"
"198",2018,"avg_gross_wage",1453.64006577964,"laucode"
"198",2021,"avg_gross_wage",1381,"laucode"
"198",2022,"avg_gross_wage",1515,"laucode"
"198",2023,"avg_gross_wage",1635,"laucode"
"198",2024,"avg_gross_wage",1733,"laucode"
"205",2000,"avg_gross_wage",257.326638562951,"laucode"
"205",2001,"avg_gross_wage",310.601294202937,"laucode"
"205",2002,"avg_gross_wage",318.140160567086,"laucode"
"205",2003,"avg_gross_wage",350.808581478399,"laucode"
"205",2004,"avg_gross_wage",383.728297935182,"laucode"
"205",2005,"avg_gross_wage",435.495180302339,"laucode"
"205",2006,"avg_gross_wage",480.728378487232,"laucode"
"205",2007,"avg_gross_wage",554.357973310421,"laucode"
"205",2008,"avg_gross_wage",626.731090406251,"laucode"
"205",2009,"avg_gross_wage",606.878742313992,"laucode"
"205",2010,"avg_gross_wage",630.249228042854,"laucode"
"205",2011,"avg_gross_wage",682.769997046425,"laucode"
"205",2012,"avg_gross_wage",775.246757779986,"laucode"
"205",2013,"avg_gross_wage",815.202749509975,"laucode"
"205",2014,"avg_gross_wage",978.796149612008,"laucode"
"205",2015,"avg_gross_wage",868.477405149961,"laucode"
"205",2016,"avg_gross_wage",899.1354616975,"laucode"
"205",2017,"avg_gross_wage",880.288295787128,"laucode"
"205",2018,"avg_gross_wage",949.645866337298,"laucode"
"205",2021,"avg_gross_wage",1154,"laucode"
"205",2022,"avg_gross_wage",1259,"laucode"
"205",2023,"avg_gross_wage",1398,"laucode"
"205",2024,"avg_gross_wage",1537,"laucode"
"214",2000,"avg_gross_wage",254.788685122036,"laucode"
"214",2001,"avg_gross_wage",277.478586580028,"laucode"
"214",2002,"avg_gross_wage",300.168488038021,"laucode"
"214",2003,"avg_gross_wage",336.094165346508,"laucode"
"214",2004,"avg_gross_wage",358.547713664313,"laucode"
"214",2005,"avg_gross_wage",412.436229627044,"laucode"
"214",2006,"avg_gross_wage",478.378755739334,"laucode"
"214",2007,"avg_gross_wage",568.42930215074,"laucode"
"214",2008,"avg_gross_wage",666.043149048143,"laucode"
"214",2009,"avg_gross_wage",621.608758692909,"laucode"
"214",2010,"avg_gross_wage",656.116317160272,"laucode"
"214",2011,"avg_gross_wage",652.57102005746,"laucode"
"214",2012,"avg_gross_wage",703.85965147813,"laucode"
"214",2013,"avg_gross_wage",728.204024917434,"laucode"
"214",2014,"avg_gross_wage",778.547243777354,"laucode"
"214",2015,"avg_gross_wage",810.454917702656,"laucode"
"214",2016,"avg_gross_wage",870.961321590634,"laucode"
"214",2017,"avg_gross_wage",945.885267030046,"laucode"
"214",2018,"avg_gross_wage",1004.50084579653,"laucode"
"214",2021,"avg_gross_wage",1043,"laucode"
"214",2022,"avg_gross_wage",1178,"laucode"
"214",2023,"avg_gross_wage",1345,"laucode"
"214",2024,"avg_gross_wage",1464,"laucode"
"255",2000,"avg_gross_wage",250.25282960788,"laucode"
"255",2001,"avg_gross_wage",291.446711024815,"laucode"
"255",2002,"avg_gross_wage",326.718971988066,"laucode"
"255",2003,"avg_gross_wage",388.252332354613,"laucode"
"255",2004,"avg_gross_wage",391.341873460883,"laucode"
"255",2005,"avg_gross_wage",452.360310309718,"laucode"
"255",2006,"avg_gross_wage",525.994373342489,"laucode"
