"nuts","year","variable","nuts2021","nuts2016","value","type"
184,2014,"ppm2_offer","EE004","EE004",639.759569061269,"all"
184,2015,"ppm2_offer","EE004","EE004",680.17818167316,"all"
184,2016,"ppm2_offer","EE004","EE004",683.804759365654,"all"
184,2017,"ppm2_offer","EE004","EE004",687.322126110965,"all"
184,2018,"ppm2_offer","EE004","EE004",732.533930947242,"all"
184,2019,"ppm2_offer","EE004","EE004",759.869924967828,"all"
184,2020,"ppm2_offer","EE004","EE004",983.604282565224,"all"
184,2021,"ppm2_offer","EE004","EE004",1166.96293650938,"all"
184,2022,"ppm2_offer","EE004","EE004",1427.4251709419,"all"
184,2023,"ppm2_offer","EE004","EE004",1491.0738657052,"all"
184,2024,"ppm2_offer","EE004","EE004",1414.87450277925,"all"
184,2025,"ppm2_offer","EE004","EE004",1385.04641236329,"all"
191,2007,"ppm2_offer","EE009","EE006",951.843698106998,"all"
191,2008,"ppm2_offer","EE009","EE006",914.547605171231,"all"
191,2009,"ppm2_offer","EE009","EE006",659.621091414911,"all"
191,2010,"ppm2_offer","EE009","EE006",557.052385739689,"all"
191,2011,"ppm2_offer","EE009","EE006",493.086384785898,"all"
191,2012,"ppm2_offer","EE009","EE006",516.345082036349,"all"
191,2013,"ppm2_offer","EE009","EE006",579.641987314101,"all"
191,2014,"ppm2_offer","EE009","EE006",566.015388338039,"all"
191,2015,"ppm2_offer","EE009","EE006",578.262021327693,"all"
191,2016,"ppm2_offer","EE009","EE006",615.72281114699,"all"
191,2017,"ppm2_offer","EE009","EE006",672.020775153096,"all"
191,2018,"ppm2_offer","EE009","EE006",681.608744224915,"all"
191,2019,"ppm2_offer","EE009","EE006",824.599269124514,"all"
191,2020,"ppm2_offer","EE009","EE006",714.25661479491,"all"
191,2021,"ppm2_offer","EE009","EE006",754.632065513499,"all"
191,2022,"ppm2_offer","EE009","EE006",800.466526162598,"all"
191,2023,"ppm2_offer","EE009","EE006",1126.99801506997,"all"
191,2024,"ppm2_offer","EE009","EE006",1273.33685970578,"all"
191,2025,"ppm2_offer","EE009","EE006",1231.50036646334,"all"
198,2007,"ppm2_offer","EE001","EE001",1281.47873851642,"all"
198,2008,"ppm2_offer","EE001","EE001",1118.98085580379,"all"
198,2009,"ppm2_offer","EE001","EE001",815.183150106722,"all"
198,2010,"ppm2_offer","EE001","EE001",741.299920090476,"all"
198,2011,"ppm2_offer","EE001","EE001",764.454609247705,"all"
198,2012,"ppm2_offer","EE001","EE001",797.368906759768,"all"
198,2013,"ppm2_offer","EE001","EE001",844.561100063444,"all"
198,2014,"ppm2_offer","EE001","EE001",953.378553737862,"all"
198,2015,"ppm2_offer","EE001","EE001",1035.05524808174,"all"
198,2016,"ppm2_offer","EE001","EE001",1128.60419452027,"all"
198,2017,"ppm2_offer","EE001","EE001",1186.76387260521,"all"
198,2018,"ppm2_offer","EE001","EE001",1241.9803838605,"all"
198,2019,"ppm2_offer","EE001","EE001",1282.10363239058,"all"
198,2020,"ppm2_offer","EE001","EE001",1474.65346421505,"all"
198,2021,"ppm2_offer","EE001","EE001",1654.63359614859,"all"
198,2022,"ppm2_offer","EE001","EE001",2055.44480260254,"all"
198,2023,"ppm2_offer","EE001","EE001",2197.58161451221,"all"
198,2024,"ppm2_offer","EE001","EE001",2278.52618854353,"all"
198,2025,"ppm2_offer","EE001","EE001",2215.00384321378,"all"
205,2007,"ppm2_offer","EE004","EE004",1192.18002495276,"all"
205,2008,"ppm2_offer","EE004","EE004",1193.20865310199,"all"
205,2009,"ppm2_offer","EE004","EE004",719.770307517455,"all"
205,2010,"ppm2_offer","EE004","EE004",439.766885919438,"all"
205,2011,"ppm2_offer","EE004","EE004",537.222878238196,"all"
205,2012,"ppm2_offer","EE004","EE004",409.209225023395,"all"
205,2013,"ppm2_offer","EE004","EE004",344.418652670496,"all"
205,2014,"ppm2_offer","EE004","EE004",474.81458454485,"all"
205,2015,"ppm2_offer","EE004","EE004",541.13480293153,"all"
205,2016,"ppm2_offer","EE004","EE004",545.255817331299,"all"
205,2017,"ppm2_offer","EE004","EE004",642.604440329659,"all"
205,2018,"ppm2_offer","EE004","EE004",689.953944519395,"all"
205,2019,"ppm2_offer","EE004","EE004",631.696984617595,"all"
205,2020,"ppm2_offer","EE004","EE004",702.689488735855,"all"
205,2021,"ppm2_offer","EE004","EE004",786.522682897762,"all"
205,2022,"ppm2_offer","EE004","EE004",845.015788292004,"all"
205,2023,"ppm2_offer","EE004","EE004",1179.73811627977,"all"
205,2024,"ppm2_offer","EE004","EE004",1394.53630910946,"all"
205,2025,"ppm2_offer","EE004","EE004",1508.0832217791,"all"
214,2007,"ppm2_offer","EE004","EE004",1215.02371362338,"all"
214,2008,"ppm2_offer","EE004","EE004",766.488604111455,"all"
214,2009,"ppm2_offer","EE004","EE004",585.199707826696,"all"
214,2010,"ppm2_offer","EE004","EE004",518.302317286675,"all"
214,2011,"ppm2_offer","EE004","EE004",498.793664274654,"all"
214,2012,"ppm2_offer","EE004","EE004",507.064197915081,"all"
214,2013,"ppm2_offer","EE004","EE004",479.341395285483,"all"
214,2014,"ppm2_offer","EE004","EE004",487.725113075638,"all"
214,2015,"ppm2_offer","EE004","EE004",502.87466298948,"all"
214,2016,"ppm2_offer","EE004","EE004",576.904085198166,"all"
214,2017,"ppm2_offer","EE004","EE004",653.964761275221,"all"
214,2018,"ppm2_offer","EE004","EE004",673.964002663367,"all"
214,2019,"ppm2_offer","EE004","EE004",821.928689274929,"all"
214,2020,"ppm2_offer","EE004","EE004",851.187628895944,"all"
214,2021,"ppm2_offer","EE004","EE004",854.460576899712,"all"
214,2022,"ppm2_offer","EE004","EE004",1118.12987892647,"all"
214,2023,"ppm2_offer","EE004","EE004",1277.52127850882,"all"
214,2024,"ppm2_offer","EE004","EE004",1326.16525576438,"all"
214,2025,"ppm2_offer","EE004","EE004",1190.29434189624,"all"
245,2007,"ppm2_offer","EE001","EE001",1050.67094751748,"all"
245,2008,"ppm2_offer","EE001","EE001",1013.03368149707,"all"
245,2009,"ppm2_offer","EE001","EE001",742.286315468631,"all"
245,2010,"ppm2_offer","EE001","EE001",664.108938504015,"all"
245,2011,"ppm2_offer","EE001","EE001",812.120162499602,"all"
245,2012,"ppm2_offer","EE001","EE001",774.822329591904,"all"
245,2013,"ppm2_offer","EE001","EE001",825.15350689836,"all"
245,2014,"ppm2_offer","EE001","EE001",918.318224072278,"all"
245,2015,"ppm2_offer","EE001","EE001",970.406321072807,"all"
245,2016,"ppm2_offer","EE001","EE001",1069.65621737295,"all"
245,2017,"ppm2_offer","EE001","EE001",1157.94267663196,"all"
245,2018,"ppm2_offer","EE001","EE001",1239.49059142817,"all"
245,2019,"ppm2_offer","EE001","EE001",1254.65705313006,"all"
245,2020,"ppm2_offer","EE001","EE001",1296.67165508897,"all"
245,2021,"ppm2_offer","EE001","EE001",1629.95397070529,"all"
245,2022,"ppm2_offer","EE001","EE001",2050.28196147359,"all"
245,2023,"ppm2_offer","EE001","EE001",2134.21201463312,"all"
245,2024,"ppm2_offer","EE001","EE001",2112.96954346928,"all"
245,2025,"ppm2_offer","EE001","EE001",2226.6709226073,"all"
247,2007,"ppm2_offer","EE008","EE008",390.084332518158,"all"
247,2008,"ppm2_offer","EE008","EE008",394.010240305226,"all"
247,2009,"ppm2_offer","EE008","EE008",330.119715786391,"all"
247,2010,"ppm2_offer","EE008","EE008",304.416343034537,"all"
247,2011,"ppm2_offer","EE008","EE008",334.916818351575,"all"
247,2012,"ppm2_offer","EE008","EE008",303.42454052467,"all"
247,2013,"ppm2_offer","EE008","EE008",292.871545111418,"all"
247,2014,"ppm2_offer","EE008","EE008",278.926165814116,"all"
247,2015,"ppm2_offer","EE008","EE008",288.448503895362,"all"
247,2016,"ppm2_offer","EE008","EE008",283.066120247427,"all"
247,2017,"ppm2_offer","EE008","EE008",252.243515286551,"all"
247,2018,"ppm2_offer","EE008","EE008",272.042070732841,"all"
247,2019,"ppm2_offer","EE008","EE008",374.846852423299,"all"
247,2020,"ppm2_offer","EE008","EE008",405.881383073188,"all"
247,2021,"ppm2_offer","EE008","EE008",395.777608128542,"all"
247,2022,"ppm2_offer","EE008","EE008",413.86092867501,"all"
