"Year","Object","Location of the object","Indicator","Quarter","value"
"2007","Real estate objects total","Whole country","Number of transactions","1st-4th quarters",49348
"2007","Real estate objects total","Whole country","Number of transactions","1st quarter",13671
"2007","Real estate objects total","Whole country","Number of transactions","2nd quarter",13723
"2007","Real estate objects total","Whole country","Number of transactions","3rd quarter",11254
"2007","Real estate objects total","Whole country","Number of transactions","4th quarter",10700
"2007","Real estate objects total","Whole country","Value of transactions, euros","1st-4th quarters",3738466363
"2007","Real estate objects total","Whole country","Value of transactions, euros","1st quarter",1059279783
"2007","Real estate objects total","Whole country","Value of transactions, euros","2nd quarter",1088429050
"2007","Real estate objects total","Whole country","Value of transactions, euros","3rd quarter",801059425
"2007","Real estate objects total","Whole country","Value of transactions, euros","4th quarter",789698106
"2007","Real estate objects total","Harju county","Number of transactions","1st-4th quarters",21813
"2007","Real estate objects total","Harju county","Number of transactions","1st quarter",6370
"2007","Real estate objects total","Harju county","Number of transactions","2nd quarter",6462
"2007","Real estate objects total","Harju county","Number of transactions","3rd quarter",4593
"2007","Real estate objects total","Harju county","Number of transactions","4th quarter",4388
"2007","Real estate objects total","Harju county","Value of transactions, euros","1st-4th quarters",2442252127
"2007","Real estate objects total","Harju county","Value of transactions, euros","1st quarter",721660153
"2007","Real estate objects total","Harju county","Value of transactions, euros","2nd quarter",736226761
"2007","Real estate objects total","Harju county","Value of transactions, euros","3rd quarter",491068209
"2007","Real estate objects total","Harju county","Value of transactions, euros","4th quarter",493297004
"2007","Real estate objects total","..Tallinn","Number of transactions","1st-4th quarters",13848
"2007","Real estate objects total","..Tallinn","Number of transactions","1st quarter",4044
"2007","Real estate objects total","..Tallinn","Number of transactions","2nd quarter",4140
"2007","Real estate objects total","..Tallinn","Number of transactions","3rd quarter",2873
"2007","Real estate objects total","..Tallinn","Number of transactions","4th quarter",2791
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","1st-4th quarters",1615800117
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","1st quarter",460819988
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","2nd quarter",495073193
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","3rd quarter",333253552
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","4th quarter",326653385
"2007","Real estate objects total","Hiiu county","Number of transactions","1st-4th quarters",538
"2007","Real estate objects total","Hiiu county","Number of transactions","1st quarter",213
"2007","Real estate objects total","Hiiu county","Number of transactions","2nd quarter",117
"2007","Real estate objects total","Hiiu county","Number of transactions","3rd quarter",118
"2007","Real estate objects total","Hiiu county","Number of transactions","4th quarter",90
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","1st-4th quarters",14045868
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","1st quarter",4308665
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","2nd quarter",4093080
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","3rd quarter",2719781
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","4th quarter",2924342
"2007","Real estate objects total","Ida-Viru county","Number of transactions","1st-4th quarters",3978
"2007","Real estate objects total","Ida-Viru county","Number of transactions","1st quarter",1215
"2007","Real estate objects total","Ida-Viru county","Number of transactions","2nd quarter",944
"2007","Real estate objects total","Ida-Viru county","Number of transactions","3rd quarter",875
"2007","Real estate objects total","Ida-Viru county","Number of transactions","4th quarter",944
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","1st-4th quarters",174652628
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","1st quarter",40485464
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","2nd quarter",35208223
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","3rd quarter",39652846
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","4th quarter",59306095
"2007","Real estate objects total","Jõgeva county","Number of transactions","1st-4th quarters",1276
"2007","Real estate objects total","Jõgeva county","Number of transactions","1st quarter",334
"2007","Real estate objects total","Jõgeva county","Number of transactions","2nd quarter",366
"2007","Real estate objects total","Jõgeva county","Number of transactions","3rd quarter",257
"2007","Real estate objects total","Jõgeva county","Number of transactions","4th quarter",319
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","1st-4th quarters",25400171
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","1st quarter",5532092
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","2nd quarter",7669733
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","3rd quarter",6262978
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","4th quarter",5935367
"2007","Real estate objects total","Järva county","Number of transactions","1st-4th quarters",1287
"2007","Real estate objects total","Järva county","Number of transactions","1st quarter",315
"2007","Real estate objects total","Järva county","Number of transactions","2nd quarter",300
"2007","Real estate objects total","Järva county","Number of transactions","3rd quarter",334
"2007","Real estate objects total","Järva county","Number of transactions","4th quarter",338
"2007","Real estate objects total","Järva county","Value of transactions, euros","1st-4th quarters",39886846
"2007","Real estate objects total","Järva county","Value of transactions, euros","1st quarter",8201520
"2007","Real estate objects total","Järva county","Value of transactions, euros","2nd quarter",13230904
"2007","Real estate objects total","Järva county","Value of transactions, euros","3rd quarter",9567446
"2007","Real estate objects total","Järva county","Value of transactions, euros","4th quarter",8886975
"2007","Real estate objects total","Lääne county","Number of transactions","1st-4th quarters",1396
"2007","Real estate objects total","Lääne county","Number of transactions","1st quarter",287
"2007","Real estate objects total","Lääne county","Number of transactions","2nd quarter",427
"2007","Real estate objects total","Lääne county","Number of transactions","3rd quarter",373
"2007","Real estate objects total","Lääne county","Number of transactions","4th quarter",309
"2007","Real estate objects total","Lääne county","Value of transactions, euros","1st-4th quarters",58055914
"2007","Real estate objects total","Lääne county","Value of transactions, euros","1st quarter",11976093
"2007","Real estate objects total","Lääne county","Value of transactions, euros","2nd quarter",20551240
"2007","Real estate objects total","Lääne county","Value of transactions, euros","3rd quarter",13225931
"2007","Real estate objects total","Lääne county","Value of transactions, euros","4th quarter",12302650
"2007","Real estate objects total","Lääne-Viru county","Number of transactions","1st-4th quarters",2263
"2007","Real estate objects total","Lääne-Viru county","Number of transactions","1st quarter",613
"2007","Real estate objects total","Lääne-Viru county","Number of transactions","2nd quarter",553
"2007","Real estate objects total","Lääne-Viru county","Number of transactions","3rd quarter",506
"2007","Real estate objects total","Lääne-Viru county","Number of transactions","4th quarter",591
"2007","Real estate objects total","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",85158165
"2007","Real estate objects total","Lääne-Viru county","Value of transactions, euros","1st quarter",22425093
"2007","Real estate objects total","Lääne-Viru county","Value of transactions, euros","2nd quarter",20528326
"2007","Real estate objects total","Lääne-Viru county","Value of transactions, euros","3rd quarter",17745717
"2007","Real estate objects total","Lääne-Viru county","Value of transactions, euros","4th quarter",24459029
"2007","Real estate objects total","Põlva county","Number of transactions","1st-4th quarters",1064
"2007","Real estate objects total","Põlva county","Number of transactions","1st quarter",250
"2007","Real estate objects total","Põlva county","Number of transactions","2nd quarter",240
"2007","Real estate objects total","Põlva county","Number of transactions","3rd quarter",220
"2007","Real estate objects total","Põlva county","Number of transactions","4th quarter",354
"2007","Real estate objects total","Põlva county","Value of transactions, euros","1st-4th quarters",26240061
"2007","Real estate objects total","Põlva county","Value of transactions, euros","1st quarter",5930757
"2007","Real estate objects total","Põlva county","Value of transactions, euros","2nd quarter",6808766
"2007","Real estate objects total","Põlva county","Value of transactions, euros","3rd quarter",5286810
"2007","Real estate objects total","Põlva county","Value of transactions, euros","4th quarter",8213728
"2007","Real estate objects total","Pärnu county","Number of transactions","1st-4th quarters",3619
"2007","Real estate objects total","Pärnu county","Number of transactions","1st quarter",952
"2007","Real estate objects total","Pärnu county","Number of transactions","2nd quarter",1090
"2007","Real estate objects total","Pärnu county","Number of transactions","3rd quarter",892
"2007","Real estate objects total","Pärnu county","Number of transactions","4th quarter",685
"2007","Real estate objects total","Pärnu county","Value of transactions, euros","1st-4th quarters",242009817
"2007","Real estate objects total","Pärnu county","Value of transactions, euros","1st quarter",56028705
"2007","Real estate objects total","Pärnu county","Value of transactions, euros","2nd quarter",72924508
"2007","Real estate objects total","Pärnu county","Value of transactions, euros","3rd quarter",70219343
"2007","Real estate objects total","Pärnu county","Value of transactions, euros","4th quarter",42837261
"2007","Real estate objects total","Pärnu","Number of transactions","1st-4th quarters",1299
"2007","Real estate objects total","Pärnu","Number of transactions","1st quarter",361
"2007","Real estate objects total","Pärnu","Number of transactions","2nd quarter",421
"2007","Real estate objects total","Pärnu","Number of transactions","3rd quarter",285
"2007","Real estate objects total","Pärnu","Number of transactions","4th quarter",232
"2007","Real estate objects total","Pärnu","Value of transactions, euros","1st-4th quarters",142522056
"2007","Real estate objects total","Pärnu","Value of transactions, euros","1st quarter",31989396
"2007","Real estate objects total","Pärnu","Value of transactions, euros","2nd quarter",40949424
"2007","Real estate objects total","Pärnu","Value of transactions, euros","3rd quarter",42836909
"2007","Real estate objects total","Pärnu","Value of transactions, euros","4th quarter",26746327
"2007","Real estate objects total","Rapla county","Number of transactions","1st-4th quarters",1419
"2007","Real estate objects total","Rapla county","Number of transactions","1st quarter",363
"2007","Real estate objects total","Rapla county","Number of transactions","2nd quarter",386
"2007","Real estate objects total","Rapla county","Number of transactions","3rd quarter",338
"2007","Real estate objects total","Rapla county","Number of transactions","4th quarter",332
"2007","Real estate objects total","Rapla county","Value of transactions, euros","1st-4th quarters",54833091
"2007","Real estate objects total","Rapla county","Value of transactions, euros","1st quarter",15108153
"2007","Real estate objects total","Rapla county","Value of transactions, euros","2nd quarter",14411282
"2007","Real estate objects total","Rapla county","Value of transactions, euros","3rd quarter",12846106
"2007","Real estate objects total","Rapla county","Value of transactions, euros","4th quarter",12467550
"2007","Real estate objects total","Saare county","Number of transactions","1st-4th quarters",1684
"2007","Real estate objects total","Saare county","Number of transactions","1st quarter",422
"2007","Real estate objects total","Saare county","Number of transactions","2nd quarter",525
"2007","Real estate objects total","Saare county","Number of transactions","3rd quarter",389
"2007","Real estate objects total","Saare county","Number of transactions","4th quarter",348
"2007","Real estate objects total","Saare county","Value of transactions, euros","1st-4th quarters",61184489
"2007","Real estate objects total","Saare county","Value of transactions, euros","1st quarter",16645776
"2007","Real estate objects total","Saare county","Value of transactions, euros","2nd quarter",19327188
"2007","Real estate objects total","Saare county","Value of transactions, euros","3rd quarter",12674969
"2007","Real estate objects total","Saare county","Value of transactions, euros","4th quarter",12536557
"2007","Real estate objects total","Tartu county","Number of transactions","1st-4th quarters",5106
"2007","Real estate objects total","Tartu county","Number of transactions","1st quarter",1451
"2007","Real estate objects total","Tartu county","Number of transactions","2nd quarter",1324
"2007","Real estate objects total","Tartu county","Number of transactions","3rd quarter",1276
"2007","Real estate objects total","Tartu county","Number of transactions","4th quarter",1055
"2007","Real estate objects total","Tartu county","Value of transactions, euros","1st-4th quarters",384154783
"2007","Real estate objects total","Tartu county","Value of transactions, euros","1st quarter",121444745
"2007","Real estate objects total","Tartu county","Value of transactions, euros","2nd quarter",107792391
"2007","Real estate objects total","Tartu county","Value of transactions, euros","3rd quarter",80937153
"2007","Real estate objects total","Tartu county","Value of transactions, euros","4th quarter",73980494
"2007","Real estate objects total","Tartu","Number of transactions","1st-4th quarters",2785
"2007","Real estate objects total","Tartu","Number of transactions","1st quarter",762
"2007","Real estate objects total","Tartu","Number of transactions","2nd quarter",690
"2007","Real estate objects total","Tartu","Number of transactions","3rd quarter",745
"2007","Real estate objects total","Tartu","Number of transactions","4th quarter",588
"2007","Real estate objects total","Tartu","Value of transactions, euros","1st-4th quarters",251940943
"2007","Real estate objects total","Tartu","Value of transactions, euros","1st quarter",71684645
"2007","Real estate objects total","Tartu","Value of transactions, euros","2nd quarter",72843305
"2007","Real estate objects total","Tartu","Value of transactions, euros","3rd quarter",56076987
"2007","Real estate objects total","Tartu","Value of transactions, euros","4th quarter",51336007
"2007","Real estate objects total","Valga county","Number of transactions","1st-4th quarters",1173
"2007","Real estate objects total","Valga county","Number of transactions","1st quarter",256
"2007","Real estate objects total","Valga county","Number of transactions","2nd quarter",291
"2007","Real estate objects total","Valga county","Number of transactions","3rd quarter",360
"2007","Real estate objects total","Valga county","Number of transactions","4th quarter",266
"2007","Real estate objects total","Valga county","Value of transactions, euros","1st-4th quarters",39895871
"2007","Real estate objects total","Valga county","Value of transactions, euros","1st quarter",9283058
"2007","Real estate objects total","Valga county","Value of transactions, euros","2nd quarter",8714204
"2007","Real estate objects total","Valga county","Value of transactions, euros","3rd quarter",12429877
"2007","Real estate objects total","Valga county","Value of transactions, euros","4th quarter",9468732
"2007","Real estate objects total","Viljandi county","Number of transactions","1st-4th quarters",1535
"2007","Real estate objects total","Viljandi county","Number of transactions","1st quarter",339
"2007","Real estate objects total","Viljandi county","Number of transactions","2nd quarter",378
"2007","Real estate objects total","Viljandi county","Number of transactions","3rd quarter",401
"2007","Real estate objects total","Viljandi county","Number of transactions","4th quarter",417
"2007","Real estate objects total","Viljandi county","Value of transactions, euros","1st-4th quarters",56457178
"2007","Real estate objects total","Viljandi county","Value of transactions, euros","1st quarter",11137921
"2007","Real estate objects total","Viljandi county","Value of transactions, euros","2nd quarter",12093770
"2007","Real estate objects total","Viljandi county","Value of transactions, euros","3rd quarter",17486128
"2007","Real estate objects total","Viljandi county","Value of transactions, euros","4th quarter",15739358
"2007","Real estate objects total","Võru county","Number of transactions","1st-4th quarters",1197
"2007","Real estate objects total","Võru county","Number of transactions","1st quarter",291
"2007","Real estate objects total","Võru county","Number of transactions","2nd quarter",320
"2007","Real estate objects total","Võru county","Number of transactions","3rd quarter",322
"2007","Real estate objects total","Võru county","Number of transactions","4th quarter",264
"2007","Real estate objects total","Võru county","Value of transactions, euros","1st-4th quarters",34239354
"2007","Real estate objects total","Võru county","Value of transactions, euros","1st quarter",9111586
"2007","Real estate objects total","Võru county","Value of transactions, euros","2nd quarter",8848676
"2007","Real estate objects total","Võru county","Value of transactions, euros","3rd quarter",8936130
"2007","Real estate objects total","Võru county","Value of transactions, euros","4th quarter",7342963
"2007","Unimproved registered immovables","Whole country","Number of transactions","1st-4th quarters",11853
"2007","Unimproved registered immovables","Whole country","Number of transactions","1st quarter",3160
"2007","Unimproved registered immovables","Whole country","Number of transactions","2nd quarter",3126
"2007","Unimproved registered immovables","Whole country","Number of transactions","3rd quarter",2578
"2007","Unimproved registered immovables","Whole country","Number of transactions","4th quarter",2989
"2007","Unimproved registered immovables","Whole country","Value of transactions, euros","1st-4th quarters",647396047
"2007","Unimproved registered immovables","Whole country","Value of transactions, euros","1st quarter",192572880
"2007","Unimproved registered immovables","Whole country","Value of transactions, euros","2nd quarter",184893818
"2007","Unimproved registered immovables","Whole country","Value of transactions, euros","3rd quarter",130014686
"2007","Unimproved registered immovables","Whole country","Value of transactions, euros","4th quarter",139914662
"2007","Unimproved registered immovables","Harju county","Number of transactions","1st-4th quarters",2632
"2007","Unimproved registered immovables","Harju county","Number of transactions","1st quarter",767
"2007","Unimproved registered immovables","Harju county","Number of transactions","2nd quarter",810
"2007","Unimproved registered immovables","Harju county","Number of transactions","3rd quarter",515
"2007","Unimproved registered immovables","Harju county","Number of transactions","4th quarter",540
"2007","Unimproved registered immovables","Harju county","Value of transactions, euros","1st-4th quarters",347986533
"2007","Unimproved registered immovables","Harju county","Value of transactions, euros","1st quarter",112294949
"2007","Unimproved registered immovables","Harju county","Value of transactions, euros","2nd quarter",103228138
"2007","Unimproved registered immovables","Harju county","Value of transactions, euros","3rd quarter",66080724
"2007","Unimproved registered immovables","Harju county","Value of transactions, euros","4th quarter",66382722
"2007","Unimproved registered immovables","..Tallinn","Number of transactions","1st-4th quarters",222
"2007","Unimproved registered immovables","..Tallinn","Number of transactions","1st quarter",45
"2007","Unimproved registered immovables","..Tallinn","Number of transactions","2nd quarter",65
"2007","Unimproved registered immovables","..Tallinn","Number of transactions","3rd quarter",60
"2007","Unimproved registered immovables","..Tallinn","Number of transactions","4th quarter",52
"2007","Unimproved registered immovables","..Tallinn","Value of transactions, euros","1st-4th quarters",76329313
"2007","Unimproved registered immovables","..Tallinn","Value of transactions, euros","1st quarter",19926049
"2007","Unimproved registered immovables","..Tallinn","Value of transactions, euros","2nd quarter",23521288
"2007","Unimproved registered immovables","..Tallinn","Value of transactions, euros","3rd quarter",27808877
"2007","Unimproved registered immovables","..Tallinn","Value of transactions, euros","4th quarter",5073098
"2007","Unimproved registered immovables","Hiiu county","Number of transactions","1st-4th quarters",338
"2007","Unimproved registered immovables","Hiiu county","Number of transactions","1st quarter",168
"2007","Unimproved registered immovables","Hiiu county","Number of transactions","2nd quarter",63
"2007","Unimproved registered immovables","Hiiu county","Number of transactions","3rd quarter",63
"2007","Unimproved registered immovables","Hiiu county","Number of transactions","4th quarter",44
"2007","Unimproved registered immovables","Hiiu county","Value of transactions, euros","1st-4th quarters",4284039
"2007","Unimproved registered immovables","Hiiu county","Value of transactions, euros","1st quarter",1583811
"2007","Unimproved registered immovables","Hiiu county","Value of transactions, euros","2nd quarter",1282702
"2007","Unimproved registered immovables","Hiiu county","Value of transactions, euros","3rd quarter",928350
"2007","Unimproved registered immovables","Hiiu county","Value of transactions, euros","4th quarter",489176
"2007","Unimproved registered immovables","Ida-Viru county","Number of transactions","1st-4th quarters",706
"2007","Unimproved registered immovables","Ida-Viru county","Number of transactions","1st quarter",157
"2007","Unimproved registered immovables","Ida-Viru county","Number of transactions","2nd quarter",143
"2007","Unimproved registered immovables","Ida-Viru county","Number of transactions","3rd quarter",140
"2007","Unimproved registered immovables","Ida-Viru county","Number of transactions","4th quarter",266
"2007","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","1st-4th quarters",26124411
"2007","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","1st quarter",5066894
"2007","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","2nd quarter",6201785
"2007","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","3rd quarter",5853645
"2007","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","4th quarter",9002087
"2007","Unimproved registered immovables","Jõgeva county","Number of transactions","1st-4th quarters",567
"2007","Unimproved registered immovables","Jõgeva county","Number of transactions","1st quarter",152
"2007","Unimproved registered immovables","Jõgeva county","Number of transactions","2nd quarter",151
"2007","Unimproved registered immovables","Jõgeva county","Number of transactions","3rd quarter",98
"2007","Unimproved registered immovables","Jõgeva county","Number of transactions","4th quarter",166
"2007","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","1st-4th quarters",9037723
"2007","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","1st quarter",1719645
"2007","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","2nd quarter",2651493
"2007","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","3rd quarter",1860906
"2007","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","4th quarter",2805680
"2007","Unimproved registered immovables","Järva county","Number of transactions","1st-4th quarters",510
"2007","Unimproved registered immovables","Järva county","Number of transactions","1st quarter",112
"2007","Unimproved registered immovables","Järva county","Number of transactions","2nd quarter",96
"2007","Unimproved registered immovables","Järva county","Number of transactions","3rd quarter",137
"2007","Unimproved registered immovables","Järva county","Number of transactions","4th quarter",165
"2007","Unimproved registered immovables","Järva county","Value of transactions, euros","1st-4th quarters",9906462
"2007","Unimproved registered immovables","Järva county","Value of transactions, euros","1st quarter",1519296
"2007","Unimproved registered immovables","Järva county","Value of transactions, euros","2nd quarter",2993189
"2007","Unimproved registered immovables","Järva county","Value of transactions, euros","3rd quarter",2953508
"2007","Unimproved registered immovables","Järva county","Value of transactions, euros","4th quarter",2440469
"2007","Unimproved registered immovables","Lääne county","Number of transactions","1st-4th quarters",633
"2007","Unimproved registered immovables","Lääne county","Number of transactions","1st quarter",103
"2007","Unimproved registered immovables","Lääne county","Number of transactions","2nd quarter",217
"2007","Unimproved registered immovables","Lääne county","Number of transactions","3rd quarter",176
"2007","Unimproved registered immovables","Lääne county","Number of transactions","4th quarter",137
"2007","Unimproved registered immovables","Lääne county","Value of transactions, euros","1st-4th quarters",21240138
"2007","Unimproved registered immovables","Lääne county","Value of transactions, euros","1st quarter",3402745
"2007","Unimproved registered immovables","Lääne county","Value of transactions, euros","2nd quarter",6867708
"2007","Unimproved registered immovables","Lääne county","Value of transactions, euros","3rd quarter",4909898
"2007","Unimproved registered immovables","Lääne county","Value of transactions, euros","4th quarter",6059787
"2007","Unimproved registered immovables","Lääne-Viru county","Number of transactions","1st-4th quarters",816
"2007","Unimproved registered immovables","Lääne-Viru county","Number of transactions","1st quarter",278
"2007","Unimproved registered immovables","Lääne-Viru county","Number of transactions","2nd quarter",163
"2007","Unimproved registered immovables","Lääne-Viru county","Number of transactions","3rd quarter",114
"2007","Unimproved registered immovables","Lääne-Viru county","Number of transactions","4th quarter",261
"2007","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",18648737
"2007","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","1st quarter",6057944
"2007","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","2nd quarter",4499392
"2007","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","3rd quarter",2685375
"2007","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","4th quarter",5406026
"2007","Unimproved registered immovables","Põlva county","Number of transactions","1st-4th quarters",527
"2007","Unimproved registered immovables","Põlva county","Number of transactions","1st quarter",118
"2007","Unimproved registered immovables","Põlva county","Number of transactions","2nd quarter",95
"2007","Unimproved registered immovables","Põlva county","Number of transactions","3rd quarter",89
"2007","Unimproved registered immovables","Põlva county","Number of transactions","4th quarter",225
"2007","Unimproved registered immovables","Põlva county","Value of transactions, euros","1st-4th quarters",11552155
"2007","Unimproved registered immovables","Põlva county","Value of transactions, euros","1st quarter",1871267
"2007","Unimproved registered immovables","Põlva county","Value of transactions, euros","2nd quarter",2505446
"2007","Unimproved registered immovables","Põlva county","Value of transactions, euros","3rd quarter",2004973
"2007","Unimproved registered immovables","Põlva county","Value of transactions, euros","4th quarter",5170469
"2007","Unimproved registered immovables","Pärnu county","Number of transactions","1st-4th quarters",1146
"2007","Unimproved registered immovables","Pärnu county","Number of transactions","1st quarter",303
"2007","Unimproved registered immovables","Pärnu county","Number of transactions","2nd quarter",307
"2007","Unimproved registered immovables","Pärnu county","Number of transactions","3rd quarter",280
"2007","Unimproved registered immovables","Pärnu county","Number of transactions","4th quarter",256
"2007","Unimproved registered immovables","Pärnu county","Value of transactions, euros","1st-4th quarters",56587571
"2007","Unimproved registered immovables","Pärnu county","Value of transactions, euros","1st quarter",13778845
"2007","Unimproved registered immovables","Pärnu county","Value of transactions, euros","2nd quarter",19207496
"2007","Unimproved registered immovables","Pärnu county","Value of transactions, euros","3rd quarter",15969963
"2007","Unimproved registered immovables","Pärnu county","Value of transactions, euros","4th quarter",7631268
"2007","Unimproved registered immovables","Pärnu","Number of transactions","1st-4th quarters",38
"2007","Unimproved registered immovables","Pärnu","Number of transactions","1st quarter",14
"2007","Unimproved registered immovables","Pärnu","Number of transactions","2nd quarter",16
"2007","Unimproved registered immovables","Pärnu","Number of transactions","3rd quarter",4
"2007","Unimproved registered immovables","Pärnu","Number of transactions","4th quarter",4
"2007","Unimproved registered immovables","Pärnu","Value of transactions, euros","1st-4th quarters",16854323
"2007","Unimproved registered immovables","Pärnu","Value of transactions, euros","1st quarter",2744318
"2007","Unimproved registered immovables","Pärnu","Value of transactions, euros","2nd quarter",8010226
"2007","Unimproved registered immovables","Pärnu","Value of transactions, euros","3rd quarter",NA
"2007","Unimproved registered immovables","Pärnu","Value of transactions, euros","4th quarter",NA
"2007","Unimproved registered immovables","Rapla county","Number of transactions","1st-4th quarters",574
"2007","Unimproved registered immovables","Rapla county","Number of transactions","1st quarter",145
"2007","Unimproved registered immovables","Rapla county","Number of transactions","2nd quarter",158
"2007","Unimproved registered immovables","Rapla county","Number of transactions","3rd quarter",132
"2007","Unimproved registered immovables","Rapla county","Number of transactions","4th quarter",139
"2007","Unimproved registered immovables","Rapla county","Value of transactions, euros","1st-4th quarters",18921932
"2007","Unimproved registered immovables","Rapla county","Value of transactions, euros","1st quarter",5912605
"2007","Unimproved registered immovables","Rapla county","Value of transactions, euros","2nd quarter",4494531
"2007","Unimproved registered immovables","Rapla county","Value of transactions, euros","3rd quarter",3555082
"2007","Unimproved registered immovables","Rapla county","Value of transactions, euros","4th quarter",4959714
"2007","Unimproved registered immovables","Saare county","Number of transactions","1st-4th quarters",1008
"2007","Unimproved registered immovables","Saare county","Number of transactions","1st quarter",244
"2007","Unimproved registered immovables","Saare county","Number of transactions","2nd quarter",328
"2007","Unimproved registered immovables","Saare county","Number of transactions","3rd quarter",229
"2007","Unimproved registered immovables","Saare county","Number of transactions","4th quarter",207
"2007","Unimproved registered immovables","Saare county","Value of transactions, euros","1st-4th quarters",25270921
"2007","Unimproved registered immovables","Saare county","Value of transactions, euros","1st quarter",5976420
"2007","Unimproved registered immovables","Saare county","Value of transactions, euros","2nd quarter",9006944
"2007","Unimproved registered immovables","Saare county","Value of transactions, euros","3rd quarter",4585968
"2007","Unimproved registered immovables","Saare county","Value of transactions, euros","4th quarter",5701590
"2007","Unimproved registered immovables","Tartu county","Number of transactions","1st-4th quarters",1035
"2007","Unimproved registered immovables","Tartu county","Number of transactions","1st quarter",323
"2007","Unimproved registered immovables","Tartu county","Number of transactions","2nd quarter",294
"2007","Unimproved registered immovables","Tartu county","Number of transactions","3rd quarter",217
"2007","Unimproved registered immovables","Tartu county","Number of transactions","4th quarter",201
"2007","Unimproved registered immovables","Tartu county","Value of transactions, euros","1st-4th quarters",58886162
"2007","Unimproved registered immovables","Tartu county","Value of transactions, euros","1st quarter",25886884
"2007","Unimproved registered immovables","Tartu county","Value of transactions, euros","2nd quarter",15124824
"2007","Unimproved registered immovables","Tartu county","Value of transactions, euros","3rd quarter",6188700
"2007","Unimproved registered immovables","Tartu county","Value of transactions, euros","4th quarter",11685754
"2007","Unimproved registered immovables","Tartu","Number of transactions","1st-4th quarters",87
"2007","Unimproved registered immovables","Tartu","Number of transactions","1st quarter",24
"2007","Unimproved registered immovables","Tartu","Number of transactions","2nd quarter",32
"2007","Unimproved registered immovables","Tartu","Number of transactions","3rd quarter",12
"2007","Unimproved registered immovables","Tartu","Number of transactions","4th quarter",19
"2007","Unimproved registered immovables","Tartu","Value of transactions, euros","1st-4th quarters",16357136
"2007","Unimproved registered immovables","Tartu","Value of transactions, euros","1st quarter",6880611
"2007","Unimproved registered immovables","Tartu","Value of transactions, euros","2nd quarter",2962178
"2007","Unimproved registered immovables","Tartu","Value of transactions, euros","3rd quarter",669308
"2007","Unimproved registered immovables","Tartu","Value of transactions, euros","4th quarter",5845040
"2007","Unimproved registered immovables","Valga county","Number of transactions","1st-4th quarters",396
"2007","Unimproved registered immovables","Valga county","Number of transactions","1st quarter",81
"2007","Unimproved registered immovables","Valga county","Number of transactions","2nd quarter",78
"2007","Unimproved registered immovables","Valga county","Number of transactions","3rd quarter",139
"2007","Unimproved registered immovables","Valga county","Number of transactions","4th quarter",98
"2007","Unimproved registered immovables","Valga county","Value of transactions, euros","1st-4th quarters",13680746
"2007","Unimproved registered immovables","Valga county","Value of transactions, euros","1st quarter",3543885
"2007","Unimproved registered immovables","Valga county","Value of transactions, euros","2nd quarter",2273893
"2007","Unimproved registered immovables","Valga county","Value of transactions, euros","3rd quarter",5410012
"2007","Unimproved registered immovables","Valga county","Value of transactions, euros","4th quarter",2452955
"2007","Unimproved registered immovables","Viljandi county","Number of transactions","1st-4th quarters",504
"2007","Unimproved registered immovables","Viljandi county","Number of transactions","1st quarter",95
"2007","Unimproved registered immovables","Viljandi county","Number of transactions","2nd quarter",112
"2007","Unimproved registered immovables","Viljandi county","Number of transactions","3rd quarter",129
