"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Hiiu county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2001","Ascending total","Hiiu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2001","Ascending total","Hiiu county","Purchase-sale contracts of movable assets**","Number of contracts",91
"2001","Ascending total","Hiiu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",482.6
"2001","Ascending total","Hiiu county","..purchase-sale contracts of residential buildings**","Number of contracts",18
"2001","Ascending total","Hiiu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",80.9
"2001","Ascending total","Hiiu county","..purchase-sale contracts of dwellings**","Number of contracts",44
"2001","Ascending total","Hiiu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",195.6
"2001","Ascending total","Hiiu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",29
"2001","Ascending total","Hiiu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",206.1
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts total","Number of contracts",4450
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts total","Value of contracts, thousand euros",17940
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts of real estate","Number of contracts",1139
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",6008.5
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",243
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",2122.2
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",270
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",2280.1
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of ownership of dwellings","Number of contracts",551
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",704.2
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",75
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",902
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts of right of superficies","Number of contracts",5
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",167.8
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts of movable assets**","Number of contracts",3306
"2001","Ascending total","Ida-Viru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",11763.6
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of residential buildings**","Number of contracts",299
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",1132.3
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of dwellings**","Number of contracts",2578
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",5241.8
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",429
"2001","Ascending total","Ida-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",5389.5
"2001","Ascending total","Jõgeva county","Purchase-sale contracts total","Number of contracts",881
"2001","Ascending total","Jõgeva county","Purchase-sale contracts total","Value of contracts, thousand euros",3930.3
"2001","Ascending total","Jõgeva county","Purchase-sale contracts of real estate","Number of contracts",556
"2001","Ascending total","Jõgeva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",3218.1
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",267
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1993.6
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",84
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",524
