"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2003","Ascending total","Pärnu county","Purchase-sale contracts of movable assets**","Number of contracts",530
"2003","Ascending total","Pärnu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",8757.4
"2003","Ascending total","Pärnu county","..purchase-sale contracts of residential buildings**","Number of contracts",182
"2003","Ascending total","Pärnu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",2806.9
"2003","Ascending total","Pärnu county","..purchase-sale contracts of dwellings**","Number of contracts",273
"2003","Ascending total","Pärnu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",3232.6
"2003","Ascending total","Pärnu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",75
"2003","Ascending total","Pärnu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",2717.8
"2003","Ascending total","Rapla county","Purchase-sale contracts total","Number of contracts",1586
"2003","Ascending total","Rapla county","Purchase-sale contracts total","Value of contracts, thousand euros",19159.6
"2003","Ascending total","Rapla county","Purchase-sale contracts of real estate","Number of contracts",1176
"2003","Ascending total","Rapla county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",15951.1
"2003","Ascending total","Rapla county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",446
"2003","Ascending total","Rapla county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",5480
"2003","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",265
"2003","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",4611.4
"2003","Ascending total","Rapla county","..purchase-sale contracts of ownership of dwellings","Number of contracts",314
"2003","Ascending total","Rapla county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",4284.8
"2003","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",151
"2003","Ascending total","Rapla county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",1575
"2003","Ascending total","Rapla county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","Ascending total","Rapla county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","Ascending total","Rapla county","Purchase-sale contracts of movable assets**","Number of contracts",410
"2003","Ascending total","Rapla county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",3208.5
"2003","Ascending total","Rapla county","..purchase-sale contracts of residential buildings**","Number of contracts",125
"2003","Ascending total","Rapla county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",1156.5
"2003","Ascending total","Rapla county","..purchase-sale contracts of dwellings**","Number of contracts",206
"2003","Ascending total","Rapla county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",1563.9
"2003","Ascending total","Rapla county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",79
"2003","Ascending total","Rapla county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",488.2
"2003","Ascending total","Saare county","Purchase-sale contracts total","Number of contracts",750
"2003","Ascending total","Saare county","Purchase-sale contracts total","Value of contracts, thousand euros",10049.7
"2003","Ascending total","Saare county","Purchase-sale contracts of real estate","Number of contracts",654
"2003","Ascending total","Saare county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",9136.9
"2003","Ascending total","Saare county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",427
"2003","Ascending total","Saare county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",4055.1
"2003","Ascending total","Saare county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",64
"2003","Ascending total","Saare county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1878.6
"2003","Ascending total","Saare county","..purchase-sale contracts of ownership of dwellings","Number of contracts",146
"2003","Ascending total","Saare county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",2381.6
"2003","Ascending total","Saare county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",17
"2003","Ascending total","Saare county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",821.7
"2003","Ascending total","Saare county","Purchase-sale contracts of right of superficies","Number of contracts",2
"2003","Ascending total","Saare county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",88.8
"2003","Ascending total","Saare county","Purchase-sale contracts of movable assets**","Number of contracts",94
"2003","Ascending total","Saare county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",823.9
"2003","Ascending total","Saare county","..purchase-sale contracts of residential buildings**","Number of contracts",28
"2003","Ascending total","Saare county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",261.8
"2003","Ascending total","Saare county","..purchase-sale contracts of dwellings**","Number of contracts",37
"2003","Ascending total","Saare county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",242.5
"2003","Ascending total","Saare county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",29
"2003","Ascending total","Saare county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",319.6
"2003","Ascending total","Tartu county","Purchase-sale contracts total","Number of contracts",4727
"2003","Ascending total","Tartu county","Purchase-sale contracts total","Value of contracts, thousand euros",101544.1
"2003","Ascending total","Tartu county","Purchase-sale contracts of real estate","Number of contracts",3986
"2003","Ascending total","Tartu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",91164
"2003","Ascending total","Tartu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",739
"2003","Ascending total","Tartu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",10437.1
"2003","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",757
"2003","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",22531.9
"2003","Ascending total","Tartu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",2338
"2003","Ascending total","Tartu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",46465.2
"2003","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",152
"2003","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",11729.8
"2003","Ascending total","Tartu county","Purchase-sale contracts of right of superficies","Number of contracts",7
"2003","Ascending total","Tartu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",584
"2003","Ascending total","Tartu county","Purchase-sale contracts of movable assets**","Number of contracts",734
"2003","Ascending total","Tartu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",9796.2
"2003","Ascending total","Tartu county","..purchase-sale contracts of residential buildings**","Number of contracts",267
"2003","Ascending total","Tartu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",3492.1
"2003","Ascending total","Tartu county","..purchase-sale contracts of dwellings**","Number of contracts",337
"2003","Ascending total","Tartu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",2781
"2003","Ascending total","Tartu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",130
"2003","Ascending total","Tartu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",3523.1
"2003","Ascending total","Valga county","Purchase-sale contracts total","Number of contracts",1460
"2003","Ascending total","Valga county","Purchase-sale contracts total","Value of contracts, thousand euros",15644.2
"2003","Ascending total","Valga county","Purchase-sale contracts of real estate","Number of contracts",1101
"2003","Ascending total","Valga county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",13321.2
"2003","Ascending total","Valga county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",350
"2003","Ascending total","Valga county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",6266
"2003","Ascending total","Valga county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",304
"2003","Ascending total","Valga county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",4528.9
"2003","Ascending total","Valga county","..purchase-sale contracts of ownership of dwellings","Number of contracts",419
"2003","Ascending total","Valga county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1873.2
"2003","Ascending total","Valga county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",28
"2003","Ascending total","Valga county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",653.1
"2003","Ascending total","Valga county","Purchase-sale contracts of right of superficies","Number of contracts",1
"2003","Ascending total","Valga county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",1.9
"2003","Ascending total","Valga county","Purchase-sale contracts of movable assets**","Number of contracts",358
"2003","Ascending total","Valga county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",2321
"2003","Ascending total","Valga county","..purchase-sale contracts of residential buildings**","Number of contracts",95
"2003","Ascending total","Valga county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",549.6
"2003","Ascending total","Valga county","..purchase-sale contracts of dwellings**","Number of contracts",182
"2003","Ascending total","Valga county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",237.1
"2003","Ascending total","Valga county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",81
"2003","Ascending total","Valga county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",1534.3
"2003","Ascending total","Viljandi county","Purchase-sale contracts total","Number of contracts",1601
"2003","Ascending total","Viljandi county","Purchase-sale contracts total","Value of contracts, thousand euros",18714
"2003","Ascending total","Viljandi county","Purchase-sale contracts of real estate","Number of contracts",1267
"2003","Ascending total","Viljandi county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",16280.6
"2003","Ascending total","Viljandi county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",348
"2003","Ascending total","Viljandi county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",5053.6
"2003","Ascending total","Viljandi county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",364
"2003","Ascending total","Viljandi county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",5432.5
"2003","Ascending total","Viljandi county","..purchase-sale contracts of ownership of dwellings","Number of contracts",507
"2003","Ascending total","Viljandi county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",4114.2
"2003","Ascending total","Viljandi county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",48
"2003","Ascending total","Viljandi county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",1680.4
"2003","Ascending total","Viljandi county","Purchase-sale contracts of right of superficies","Number of contracts",8
"2003","Ascending total","Viljandi county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",35.2
"2003","Ascending total","Viljandi county","Purchase-sale contracts of movable assets**","Number of contracts",326
"2003","Ascending total","Viljandi county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",2398.3
"2003","Ascending total","Viljandi county","..purchase-sale contracts of residential buildings**","Number of contracts",136
"2003","Ascending total","Viljandi county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",720.7
"2003","Ascending total","Viljandi county","..purchase-sale contracts of dwellings**","Number of contracts",131
"2003","Ascending total","Viljandi county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",368.5
"2003","Ascending total","Viljandi county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",59
"2003","Ascending total","Viljandi county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",1309.1
"2003","Ascending total","Võru county","Purchase-sale contracts total","Number of contracts",1552
"2003","Ascending total","Võru county","Purchase-sale contracts total","Value of contracts, thousand euros",6024.6
"2003","Ascending total","Võru county","Purchase-sale contracts of real estate","Number of contracts",1156
"2003","Ascending total","Võru county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",5265.6
"2003","Ascending total","Võru county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",505
"2003","Ascending total","Võru county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",2024.1
"2003","Ascending total","Võru county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",320
"2003","Ascending total","Võru county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1558.2
"2003","Ascending total","Võru county","..purchase-sale contracts of ownership of dwellings","Number of contracts",282
"2003","Ascending total","Võru county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1341.1
"2003","Ascending total","Võru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",49
"2003","Ascending total","Võru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",342.2
"2003","Ascending total","Võru county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","Ascending total","Võru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","Ascending total","Võru county","Purchase-sale contracts of movable assets**","Number of contracts",396
"2003","Ascending total","Võru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",759
"2003","Ascending total","Võru county","..purchase-sale contracts of residential buildings**","Number of contracts",152
"2003","Ascending total","Võru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",248.6
"2003","Ascending total","Võru county","..purchase-sale contracts of dwellings**","Number of contracts",180
"2003","Ascending total","Võru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",313
"2003","Ascending total","Võru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",64
"2003","Ascending total","Võru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",197.3
"2003","1st quarter","Whole country","Purchase-sale contracts total","Number of contracts",9789
"2003","1st quarter","Whole country","Purchase-sale contracts total","Value of contracts, thousand euros",277450.2
"2003","1st quarter","Whole country","Purchase-sale contracts of real estate","Number of contracts",6741
"2003","1st quarter","Whole country","Purchase-sale contracts of real estate","Value of contracts, thousand euros",220471
"2003","1st quarter","Whole country","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",2288
"2003","1st quarter","Whole country","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",79166.6
"2003","1st quarter","Whole country","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",1171
"2003","1st quarter","Whole country","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",39557
"2003","1st quarter","Whole country","..purchase-sale contracts of ownership of dwellings","Number of contracts",2979
"2003","1st quarter","Whole country","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",74508.9
"2003","1st quarter","Whole country","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",303
"2003","1st quarter","Whole country","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",27238.6
"2003","1st quarter","Whole country","Purchase-sale contracts of right of superficies","Number of contracts",35
"2003","1st quarter","Whole country","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",5633.9
"2003","1st quarter","Whole country","Purchase-sale contracts of movable assets**","Number of contracts",3013
"2003","1st quarter","Whole country","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",51345.2
"2003","1st quarter","Whole country","..purchase-sale contracts of residential buildings**","Number of contracts",559
"2003","1st quarter","Whole country","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",7886.4
"2003","1st quarter","Whole country","..purchase-sale contracts of dwellings**","Number of contracts",2096
"2003","1st quarter","Whole country","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",32231.5
"2003","1st quarter","Whole country","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",358
"2003","1st quarter","Whole country","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",11227.2
"2003","1st quarter","Harju county","Purchase-sale contracts total","Number of contracts",4716
"2003","1st quarter","Harju county","Purchase-sale contracts total","Value of contracts, thousand euros",210561.2
"2003","1st quarter","Harju county","Purchase-sale contracts of real estate","Number of contracts",3043
"2003","1st quarter","Harju county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",164516.3
"2003","1st quarter","Harju county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",1007
"2003","1st quarter","Harju county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",61635.8
"2003","1st quarter","Harju county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",425
"2003","1st quarter","Harju county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",24666.6
"2003","1st quarter","Harju county","..purchase-sale contracts of ownership of dwellings","Number of contracts",1465
"2003","1st quarter","Harju county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",58003.5
"2003","1st quarter","Harju county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",146
"2003","1st quarter","Harju county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",20210.4
"2003","1st quarter","Harju county","Purchase-sale contracts of right of superficies","Number of contracts",32
"2003","1st quarter","Harju county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",4957.2
"2003","1st quarter","Harju county","Purchase-sale contracts of movable assets**","Number of contracts",1641
"2003","1st quarter","Harju county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",41087.6
"2003","1st quarter","Harju county","..purchase-sale contracts of residential buildings**","Number of contracts",246
"2003","1st quarter","Harju county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",5560.2
"2003","1st quarter","Harju county","..purchase-sale contracts of dwellings**","Number of contracts",1266
"2003","1st quarter","Harju county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",28869
"2003","1st quarter","Harju county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",129
"2003","1st quarter","Harju county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",6658.4
"2003","1st quarter","Hiiu county","Purchase-sale contracts total","Number of contracts",71
"2003","1st quarter","Hiiu county","Purchase-sale contracts total","Value of contracts, thousand euros",366.9
"2003","1st quarter","Hiiu county","Purchase-sale contracts of real estate","Number of contracts",63
"2003","1st quarter","Hiiu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",355.7
"2003","1st quarter","Hiiu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",43
"2003","1st quarter","Hiiu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",223
"2003","1st quarter","Hiiu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",5
"2003","1st quarter","Hiiu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",33.4
"2003","1st quarter","Hiiu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",13
"2003","1st quarter","Hiiu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",73.6
"2003","1st quarter","Hiiu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",2
"2003","1st quarter","Hiiu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",25.8
"2003","1st quarter","Hiiu county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","1st quarter","Hiiu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","1st quarter","Hiiu county","Purchase-sale contracts of movable assets**","Number of contracts",8
"2003","1st quarter","Hiiu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",11.1
"2003","1st quarter","Hiiu county","..purchase-sale contracts of residential buildings**","Number of contracts",1
"2003","1st quarter","Hiiu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",0.3
"2003","1st quarter","Hiiu county","..purchase-sale contracts of dwellings**","Number of contracts",3
"2003","1st quarter","Hiiu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",8.3
"2003","1st quarter","Hiiu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",4
"2003","1st quarter","Hiiu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",2.5
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts total","Number of contracts",920
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts total","Value of contracts, thousand euros",5159.7
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts of real estate","Number of contracts",489
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",2841.2
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",80
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",945.4
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",92
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",435.5
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of ownership of dwellings","Number of contracts",285
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",522.5
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",32
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",937.8
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts of movable assets**","Number of contracts",431
"2003","1st quarter","Ida-Viru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",2318.5
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of residential buildings**","Number of contracts",61
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",372.2
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of dwellings**","Number of contracts",322
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",903.3
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",48
"2003","1st quarter","Ida-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",1043
"2003","1st quarter","Jõgeva county","Purchase-sale contracts total","Number of contracts",192
"2003","1st quarter","Jõgeva county","Purchase-sale contracts total","Value of contracts, thousand euros",1244.9
"2003","1st quarter","Jõgeva county","Purchase-sale contracts of real estate","Number of contracts",146
"2003","1st quarter","Jõgeva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",1138.2
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",88
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",881.1
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",16
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",102.3
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of ownership of dwellings","Number of contracts",39
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",89.2
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",3
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",65.5
"2003","1st quarter","Jõgeva county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","1st quarter","Jõgeva county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","1st quarter","Jõgeva county","Purchase-sale contracts of movable assets**","Number of contracts",46
"2003","1st quarter","Jõgeva county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",106.7
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of residential buildings**","Number of contracts",14
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",57.9
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of dwellings**","Number of contracts",23
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",24.5
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",9
"2003","1st quarter","Jõgeva county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",24.4
"2003","1st quarter","Järva county","Purchase-sale contracts total","Number of contracts",219
"2003","1st quarter","Järva county","Purchase-sale contracts total","Value of contracts, thousand euros",1078.3
"2003","1st quarter","Järva county","Purchase-sale contracts of real estate","Number of contracts",144
"2003","1st quarter","Järva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",955
"2003","1st quarter","Järva county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",52
"2003","1st quarter","Järva county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",451
"2003","1st quarter","Järva county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",21
"2003","1st quarter","Järva county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",267.4
"2003","1st quarter","Järva county","..purchase-sale contracts of ownership of dwellings","Number of contracts",63
"2003","1st quarter","Järva county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",199.5
"2003","1st quarter","Järva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",8
"2003","1st quarter","Järva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",37
"2003","1st quarter","Järva county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","1st quarter","Järva county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","1st quarter","Järva county","Purchase-sale contracts of movable assets**","Number of contracts",75
"2003","1st quarter","Järva county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",123.3
"2003","1st quarter","Järva county","..purchase-sale contracts of residential buildings**","Number of contracts",12
"2003","1st quarter","Järva county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",27.9
"2003","1st quarter","Järva county","..purchase-sale contracts of dwellings**","Number of contracts",55
"2003","1st quarter","Järva county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",62.2
"2003","1st quarter","Järva county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",8
"2003","1st quarter","Järva county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",33.2
"2003","1st quarter","Lääne county","Purchase-sale contracts total","Number of contracts",175
"2003","1st quarter","Lääne county","Purchase-sale contracts total","Value of contracts, thousand euros",2007.7
"2003","1st quarter","Lääne county","Purchase-sale contracts of real estate","Number of contracts",150
"2003","1st quarter","Lääne county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",1925.7
"2003","1st quarter","Lääne county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",44
"2003","1st quarter","Lääne county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",410.9
"2003","1st quarter","Lääne county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",19
"2003","1st quarter","Lääne county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",343.4
"2003","1st quarter","Lääne county","..purchase-sale contracts of ownership of dwellings","Number of contracts",72
"2003","1st quarter","Lääne county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",672.4
"2003","1st quarter","Lääne county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",15
"2003","1st quarter","Lääne county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",499
"2003","1st quarter","Lääne county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","1st quarter","Lääne county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
