nuts,year,type,indicator,value,level
EE_0141,2025,flat,ppm2,1033,laucode
EE_0141,2025,house,ppm2,1176,laucode
EE_0142,2005,all,ppm2,112,laucode
EE_0142,2005,flat,ppm2,51,laucode
EE_0142,2005,house,ppm2,192,laucode
EE_0142,2006,all,ppm2,105,laucode
EE_0142,2006,flat,ppm2,82,laucode
EE_0142,2006,house,ppm2,196,laucode
EE_0142,2007,all,ppm2,169,laucode
EE_0142,2007,flat,ppm2,117,laucode
EE_0142,2007,house,ppm2,328,laucode
EE_0142,2008,all,ppm2,171,laucode
EE_0142,2008,flat,ppm2,127,laucode
EE_0142,2008,house,ppm2,364,laucode
EE_0142,2009,all,ppm2,146,laucode
EE_0142,2009,flat,ppm2,112,laucode
EE_0142,2009,house,ppm2,248,laucode
EE_0142,2010,all,ppm2,113,laucode
EE_0142,2010,flat,ppm2,102,laucode
EE_0142,2010,house,ppm2,282,laucode
EE_0142,2011,all,ppm2,157,laucode
EE_0142,2011,flat,ppm2,87,laucode
EE_0142,2011,house,ppm2,321,laucode
EE_0142,2012,all,ppm2,147,laucode
EE_0142,2012,flat,ppm2,90,laucode
EE_0142,2012,house,ppm2,313,laucode
EE_0142,2013,all,ppm2,139,laucode
EE_0142,2013,flat,ppm2,76,laucode
EE_0142,2013,house,ppm2,290,laucode
EE_0142,2014,all,ppm2,122,laucode
EE_0142,2014,flat,ppm2,85,laucode
EE_0142,2014,house,ppm2,241,laucode
EE_0142,2015,all,ppm2,119,laucode
EE_0142,2015,flat,ppm2,96,laucode
EE_0142,2015,house,ppm2,265,laucode
EE_0142,2016,all,ppm2,127,laucode
EE_0142,2016,flat,ppm2,112,laucode
EE_0142,2016,house,ppm2,191,laucode
EE_0142,2017,all,ppm2,153,laucode
EE_0142,2017,flat,ppm2,140,laucode
EE_0142,2017,house,ppm2,230,laucode
EE_0142,2018,all,ppm2,123,laucode
EE_0142,2018,flat,ppm2,97,laucode
EE_0142,2018,house,ppm2,233,laucode
EE_0142,2019,all,ppm2,155,laucode
EE_0142,2019,flat,ppm2,120,laucode
EE_0142,2019,house,ppm2,308,laucode
EE_0142,2020,all,ppm2,140,laucode
EE_0142,2020,flat,ppm2,109,laucode
EE_0142,2020,house,ppm2,290,laucode
EE_0142,2021,all,ppm2,196,laucode
EE_0142,2021,flat,ppm2,125,laucode
EE_0142,2021,house,ppm2,496,laucode
EE_0142,2022,all,ppm2,245,laucode
EE_0142,2022,flat,ppm2,229,laucode
EE_0142,2022,house,ppm2,380,laucode
EE_0142,2023,all,ppm2,325,laucode
EE_0142,2023,flat,ppm2,269,laucode
EE_0142,2023,house,ppm2,518,laucode
EE_0142,2024,all,ppm2,328,laucode
EE_0142,2024,flat,ppm2,274,laucode
EE_0142,2024,house,ppm2,587,laucode
EE_0142,2025,all,ppm2,474,laucode
EE_0142,2025,flat,ppm2,377,laucode
EE_0142,2025,house,ppm2,865,laucode
EE_0171,2005,all,ppm2,268,laucode
EE_0171,2005,flat,ppm2,249,laucode
EE_0171,2005,house,ppm2,320,laucode
EE_0171,2006,all,ppm2,465,laucode
EE_0171,2006,flat,ppm2,436,laucode
EE_0171,2006,house,ppm2,574,laucode
EE_0171,2007,all,ppm2,532,laucode
EE_0171,2007,flat,ppm2,500,laucode
EE_0171,2007,house,ppm2,628,laucode
EE_0171,2008,all,ppm2,491,laucode
EE_0171,2008,flat,ppm2,460,laucode
EE_0171,2008,house,ppm2,590,laucode
EE_0171,2009,all,ppm2,238,laucode
EE_0171,2009,flat,ppm2,214,laucode
EE_0171,2009,house,ppm2,297,laucode
EE_0171,2010,all,ppm2,355,laucode
EE_0171,2010,flat,ppm2,292,laucode
EE_0171,2010,house,ppm2,534,laucode
EE_0171,2011,all,ppm2,358,laucode
EE_0171,2011,flat,ppm2,327,laucode
EE_0171,2011,house,ppm2,423,laucode
EE_0171,2012,all,ppm2,344,laucode
EE_0171,2012,flat,ppm2,294,laucode
EE_0171,2012,house,ppm2,465,laucode
EE_0171,2013,all,ppm2,359,laucode
EE_0171,2013,flat,ppm2,311,laucode
EE_0171,2013,house,ppm2,466,laucode
EE_0171,2014,all,ppm2,379,laucode
EE_0171,2014,flat,ppm2,361,laucode
EE_0171,2014,house,ppm2,440,laucode
EE_0171,2015,all,ppm2,406,laucode
EE_0171,2015,flat,ppm2,390,laucode
EE_0171,2015,house,ppm2,456,laucode
EE_0171,2016,all,ppm2,451,laucode
EE_0171,2016,flat,ppm2,419,laucode
EE_0171,2016,house,ppm2,547,laucode
EE_0171,2017,all,ppm2,450,laucode
EE_0171,2017,flat,ppm2,426,laucode
EE_0171,2017,house,ppm2,531,laucode
EE_0171,2018,all,ppm2,520,laucode
EE_0171,2018,flat,ppm2,473,laucode
EE_0171,2018,house,ppm2,646,laucode
EE_0171,2019,all,ppm2,572,laucode
EE_0171,2019,flat,ppm2,547,laucode
EE_0171,2019,house,ppm2,647,laucode
EE_0171,2020,all,ppm2,638,laucode
EE_0171,2020,flat,ppm2,567,laucode
EE_0171,2020,house,ppm2,812,laucode
EE_0171,2021,all,ppm2,667,laucode
EE_0171,2021,flat,ppm2,650,laucode
EE_0171,2021,house,ppm2,725,laucode
EE_0171,2022,all,ppm2,827,laucode
EE_0171,2022,flat,ppm2,818,laucode
EE_0171,2022,house,ppm2,869,laucode
EE_0171,2023,all,ppm2,981,laucode
EE_0171,2023,flat,ppm2,919,laucode
EE_0171,2023,house,ppm2,1188,laucode
EE_0171,2024,all,ppm2,1086,laucode
EE_0171,2024,flat,ppm2,996,laucode
EE_0171,2024,house,ppm2,1337,laucode
EE_0171,2025,all,ppm2,1059,laucode
EE_0171,2025,flat,ppm2,984,laucode
EE_0171,2025,house,ppm2,1264,laucode
EE_0184,2005,all,ppm2,408,laucode
EE_0184,2005,flat,ppm2,400,laucode
EE_0184,2005,house,ppm2,456,laucode
EE_0184,2006,all,ppm2,632,laucode
EE_0184,2006,flat,ppm2,666,laucode
EE_0184,2006,house,ppm2,575,laucode
EE_0184,2007,all,ppm2,784,laucode
EE_0184,2007,flat,ppm2,797,laucode
EE_0184,2007,house,ppm2,826,laucode
EE_0184,2008,all,ppm2,767,laucode
EE_0184,2008,flat,ppm2,760,laucode
EE_0184,2008,house,ppm2,896,laucode
EE_0184,2009,all,ppm2,511,laucode
EE_0184,2009,flat,ppm2,503,laucode
EE_0184,2009,house,ppm2,589,laucode
EE_0184,2010,all,ppm2,492,laucode
EE_0184,2010,flat,ppm2,477,laucode
EE_0184,2010,house,ppm2,567,laucode
EE_0184,2011,all,ppm2,490,laucode
EE_0184,2011,flat,ppm2,474,laucode
EE_0184,2011,house,ppm2,578,laucode
EE_0184,2012,all,ppm2,490,laucode
EE_0184,2012,flat,ppm2,461,laucode
EE_0184,2012,house,ppm2,621,laucode
EE_0184,2013,all,ppm2,576,laucode
EE_0184,2013,flat,ppm2,574,laucode
EE_0184,2013,house,ppm2,631,laucode
EE_0184,2014,all,ppm2,541,laucode
EE_0184,2014,flat,ppm2,536,laucode
EE_0184,2014,house,ppm2,636,laucode
EE_0184,2015,all,ppm2,579,laucode
EE_0184,2015,flat,ppm2,575,laucode
EE_0184,2015,house,ppm2,673,laucode
EE_0184,2016,all,ppm2,600,laucode
EE_0184,2016,flat,ppm2,604,laucode
EE_0184,2016,house,ppm2,673,laucode
EE_0184,2017,all,ppm2,687,laucode
EE_0184,2017,flat,ppm2,686,laucode
EE_0184,2017,house,ppm2,766,laucode
EE_0184,2018,all,ppm2,719,laucode
EE_0184,2018,flat,ppm2,742,laucode
EE_0184,2018,house,ppm2,679,laucode
EE_0184,2019,all,ppm2,793,laucode
EE_0184,2019,flat,ppm2,796,laucode
EE_0184,2019,house,ppm2,857,laucode
EE_0184,2020,all,ppm2,869,laucode
EE_0184,2020,flat,ppm2,896,laucode
EE_0184,2020,house,ppm2,805,laucode
EE_0184,2021,all,ppm2,1041,laucode
EE_0184,2021,flat,ppm2,1074,laucode
EE_0184,2021,house,ppm2,986,laucode
EE_0184,2022,all,ppm2,1308,laucode
EE_0184,2022,flat,ppm2,1370,laucode
EE_0184,2022,house,ppm2,1121,laucode
EE_0184,2023,all,ppm2,1673,laucode
EE_0184,2023,flat,ppm2,1723,laucode
EE_0184,2023,house,ppm2,1446,laucode
EE_0184,2024,all,ppm2,1645,laucode
EE_0184,2024,flat,ppm2,1727,laucode
EE_0184,2024,house,ppm2,1374,laucode
EE_0184,2025,all,ppm2,1665,laucode
EE_0184,2025,flat,ppm2,1731,laucode
EE_0184,2025,house,ppm2,1519,laucode
EE_0191,2005,all,ppm2,349,laucode
EE_0191,2005,flat,ppm2,240,laucode
EE_0191,2005,house,ppm2,449,laucode
EE_0191,2006,all,ppm2,582,laucode
EE_0191,2006,flat,ppm2,443,laucode
EE_0191,2006,house,ppm2,707,laucode
EE_0191,2007,all,ppm2,727,laucode
EE_0191,2007,flat,ppm2,590,laucode
EE_0191,2007,house,ppm2,880,laucode
EE_0191,2008,all,ppm2,651,laucode
EE_0191,2008,flat,ppm2,485,laucode
EE_0191,2008,house,ppm2,806,laucode
EE_0191,2009,all,ppm2,448,laucode
EE_0191,2009,flat,ppm2,407,laucode
EE_0191,2009,house,ppm2,471,laucode
EE_0191,2010,all,ppm2,498,laucode
EE_0191,2010,flat,ppm2,410,laucode
EE_0191,2010,house,ppm2,524,laucode
EE_0191,2011,all,ppm2,324,laucode
EE_0191,2011,flat,ppm2,276,laucode
EE_0191,2011,house,ppm2,355,laucode
EE_0191,2012,all,ppm2,498,laucode
EE_0191,2012,flat,ppm2,328,laucode
EE_0191,2012,house,ppm2,641,laucode
EE_0191,2013,all,ppm2,446,laucode
EE_0191,2013,flat,ppm2,279,laucode
EE_0191,2013,house,ppm2,570,laucode
EE_0191,2014,all,ppm2,516,laucode
EE_0191,2014,flat,ppm2,286,laucode
EE_0191,2014,house,ppm2,701,laucode
EE_0191,2015,all,ppm2,453,laucode
