County,nuts
Harju county,EE001
Tallinn,EE001
Hiiu county,EE004
Ida-Viru county,EE007
Jõgeva county,EE008
Järva county,EE006
Lääne county,EE004
Lääne-Viru county,EE006
Põlva county,EE008
Pärnu county,EE004
Rapla county,EE006
Saare county,EE004
Tartu county,EE008
Valga county,EE008
Viljandi county,EE008
Võru county,EE008
