municipality
HARJU COUNTY
..Harju county: city settlement region
..Harju county: town settlement region
..Harju county: rural settlement region
..Tallinn
....Haabersti city district
....Kesklinn city district
....Kristiine city district
....Lasnamäe city district
....Mustamäe city district
....Nõmme city district
....Pirita city district
....Põhja-Tallinn city district
..Anija rural municipality
....Kehra city as a settlement unit
"....Anija rural municipality, excl. Kehra city as a settlement unit"
..Harku rural municipality
..Jõelähtme rural municipality
..Keila city
..Kiili rural municipality
..Kose rural municipality
..Kuusalu rural municipality
..Loksa city
..Lääne-Harju rural municipality
....Paldiski city as a settlement unit
"....Lääne-Harju rural municipality, excl. Paldiski city as a settlement unit"
..Maardu city
..Raasiku rural municipality
..Rae rural municipality
..Saku rural municipality
..Saue rural municipality
....Saue city as a settlement unit
"....Saue rural municipality, excl. Saue city as a settlement unit"
..Viimsi rural municipality
HIIU COUNTY
..Hiiu county: city settlement region
..Hiiu county: town settlement region
..Hiiu county: rural settlement region
..Hiiumaa rural municipality
....Kärdla city as a settlement unit
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit"
IDA-VIRU COUNTY
..Ida-Viru county: city settlement region
..Ida-Viru county: town settlement region
..Ida-Viru county: rural settlement region
..Alutaguse rural municipality
..Jõhvi rural municipality
....Jõhvi city as a settlement unit
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit"
..Kohtla-Järve city
....Ahtme city district
....Järve city district
....Kukruse city district
....Oru city district
....Sompa city district
..Lüganuse rural municipality
....Kiviõli city as a settlement unit
....Püssi city as a settlement unit
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit"
..Narva city
..Narva-Jõesuu city
....Narva-Jõesuu city as a settlement unit
"....Narva-Jõesuu city, excl. Narva-Jõesuu city as a settlement unit"
..Sillamäe city
..Toila rural municipality
JÕGEVA COUNTY
..Jõgeva county: city settlement region
..Jõgeva county: town settlement region
..Jõgeva county: rural settlement region
..Jõgeva rural municipality
....Jõgeva city as a settlement unit
"....Jõgeva rural municipality, excl. Jõgeva city as a settlement unit"
..Mustvee rural municipality
....Mustvee city as a settlement unit
"....Mustvee rural municipality, excl. Mustvee city as a settlement unit"
..Põltsamaa rural municipality
....Põltsamaa city as a settlement unit
"....Põltsamaa rural municipality, excl. Põltsamaa city as a settlement unit"
JÄRVA COUNTY
..Järva county: city settlement region
..Järva county: town settlement region
..Järva county: rural settlement region
..Järva rural municipality
..Paide city
....Paide city as a settlement unit
"....Paide city, excl. Paide city as a settlement unit"
..Türi rural municipality
....Türi city as a settlement unit
"....Türi rural municipality, excl. Türi city as a settlement unit"
LÄÄNE COUNTY
..Lääne county: city settlement region
..Lääne county: town settlement region
..Lääne county: rural settlement region
..Haapsalu city
....Haapsalu city as a settlement unit
"....Haapsalu city, excl. Paide city as a settlement unit"
..Lääne-Nigula rural municipality
..Vormsi rural municipality
LÄÄNE-VIRU COUNTY
..Lääne-Viru county: city settlement region
..Lääne-Viru county: town settlement region
..Lääne-Viru county: rural settlement region
..Haljala rural municipality
..Kadrina rural municipality
..Rakvere city
..Rakvere rural municipality
..Tapa rural municipality
....Tamsalu city as a settlement unit
....Tapa city as a settlement unit
"....Tapa rural municipality, excl. Tamsalu and Tapa city as a settlement unit"
..Vinni rural municipality
..Viru-Nigula rural municipality
....Kunda city as a settlement unit
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit"
..Väike-Maarja rural municipality
PÕLVA COUNTY
..Põlva county: city settlement region
..Põlva county: town settlement region
..Põlva county: rural settlement region
..Kanepi rural municipality
..Põlva rural municipality
....Põlva city as a settlement unit
"....Põlva rural municipality, excl. Põlva city as a settlement unit"
..Räpina rural municipality
....Räpina city as a settlement unit
"....Räpina rural municipality, excl. Räpina city as a settlement unit"
PÄRNU COUNTY
..Pärnu county: city settlement region
..Pärnu county: town settlement region
..Pärnu county: rural settlement region
..Häädemeeste rural municipality
..Kihnu rural municipality
..Lääneranna rural municipality
....Lihula city as a settlement unit
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit"
..Põhja-Pärnumaa rural municipality
..Pärnu city
....Pärnu city as a settlement unit
"....Pärnu city, excl. Pärnu city as a settlement unit"
..Saarde rural municipality
....Kilingi-Nõmme city as a settlement unit
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit"
..Tori rural municipality
....Sindi city as a settlement unit
"....Tori rural municipality, excl. Sindi city as a settlement unit"
RAPLA COUNTY
..Rapla county: city settlement region
..Rapla county: town settlement region
..Rapla county: rural settlement region
..Kehtna rural municipality
..Kohila rural municipality
..Märjamaa rural municipality
..Rapla rural municipality
....Rapla city as a settlement unit
"....Rapla rural municipality, excl. Rapla city as a settlement unit"
SAARE COUNTY
..Saare county: city settlement region
..Saare county: town settlement region
..Saare county: rural settlement region
..Muhu rural municipality
..Ruhnu rural municipality
..Saaremaa rural municipality
....Kuressaare city as a settlement unit
"....Saaremaa rural municipality, excl. Kuressaare city as a settlement unit"
TARTU COUNTY
..Tartu county: city settlement region
..Tartu county: town settlement region
..Tartu county: rural settlement region
..Elva rural municipality
....Elva city as a settlement unit
"....Elva rural municipality, excl. Elva city as a settlement unit"
..Kambja rural municipality
..Kastre rural municipality
..Luunja rural municipality
..Nõo rural municipality
..Peipsiääre rural municipality
....Kallaste city as a settlement unit
"....Peipsiääre rural municipality, excl. Kallaste city as a settlement unit"
..Tartu city
....Tartu city as a settlement unit
"....Tartu city, excl. Tartu city as a settlement unit"
..Tartu rural municipality
VALGA COUNTY
..Valga county: city settlement region
..Valga county: town settlement region
..Valga county: rural settlement region
..Otepää rural municipality
....Otepää city as a settlement unit
"....Otepää rural municipality, excl. Otepää city as a settlement unit"
..Tõrva rural municipality
....Tõrva city as a settlement unit
"....Tõrva rural municipality, excl. Tõrva city as a settlement unit"
..Valga rural municipality
....Valga city as a settlement unit
"....Valga rural municipality, excl. Tõrva city as a settlement unit"
VILJANDI COUNTY
..Viljandi county: city settlement region
..Viljandi county: town settlement region
..Viljandi county: rural settlement region
..Mulgi rural municipality
....Abja-Paluoja city as a settlement unit
....Karksi-Nuia city as a settlement unit
....Mõisaküla city as a settlement unit
"....Mulgi rural municipality, excl. Abja-Paluoja, Karksi-Nuia, Mõisaküla city as a settlement unit"
..Põhja-Sakala rural municipality
....Suure-Jaani city as a settlement unit
....Võhma city as a settlement unit
"....Põhja-Sakala vald, v.a Suure-Jaani and Võhma linn asustusüksusena"
..Viljandi city
..Viljandi rural municipality
VÕRU COUNTY
..Võru county: city settlement region
..Võru county: town settlement region
..Võru county: rural settlement region
..Antsla rural municipality
....Antsla city as a settlement unit
"....Antsla rural municipality, excl. Antsla city as a settlement unit"
..Rõuge rural municipality
..Setomaa rural municipality
..Võru city
..Võru rural municipality
