time,code,name,level,country,country_name,target,frequency,evolution,dwelling,vintage,index,index_country
01/01/2005,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,384.3137255,
01/01/2005,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,486.1842105,
01/01/2006,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,469.8151951,
01/01/2006,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,435.6862745,
01/01/2006,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,564.6929825,
01/01/2007,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,536.9609856,
01/01/2007,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,473.7254902,
01/01/2007,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,626.5350877,
01/01/2008,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,550.9240246,
01/01/2008,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,491.5686275,
01/01/2008,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,620.1754386,
01/01/2009,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,551.3347023,
01/01/2009,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,497.254902,
01/01/2009,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,624.7807018,
01/01/2010,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,608.2135524,
01/01/2010,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,539.8039216,
01/01/2010,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,679.6052632,
01/01/2011,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,616.8377823,
01/01/2011,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,555.8823529,
01/01/2011,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,675.6578947,
01/01/2012,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,612.3203285,
01/01/2012,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,552.5490196,
01/01/2012,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,642.5438596,
01/01/2013,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,632.6488706,
01/01/2013,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,575.8823529,
01/01/2013,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,653.2894737,
01/01/2014,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,704.5174538,
01/01/2014,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,612.5490196,
01/01/2014,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,679.8245614,
01/01/2015,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,802.0533881,
01/01/2015,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,685.0980392,
01/01/2015,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,741.8859649,
01/01/2016,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,872.8952772,
01/01/2016,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,722.3529412,
01/01/2016,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,838.1578947,
01/01/2017,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,923.613963,
01/01/2017,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,800.9803922,
01/01/2017,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,919.9561404,
01/01/2018,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,876.386037,
01/01/2018,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,795.2941176,
01/01/2018,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,949.7807018,
01/01/2019,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,869.8151951,
01/01/2019,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,827.0588235,
01/01/2019,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,986.4035088,
01/01/2020,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,932.4435318,
01/01/2020,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,860.1960784,
01/01/2020,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1070.614035,
01/01/2021,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1104.517454,
01/01/2021,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,993.3333333,
01/01/2021,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1269.517544,
01/01/2022,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1149.897331,
01/01/2022,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1047.843137,
01/01/2022,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1316.447368,
01/01/2023,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1022.38193,
01/01/2023,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,979.0196078,
01/01/2023,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1150.657895,
01/01/2024,se001m,Stockholm (agglomeration) - Stockholm,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1019.301848,
01/01/2024,se002m,Gothenburg (agglomeration) - West Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,973.3333333,
01/01/2024,se003m,Malmo (agglomeration) - South Sweden,Cities,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,1183.991228,
