date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15325096,flat,,Järfälla,3096000,309600,EUR,3,78,2017,39692.3076923077,SE_0123,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-barkarbystaden-jarfalla-kommun-parkvagen-7,-3-tr-15325096",luca
2018-11-27,,,15331335,flat,,Järfälla,2295000,229500,EUR,2,56,2018,40982.1428571429,SE_0123,,SE110,TRUE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-barkarbystaden-jarfalla-kommun-viggengatan-16,1-tr-15331335",luca
2018-11-27,,,15331255,house,,Stockholm,3995000,399500,EUR,4,74,1951,53986.4864864865,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-4rum-racksta-stockholms-kommun-brunflogatan-5-15331255,luca
2018-11-27,,,15271335,flat,,Järfälla,1695000,169500,EUR,3,78,1959,21730.7692307692,SE_0123,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-kallhall-jarfalla-kommun-kopparvagen-47,-5-tr-15271335",luca
2018-11-27,,,14487535,house,,Täby,4955000,495500,EUR,6,142,,34894.3661971831,SE_0160,,SE110,FALSE,,https://www.hemnet.se/bostad/radhus-6rum-hagerneholm-taby-kommun-lovhagsvagen-14487535,luca
2018-11-27,,,15331296,flat,,Stockholm,5000000,5e+05,EUR,"3,5",74,1968,67567.5675675676,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3,5rum-vasastan-sibirien-stockholms-kommun-ingemarsgatan-5,-2-tr-15331296",luca
2018-11-27,,,14876595,house,,Stockholm,3990000,399000,EUR,3,63,1939,63333.3333333333,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-3rum-bromma-norra-angby-stockholms-kommun-cederstromsvagen-16-14876595,luca
2018-11-27,,,15326195,flat,,Stockholm,2575000,257500,EUR,"2,5",52,1944,49519.2307692308,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2,5rum-globen-stockholms-kommun-bildhuggarvagen-35-15326195",luca
2018-11-27,,,14937695,flat,,Stockholm,2495000,249500,EUR,3,60,1951,41583.3333333333,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-enskede-gubbangen-stockholms-kommun-lingvagen-97,-1tr-14937695",luca
2018-11-27,,,15330616,flat,,Solna,2995000,299500,EUR,2,51.5,1946,58155.3398058252,SE_0184,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-rasunda-vasalund-solna-kommun-charlottenburgsvagen-28,-2-tr-15330616",luca
2018-11-27,,,15301175,flat,,Huddinge,1690000,169000,EUR,4,104,1992,16250,SE_0126,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-4rum-visattra-huddinge-kommun-mangardsvagen-6-15301175,luca
